日期,单位净值,累计净值,累计单位净值,基金id
2024-03-13,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-14,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-15,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-18,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-19,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-20,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-21,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-22,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-25,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-26,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-27,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-28,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-03-29,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-04-01,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-04-02,1.0001,1.0001,1.0001,乾象中证1000指数增强35号1期
2024-04-03,1.0001,1.0001,1.0001,乾象中证1000指数增强35号1期
2024-04-09,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-04-12,1.0,1.0,1.0,乾象中证1000指数增强35号1期
2024-04-16,0.9999,0.9999,0.9999,乾象中证1000指数增强35号1期
2024-04-19,0.9998,0.9998,0.9998,乾象中证1000指数增强35号1期
2024-04-23,0.9998,0.9998,0.9998,乾象中证1000指数增强35号1期
2024-04-26,0.9997,0.9997,0.9997,乾象中证1000指数增强35号1期
2024-04-30,0.9992,0.9992,0.9992,乾象中证1000指数增强35号1期
2024-05-07,1.018,1.018,1.018,乾象中证1000指数增强35号1期
2024-05-10,1.0154,1.0154,1.0154,乾象中证1000指数增强35号1期
2024-05-14,1.0139,1.0139,1.0139,乾象中证1000指数增强35号1期
2024-05-17,1.0176,1.0176,1.0176,乾象中证1000指数增强35号1期
2024-05-21,1.0176,1.0176,1.0176,乾象中证1000指数增强35号1期
2024-05-24,0.9995,0.9995,0.9995,乾象中证1000指数增强35号1期
2024-05-28,1.0045,1.0045,1.0045,乾象中证1000指数增强35号1期
2024-05-31,1.0015,1.0015,1.0015,乾象中证1000指数增强35号1期
2024-06-04,1.001,1.001,1.001,乾象中证1000指数增强35号1期
2024-06-07,0.9837,0.9837,0.9837,乾象中证1000指数增强35号1期
2024-06-11,0.9815,0.9815,0.9815,乾象中证1000指数增强35号1期
2024-06-14,0.9857,0.9857,0.9857,乾象中证1000指数增强35号1期
2024-06-18,0.9916,0.9916,0.9915999999999999,乾象中证1000指数增强35号1期
2024-06-21,0.9696,0.9696,0.9695999999999999,乾象中证1000指数增强35号1期
2024-06-25,0.9451,0.9451,0.9450999999999999,乾象中证1000指数增强35号1期
2024-06-28,0.9566,0.9566,0.9566,乾象中证1000指数增强35号1期
2024-07-02,0.96,0.96,0.96,乾象中证1000指数增强35号1期
2024-07-05,0.9454,0.9454,0.9454,乾象中证1000指数增强35号1期
2024-07-09,0.9468,0.9468,0.9467999999999999,乾象中证1000指数增强35号1期
2024-07-12,0.962,0.962,0.9619999999999999,乾象中证1000指数增强35号1期
2024-07-16,0.9545,0.9545,0.9544999999999999,乾象中证1000指数增强35号1期
2024-07-19,0.946,0.946,0.9459999999999998,乾象中证1000指数增强35号1期
2024-07-23,0.923,0.923,0.9229999999999999,乾象中证1000指数增强35号1期
2024-07-26,0.9249,0.9249,0.9248999999999999,乾象中证1000指数增强35号1期
2024-07-30,0.9249,0.9249,0.9248999999999999,乾象中证1000指数增强35号1期
2024-07-31,0.9513,0.9513,0.9512999999999998,乾象中证1000指数增强35号1期
2024-08-02,0.9415,0.9415,0.9414999999999998,乾象中证1000指数增强35号1期
2024-08-06,0.9317,0.9317,0.9316999999999998,乾象中证1000指数增强35号1期
2024-08-09,0.9269,0.9269,0.9268999999999997,乾象中证1000指数增强35号1期
2024-08-13,0.9283,0.9283,0.9282999999999999,乾象中证1000指数增强35号1期
2024-08-16,0.9272,0.9272,0.9271999999999999,乾象中证1000指数增强35号1期
2024-08-20,0.9167,0.9167,0.9166999999999998,乾象中证1000指数增强35号1期
2024-08-23,0.9043,0.9043,0.9042999999999999,乾象中证1000指数增强35号1期
2024-08-27,0.8988,0.8988,0.8987999999999999,乾象中证1000指数增强35号1期
2024-08-30,0.9151,0.9151,0.9150999999999999,乾象中证1000指数增强35号1期
2024-09-03,0.9051,0.9051,0.9050999999999999,乾象中证1000指数增强35号1期
2024-09-06,0.8935,0.8935,0.8934999999999998,乾象中证1000指数增强35号1期
2024-09-10,0.8896,0.8896,0.8895999999999998,乾象中证1000指数增强35号1期
2024-09-13,0.8761,0.8761,0.8760999999999999,乾象中证1000指数增强35号1期
2024-09-18,0.8761,0.8761,0.8760999999999999,乾象中证1000指数增强35号1期
2024-09-20,0.8905,0.8905,0.8904999999999997,乾象中证1000指数增强35号1期
2024-09-24,0.9266,0.9266,0.9265999999999999,乾象中证1000指数增强35号1期
2024-09-27,1.0115,1.0115,1.0115,乾象中证1000指数增强35号1期
2024-09-30,1.1013,1.1013,1.1013,乾象中证1000指数增强35号1期
2024-10-08,1.1671,1.1671,1.1671,乾象中证1000指数增强35号1期
2024-10-11,1.054,1.054,1.054,乾象中证1000指数增强35号1期
2024-10-15,1.0658,1.0658,1.0658,乾象中证1000指数增强35号1期
2024-10-18,1.0975,1.0975,1.0975,乾象中证1000指数增强35号1期
2024-10-22,1.1274,1.1274,1.1274,乾象中证1000指数增强35号1期
2024-10-25,1.1446,1.1446,1.1446,乾象中证1000指数增强35号1期
2024-10-29,1.1512,1.1512,1.1512000000000002,乾象中证1000指数增强35号1期
2024-10-31,1.1734,1.1734,1.1734000000000002,乾象中证1000指数增强35号1期
2024-11-01,1.1488,1.1488,1.1488000000000003,乾象中证1000指数增强35号1期
2024-11-05,1.2064,1.2064,1.2064000000000001,乾象中证1000指数增强35号1期
2024-11-08,1.2498,1.2498,1.2498000000000005,乾象中证1000指数增强35号1期
2024-11-12,1.2602,1.2602,1.2602000000000007,乾象中证1000指数增强35号1期
2024-11-15,1.2037,1.2037,1.2037000000000007,乾象中证1000指数增强35号1期
2024-11-19,1.2099,1.2099,1.2099000000000006,乾象中证1000指数增强35号1期
2024-11-22,1.1976,1.1976,1.1976000000000007,乾象中证1000指数增强35号1期
2024-11-26,1.2009,1.2009,1.2009000000000007,乾象中证1000指数增强35号1期
2024-11-29,1.2385,1.2385,1.2385000000000006,乾象中证1000指数增强35号1期
2024-12-03,1.2677,1.2677,1.267700000000001,乾象中证1000指数增强35号1期
2024-12-06,1.2862,1.2862,1.286200000000001,乾象中证1000指数增强35号1期
2024-12-10,1.2883,1.2883,1.2883000000000009,乾象中证1000指数增强35号1期
2024-12-13,1.2971,1.2971,1.297100000000001,乾象中证1000指数增强35号1期
2024-12-17,1.2619,1.2619,1.2619000000000011,乾象中证1000指数增强35号1期
2024-12-20,1.2777,1.2777,1.2777000000000012,乾象中证1000指数增强35号1期
2024-12-24,1.2511,1.2511,1.2511000000000012,乾象中证1000指数增强35号1期
2024-12-27,1.2575,1.2575,1.2575000000000012,乾象中证1000指数增强35号1期
2024-12-31,1.2231,1.2231,1.2231000000000012,乾象中证1000指数增强35号1期
2025-01-03,1.1609,1.1609,1.160900000000001,乾象中证1000指数增强35号1期
2025-01-07,1.1805,1.1805,1.180500000000001,乾象中证1000指数增强35号1期
2025-01-10,1.1573,1.1573,1.1573000000000009,乾象中证1000指数增强35号1期
2025-01-14,1.2035,1.2035,1.203500000000001,乾象中证1000指数增强35号1期
2025-01-17,1.2122,1.2122,1.2122000000000008,乾象中证1000指数增强35号1期
2025-01-21,1.2185,1.2185,1.2185000000000008,乾象中证1000指数增强35号1期
2025-01-24,1.2217,1.2217,1.221700000000001,乾象中证1000指数增强35号1期
2025-01-27,1.2127,1.2127,1.2127000000000008,乾象中证1000指数增强35号1期
2025-02-05,1.2166,1.2166,1.2166000000000008,乾象中证1000指数增强35号1期
2025-02-07,1.2627,1.2627,1.2627000000000008,乾象中证1000指数增强35号1期
2025-02-11,1.274,1.274,1.274000000000001,乾象中证1000指数增强35号1期
2025-02-14,1.292,1.292,1.292000000000001,乾象中证1000指数增强35号1期
2025-02-18,1.2746,1.2746,1.2746000000000008,乾象中证1000指数增强35号1期
2025-02-21,1.3219,1.3219,1.321900000000001,乾象中证1000指数增强35号1期
2025-02-25,1.3187,1.3187,1.3187000000000009,乾象中证1000指数增强35号1期
2025-02-28,1.298,1.298,1.298000000000001,乾象中证1000指数增强35号1期
2025-03-04,1.3141,1.3141,1.3141000000000012,乾象中证1000指数增强35号1期
2025-03-07,1.3397,1.3397,1.339700000000001,乾象中证1000指数增强35号1期
2025-03-11,1.3478,1.3478,1.347800000000001,乾象中证1000指数增强35号1期
2025-03-14,1.3627,1.3627,1.3627000000000011,乾象中证1000指数增强35号1期
2025-03-18,1.3721,1.3721,1.3721000000000012,乾象中证1000指数增强35号1期
