日期,单位净值,累计净值,累计单位净值,基金id
2024-03-25,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-03-26,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-03-27,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-03-28,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-03-29,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-01,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-02,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-03,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-08,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-09,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-10,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-11,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-12,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-15,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-16,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-17,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-18,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-19,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-22,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-23,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-24,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-25,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-26,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-29,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-04-30,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-05-06,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-05-14,1.0,1.0,1.0,黑翼中性策略18号1期私募证券投资基金
2024-05-21,1.009,1.009,1.009,黑翼中性策略18号1期私募证券投资基金
2024-05-28,1.009,1.009,1.009,黑翼中性策略18号1期私募证券投资基金
2024-06-04,1.013,1.013,1.013,黑翼中性策略18号1期私募证券投资基金
2024-06-12,1.005,1.005,1.005,黑翼中性策略18号1期私募证券投资基金
2024-06-18,1.003,1.003,1.003,黑翼中性策略18号1期私募证券投资基金
2024-06-25,1.004,1.004,1.004,黑翼中性策略18号1期私募证券投资基金
2024-07-02,1.009,1.009,1.009,黑翼中性策略18号1期私募证券投资基金
2024-07-09,1.013,1.013,1.013,黑翼中性策略18号1期私募证券投资基金
2024-07-16,1.008,1.008,1.008,黑翼中性策略18号1期私募证券投资基金
2024-07-23,1.007,1.007,1.007,黑翼中性策略18号1期私募证券投资基金
2024-07-30,1.012,1.012,1.012,黑翼中性策略18号1期私募证券投资基金
2024-08-06,1.002,1.002,1.002,黑翼中性策略18号1期私募证券投资基金
2024-08-13,1.007,1.007,1.007,黑翼中性策略18号1期私募证券投资基金
2024-08-20,1.012,1.012,1.012,黑翼中性策略18号1期私募证券投资基金
2024-08-27,1.011,1.011,1.011,黑翼中性策略18号1期私募证券投资基金
2024-09-03,1.003,1.003,1.003,黑翼中性策略18号1期私募证券投资基金
