日期,单位净值,累计净值,累计单位净值,基金id
2023-08-14,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-08-16,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-08-17,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-08-18,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-08-21,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-08-22,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-08-23,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-08-24,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-08-25,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-08-28,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-09-01,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-09-04,1.0,1.0,1.0,静瑞灵动增长安泰1号
2023-09-08,1.0002,1.0002,1.0002,静瑞灵动增长安泰1号
2023-09-15,1.0004,1.0004,1.0004,静瑞灵动增长安泰1号
2023-09-20,1.0006,1.0006,1.0006,静瑞灵动增长安泰1号
2023-09-22,0.9991,0.9991,0.9991,静瑞灵动增长安泰1号
2023-09-28,0.9892,0.9892,0.9892,静瑞灵动增长安泰1号
2023-10-13,0.9786,0.9786,0.9786,静瑞灵动增长安泰1号
2023-10-20,0.936,0.936,0.936,静瑞灵动增长安泰1号
2023-10-27,0.9546,0.9546,0.9546,静瑞灵动增长安泰1号
2023-11-03,0.9685,0.9685,0.9685,静瑞灵动增长安泰1号
2023-11-10,0.9572,0.9572,0.9572,静瑞灵动增长安泰1号
2023-11-17,0.9591,0.9591,0.9591,静瑞灵动增长安泰1号
2023-11-20,0.9668,0.9668,0.9668,静瑞灵动增长安泰1号
2023-11-24,0.9557,0.9557,0.9557,静瑞灵动增长安泰1号
2023-12-01,0.9314,0.9314,0.9314,静瑞灵动增长安泰1号
2023-12-08,0.8879,0.8879,0.8879,静瑞灵动增长安泰1号
2023-12-15,0.8954,0.8954,0.8954000000000001,静瑞灵动增长安泰1号
2023-12-20,0.8845,0.8845,0.8845000000000001,静瑞灵动增长安泰1号
2023-12-22,0.8756,0.8756,0.8756000000000002,静瑞灵动增长安泰1号
2023-12-29,0.9135,0.9135,0.9135,静瑞灵动增长安泰1号
2024-01-05,0.8945,0.8945,0.8945,静瑞灵动增长安泰1号
2024-01-12,0.8821,0.8821,0.8821,静瑞灵动增长安泰1号
2024-01-19,0.838,0.838,0.838,静瑞灵动增长安泰1号
2024-01-22,0.8029,0.8029,0.8029,静瑞灵动增长安泰1号
2024-01-26,0.8549,0.8549,0.8549,静瑞灵动增长安泰1号
2024-02-02,0.8073,0.8073,0.8073,静瑞灵动增长安泰1号
2024-02-08,0.8418,0.8418,0.8418000000000001,静瑞灵动增长安泰1号
2024-02-20,0.8677,0.8677,0.8677,静瑞灵动增长安泰1号
2024-02-23,0.8938,0.8938,0.8938000000000001,静瑞灵动增长安泰1号
2024-03-01,0.8867,0.8867,0.8867000000000002,静瑞灵动增长安泰1号
2024-03-08,0.9025,0.9025,0.9025,静瑞灵动增长安泰1号
2024-03-15,0.9399,0.9399,0.9399,静瑞灵动增长安泰1号
2024-03-20,0.9367,0.9367,0.9367,静瑞灵动增长安泰1号
2024-03-22,0.9398,0.9398,0.9398,静瑞灵动增长安泰1号
2024-03-29,0.9779,0.9779,0.9779,静瑞灵动增长安泰1号
2024-04-03,1.0081,1.0081,1.0081,静瑞灵动增长安泰1号
2024-04-12,1.0141,1.0141,1.0141,静瑞灵动增长安泰1号
2024-04-19,1.0105,1.0105,1.0105,静瑞灵动增长安泰1号
2024-04-22,1.0177,1.0177,1.0177,静瑞灵动增长安泰1号
2024-04-26,1.0786,1.0786,1.0786,静瑞灵动增长安泰1号
2024-04-30,1.0837,1.0837,1.0837,静瑞灵动增长安泰1号
2024-05-10,1.1539,1.1539,1.1539,静瑞灵动增长安泰1号
2024-05-17,1.1942,1.1942,1.1942,静瑞灵动增长安泰1号
2024-05-20,1.2058,1.2058,1.2057999999999998,静瑞灵动增长安泰1号
2024-05-24,1.1432,1.1432,1.1431999999999998,静瑞灵动增长安泰1号
2024-05-31,1.1194,1.1194,1.1193999999999997,静瑞灵动增长安泰1号
2024-06-07,1.1345,1.1345,1.1344999999999998,静瑞灵动增长安泰1号
2024-06-14,1.1043,1.1043,1.1042999999999998,静瑞灵动增长安泰1号
2024-06-20,1.1119,1.1119,1.1118999999999999,静瑞灵动增长安泰1号
2024-06-21,1.0983,1.0983,1.0982999999999998,静瑞灵动增长安泰1号
2024-06-28,1.0816,1.0816,1.0815999999999997,静瑞灵动增长安泰1号
2024-07-05,1.0933,1.0933,1.0932999999999997,静瑞灵动增长安泰1号
2024-07-12,1.1099,1.1099,1.1098999999999999,静瑞灵动增长安泰1号
2024-07-19,1.0624,1.0624,1.0623999999999998,静瑞灵动增长安泰1号
2024-07-22,1.0661,1.0661,1.0660999999999998,静瑞灵动增长安泰1号
2024-07-26,1.0117,1.0117,1.0116999999999998,静瑞灵动增长安泰1号
2024-08-02,1.0058,1.0058,1.0057999999999998,静瑞灵动增长安泰1号
2024-08-09,1.0063,1.0063,1.0062999999999998,静瑞灵动增长安泰1号
2024-08-16,1.0185,1.0185,1.0184999999999997,静瑞灵动增长安泰1号
2024-08-20,1.0122,1.0122,1.0121999999999998,静瑞灵动增长安泰1号
2024-08-23,1.0172,1.0172,1.0171999999999999,静瑞灵动增长安泰1号
2024-08-30,1.0303,1.0303,1.0302999999999998,静瑞灵动增长安泰1号
2024-09-06,0.9949,0.9949,0.9948999999999998,静瑞灵动增长安泰1号
2024-09-13,0.9868,0.9868,0.9867999999999998,静瑞灵动增长安泰1号
2024-09-20,1.0328,1.0328,1.0327999999999997,静瑞灵动增长安泰1号
2024-09-27,1.2043,1.2043,1.2042999999999997,静瑞灵动增长安泰1号
2024-09-30,1.2617,1.2617,1.2616999999999998,静瑞灵动增长安泰1号
2024-10-11,1.2841,1.2841,1.2840999999999998,静瑞灵动增长安泰1号
2024-10-18,1.2581,1.2581,1.2580999999999998,静瑞灵动增长安泰1号
2024-10-21,1.2439,1.2439,1.2438999999999998,静瑞灵动增长安泰1号
2024-10-25,1.2323,1.2323,1.2322999999999997,静瑞灵动增长安泰1号
2024-11-01,1.2206,1.2206,1.2205999999999997,静瑞灵动增长安泰1号
2024-11-08,1.2436,1.2436,1.2435999999999998,静瑞灵动增长安泰1号
2024-11-15,1.1637,1.1637,1.1636999999999997,静瑞灵动增长安泰1号
2024-11-20,1.1759,1.1759,1.1758999999999997,静瑞灵动增长安泰1号
2024-11-22,1.1352,1.1352,1.1351999999999998,静瑞灵动增长安泰1号
2024-11-29,1.1456,1.1456,1.1455999999999997,静瑞灵动增长安泰1号
2024-12-06,1.1675,1.1675,1.1674999999999998,静瑞灵动增长安泰1号
2024-12-13,1.1765,1.1765,1.1764999999999999,静瑞灵动增长安泰1号
2024-12-20,1.0,1.1566,1.1565999999999999,静瑞灵动增长安泰1号
2024-12-27,1.0065,1.1631,1.1641178999999997,静瑞灵动增长安泰1号
2025-01-03,0.9865,1.1431,1.1409858999999996,静瑞灵动增长安泰1号
2025-01-10,0.9568,1.1134,1.1066348799999994,静瑞灵动增长安泰1号
2025-01-17,0.9865,1.1431,1.1409858999999996,静瑞灵动增长安泰1号
2025-01-20,1.0007,1.1573,1.1574096199999995,静瑞灵动增长安泰1号
2025-01-24,0.9887,1.1453,1.1435304199999994,静瑞灵动增长安泰1号
2025-01-27,0.9932,1.1498,1.1487351199999993,静瑞灵动增长安泰1号
2025-02-07,1.0294,1.186,1.1906040399999993,静瑞灵动增长安泰1号
2025-02-14,1.0974,1.254,1.2692528399999992,静瑞灵动增长安泰1号
2025-02-20,1.075,1.2316,1.2433449999999993,静瑞灵动增长安泰1号
2025-02-21,1.1119,1.2685,1.286023539999999,静瑞灵动增长安泰1号
2025-02-28,1.098,1.2546,1.2699467999999992,静瑞灵动增长安泰1号
2025-03-07,1.1781,1.3347,1.3625904599999992,静瑞灵动增长安泰1号
2025-03-14,1.1643,1.3209,1.346629379999999,静瑞灵动增长安泰1号
