基金代码,基金名称,日期,单位净值,累计净值,复权净值
SGA864,沣京公司精选2期,2019-05-14,66.181,66.181,1.0
SGA864,沣京公司精选2期,2019-05-15,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-05-20,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-05-21,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-05-22,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-05-23,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-05-24,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-05-27,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-05-28,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-05-29,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-05-30,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-05-31,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-06-03,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-06-04,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-06-05,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-06-06,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-06-17,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-06-20,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-06-27,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-07-04,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-07-11,1.0,1.0,0.0151100769102914
SGA864,沣京公司精选2期,2019-07-18,0.992,0.992,0.014989196295009
SGA864,沣京公司精选2期,2019-07-25,0.982,0.982,0.0148380955259061
SGA864,沣京公司精选2期,2019-08-01,1.003,1.003,0.0151554071410222
SGA864,沣京公司精选2期,2019-08-08,1.017,1.017,0.0153669482177663
SGA864,沣京公司精选2期,2019-08-15,0.985,0.985,0.014883425756637
SGA864,沣京公司精选2期,2019-08-22,1.006,1.006,0.0152007373717531
SGA864,沣京公司精选2期,2019-08-29,1.033,1.033,0.015608709448331
SGA864,沣京公司精选2期,2019-09-05,1.017,1.017,0.0153669482177663
SGA864,沣京公司精选2期,2019-09-12,1.071,1.071,0.0161828923709221
SGA864,沣京公司精选2期,2019-09-20,1.101,1.101,0.0166361946782308
SGA864,沣京公司精选2期,2019-09-26,1.106,1.106,0.0167117450627823
SGA864,沣京公司精选2期,2019-10-08,1.093,1.093,0.0165153140629485
SGA864,沣京公司精选2期,2019-10-11,1.086,1.086,0.0164095435245764
SGA864,沣京公司精选2期,2019-10-17,1.103,1.103,0.0166664148320514
SGA864,沣京公司精选2期,2019-10-24,1.087,1.087,0.0164246536014867
SGA864,沣京公司精选2期,2019-10-31,1.095,1.095,0.0165455342167691
SGA864,沣京公司精选2期,2019-11-07,1.096,1.096,0.0165606442936794
SGA864,沣京公司精选2期,2019-11-14,1.109,1.109,0.0167570752935131
SGA864,沣京公司精选2期,2019-11-21,1.095,1.095,0.0165455342167691
SGA864,沣京公司精选2期,2019-11-28,1.105,1.105,0.016696634985872
SGA864,沣京公司精选2期,2019-12-05,1.098,1.098,0.0165908644474999
SGA864,沣京公司精选2期,2019-12-12,1.114,1.114,0.0168326256780646
SGA864,沣京公司精选2期,2019-12-19,1.137,1.137,0.0171801574470013
SGA864,沣京公司精选2期,2019-12-26,1.154,1.154,0.0174370287544763
SGA864,沣京公司精选2期,2019-12-31,1.165,1.165,0.0176032396004895
SGA864,沣京公司精选2期,2020-01-03,1.182,1.182,0.0178601109079644
SGA864,沣京公司精选2期,2020-01-09,1.218,1.218,0.0184040736767349
SGA864,沣京公司精选2期,2020-01-16,1.24,1.24,0.0187364953687613
SGA864,沣京公司精选2期,2020-01-17,1.259,1.259,0.0190235868300569
SGA864,沣京公司精选2期,2020-01-20,1.261,1.261,0.0190538069838774
SGA864,沣京公司精选2期,2020-01-21,1.266,1.266,0.0191293573684289
SGA864,沣京公司精选2期,2020-01-22,1.275,1.275,0.0192653480606215
SGA864,沣京公司精选2期,2020-01-23,1.265,1.265,0.0191142472915186
SGA864,沣京公司精选2期,2020-02-06,1.264,1.264,0.0190991372146083
SGA864,沣京公司精选2期,2020-02-11,1.303,1.303,0.0196884302141097
SGA864,沣京公司精选2期,2020-02-12,1.32,1.32,0.0199453015215846
SGA864,沣京公司精选2期,2020-02-13,1.324,1.324,0.0200057418292258
SGA864,沣京公司精选2期,2020-02-17,1.342,1.342,0.020277723213611
SGA864,沣京公司精选2期,2020-02-18,1.343,1.343,0.0202928332905213
SGA864,沣京公司精选2期,2020-02-21,1.374,1.374,0.0207612456747404
SGA864,沣京公司精选2期,2020-02-24,1.396,1.396,0.0210936673667668
SGA864,沣京公司精选2期,2020-02-25,1.405,1.405,0.0212296580589594
SGA864,沣京公司精选2期,2020-02-27,1.417,1.417,0.0214109789818829
SGA864,沣京公司精选2期,2020-03-02,1.384,1.384,0.0209123464438433
SGA864,沣京公司精选2期,2020-03-05,1.339,1.339,0.0202323929828802
SGA864,沣京公司精选2期,2020-03-06,1.377,1.377,0.0208065759054712
SGA864,沣京公司精选2期,2020-03-10,1.374,1.374,0.0207612456747404
SGA864,沣京公司精选2期,2020-03-12,1.352,1.352,0.020428823982714
SGA864,沣京公司精选2期,2020-03-16,1.33,1.33,0.0200964022906875
SGA864,沣京公司精选2期,2020-03-19,1.308,1.308,0.0197639805986611
