基金代码,基金名称,日期,单位净值,累计净值
SGK063,致远精选六号A,2021-08-27,1.0,1.0
SGK063,致远精选六号A,2021-09-03,1.0,1.0
SGK063,致远精选六号A,2021-09-06,1.0,1.0
SGK063,致远精选六号A,2021-09-07,1.0,1.0
SGK063,致远精选六号A,2021-09-08,1.0,1.0
SGK063,致远精选六号A,2021-09-09,1.0,1.0
SGK063,致远精选六号A,2021-09-10,1.0,1.0
SGK063,致远精选六号A,2021-09-13,1.0,1.0
SGK063,致远精选六号A,2021-09-14,1.0,1.0
SGK063,致远精选六号A,2021-09-15,1.0,1.0
SGK063,致远精选六号A,2021-09-16,1.0,1.0
SGK063,致远精选六号A,2021-09-17,1.0,1.0
SGK063,致远精选六号A,2021-09-22,1.0,1.0
SGK063,致远精选六号A,2021-09-23,1.0,1.0
SGK063,致远精选六号A,2021-09-24,1.0,1.0
SGK063,致远精选六号A,2021-09-30,1.0,1.0
SGK063,致远精选六号A,2021-10-08,0.999,0.999
SGK063,致远精选六号A,2021-10-15,1.0,1.0
SGK063,致远精选六号A,2021-10-22,0.994,0.994
SGK063,致远精选六号A,2021-10-29,0.976,0.976
SGK063,致远精选六号A,2021-11-05,0.971,0.971
SGK063,致远精选六号A,2021-11-12,1.007,1.007
SGK063,致远精选六号A,2021-11-19,1.026,1.026
SGK063,致远精选六号A,2021-11-26,1.041,1.041
SGK063,致远精选六号A,2021-12-03,1.062,1.062
SGK063,致远精选六号A,2021-12-10,1.065,1.065
SGK063,致远精选六号A,2021-12-17,1.076,1.076
SGK063,致远精选六号A,2021-12-24,1.072,1.072
SGK063,致远精选六号A,2021-12-31,1.109,1.109
SGK063,致远精选六号A,2022-01-07,1.097,1.097
SGK063,致远精选六号A,2022-01-14,1.096,1.096
SGK063,致远精选六号A,2022-01-21,1.074,1.074
SGK063,致远精选六号A,2022-01-28,1.024,1.024
SGK063,致远精选六号A,2022-02-11,1.035,1.035
SGK063,致远精选六号A,2022-02-18,1.064,1.064
SGK063,致远精选六号A,2022-02-25,1.071,1.071
SGK063,致远精选六号A,2022-03-04,1.062,1.062
SGK063,致远精选六号A,2022-03-11,1.032,1.032
SGK063,致远精选六号A,2022-03-18,1.014,1.014
SGK063,致远精选六号A,2022-03-25,1.014,1.014
SGK063,致远精选六号A,2022-04-01,1.018,1.018
SGK063,致远精选六号A,2022-04-08,0.993,0.993
SGK063,致远精选六号A,2022-04-11,0.962,0.962
SGK063,致远精选六号A,2022-04-15,0.96,0.96
SGK063,致远精选六号A,2022-04-22,0.918,0.918
SGK063,致远精选六号A,2022-04-29,0.894,0.894
SGK063,致远精选六号A,2022-05-06,0.9,0.9
SGK063,致远精选六号A,2022-05-10,0.929,0.929
SGK063,致远精选六号A,2022-05-13,0.944,0.944
SGK063,致远精选六号A,2022-05-20,0.97,0.97
