日期,单位净值,累计净值,累计单位净值,基金id
2021-08-27,1.0,1.0,1.0,致远精选六号A
2021-09-06,1.0,1.0,1.0,致远精选六号A
2021-09-07,1.0,1.0,1.0,致远精选六号A
2021-09-08,1.0,1.0,1.0,致远精选六号A
2021-09-09,1.0,1.0,1.0,致远精选六号A
2021-09-10,1.0,1.0,1.0,致远精选六号A
2021-09-13,1.0,1.0,1.0,致远精选六号A
2021-09-14,1.0,1.0,1.0,致远精选六号A
2021-09-15,1.0,1.0,1.0,致远精选六号A
2021-09-16,1.0,1.0,1.0,致远精选六号A
2021-09-17,1.0,1.0,1.0,致远精选六号A
2021-09-22,1.0,1.0,1.0,致远精选六号A
2021-09-23,1.0,1.0,1.0,致远精选六号A
2021-09-24,1.0,1.0,1.0,致远精选六号A
2021-09-30,1.0,1.0,1.0,致远精选六号A
2021-10-11,1.0,1.0,1.0,致远精选六号A
2021-10-14,0.999,0.999,0.999,致远精选六号A
2021-10-21,1.0,1.0,1.0,致远精选六号A
2021-10-28,0.994,0.994,0.994,致远精选六号A
2021-11-04,0.976,0.976,0.976,致远精选六号A
2021-11-11,0.971,0.971,0.971,致远精选六号A
2021-11-18,1.007,1.007,1.007,致远精选六号A
2021-11-25,1.026,1.026,1.026,致远精选六号A
2021-12-02,1.041,1.041,1.041,致远精选六号A
2021-12-09,1.062,1.062,1.062,致远精选六号A
2021-12-16,1.065,1.065,1.065,致远精选六号A
2021-12-23,1.076,1.076,1.076,致远精选六号A
2021-12-30,1.072,1.072,1.072,致远精选六号A
2022-01-07,1.109,1.109,1.109,致远精选六号A
2022-01-13,1.097,1.097,1.097,致远精选六号A
2022-01-20,1.096,1.096,1.096,致远精选六号A
2022-01-27,1.074,1.074,1.074,致远精选六号A
2022-02-10,1.024,1.024,1.024,致远精选六号A
2022-02-17,1.035,1.035,1.035,致远精选六号A
2022-02-24,1.064,1.064,1.064,致远精选六号A
2022-03-03,1.071,1.071,1.071,致远精选六号A
2022-03-10,1.062,1.062,1.062,致远精选六号A
2022-03-17,1.032,1.032,1.032,致远精选六号A
2022-03-24,1.014,1.014,1.014,致远精选六号A
2022-03-31,1.014,1.014,1.014,致远精选六号A
2022-04-11,1.018,1.018,1.018,致远精选六号A
2022-04-12,0.993,0.993,0.993,致远精选六号A
2022-04-15,0.962,0.962,0.962,致远精选六号A
2022-04-21,0.96,0.96,0.96,致远精选六号A
2022-04-28,0.918,0.918,0.918,致远精选六号A
2022-05-06,0.894,0.894,0.894,致远精选六号A
2022-05-10,0.9,0.9,0.9000000000000001,致远精选六号A
2022-05-16,0.929,0.929,0.929,致远精选六号A
2022-05-19,0.944,0.944,0.944,致远精选六号A
2022-05-26,0.97,0.97,0.97,致远精选六号A
