日期,单位净值,累计净值,累计单位净值,基金id
2019-08-15,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-16,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-19,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-20,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-21,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-22,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-23,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-26,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-27,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-28,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-29,1.0,1.0,1.0,旭鑫价值成长7期
2019-08-30,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-02,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-03,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-04,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-05,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-06,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-09,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-10,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-11,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-12,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-16,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-17,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-18,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-19,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-20,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-23,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-24,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-25,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-26,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-27,1.0,1.0,1.0,旭鑫价值成长7期
2019-09-30,1.0,1.0,1.0,旭鑫价值成长7期
2019-10-11,1.001,1.001,1.001,旭鑫价值成长7期
2019-10-18,1.003,1.003,1.003,旭鑫价值成长7期
2019-10-25,1.005,1.005,1.005,旭鑫价值成长7期
2019-11-01,1.008,1.008,1.008,旭鑫价值成长7期
2019-11-08,1.007,1.007,1.007,旭鑫价值成长7期
2019-11-15,0.999,0.999,0.999,旭鑫价值成长7期
2019-11-22,1.002,1.002,1.002,旭鑫价值成长7期
2019-11-29,1.0,1.0,1.0,旭鑫价值成长7期
2019-12-06,1.01,1.01,1.01,旭鑫价值成长7期
2019-12-13,1.021,1.021,1.0210000000000001,旭鑫价值成长7期
2019-12-20,1.053,1.053,1.0530000000000002,旭鑫价值成长7期
2019-12-27,1.054,1.054,1.0540000000000003,旭鑫价值成长7期
2020-01-03,1.073,1.073,1.0730000000000002,旭鑫价值成长7期
2020-01-10,1.074,1.074,1.0740000000000003,旭鑫价值成长7期
2020-01-17,1.066,1.066,1.0660000000000003,旭鑫价值成长7期
2020-01-23,1.071,1.071,1.0710000000000002,旭鑫价值成长7期
2020-02-07,1.121,1.121,1.1210000000000002,旭鑫价值成长7期
2020-02-14,1.16,1.16,1.1600000000000001,旭鑫价值成长7期
2020-02-21,1.241,1.241,1.2410000000000003,旭鑫价值成长7期
2020-02-28,1.241,1.241,1.2410000000000003,旭鑫价值成长7期
2020-03-06,1.231,1.231,1.2310000000000003,旭鑫价值成长7期
2020-03-09,1.218,1.218,1.2180000000000002,旭鑫价值成长7期
2020-03-10,1.227,1.227,1.2270000000000003,旭鑫价值成长7期
2020-03-12,1.224,1.224,1.2240000000000002,旭鑫价值成长7期
2020-03-13,1.222,1.222,1.2220000000000002,旭鑫价值成长7期
2020-03-16,1.216,1.216,1.2160000000000002,旭鑫价值成长7期
2020-03-17,1.216,1.216,1.2160000000000002,旭鑫价值成长7期
2020-03-18,1.216,1.216,1.2160000000000002,旭鑫价值成长7期
2020-03-19,1.216,1.216,1.2160000000000002,旭鑫价值成长7期
2020-03-20,1.215,1.215,1.2150000000000003,旭鑫价值成长7期
2020-03-23,1.213,1.213,1.2130000000000003,旭鑫价值成长7期
2020-03-25,1.216,1.216,1.2160000000000002,旭鑫价值成长7期
