基金代码,基金名称,日期,单位净值,累计净值,复权净值
SGN468,旭鑫价值成长7期,2019-08-18,15.0,15.0,1.0
SGN468,旭鑫价值成长7期,2019-08-19,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-08-21,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-08-22,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-08-23,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-08-26,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-08-27,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-08-28,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-08-29,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-08-30,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-09-02,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-09-03,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-09-06,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-09-12,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-09-20,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-09-26,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-10-08,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-10-11,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-10-17,1.001,1.001,0.0667333333333333
SGN468,旭鑫价值成长7期,2019-10-24,1.003,1.003,0.0668666666666666
SGN468,旭鑫价值成长7期,2019-10-31,1.005,1.005,0.0669999999999999
SGN468,旭鑫价值成长7期,2019-11-07,1.008,1.008,0.0671999999999999
SGN468,旭鑫价值成长7期,2019-11-14,1.007,1.007,0.0671333333333333
SGN468,旭鑫价值成长7期,2019-11-21,0.999,0.999,0.0665999999999999
SGN468,旭鑫价值成长7期,2019-11-28,1.002,1.002,0.0667999999999999
SGN468,旭鑫价值成长7期,2019-12-05,1.0,1.0,0.0666666666666666
SGN468,旭鑫价值成长7期,2019-12-12,1.01,1.01,0.0673333333333333
SGN468,旭鑫价值成长7期,2019-12-19,1.021,1.021,0.0680666666666666
SGN468,旭鑫价值成长7期,2019-12-26,1.053,1.053,0.0701999999999999
SGN468,旭鑫价值成长7期,2020-01-03,1.054,1.054,0.0702666666666666
SGN468,旭鑫价值成长7期,2020-01-09,1.073,1.073,0.0715333333333333
SGN468,旭鑫价值成长7期,2020-01-16,1.074,1.074,0.0715999999999999
SGN468,旭鑫价值成长7期,2020-01-23,1.066,1.066,0.0710666666666666
SGN468,旭鑫价值成长7期,2020-02-07,1.071,1.071,0.0713999999999999
SGN468,旭鑫价值成长7期,2020-02-13,1.121,1.121,0.0747333333333333
SGN468,旭鑫价值成长7期,2020-02-20,1.16,1.16,0.0773333333333333
SGN468,旭鑫价值成长7期,2020-02-27,1.241,1.241,0.0827333333333333
SGN468,旭鑫价值成长7期,2020-03-05,1.241,1.241,0.0827333333333333
SGN468,旭鑫价值成长7期,2020-03-10,1.231,1.231,0.0820666666666666
SGN468,旭鑫价值成长7期,2020-03-11,1.218,1.218,0.0811999999999999
SGN468,旭鑫价值成长7期,2020-03-12,1.227,1.227,0.0818
SGN468,旭鑫价值成长7期,2020-03-16,1.224,1.224,0.0815999999999999
SGN468,旭鑫价值成长7期,2020-03-17,1.222,1.222,0.0814666666666666
SGN468,旭鑫价值成长7期,2020-03-18,1.216,1.216,0.0810666666666666
SGN468,旭鑫价值成长7期,2020-03-19,1.216,1.216,0.0810666666666666
SGN468,旭鑫价值成长7期,2020-03-20,1.216,1.216,0.0810666666666666
SGN468,旭鑫价值成长7期,2020-03-23,1.216,1.216,0.0810666666666666
SGN468,旭鑫价值成长7期,2020-03-24,1.215,1.215,0.081
SGN468,旭鑫价值成长7期,2020-03-26,1.213,1.213,0.0808666666666666
SGN468,旭鑫价值成长7期,2020-03-27,1.216,1.216,0.0810666666666666
SGN468,旭鑫价值成长7期,2020-03-30,1.218,1.218,0.0812
SGN468,旭鑫价值成长7期,2020-03-31,1.218,1.218,0.0812
SGN468,旭鑫价值成长7期,2020-04-07,1.215,1.215,0.081
SGN468,旭鑫价值成长7期,2020-04-10,1.215,1.215,0.081
SGN468,旭鑫价值成长7期,2020-04-21,1.215,1.215,0.081
SGN468,旭鑫价值成长7期,2020-04-24,1.214,1.214,0.0809333333333333
SGN468,旭鑫价值成长7期,2020-04-30,1.208,1.208,0.0805333333333333
SGN468,旭鑫价值成长7期,2020-05-11,1.21,1.21,0.0806666666666666
SGN468,旭鑫价值成长7期,2020-05-14,1.227,1.227,0.0818
SGN468,旭鑫价值成长7期,2020-05-21,1.223,1.223,0.0815333333333333
SGN468,旭鑫价值成长7期,2020-05-28,1.217,1.217,0.0811333333333333
SGN468,旭鑫价值成长7期,2020-06-04,1.218,1.218,0.0812
SGN468,旭鑫价值成长7期,2020-06-11,1.245,1.245,0.083
SGN468,旭鑫价值成长7期,2020-06-18,1.24,1.24,0.0826666666666666
SGN468,旭鑫价值成长7期,2020-06-29,1.25,1.25,0.0833333333333333
SGN468,旭鑫价值成长7期,2020-06-30,1.248,1.248,0.0832
SGN468,旭鑫价值成长7期,2020-07-06,1.25,1.25,0.0833333333333333
SGN468,旭鑫价值成长7期,2020-07-09,1.279,1.279,0.0852666666666666
SGN468,旭鑫价值成长7期,2020-07-16,1.357,1.357,0.0904666666666666
SGN468,旭鑫价值成长7期,2020-07-17,1.35,1.35,0.09
SGN468,旭鑫价值成长7期,2020-07-20,1.342,1.342,0.0894666666666666
SGN468,旭鑫价值成长7期,2020-07-23,1.34,1.34,0.0893333333333333
SGN468,旭鑫价值成长7期,2020-07-28,1.32,1.32,0.088
SGN468,旭鑫价值成长7期,2020-07-29,1.32,1.32,0.088
SGN468,旭鑫价值成长7期,2020-07-30,1.32,1.32,0.088
SGN468,旭鑫价值成长7期,2020-07-31,1.326,1.326,0.0884
SGN468,旭鑫价值成长7期,2020-08-03,1.321,1.321,0.0880666666666666
SGN468,旭鑫价值成长7期,2020-08-04,1.325,1.325,0.0883333333333333
SGN468,旭鑫价值成长7期,2020-08-06,1.327,1.327,0.0884666666666666
SGN468,旭鑫价值成长7期,2020-08-07,1.315,1.315,0.0876666666666666
SGN468,旭鑫价值成长7期,2020-08-13,1.312,1.312,0.0874666666666666
SGN468,旭鑫价值成长7期,2020-08-20,1.317,1.317,0.0878
SGN468,旭鑫价值成长7期,2020-08-27,1.314,1.314,0.0876
SGN468,旭鑫价值成长7期,2020-09-01,1.332,1.332,0.0888
SGN468,旭鑫价值成长7期,2020-09-04,1.327,1.327,0.0884666666666667
SGN468,旭鑫价值成长7期,2020-09-10,1.313,1.313,0.0875333333333333
SGN468,旭鑫价值成长7期,2020-09-17,1.304,1.304,0.0869333333333333
SGN468,旭鑫价值成长7期,2020-09-24,1.331,1.331,0.0887333333333333
SGN468,旭鑫价值成长7期,2020-10-09,1.308,1.308,0.0872
SGN468,旭鑫价值成长7期,2020-10-12,1.312,1.312,0.0874666666666667
SGN468,旭鑫价值成长7期,2020-10-15,1.316,1.316,0.0877333333333333
SGN468,旭鑫价值成长7期,2020-10-22,1.322,1.322,0.0881333333333333
SGN468,旭鑫价值成长7期,2020-10-29,1.336,1.336,0.0890666666666667
SGN468,旭鑫价值成长7期,2020-11-03,1.343,1.343,0.0895333333333333
SGN468,旭鑫价值成长7期,2020-11-09,1.358,1.358,0.0905333333333333
SGN468,旭鑫价值成长7期,2020-11-12,1.402,1.402,0.0934666666666666
SGN468,旭鑫价值成长7期,2020-11-19,1.369,1.369,0.0912666666666666
SGN468,旭鑫价值成长7期,2020-11-26,1.377,1.377,0.0918
SGN468,旭鑫价值成长7期,2020-12-01,1.372,1.372,0.0914666666666667
SGN468,旭鑫价值成长7期,2020-12-04,1.363,1.363,0.0908666666666666
SGN468,旭鑫价值成长7期,2020-12-10,1.382,1.382,0.0921333333333333
SGN468,旭鑫价值成长7期,2020-12-17,1.354,1.354,0.0902666666666666
SGN468,旭鑫价值成长7期,2020-12-23,1.364,1.364,0.0909333333333333
SGN468,旭鑫价值成长7期,2020-12-31,1.377,1.377,0.0918
SGN468,旭鑫价值成长7期,2021-01-06,1.372,1.372,0.0914666666666667
SGN468,旭鑫价值成长7期,2021-01-14,1.405,1.405,0.0936666666666666
SGN468,旭鑫价值成长7期,2021-01-21,1.389,1.389,0.0926
SGN468,旭鑫价值成长7期,2021-01-28,1.372,1.372,0.0914666666666667
SGN468,旭鑫价值成长7期,2021-02-04,1.348,1.348,0.0898666666666666
SGN468,旭鑫价值成长7期,2021-02-18,1.348,1.348,0.0898666666666666
SGN468,旭鑫价值成长7期,2021-02-19,1.375,1.375,0.0916666666666666
SGN468,旭鑫价值成长7期,2021-02-25,1.353,1.353,0.0902
SGN468,旭鑫价值成长7期,2021-03-04,1.332,1.332,0.0888
SGN468,旭鑫价值成长7期,2021-03-11,1.321,1.321,0.0880666666666666
SGN468,旭鑫价值成长7期,2021-03-18,1.314,1.314,0.0876
SGN468,旭鑫价值成长7期,2021-03-25,1.314,1.314,0.0876
SGN468,旭鑫价值成长7期,2021-04-01,1.314,1.314,0.0876
SGN468,旭鑫价值成长7期,2021-04-02,1.315,1.315,0.0876666666666666
SGN468,旭鑫价值成长7期,2021-04-09,1.315,1.315,0.0876666666666666
SGN468,旭鑫价值成长7期,2021-04-15,1.315,1.315,0.0876666666666666
SGN468,旭鑫价值成长7期,2021-04-22,1.314,1.314,0.0876
SGN468,旭鑫价值成长7期,2021-04-29,1.318,1.318,0.0878666666666666
SGN468,旭鑫价值成长7期,2021-05-07,1.327,1.327,0.0884666666666666
SGN468,旭鑫价值成长7期,2021-05-13,1.327,1.327,0.0884666666666666
SGN468,旭鑫价值成长7期,2021-05-20,1.333,1.333,0.0888666666666666
SGN468,旭鑫价值成长7期,2021-05-27,1.34,1.34,0.0893333333333333
SGN468,旭鑫价值成长7期,2021-06-01,1.365,1.365,0.091
SGN468,旭鑫价值成长7期,2021-06-04,1.373,1.373,0.0915333333333333
SGN468,旭鑫价值成长7期,2021-06-10,1.346,1.346,0.0897333333333333
SGN468,旭鑫价值成长7期,2021-06-18,1.331,1.331,0.0887333333333333
SGN468,旭鑫价值成长7期,2021-06-24,1.334,1.334,0.0889333333333333
SGN468,旭鑫价值成长7期,2021-07-01,1.345,1.345,0.0896666666666667
SGN468,旭鑫价值成长7期,2021-07-02,1.343,1.343,0.0895333333333333
SGN468,旭鑫价值成长7期,2021-07-08,1.337,1.337,0.0891333333333333
SGN468,旭鑫价值成长7期,2021-07-15,1.353,1.353,0.0902
SGN468,旭鑫价值成长7期,2021-07-22,1.34,1.34,0.0893333333333334
SGN468,旭鑫价值成长7期,2021-07-29,1.388,1.388,0.0925333333333334
SGN468,旭鑫价值成长7期,2021-08-05,1.424,1.424,0.0949333333333334
SGN468,旭鑫价值成长7期,2021-08-12,1.442,1.442,0.0961333333333333
SGN468,旭鑫价值成长7期,2021-08-19,1.433,1.433,0.0955333333333334
SGN468,旭鑫价值成长7期,2021-08-26,1.415,1.415,0.0943333333333334
SGN468,旭鑫价值成长7期,2021-08-31,1.424,1.424,0.0949333333333334
SGN468,旭鑫价值成长7期,2021-09-06,1.428,1.428,0.0952
SGN468,旭鑫价值成长7期,2021-09-09,1.417,1.417,0.0944666666666667
