日期,单位净值,累计净值,累计单位净值,基金id
,25.834,25.834,1.0,黑翼CTA-S6私募
2019-08-01,1.0,1.0,0.03870867848571646,黑翼CTA-S6私募
2019-08-05,1.0,1.0,0.03870867848571646,黑翼CTA-S6私募
2019-08-06,1.0,1.0,0.03870867848571646,黑翼CTA-S6私募
2019-08-07,1.0,1.0,0.03870867848571646,黑翼CTA-S6私募
2019-08-08,1.0,1.0,0.03870867848571646,黑翼CTA-S6私募
2019-08-09,1.0,1.0,0.03870867848571646,黑翼CTA-S6私募
2019-08-12,1.0,1.0,0.03870867848571646,黑翼CTA-S6私募
2019-08-15,1.0,1.0,0.03870867848571646,黑翼CTA-S6私募
2019-08-22,1.0,1.0,0.03870867848571646,黑翼CTA-S6私募
2019-08-29,1.0,1.0,0.03870867848571646,黑翼CTA-S6私募
2019-09-05,0.996,0.996,0.0385538437717736,黑翼CTA-S6私募
2019-09-12,1.002,1.002,0.038786095842687905,黑翼CTA-S6私募
2019-09-20,0.997,0.997,0.038592552450259325,黑翼CTA-S6私募
2019-09-26,0.964,0.964,0.03731516606023068,黑翼CTA-S6私募
2019-10-08,0.959,0.959,0.0371216226678021,黑翼CTA-S6私募
2019-10-11,0.957,0.957,0.037044205310830663,黑翼CTA-S6私募
2019-10-17,0.934,0.934,0.036153905705659184,黑翼CTA-S6私募
2019-10-24,0.975,0.975,0.037740961523573556,黑翼CTA-S6私募
2019-10-31,0.974,0.974,0.03770225284508784,黑翼CTA-S6私募
2019-11-07,0.953,0.953,0.03688937059688779,黑翼CTA-S6私募
2019-11-14,0.961,0.961,0.03719904002477351,黑翼CTA-S6私募
2019-11-21,0.994,0.994,0.03847642641480216,黑翼CTA-S6私募
2019-11-28,1.023,1.023,0.03959897809088793,黑翼CTA-S6私募
2019-12-05,1.026,1.026,0.03971510412634509,黑翼CTA-S6私募
2019-12-12,1.01,1.01,0.039095765270573624,黑翼CTA-S6私募
2019-12-19,1.044,1.044,0.04041186033908799,黑翼CTA-S6私募
2019-12-26,1.055,1.055,0.040837655802430865,黑翼CTA-S6私募
