日期,单位净值,累计净值,累计单位净值,基金id
2020-03-16,0.9508,0.9508,1.0,明汯乐享300指数增强1号A
2020-03-18,1.0,1.0,1.051745898190997,明汯乐享300指数增强1号A
2020-03-20,0.9378,0.9378,0.986327303323517,明汯乐享300指数增强1号A
2020-03-27,0.957,0.957,1.006520824568784,明汯乐享300指数增强1号A
2020-04-03,0.9587,0.9587,1.0083087925957086,明汯乐享300指数增强1号A
2020-04-10,0.978,0.978,1.0286074884307947,明汯乐享300指数增强1号A
2020-04-14,0.9978,0.9978,1.0494320572149767,明汯乐享300指数增强1号A
2020-04-17,1.0058,1.0058,1.0578460244005048,明汯乐享300指数增强1号A
2020-04-24,1.0004,1.0004,1.0521665965502733,明汯乐享300指数增强1号A
2020-04-30,1.0388,1.0388,1.0925536390408075,明汯乐享300指数增强1号A
2020-05-07,1.05,1.05,1.104333193100547,明汯乐享300指数增强1号A
2020-05-08,1.0603,1.0603,1.115166175851914,明汯乐享300指数增强1号A
2020-05-11,1.0557,1.0557,1.1103281447202356,明汯乐享300指数增强1号A
2020-05-15,1.0507,1.0507,1.1050694152292806,明汯乐享300指数增强1号A
2020-05-22,1.0235,1.0235,1.0764619267984856,明汯乐享300指数增强1号A
2020-05-29,1.0456,1.0456,1.0997055111485068,明汯乐享300指数增强1号A
2020-06-05,1.0912,1.0912,1.147665124106016,明汯乐享300指数增强1号A
2020-06-10,1.0986,1.0986,1.1554480437526295,明汯乐享300指数增强1号A
2020-06-12,1.0888,1.0888,1.1451409339503578,明汯乐享300指数增强1号A
2020-06-19,1.1114,1.1114,1.1689103912494743,明汯乐享300指数增强1号A
2020-06-24,1.1246,1.1246,1.1827934371055957,明汯乐享300指数增强1号A
2020-06-30,1.1466,1.1466,1.2059318468657978,明汯乐享300指数增强1号A
2020-07-03,1.1983,1.1983,1.2603071098022722,明汯乐享300指数增强1号A
2020-07-10,1.3192,1.3192,1.3874631888935638,明汯乐享300指数增强1号A
2020-07-17,1.2595,1.2595,1.3246739587715612,明汯乐享300指数增强1号A
2020-07-24,1.2467,1.2467,1.3112116112747163,明汯乐享300指数增强1号A
2020-07-31,1.297,1.297,1.3641144299537236,明汯乐享300指数增强1号A
2020-08-03,1.3131,1.3131,1.3810475389145989,明汯乐享300指数增强1号A
2020-08-07,1.3031,1.3031,1.370530079932689,明汯乐享300指数增强1号A
2020-08-10,1.3073,1.3073,1.3749474127050911,明汯乐享300指数增强1号A
2020-08-14,1.3018,1.3018,1.3691628102650408,明汯乐享300指数增强1号A
2020-08-21,1.2999,1.2999,1.3671644930584779,明汯乐享300指数增强1号A
2020-08-24,1.3116,1.3116,1.3794699200673126,明汯乐享300指数增强1号A
2020-08-28,1.3493,1.3493,1.419120740429113,明汯乐享300指数增强1号A
2020-09-04,1.3308,1.3308,1.3996634413125797,明汯乐享300指数增强1号A
2020-09-10,1.2747,1.2747,1.3406604964240647,明汯乐享300指数增强1号A
2020-09-11,1.2897,1.2897,1.3564366848969298,明汯乐享300指数增强1号A
2020-09-18,1.3216,1.3216,1.3899873790492228,明汯乐享300指数增强1号A
2020-09-25,1.2861,1.2861,1.3526503996634422,明汯乐享300指数增强1号A
2020-09-30,1.2964,1.2964,1.3634833824148096,明汯乐享300指数增强1号A
2020-10-09,1.3154,1.3154,1.3834665544804383,明汯乐享300指数增强1号A
2020-10-12,1.3532,1.3532,1.4232225494320583,明汯乐享300指数增强1号A
2020-10-16,1.3488,1.3488,1.418594867480018,明汯乐享300指数增强1号A
2020-10-23,1.3208,1.3208,1.38914598233067,明汯乐享300指数增强1号A
2020-10-30,1.3382,1.3382,1.4074463609591934,明汯乐享300指数增强1号A
2020-11-06,1.3796,1.3796,1.4509886411443005,明汯乐享300指数增强1号A
2020-11-10,1.3993,1.3993,1.4717080353386633,明汯乐享300指数增强1号A
2020-11-13,1.3764,1.3764,1.4476230542700896,明汯乐享300指数增强1号A
2020-11-20,1.4089,1.4089,1.481804795961297,明汯乐享300指数增强1号A
2020-11-27,1.4138,1.4138,1.4869583508624329,明汯乐享300指数增强1号A
2020-12-04,1.4427,1.4427,1.5173538073201531,明汯乐享300指数增强1号A
2020-12-10,1.4181,1.4181,1.4914808582246544,明汯乐享300指数增强1号A
2020-12-11,1.4048,1.4048,1.4774926377787143,明汯乐享300指数增强1号A
2020-12-18,1.4439,1.4439,1.5186159023979822,明汯乐享300指数增强1号A
