基金代码,基金名称,日期,单位净值,累计净值
SJQ355,重阳福享1期,2020-05-08,1.0,1.0
SJQ355,重阳福享1期,2020-05-11,1.0,1.0
SJQ355,重阳福享1期,2020-05-12,1.0,1.0
SJQ355,重阳福享1期,2020-05-13,1.0,1.0
SJQ355,重阳福享1期,2020-05-14,1.0,1.0
SJQ355,重阳福享1期,2020-05-15,1.0,1.0
SJQ355,重阳福享1期,2020-05-18,1.0,1.0
SJQ355,重阳福享1期,2020-05-19,1.0,1.0
SJQ355,重阳福享1期,2020-05-20,1.0,1.0
SJQ355,重阳福享1期,2020-05-21,1.0,1.0
SJQ355,重阳福享1期,2020-05-22,1.0,1.0
SJQ355,重阳福享1期,2020-05-25,1.0,1.0
SJQ355,重阳福享1期,2020-05-26,1.0,1.0
SJQ355,重阳福享1期,2020-05-27,1.0,1.0
SJQ355,重阳福享1期,2020-05-28,1.0,1.0
SJQ355,重阳福享1期,2020-05-29,1.0,1.0
SJQ355,重阳福享1期,2020-06-01,1.0,1.0
SJQ355,重阳福享1期,2020-06-02,1.0,1.0
SJQ355,重阳福享1期,2020-06-05,1.0,1.0
SJQ355,重阳福享1期,2020-06-12,1.0,1.0
SJQ355,重阳福享1期,2020-06-19,1.001,1.001
SJQ355,重阳福享1期,2020-06-24,1.004,1.004
SJQ355,重阳福享1期,2020-06-30,1.003,1.003
SJQ355,重阳福享1期,2020-07-03,1.045,1.045
SJQ355,重阳福享1期,2020-07-10,1.097,1.097
SJQ355,重阳福享1期,2020-07-17,1.064,1.064
SJQ355,重阳福享1期,2020-07-24,1.065,1.065
SJQ355,重阳福享1期,2020-07-31,1.09,1.09
SJQ355,重阳福享1期,2020-08-07,1.111,1.111
SJQ355,重阳福享1期,2020-08-14,1.113,1.113
SJQ355,重阳福享1期,2020-08-21,1.118,1.118
SJQ355,重阳福享1期,2020-08-28,1.11,1.11
SJQ355,重阳福享1期,2020-08-31,1.098,1.098
SJQ355,重阳福享1期,2020-09-04,1.091,1.091
SJQ355,重阳福享1期,2020-09-11,1.07,1.07
SJQ355,重阳福享1期,2020-09-18,1.092,1.092
SJQ355,重阳福享1期,2020-09-25,1.064,1.064
SJQ355,重阳福享1期,2020-09-30,1.072,1.072
SJQ355,重阳福享1期,2020-10-09,1.086,1.086
SJQ355,重阳福享1期,2020-10-16,1.098,1.098
SJQ355,重阳福享1期,2020-10-23,1.103,1.103
SJQ355,重阳福享1期,2020-10-30,1.095,1.095
SJQ355,重阳福享1期,2020-11-06,1.131,1.131
SJQ355,重阳福享1期,2020-11-13,1.129,1.129
SJQ355,重阳福享1期,2020-11-20,1.142,1.142
SJQ355,重阳福享1期,2020-11-27,1.142,1.142
SJQ355,重阳福享1期,2020-11-30,1.129,1.129
SJQ355,重阳福享1期,2020-12-04,1.136,1.136
SJQ355,重阳福享1期,2020-12-11,1.111,1.111
SJQ355,重阳福享1期,2020-12-18,1.129,1.129
SJQ355,重阳福享1期,2020-12-25,1.128,1.128
SJQ355,重阳福享1期,2020-12-31,1.16,1.16
SJQ355,重阳福享1期,2021-01-08,1.163,1.163
SJQ355,重阳福享1期,2021-01-15,1.207,1.207
SJQ355,重阳福享1期,2021-01-22,1.234,1.234
SJQ355,重阳福享1期,2021-01-29,1.219,1.219
SJQ355,重阳福享1期,2021-02-05,1.287,1.287
