日期,单位净值,累计净值,累计单位净值,基金id
2020-05-08,1.0,1.0,1.0,重阳福享1期
2020-05-12,1.0,1.0,1.0,重阳福享1期
2020-05-13,1.0,1.0,1.0,重阳福享1期
2020-05-14,1.0,1.0,1.0,重阳福享1期
2020-05-15,1.0,1.0,1.0,重阳福享1期
2020-05-18,1.0,1.0,1.0,重阳福享1期
2020-05-19,1.0,1.0,1.0,重阳福享1期
2020-05-20,1.0,1.0,1.0,重阳福享1期
2020-05-21,1.0,1.0,1.0,重阳福享1期
2020-05-22,1.0,1.0,1.0,重阳福享1期
2020-05-25,1.0,1.0,1.0,重阳福享1期
2020-05-26,1.0,1.0,1.0,重阳福享1期
2020-05-27,1.0,1.0,1.0,重阳福享1期
2020-05-28,1.0,1.0,1.0,重阳福享1期
2020-05-29,1.0,1.0,1.0,重阳福享1期
2020-06-01,1.0,1.0,1.0,重阳福享1期
2020-06-02,1.0,1.0,1.0,重阳福享1期
2020-06-05,1.0,1.0,1.0,重阳福享1期
2020-06-11,1.0,1.0,1.0,重阳福享1期
2020-06-18,1.0,1.0,1.0,重阳福享1期
2020-06-29,1.001,1.001,1.001,重阳福享1期
2020-06-30,1.004,1.004,1.004,重阳福享1期
2020-07-06,1.003,1.003,1.003,重阳福享1期
2020-07-09,1.045,1.045,1.045,重阳福享1期
2020-07-16,1.097,1.097,1.097,重阳福享1期
2020-07-23,1.064,1.064,1.064,重阳福享1期
2020-07-30,1.065,1.065,1.065,重阳福享1期
2020-08-06,1.09,1.09,1.09,重阳福享1期
2020-08-13,1.111,1.111,1.111,重阳福享1期
2020-08-20,1.113,1.113,1.113,重阳福享1期
2020-08-27,1.118,1.118,1.118,重阳福享1期
2020-09-01,1.11,1.11,1.11,重阳福享1期
2020-09-04,1.098,1.098,1.098,重阳福享1期
2020-09-10,1.091,1.091,1.091,重阳福享1期
2020-09-17,1.07,1.07,1.07,重阳福享1期
2020-09-24,1.092,1.092,1.092,重阳福享1期
2020-10-09,1.064,1.064,1.064,重阳福享1期
2020-10-12,1.072,1.072,1.072,重阳福享1期
2020-10-15,1.086,1.086,1.086,重阳福享1期
2020-10-22,1.098,1.098,1.098,重阳福享1期
2020-10-29,1.103,1.103,1.103,重阳福享1期
2020-11-05,1.095,1.095,1.095,重阳福享1期
2020-11-12,1.131,1.131,1.131,重阳福享1期
2020-11-19,1.129,1.129,1.129,重阳福享1期
2020-11-26,1.142,1.142,1.142,重阳福享1期
2020-12-01,1.142,1.142,1.142,重阳福享1期
2020-12-04,1.129,1.129,1.129,重阳福享1期
2020-12-10,1.136,1.136,1.1359999999999997,重阳福享1期
2020-12-17,1.111,1.111,1.1109999999999998,重阳福享1期
2020-12-28,1.129,1.129,1.1289999999999998,重阳福享1期
2020-12-29,1.128,1.128,1.1279999999999997,重阳福享1期
2021-01-11,1.16,1.16,1.1599999999999997,重阳福享1期
2021-01-14,1.163,1.163,1.1629999999999998,重阳福享1期
2021-01-21,1.207,1.207,1.2069999999999999,重阳福享1期
2021-01-28,1.234,1.234,1.2339999999999998,重阳福享1期
2021-02-04,1.219,1.219,1.2189999999999999,重阳福享1期
2021-02-18,1.287,1.287,1.2869999999999997,重阳福享1期
2021-02-19,1.323,1.323,1.3229999999999995,重阳福享1期
2021-02-25,1.392,1.392,1.3919999999999995,重阳福享1期
2021-03-04,1.334,1.334,1.3339999999999996,重阳福享1期
2021-03-11,1.335,1.335,1.3349999999999995,重阳福享1期
2021-03-18,1.31,1.31,1.3099999999999996,重阳福享1期
2021-03-25,1.278,1.278,1.2779999999999996,重阳福享1期
2021-04-01,1.279,1.279,1.2789999999999995,重阳福享1期
2021-04-02,1.275,1.275,1.2749999999999995,重阳福享1期
2021-04-09,1.307,1.307,1.3069999999999995,重阳福享1期
2021-04-15,1.287,1.287,1.2869999999999995,重阳福享1期
2021-04-22,1.272,1.272,1.2719999999999996,重阳福享1期
2021-04-29,1.277,1.277,1.2769999999999995,重阳福享1期
2021-05-07,1.265,1.265,1.2649999999999995,重阳福享1期
2021-05-13,1.268,1.268,1.2679999999999993,重阳福享1期
2021-05-20,1.256,1.256,1.2559999999999993,重阳福享1期
2021-05-27,1.271,1.271,1.2709999999999992,重阳福享1期
2021-06-01,1.28,1.28,1.2799999999999991,重阳福享1期
2021-06-04,1.279,1.279,1.278999999999999,重阳福享1期
2021-06-10,1.279,1.279,1.278999999999999,重阳福享1期
2021-06-18,1.286,1.286,1.2859999999999991,重阳福享1期
2021-06-24,1.263,1.263,1.262999999999999,重阳福享1期
2021-07-01,1.292,1.292,1.2919999999999991,重阳福享1期
2021-07-06,1.287,1.287,1.286999999999999,重阳福享1期
2021-07-09,1.267,1.267,1.266999999999999,重阳福享1期
2021-07-15,1.246,1.246,1.245999999999999,重阳福享1期
2021-07-22,1.257,1.257,1.256999999999999,重阳福享1期
2021-07-29,1.222,1.222,1.221999999999999,重阳福享1期
2021-08-05,1.198,1.198,1.197999999999999,重阳福享1期
2021-08-12,1.206,1.206,1.205999999999999,重阳福享1期
2021-08-19,1.219,1.219,1.2189999999999992,重阳福享1期
2021-08-26,1.179,1.179,1.1789999999999992,重阳福享1期
2021-08-31,1.198,1.198,1.197999999999999,重阳福享1期
2021-09-06,1.21,1.21,1.209999999999999,重阳福享1期
2021-09-09,1.234,1.234,1.233999999999999,重阳福享1期
2021-09-16,1.237,1.237,1.2369999999999992,重阳福享1期
2021-09-27,1.195,1.195,1.1949999999999992,重阳福享1期
2021-09-30,1.177,1.177,1.1769999999999992,重阳福享1期
2021-10-11,1.184,1.184,1.183999999999999,重阳福享1期
2021-10-14,1.199,1.199,1.1989999999999992,重阳福享1期
2021-10-21,1.197,1.197,1.1969999999999992,重阳福享1期
2021-10-28,1.208,1.208,1.207999999999999,重阳福享1期
2021-11-04,1.188,1.188,1.187999999999999,重阳福享1期
2021-11-11,1.188,1.188,1.187999999999999,重阳福享1期
2021-11-18,1.217,1.217,1.216999999999999,重阳福享1期
2021-11-25,1.23,1.23,1.229999999999999,重阳福享1期
2021-11-30,1.206,1.206,1.205999999999999,重阳福享1期
2021-12-06,1.204,1.204,1.203999999999999,重阳福享1期
2021-12-09,1.211,1.211,1.2109999999999992,重阳福享1期
2021-12-16,1.213,1.213,1.2129999999999992,重阳福享1期
2021-12-23,1.189,1.189,1.1889999999999992,重阳福享1期
2021-12-30,1.213,1.213,1.2129999999999992,重阳福享1期
2022-01-07,1.222,1.222,1.2219999999999993,重阳福享1期
2022-01-13,1.196,1.196,1.1959999999999993,重阳福享1期
2022-01-20,1.212,1.212,1.2119999999999993,重阳福享1期
2022-01-27,1.217,1.217,1.2169999999999994,重阳福享1期
2022-02-10,1.165,1.165,1.1649999999999994,重阳福享1期
2022-02-17,1.196,1.196,1.1959999999999993,重阳福享1期
2022-02-24,1.191,1.191,1.1909999999999994,重阳福享1期
2022-03-01,1.168,1.168,1.1679999999999993,重阳福享1期
2022-03-04,1.164,1.164,1.1639999999999993,重阳福享1期
2022-03-10,1.139,1.139,1.1389999999999993,重阳福享1期
2022-03-17,1.078,1.078,1.0779999999999994,重阳福享1期
2022-03-24,1.078,1.078,1.0779999999999994,重阳福享1期
2022-03-31,1.067,1.067,1.0669999999999993,重阳福享1期
2022-04-06,1.072,1.072,1.0719999999999994,重阳福享1期
2022-04-11,1.076,1.076,1.0759999999999994,重阳福享1期
2022-04-14,1.062,1.062,1.0619999999999994,重阳福享1期
2022-04-21,1.059,1.059,1.0589999999999993,重阳福享1期
2022-04-28,1.04,1.04,1.0399999999999994,重阳福享1期
2022-05-06,1.051,1.051,1.0509999999999993,重阳福享1期
2022-05-12,1.022,1.022,1.0219999999999994,重阳福享1期
2022-05-19,1.038,1.038,1.0379999999999994,重阳福享1期
2022-05-26,1.062,1.062,1.0619999999999994,重阳福享1期
2022-05-31,1.046,1.046,1.0459999999999994,重阳福享1期
2022-06-02,1.081,1.081,1.0809999999999993,重阳福享1期
2022-06-09,1.089,1.089,1.0889999999999993,重阳福享1期
2022-06-16,1.107,1.107,1.1069999999999993,重阳福享1期
2022-06-23,1.095,1.095,1.0949999999999993,重阳福享1期
2022-06-30,1.13,1.13,1.129999999999999,重阳福享1期
2022-07-04,1.164,1.164,1.163999999999999,重阳福享1期
2022-07-07,1.168,1.168,1.167999999999999,重阳福享1期
2022-07-14,1.144,1.144,1.143999999999999,重阳福享1期
2022-07-21,1.11,1.11,1.1099999999999992,重阳福享1期
2022-07-28,1.125,1.125,1.1249999999999991,重阳福享1期
2022-08-04,1.114,1.114,1.1139999999999992,重阳福享1期
2022-08-11,1.122,1.122,1.1219999999999992,重阳福享1期
2022-08-18,1.126,1.126,1.125999999999999,重阳福享1期
2022-08-25,1.123,1.123,1.122999999999999,重阳福享1期
2022-09-01,1.137,1.137,1.1369999999999991,重阳福享1期
2022-09-02,1.132,1.132,1.131999999999999,重阳福享1期
2022-09-08,1.119,1.119,1.118999999999999,重阳福享1期
2022-09-16,1.094,1.094,1.0939999999999992,重阳福享1期
2022-09-22,1.074,1.074,1.0739999999999992,重阳福享1期
2022-09-29,1.047,1.047,1.046999999999999,重阳福享1期
2022-10-13,1.024,1.024,1.0239999999999991,重阳福享1期
2022-10-20,1.026,1.026,1.0259999999999991,重阳福享1期
2022-10-27,1.04,1.04,1.0399999999999991,重阳福享1期
2022-11-01,0.982,0.982,0.9819999999999992,重阳福享1期
2022-11-04,0.983,0.983,0.9829999999999992,重阳福享1期
2022-11-10,1.083,1.083,1.082999999999999,重阳福享1期
2022-11-17,1.106,1.106,1.105999999999999,重阳福享1期
2022-11-24,1.132,1.132,1.1319999999999988,重阳福享1期
2022-12-01,1.093,1.093,1.0929999999999989,重阳福享1期
2022-12-02,1.144,1.144,1.1439999999999988,重阳福享1期
2022-12-08,1.151,1.151,1.150999999999999,重阳福享1期
2022-12-15,1.194,1.194,1.1939999999999988,重阳福享1期
2022-12-22,1.177,1.177,1.176999999999999,重阳福享1期
2022-12-29,1.156,1.156,1.1559999999999988,重阳福享1期
2023-01-06,1.184,1.184,1.1839999999999986,重阳福享1期
2023-01-10,1.219,1.219,1.2189999999999988,重阳福享1期
2023-01-18,1.225,1.225,1.2249999999999988,重阳福享1期
2023-01-31,1.267,1.267,1.2669999999999983,重阳福享1期
2023-02-06,1.248,1.248,1.2479999999999984,重阳福享1期
2023-02-09,1.269,1.269,1.2689999999999981,重阳福享1期
2023-02-16,1.255,1.255,1.2549999999999981,重阳福享1期
2023-02-23,1.229,1.229,1.2289999999999983,重阳福享1期
2023-02-28,1.223,1.223,1.2229999999999983,重阳福享1期
2023-03-06,1.219,1.219,1.2189999999999983,重阳福享1期
2023-03-09,1.238,1.238,1.2379999999999982,重阳福享1期
2023-03-16,1.179,1.179,1.1789999999999983,重阳福享1期
2023-03-23,1.182,1.182,1.1819999999999982,重阳福享1期
2023-03-30,1.198,1.198,1.1979999999999982,重阳福享1期
2023-04-07,1.198,1.198,1.1979999999999982,重阳福享1期
2023-04-13,1.214,1.214,1.2139999999999982,重阳福享1期
2023-04-20,1.207,1.207,1.2069999999999983,重阳福享1期
2023-04-27,1.175,1.175,1.1749999999999983,重阳福享1期
2023-05-05,1.171,1.171,1.1709999999999983,重阳福享1期
2023-05-16,1.173,1.173,1.1729999999999983,重阳福享1期
2023-05-25,1.154,1.154,1.1539999999999981,重阳福享1期
2023-06-01,1.14,1.14,1.1399999999999981,重阳福享1期
2023-06-02,1.13,1.13,1.1299999999999981,重阳福享1期
2023-06-08,1.158,1.158,1.1579999999999981,重阳福享1期
2023-06-15,1.143,1.143,1.1429999999999982,重阳福享1期
2023-06-26,1.182,1.182,1.1819999999999982,重阳福享1期
2023-06-29,1.167,1.167,1.1669999999999983,重阳福享1期
2023-07-06,1.16,1.16,1.1599999999999981,重阳福享1期
2023-07-13,1.158,1.158,1.1579999999999981,重阳福享1期
2023-07-20,1.191,1.191,1.1909999999999983,重阳福享1期
2023-07-27,1.164,1.164,1.1639999999999981,重阳福享1期
2023-08-01,1.212,1.212,1.2119999999999982,重阳福享1期
2023-08-04,1.226,1.226,1.2259999999999982,重阳福享1期
2023-08-10,1.22,1.22,1.2199999999999982,重阳福享1期
2023-08-15,1.189,1.189,1.1889999999999983,重阳福享1期
2023-08-16,1.189,1.189,1.1889999999999983,重阳福享1期
2023-08-17,1.189,1.189,1.1889999999999983,重阳福享1期
2023-08-22,1.157,1.157,1.1569999999999983,重阳福享1期
2023-08-29,1.134,1.134,1.1339999999999981,重阳福享1期
2023-09-05,1.17,1.17,1.1699999999999982,重阳福享1期
2023-09-12,1.169,1.169,1.1689999999999983,重阳福享1期
2023-09-19,1.154,1.154,1.1539999999999981,重阳福享1期
2023-09-26,1.143,1.143,1.1429999999999982,重阳福享1期
2023-10-10,1.128,1.128,1.1279999999999981,重阳福享1期
2023-10-17,1.125,1.125,1.1249999999999982,重阳福享1期
2023-10-24,1.073,1.073,1.0729999999999982,重阳福享1期
2023-10-31,1.092,1.092,1.0919999999999983,重阳福享1期
2023-11-02,1.091,1.091,1.0909999999999982,重阳福享1期
2023-11-07,1.102,1.102,1.1019999999999983,重阳福享1期
2023-11-14,1.097,1.097,1.0969999999999982,重阳福享1期
2023-11-21,1.112,1.112,1.1119999999999983,重阳福享1期
2023-11-27,1.103,1.103,1.1029999999999982,重阳福享1期
2023-12-04,1.089,1.089,1.0889999999999982,重阳福享1期
2023-12-05,1.081,1.081,1.0809999999999982,重阳福享1期
2023-12-12,1.047,1.047,1.0469999999999982,重阳福享1期
