日期,单位净值,累计净值,累计单位净值,基金id
2020-07-16,1.0,1.0,1.0,衍复新擎A号
2020-07-17,1.0,1.0,1.0,衍复新擎A号
2020-07-20,1.0,1.0,1.0,衍复新擎A号
2020-07-21,1.0,1.0,1.0,衍复新擎A号
2020-07-22,1.0,1.0,1.0,衍复新擎A号
2020-07-23,1.0,1.0,1.0,衍复新擎A号
2020-07-24,1.0,1.0,1.0,衍复新擎A号
2020-07-27,1.0,1.0,1.0,衍复新擎A号
2020-07-28,1.0,1.0,1.0,衍复新擎A号
2020-07-29,1.0,1.0,1.0,衍复新擎A号
2020-07-30,1.0,1.0,1.0,衍复新擎A号
2020-07-31,1.0,1.0,1.0,衍复新擎A号
2020-08-03,1.0,1.0,1.0,衍复新擎A号
2020-08-04,1.0,1.0,1.0,衍复新擎A号
2020-08-05,1.0,1.0,1.0,衍复新擎A号
2020-08-06,1.0,1.0,1.0,衍复新擎A号
2020-08-07,1.0002,1.0002,1.0002,衍复新擎A号
2020-08-14,1.0003,1.0003,1.0003,衍复新擎A号
2020-08-21,0.9977,0.9977,0.9977,衍复新擎A号
2020-08-28,1.0227,1.0227,1.0227,衍复新擎A号
2020-09-04,1.025,1.025,1.025,衍复新擎A号
2020-09-11,0.9839,0.9839,0.9839,衍复新擎A号
2020-09-15,0.998,0.998,0.998,衍复新擎A号
2020-09-18,1.0069,1.0069,1.0069,衍复新擎A号
2020-09-25,0.9724,0.9724,0.9724,衍复新擎A号
2020-09-30,0.9733,0.9733,0.9733000000000002,衍复新擎A号
2020-10-09,0.9985,0.9985,0.9985000000000002,衍复新擎A号
2020-10-15,1.0182,1.0182,1.0182000000000002,衍复新擎A号
2020-10-16,1.0159,1.0159,1.0159000000000002,衍复新擎A号
2020-10-23,0.9884,0.9884,0.9884000000000002,衍复新擎A号
2020-10-30,0.9835,0.9835,0.9835000000000003,衍复新擎A号
2020-11-02,0.9935,0.9935,0.9935000000000002,衍复新擎A号
2020-11-06,1.0177,1.0177,1.0177,衍复新擎A号
2020-11-13,1.0211,1.0211,1.0211,衍复新擎A号
2020-11-16,1.0331,1.0331,1.0331,衍复新擎A号
2020-11-20,1.0398,1.0398,1.0398,衍复新擎A号
2020-11-27,1.0266,1.0266,1.0266,衍复新擎A号
2020-12-01,1.0395,1.0395,1.0395,衍复新擎A号
2020-12-04,1.0415,1.0415,1.0415,衍复新擎A号
2020-12-11,1.0076,1.0076,1.0076,衍复新擎A号
2020-12-15,1.0238,1.0238,1.0238,衍复新擎A号
2020-12-18,1.0307,1.0307,1.0307,衍复新擎A号
2020-12-25,1.0389,1.0389,1.0389,衍复新擎A号
2020-12-31,1.0569,1.0569,1.0569,衍复新擎A号
2021-01-04,1.075,1.075,1.075,衍复新擎A号
2021-01-08,1.0799,1.0799,1.0799,衍复新擎A号
2021-01-15,1.0712,1.0712,1.0712,衍复新擎A号
2021-01-22,1.1109,1.1109,1.1109,衍复新擎A号
2021-01-29,1.0671,1.0671,1.0671,衍复新擎A号
2021-02-01,1.0825,1.0825,1.0825,衍复新擎A号
2021-02-05,1.0626,1.0626,1.0626,衍复新擎A号
2021-02-10,1.1069,1.1069,1.1069,衍复新擎A号
2021-02-18,1.119,1.119,1.119,衍复新擎A号
2021-02-19,1.1349,1.1349,1.1349,衍复新擎A号
2021-02-26,1.0861,1.0861,1.0861,衍复新擎A号
2021-03-01,1.1102,1.1102,1.1102,衍复新擎A号
2021-03-05,1.0897,1.0897,1.0897,衍复新擎A号
2021-03-12,1.0738,1.0738,1.0738,衍复新擎A号
2021-03-15,1.0635,1.0635,1.0635,衍复新擎A号
2021-03-19,1.0678,1.0678,1.0678,衍复新擎A号
2021-03-26,1.0716,1.0716,1.0716,衍复新擎A号
2021-04-01,1.083,1.083,1.083,衍复新擎A号
2021-04-02,1.0907,1.0907,1.0907,衍复新擎A号
2021-04-09,1.0951,1.0951,1.0950999999999997,衍复新擎A号
2021-04-15,1.0878,1.0878,1.0877999999999999,衍复新擎A号
2021-04-16,1.0956,1.0956,1.0955999999999997,衍复新擎A号
2021-04-23,1.1212,1.1212,1.1211999999999998,衍复新擎A号
2021-04-30,1.1187,1.1187,1.1186999999999998,衍复新擎A号
2021-05-06,1.1159,1.1159,1.1158999999999997,衍复新擎A号
2021-05-07,1.1046,1.1046,1.1045999999999998,衍复新擎A号
2021-05-14,1.1059,1.1059,1.1058999999999999,衍复新擎A号
2021-05-17,1.1314,1.1314,1.1313999999999997,衍复新擎A号
2021-05-21,1.1349,1.1349,1.1348999999999998,衍复新擎A号
2021-05-28,1.164,1.164,1.1639999999999997,衍复新擎A号
2021-06-01,1.1851,1.1851,1.1850999999999998,衍复新擎A号
2021-06-04,1.1814,1.1814,1.1813999999999998,衍复新擎A号
2021-06-11,1.1982,1.1982,1.1981999999999997,衍复新擎A号
2021-06-15,1.1895,1.1895,1.1894999999999998,衍复新擎A号
2021-06-18,1.1938,1.1938,1.1937999999999998,衍复新擎A号
2021-06-25,1.2267,1.2267,1.2266999999999997,衍复新擎A号
2021-07-01,1.2248,1.2248,1.2247999999999999,衍复新擎A号
2021-07-02,1.2121,1.2121,1.2120999999999997,衍复新擎A号
2021-07-09,1.2456,1.2456,1.2455999999999998,衍复新擎A号
2021-07-15,1.2672,1.2672,1.2672,衍复新擎A号
2021-07-16,1.2631,1.2631,1.2631,衍复新擎A号
2021-07-23,1.2879,1.2879,1.2879,衍复新擎A号
2021-07-30,1.2604,1.2604,1.2604,衍复新擎A号
2021-08-02,1.2888,1.2888,1.2888,衍复新擎A号
2021-08-06,1.3044,1.3044,1.3043999999999998,衍复新擎A号
2021-08-13,1.3308,1.3308,1.3307999999999998,衍复新擎A号
2021-08-16,1.3204,1.3204,1.3203999999999998,衍复新擎A号
2021-08-20,1.2285,1.2985,1.2984999999999998,衍复新擎A号
2021-08-27,1.2788,1.3488,1.3516660968660965,衍复新擎A号
2021-09-01,1.2845,1.3545,1.357690883190883,衍复新擎A号
2021-09-03,1.2903,1.3603,1.3638213675213673,衍复新擎A号
2021-09-10,1.3353,1.4053,1.4113854700854698,衍复新擎A号
2021-09-15,1.333,1.403,1.4089544159544156,衍复新擎A号
2021-09-17,1.3051,1.3751,1.379464672364672,衍复新擎A号
2021-09-24,1.3066,1.3766,1.3810501424501422,衍复新擎A号
2021-09-30,1.2615,1.3315,1.3333803418803416,衍复新擎A号
2021-10-08,1.2564,1.3264,1.3279897435897434,衍复新擎A号
2021-10-15,1.2372,1.3072,1.307695726495726,衍复新擎A号
2021-10-22,1.2426,1.3126,1.3134034188034185,衍复新擎A号
2021-10-29,1.23,1.3,1.3000854700854698,衍复新擎A号
2021-11-01,1.2293,1.2993,1.2993455840455836,衍复新擎A号
2021-11-05,1.2078,1.2778,1.2766205128205126,衍复新擎A号
2021-11-12,1.2379,1.3079,1.3084356125356122,衍复新擎A号
2021-11-15,1.2333,1.3033,1.303573504273504,衍复新擎A号
2021-11-19,1.2441,1.3141,1.3149888888888888,衍复新擎A号
2021-11-26,1.2614,1.3314,1.3332746438746437,衍复新擎A号
2021-12-01,1.2774,1.3474,1.3501863247863246,衍复新擎A号
2021-12-03,1.2783,1.3483,1.3511376068376066,衍复新擎A号
2021-12-10,1.2736,1.3436,1.3461698005698002,衍复新擎A号
2021-12-15,1.2719,1.3419,1.3443729344729343,衍复新擎A号
2021-12-17,1.2687,1.3387,1.340990598290598,衍复新擎A号
2021-12-24,1.2533,1.3233,1.3247131054131052,衍复新擎A号
2021-12-31,1.2753,1.3453,1.3479666666666665,衍复新擎A号
2022-01-04,1.2784,1.3484,1.351243304843305,衍复新擎A号
2022-01-07,1.2526,1.3226,1.3239732193732194,衍复新擎A号
2022-01-14,1.2493,1.3193,1.320485185185185,衍复新擎A号
2022-01-17,1.2657,1.3357,1.3378196581196584,衍复新擎A号
2022-01-21,1.2325,1.3025,1.3027279202279205,衍复新擎A号
2022-01-28,1.1829,1.2529,1.2503017094017097,衍复新擎A号
2022-02-07,1.2024,1.2724,1.270912820512821,衍复新擎A号
2022-02-11,1.2086,1.2786,1.2774660968660974,衍复新擎A号
2022-02-15,1.2149,1.2849,1.2841250712250716,衍复新擎A号
2022-02-18,1.2378,1.3078,1.308329914529915,衍复新擎A号
2022-02-25,1.2524,1.3224,1.3237618233618238,衍复新擎A号
2022-03-01,1.2643,1.3343,1.3363398860398865,衍复新擎A号
2022-03-04,1.2492,1.3192,1.3203794871794874,衍复新擎A号
2022-03-11,1.2073,1.2773,1.2760920227920232,衍复新擎A号
2022-03-15,1.1248,1.1948,1.1888911680911685,衍复新擎A号
2022-03-18,1.1999,1.2699,1.2682703703703706,衍复新擎A号
2022-03-25,1.1976,1.2676,1.2658393162393164,衍复新擎A号
2022-04-01,1.2146,1.2846,1.2838079772079773,衍复新擎A号
2022-04-08,1.199,1.269,1.2673190883190883,衍复新擎A号
2022-04-15,1.1742,1.2442,1.241105982905983,衍复新擎A号
2022-04-22,1.1149,1.1849,1.1784270655270657,衍复新擎A号
2022-04-29,1.1161,1.1861,1.1796954415954417,衍复新擎A号
2022-05-05,1.125,1.195,1.1891025641025643,衍复新擎A号
2022-05-06,1.1039,1.1739,1.166800284900285,衍复新擎A号
2022-05-13,1.15,1.22,1.2155270655270656,衍复新擎A号
2022-05-16,1.1485,1.2185,1.2139415954415955,衍复新擎A号
