基金代码,基金名称,日期,单位净值,累计净值
SLC039,幻方量化1000指数专享14号2期A,2020-07-06,1.0,1.0
SLC039,幻方量化1000指数专享14号2期A,2020-07-08,1.0,1.0
SLC039,幻方量化1000指数专享14号2期A,2020-07-09,1.0,1.0
SLC039,幻方量化1000指数专享14号2期A,2020-07-10,1.0,1.0
SLC039,幻方量化1000指数专享14号2期A,2020-07-13,1.0,1.0
SLC039,幻方量化1000指数专享14号2期A,2020-07-16,1.0,1.0
SLC039,幻方量化1000指数专享14号2期A,2020-07-20,0.9999,0.9999
SLC039,幻方量化1000指数专享14号2期A,2020-07-23,0.9998,0.9998
SLC039,幻方量化1000指数专享14号2期A,2020-07-30,0.9995,0.9995
SLC039,幻方量化1000指数专享14号2期A,2020-08-06,0.9991,0.9991
SLC039,幻方量化1000指数专享14号2期A,2020-08-13,0.9927,0.9927
SLC039,幻方量化1000指数专享14号2期A,2020-08-18,0.9818,0.9818
SLC039,幻方量化1000指数专享14号2期A,2020-08-21,0.9961,0.9961
SLC039,幻方量化1000指数专享14号2期A,2020-08-27,0.9941,0.9941
SLC039,幻方量化1000指数专享14号2期A,2020-09-03,1.0333,1.0333
SLC039,幻方量化1000指数专享14号2期A,2020-09-10,1.0251,1.0251
SLC039,幻方量化1000指数专享14号2期A,2020-09-17,0.9688,0.9688
SLC039,幻方量化1000指数专享14号2期A,2020-09-18,0.9803,0.9803
SLC039,幻方量化1000指数专享14号2期A,2020-09-24,0.9988,0.9988
SLC039,幻方量化1000指数专享14号2期A,2020-10-09,0.9774,0.9774
SLC039,幻方量化1000指数专享14号2期A,2020-10-12,0.9892,0.9892
SLC039,幻方量化1000指数专享14号2期A,2020-10-15,1.0195,1.0195
SLC039,幻方量化1000指数专享14号2期A,2020-10-22,1.0411,1.0411
SLC039,幻方量化1000指数专享14号2期A,2020-10-29,0.9954,0.9954
SLC039,幻方量化1000指数专享14号2期A,2020-11-05,1.0083,1.0083
SLC039,幻方量化1000指数专享14号2期A,2020-11-12,1.0358,1.0358
SLC039,幻方量化1000指数专享14号2期A,2020-11-17,1.0304,1.0304
SLC039,幻方量化1000指数专享14号2期A,2020-11-20,1.0378,1.0378
SLC039,幻方量化1000指数专享14号2期A,2020-11-26,1.0372,1.0372
SLC039,幻方量化1000指数专享14号2期A,2020-12-03,1.0096,1.0096
SLC039,幻方量化1000指数专享14号2期A,2020-12-10,1.0517,1.0517
SLC039,幻方量化1000指数专享14号2期A,2020-12-17,1.0284,1.0284
SLC039,幻方量化1000指数专享14号2期A,2020-12-18,1.0484,1.0484
SLC039,幻方量化1000指数专享14号2期A,2020-12-25,1.0516,1.0516
SLC039,幻方量化1000指数专享14号2期A,2021-01-04,1.0528,1.0528
SLC039,幻方量化1000指数专享14号2期A,2021-01-08,1.0816,1.0816
SLC039,幻方量化1000指数专享14号2期A,2021-01-14,1.0831,1.0831
SLC039,幻方量化1000指数专享14号2期A,2021-01-19,1.0899,1.0899
SLC039,幻方量化1000指数专享14号2期A,2021-01-22,1.1087,1.1087
SLC039,幻方量化1000指数专享14号2期A,2021-01-28,1.134,1.134
SLC039,幻方量化1000指数专享14号2期A,2021-02-04,1.0807,1.0807
SLC039,幻方量化1000指数专享14号2期A,2021-02-18,1.0473,1.0473
