基金代码,基金名称,日期,单位净值,累计净值
SLY951,山楂树五期,2021-01-21,1.0,1.0
SLY951,山楂树五期,2021-03-12,1.0,1.0
SLY951,山楂树五期,2021-03-15,1.0,1.0
SLY951,山楂树五期,2021-03-16,1.0,1.0
SLY951,山楂树五期,2021-03-17,1.0,1.0
SLY951,山楂树五期,2021-03-18,1.0,1.0
SLY951,山楂树五期,2021-03-19,1.0,1.0
SLY951,山楂树五期,2021-03-22,1.0,1.0
SLY951,山楂树五期,2021-03-23,1.0,1.0
SLY951,山楂树五期,2021-03-24,1.0,1.0
SLY951,山楂树五期,2021-03-25,1.0,1.0
SLY951,山楂树五期,2021-03-26,1.0001,1.0001
SLY951,山楂树五期,2021-03-31,1.0001,1.0001
SLY951,山楂树五期,2021-04-02,1.002,1.002
SLY951,山楂树五期,2021-04-09,0.9936,0.9936
SLY951,山楂树五期,2021-04-16,0.9879,0.9879
SLY951,山楂树五期,2021-04-23,1.0232,1.0232
SLY951,山楂树五期,2021-04-30,1.0771,1.0771
SLY951,山楂树五期,2021-05-07,1.0504,1.0504
SLY951,山楂树五期,2021-05-14,1.1281,1.1281
SLY951,山楂树五期,2021-05-21,1.1607,1.1607
SLY951,山楂树五期,2021-05-28,1.2267,1.2267
SLY951,山楂树五期,2021-05-31,1.2921,1.2921
SLY951,山楂树五期,2021-06-04,1.2517,1.2517
SLY951,山楂树五期,2021-06-11,1.3118,1.3118
SLY951,山楂树五期,2021-06-18,1.2944,1.2944
SLY951,山楂树五期,2021-06-25,1.3946,1.3946
SLY951,山楂树五期,2021-06-30,1.4842,1.4842
SLY951,山楂树五期,2021-07-02,1.4736,1.4736
SLY951,山楂树五期,2021-07-09,1.6335,1.6335
SLY951,山楂树五期,2021-07-16,1.6516,1.6516
SLY951,山楂树五期,2021-07-23,1.7696,1.7696
SLY951,山楂树五期,2021-07-30,1.8243,1.8243
SLY951,山楂树五期,2021-08-06,1.86,1.86
SLY951,山楂树五期,2021-08-13,1.7714,1.7714
SLY951,山楂树五期,2021-08-20,1.736,1.736
SLY951,山楂树五期,2021-08-27,1.8691,1.8691
SLY951,山楂树五期,2021-09-03,1.9032,1.9032
SLY951,山楂树五期,2021-09-10,1.9179,1.9179
SLY951,山楂树五期,2021-09-17,1.7842,1.7842
