基金代码,基金名称,日期,单位净值,累计净值,复权净值
SLY951,山楂树五期,2021-01-21,1.0,1.0,1.0
SLY951,山楂树五期,2021-03-15,1.0,1.0,1.0
SLY951,山楂树五期,2021-03-16,1.0,1.0,1.0
SLY951,山楂树五期,2021-03-17,1.0,1.0,1.0
SLY951,山楂树五期,2021-03-18,1.0,1.0,1.0
SLY951,山楂树五期,2021-03-19,1.0,1.0,1.0
SLY951,山楂树五期,2021-03-22,1.0,1.0,1.0
SLY951,山楂树五期,2021-03-23,1.0,1.0,1.0
SLY951,山楂树五期,2021-03-24,1.0,1.0,1.0
SLY951,山楂树五期,2021-03-25,1.0,1.0,1.0
SLY951,山楂树五期,2021-03-26,1.0,1.0,1.0
SLY951,山楂树五期,2021-04-01,1.0001,1.0001,1.0001
SLY951,山楂树五期,2021-04-02,1.0001,1.0001,1.0001
SLY951,山楂树五期,2021-04-09,1.002,1.002,1.002
SLY951,山楂树五期,2021-04-15,0.9936,0.9936,0.9936
SLY951,山楂树五期,2021-04-22,0.9879,0.9879,0.9879
SLY951,山楂树五期,2021-04-29,1.0232,1.0232,1.0232
SLY951,山楂树五期,2021-05-07,1.0771,1.0771,1.0771
SLY951,山楂树五期,2021-05-13,1.0504,1.0504,1.0504
SLY951,山楂树五期,2021-05-20,1.1281,1.1281,1.1281
SLY951,山楂树五期,2021-05-27,1.1607,1.1607,1.1607
SLY951,山楂树五期,2021-06-01,1.2267,1.2267,1.2267
SLY951,山楂树五期,2021-06-04,1.2921,1.2921,1.2921000000000002
SLY951,山楂树五期,2021-06-10,1.2517,1.2517,1.2517000000000005
SLY951,山楂树五期,2021-06-18,1.3118,1.3118,1.3118000000000003
SLY951,山楂树五期,2021-06-24,1.2944,1.2944,1.2944000000000002
SLY951,山楂树五期,2021-07-01,1.3946,1.3946,1.3946000000000005
SLY951,山楂树五期,2021-07-02,1.4842,1.4842,1.4842000000000002
SLY951,山楂树五期,2021-07-08,1.4736,1.4736,1.4736000000000002
SLY951,山楂树五期,2021-07-15,1.6335,1.6335,1.6335
SLY951,山楂树五期,2021-07-22,1.6516,1.6516,1.6516000000000002
SLY951,山楂树五期,2021-07-29,1.7696,1.7696,1.7696000000000005
SLY951,山楂树五期,2021-08-05,1.8243,1.8243,1.8243000000000005
SLY951,山楂树五期,2021-08-12,1.86,1.86,1.86
SLY951,山楂树五期,2021-08-19,1.7714,1.7714,1.7714
SLY951,山楂树五期,2021-08-26,1.736,1.736,1.736
SLY951,山楂树五期,2021-09-02,1.8691,1.8691,1.8691
SLY951,山楂树五期,2021-09-09,1.9032,1.9032,1.9032000000000004
SLY951,山楂树五期,2021-09-16,1.9179,1.9179,1.9179000000000008
SLY951,山楂树五期,2021-09-27,1.7842,1.7842,1.7842000000000005
