日期,单位净值,累计净值,累计单位净值,基金id
2021-01-21,1.0,1.0,1.0,山楂树五期
2021-03-12,1.0,1.0,1.0,山楂树五期
2021-03-15,1.0,1.0,1.0,山楂树五期
2021-03-16,1.0,1.0,1.0,山楂树五期
2021-03-17,1.0,1.0,1.0,山楂树五期
2021-03-18,1.0,1.0,1.0,山楂树五期
2021-03-19,1.0,1.0,1.0,山楂树五期
2021-03-22,1.0,1.0,1.0,山楂树五期
2021-03-23,1.0,1.0,1.0,山楂树五期
2021-03-24,1.0,1.0,1.0,山楂树五期
2021-03-25,1.0,1.0,1.0,山楂树五期
2021-03-26,1.0001,1.0001,1.0001,山楂树五期
2021-03-31,1.0001,1.0001,1.0001,山楂树五期
2021-04-02,1.002,1.002,1.002,山楂树五期
2021-04-09,0.9936,0.9936,0.9936,山楂树五期
2021-04-16,0.9879,0.9879,0.9879,山楂树五期
2021-04-23,1.0232,1.0232,1.0232,山楂树五期
2021-04-30,1.0771,1.0771,1.0771,山楂树五期
2021-05-07,1.0504,1.0504,1.0504,山楂树五期
2021-05-14,1.1281,1.1281,1.1281,山楂树五期
2021-05-21,1.1607,1.1607,1.1607,山楂树五期
2021-05-28,1.2267,1.2267,1.2267,山楂树五期
2021-05-31,1.2921,1.2921,1.2921000000000002,山楂树五期
2021-06-04,1.2517,1.2517,1.2517000000000003,山楂树五期
2021-06-11,1.3118,1.3118,1.3118000000000003,山楂树五期
2021-06-18,1.2944,1.2944,1.2944000000000002,山楂树五期
2021-06-25,1.3946,1.3946,1.3946000000000003,山楂树五期
2021-06-30,1.4842,1.4842,1.4842000000000002,山楂树五期
2021-07-02,1.4736,1.4736,1.4736000000000002,山楂树五期
2021-07-09,1.6335,1.6335,1.6335,山楂树五期
2021-07-16,1.6516,1.6516,1.6516000000000002,山楂树五期
2021-07-23,1.7696,1.7696,1.7696000000000003,山楂树五期
2021-07-30,1.8243,1.8243,1.8243000000000003,山楂树五期
2021-08-06,1.86,1.86,1.86,山楂树五期
2021-08-13,1.7714,1.7714,1.7714,山楂树五期
2021-08-20,1.736,1.736,1.736,山楂树五期
2021-08-27,1.8691,1.8691,1.8691000000000002,山楂树五期
2021-09-03,1.9032,1.9032,1.9032000000000004,山楂树五期
