基金代码,基金名称,日期,单位净值,累计净值,复权净值
SLZ237,龙旗群星1号,2020-11-26,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-07,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-08,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-09,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-10,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-11,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-14,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-15,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-16,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-21,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-24,1.0,1.0,1.0
SLZ237,龙旗群星1号,2020-12-31,1.0,1.0,1.0
SLZ237,龙旗群星1号,2021-01-07,1.0,1.0,1.0
SLZ237,龙旗群星1号,2021-01-14,1.0,1.0,1.0
SLZ237,龙旗群星1号,2021-01-21,1.0,1.0,1.0
SLZ237,龙旗群星1号,2021-01-28,1.001,1.001,1.001
SLZ237,龙旗群星1号,2021-02-04,0.998,0.998,0.998
SLZ237,龙旗群星1号,2021-02-18,0.991,0.991,0.991
SLZ237,龙旗群星1号,2021-02-19,1.009,1.009,1.009
SLZ237,龙旗群星1号,2021-02-25,1.001,1.001,1.001
SLZ237,龙旗群星1号,2021-03-04,0.98,0.98,0.98
SLZ237,龙旗群星1号,2021-03-11,0.975,0.975,0.975
SLZ237,龙旗群星1号,2021-03-18,0.973,0.973,0.973
SLZ237,龙旗群星1号,2021-03-25,0.97,0.97,0.97
SLZ237,龙旗群星1号,2021-04-01,0.959,0.959,0.959
SLZ237,龙旗群星1号,2021-04-02,0.965,0.965,0.965
SLZ237,龙旗群星1号,2021-04-09,0.972,0.972,0.972
SLZ237,龙旗群星1号,2021-04-15,0.973,0.973,0.9730000000000002
SLZ237,龙旗群星1号,2021-04-22,0.961,0.961,0.9610000000000002
SLZ237,龙旗群星1号,2021-04-29,0.976,0.976,0.976
SLZ237,龙旗群星1号,2021-05-07,0.972,0.972,0.972
SLZ237,龙旗群星1号,2021-05-13,0.979,0.979,0.9790000000000002
SLZ237,龙旗群星1号,2021-05-20,0.985,0.985,0.9850000000000002
SLZ237,龙旗群星1号,2021-05-27,0.988,0.988,0.9880000000000002
SLZ237,龙旗群星1号,2021-06-01,1.015,1.015,1.015
SLZ237,龙旗群星1号,2021-06-04,1.025,1.025,1.025
SLZ237,龙旗群星1号,2021-06-10,1.032,1.032,1.0320000000000005
SLZ237,龙旗群星1号,2021-06-18,1.038,1.038,1.0380000000000005
SLZ237,龙旗群星1号,2021-06-24,1.041,1.041,1.041
SLZ237,龙旗群星1号,2021-07-01,1.062,1.062,1.0620000000000005
SLZ237,龙旗群星1号,2021-07-02,1.086,1.086,1.0860000000000003
SLZ237,龙旗群星1号,2021-07-08,1.077,1.077,1.0770000000000002
SLZ237,龙旗群星1号,2021-07-15,1.108,1.108,1.1080000000000003
SLZ237,龙旗群星1号,2021-07-22,1.143,1.143,1.1430000000000002
SLZ237,龙旗群星1号,2021-07-29,1.177,1.177,1.1770000000000005
SLZ237,龙旗群星1号,2021-08-05,1.175,1.175,1.1750000000000005
SLZ237,龙旗群星1号,2021-08-12,1.195,1.195,1.1950000000000005
SLZ237,龙旗群星1号,2021-08-19,1.234,1.234,1.2340000000000004
SLZ237,龙旗群星1号,2021-08-26,1.222,1.222,1.2220000000000004
SLZ237,龙旗群星1号,2021-09-02,1.267,1.267,1.2670000000000003
SLZ237,龙旗群星1号,2021-09-09,1.262,1.262,1.2620000000000005
SLZ237,龙旗群星1号,2021-09-16,1.301,1.301,1.3010000000000004
SLZ237,龙旗群星1号,2021-09-27,1.315,1.315,1.3150000000000004
SLZ237,龙旗群星1号,2021-09-30,1.292,1.292,1.2920000000000005
SLZ237,龙旗群星1号,2021-10-11,1.259,1.259,1.2590000000000003
SLZ237,龙旗群星1号,2021-10-14,1.249,1.249,1.2490000000000006
SLZ237,龙旗群星1号,2021-10-21,1.227,1.227,1.2270000000000003
SLZ237,龙旗群星1号,2021-10-28,1.246,1.246,1.2460000000000004
SLZ237,龙旗群星1号,2021-11-04,1.23,1.23,1.2300000000000004
SLZ237,龙旗群星1号,2021-11-11,1.206,1.206,1.2060000000000004
SLZ237,龙旗群星1号,2021-11-18,1.23,1.23,1.2300000000000002
SLZ237,龙旗群星1号,2021-11-25,1.244,1.244,1.2440000000000002
SLZ237,龙旗群星1号,2021-11-30,1.266,1.266,1.2660000000000002
SLZ237,龙旗群星1号,2021-12-06,1.277,1.277,1.277
SLZ237,龙旗群星1号,2021-12-09,1.277,1.277,1.277
SLZ237,龙旗群星1号,2021-12-16,1.262,1.262,1.2620000000000002
SLZ237,龙旗群星1号,2021-12-23,1.244,1.244,1.2440000000000002
SLZ237,龙旗群星1号,2021-12-30,1.0,1.236,1.2360000000000002
SLZ237,龙旗群星1号,2021-12-31,1.225,1.225,1.2224040000000005
SLZ237,龙旗群星1号,2022-01-07,1.007,1.243,1.2403658546938778
SLZ237,龙旗群星1号,2022-01-11,0.977,1.213,1.203413545219383
SLZ237,龙旗群星1号,2022-01-17,0.974,1.21,1.1997183142719334
SLZ237,龙旗群星1号,2022-01-20,0.985,1.221,1.213267494412582
SLZ237,龙旗群星1号,2022-01-27,0.969,1.205,1.1935595960261849
SLZ237,龙旗群星1号,2022-02-10,0.956,1.192,1.1775469285872369
SLZ237,龙旗群星1号,2022-02-17,0.949,1.185,1.168924723043188
SLZ237,龙旗群星1号,2022-02-24,0.97,1.206,1.1947913396753345
SLZ237,龙旗群星1号,2022-03-01,0.979,1.215,1.205877032517683
SLZ237,龙旗群星1号,2022-03-04,0.981,1.217,1.208340519815983
SLZ237,龙旗群星1号,2022-03-10,0.97,1.206,1.194791339675335
SLZ237,龙旗群星1号,2022-03-17,0.968,1.204,1.192327852377035
SLZ237,龙旗群星1号,2022-03-24,0.965,1.201,1.1886326214295857
SLZ237,龙旗群星1号,2022-03-31,0.962,1.198,1.184937390482136
SLZ237,龙旗群星1号,2022-04-06,0.961,1.197,1.1837056468329863
SLZ237,龙旗群星1号,2022-04-11,0.961,1.197,1.1837056468329863
SLZ237,龙旗群星1号,2022-04-14,0.96,1.196,1.1824739031838365
SLZ237,龙旗群星1号,2022-04-21,0.949,1.185,1.1689247230431885
SLZ237,龙旗群星1号,2022-04-28,0.933,1.169,1.149216824656791
SLZ237,龙旗群星1号,2022-05-06,0.905,1.141,1.114728002480596
SLZ237,龙旗群星1号,2022-05-12,0.911,1.147,1.1221184643754951
SLZ237,龙旗群星1号,2022-05-19,0.914,1.15,1.1258136953229445
SLZ237,龙旗群星1号,2022-05-26,0.917,1.153,1.129508926270394
SLZ237,龙旗群星1号,2022-05-31,0.921,1.157,1.134435900866993
SLZ237,龙旗群星1号,2022-06-02,0.917,1.153,1.1295089262703937
SLZ237,龙旗群星1号,2022-06-09,0.915,1.151,1.127045438972094
SLZ237,龙旗群星1号,2022-06-16,0.917,1.153,1.129508926270394
SLZ237,龙旗群星1号,2022-06-23,0.92,1.156,1.1332041572178433
SLZ237,龙旗群星1号,2022-06-30,0.921,1.157,1.1344359008669933
