日期,单位净值,累计净值,累计单位净值,基金id
2020-12-23,1.0,1.0,1.0,黑翼君选多策略1号
2020-12-25,1.0,1.0,1.0,黑翼君选多策略1号
2020-12-28,1.0,1.0,1.0,黑翼君选多策略1号
2020-12-29,1.0,1.0,1.0,黑翼君选多策略1号
2020-12-30,1.0,1.0,1.0,黑翼君选多策略1号
2020-12-31,1.0,1.0,1.0,黑翼君选多策略1号
2021-01-04,1.0,1.0,1.0,黑翼君选多策略1号
2021-01-05,1.0,1.0,1.0,黑翼君选多策略1号
2021-01-06,1.0,1.0,1.0,黑翼君选多策略1号
2021-01-07,1.0,1.0,1.0,黑翼君选多策略1号
2021-01-08,1.0,1.0,1.0,黑翼君选多策略1号
2021-01-15,1.0,1.0,1.0,黑翼君选多策略1号
2021-01-22,0.993,0.993,0.993,黑翼君选多策略1号
2021-01-29,0.98,0.98,0.98,黑翼君选多策略1号
2021-02-05,0.965,0.965,0.965,黑翼君选多策略1号
2021-02-10,0.991,0.991,0.9909999999999999,黑翼君选多策略1号
2021-02-18,1.002,1.002,1.002,黑翼君选多策略1号
2021-02-19,1.009,1.009,1.009,黑翼君选多策略1号
2021-02-26,0.999,0.999,0.999,黑翼君选多策略1号
2021-03-05,1.005,1.005,1.005,黑翼君选多策略1号
2021-03-12,0.997,0.997,0.997,黑翼君选多策略1号
2021-03-15,0.992,0.992,0.992,黑翼君选多策略1号
2021-03-19,0.989,0.989,0.989,黑翼君选多策略1号
2021-03-26,0.988,0.988,0.988,黑翼君选多策略1号
2021-03-31,0.989,0.989,0.9889999999999999,黑翼君选多策略1号
2021-04-02,0.99,0.99,0.9899999999999999,黑翼君选多策略1号
2021-04-09,0.989,0.989,0.9889999999999999,黑翼君选多策略1号
2021-04-15,0.986,0.986,0.9859999999999999,黑翼君选多策略1号
2021-04-16,0.989,0.989,0.989,黑翼君选多策略1号
2021-04-23,1.006,1.006,1.006,黑翼君选多策略1号
2021-04-30,1.006,1.006,1.006,黑翼君选多策略1号
2021-05-07,1.015,1.015,1.015,黑翼君选多策略1号
2021-05-14,1.024,1.024,1.024,黑翼君选多策略1号
2021-05-17,1.031,1.031,1.031,黑翼君选多策略1号
2021-05-21,1.015,1.015,1.015,黑翼君选多策略1号
2021-05-28,1.026,1.026,1.026,黑翼君选多策略1号
2021-05-31,1.035,1.035,1.035,黑翼君选多策略1号
2021-06-04,1.034,1.034,1.034,黑翼君选多策略1号
2021-06-11,1.034,1.034,1.034,黑翼君选多策略1号
2021-06-15,1.02,1.02,1.02,黑翼君选多策略1号
2021-06-18,1.013,1.013,1.013,黑翼君选多策略1号
2021-06-25,1.034,1.034,1.034,黑翼君选多策略1号
2021-06-30,1.038,1.038,1.038,黑翼君选多策略1号
2021-07-02,1.024,1.024,1.024,黑翼君选多策略1号
2021-07-09,1.042,1.042,1.042,黑翼君选多策略1号
2021-07-15,1.069,1.069,1.069,黑翼君选多策略1号
2021-07-16,1.079,1.079,1.079,黑翼君选多策略1号
2021-07-23,1.083,1.083,1.083,黑翼君选多策略1号
2021-07-30,1.073,1.073,1.073,黑翼君选多策略1号
2021-08-06,1.073,1.073,1.073,黑翼君选多策略1号
2021-08-13,1.103,1.103,1.103,黑翼君选多策略1号
2021-08-16,1.103,1.103,1.103,黑翼君选多策略1号
2021-08-20,1.082,1.082,1.082,黑翼君选多策略1号
2021-08-27,1.116,1.116,1.116,黑翼君选多策略1号
2021-08-31,1.121,1.121,1.121,黑翼君选多策略1号
2021-09-03,1.122,1.122,1.122,黑翼君选多策略1号
2021-09-10,1.173,1.173,1.173,黑翼君选多策略1号
2021-09-15,1.159,1.159,1.159,黑翼君选多策略1号
2021-09-17,1.15,1.15,1.15,黑翼君选多策略1号
2021-09-24,1.155,1.155,1.155,黑翼君选多策略1号
2021-09-30,1.137,1.137,1.137,黑翼君选多策略1号
2021-10-08,1.151,1.151,1.151,黑翼君选多策略1号
2021-10-15,1.143,1.143,1.143,黑翼君选多策略1号
2021-10-22,1.14,1.14,1.14,黑翼君选多策略1号
2021-10-29,1.12,1.12,1.12,黑翼君选多策略1号
2021-11-05,1.116,1.116,1.116,黑翼君选多策略1号
2021-11-12,1.125,1.125,1.125,黑翼君选多策略1号
2021-11-15,1.122,1.122,1.122,黑翼君选多策略1号
2021-11-19,1.131,1.131,1.131,黑翼君选多策略1号
2021-11-26,1.131,1.131,1.131,黑翼君选多策略1号
2021-11-30,1.134,1.134,1.134,黑翼君选多策略1号
2021-12-03,1.138,1.138,1.1380000000000001,黑翼君选多策略1号
2021-12-10,1.133,1.133,1.1330000000000002,黑翼君选多策略1号
2021-12-15,1.124,1.124,1.1240000000000003,黑翼君选多策略1号
2021-12-17,1.119,1.119,1.1190000000000002,黑翼君选多策略1号
2021-12-24,1.113,1.113,1.1130000000000002,黑翼君选多策略1号
2021-12-31,1.133,1.133,1.1330000000000002,黑翼君选多策略1号
2022-01-07,1.12,1.12,1.1200000000000003,黑翼君选多策略1号
2022-01-14,1.132,1.132,1.1320000000000001,黑翼君选多策略1号
2022-01-17,1.135,1.135,1.1350000000000002,黑翼君选多策略1号
2022-01-21,1.151,1.151,1.1510000000000002,黑翼君选多策略1号
2022-01-28,1.141,1.141,1.1410000000000002,黑翼君选多策略1号
2022-02-11,1.159,1.159,1.1590000000000003,黑翼君选多策略1号
2022-02-15,1.149,1.149,1.1490000000000002,黑翼君选多策略1号
2022-02-18,1.164,1.164,1.1640000000000001,黑翼君选多策略1号
2022-02-25,1.193,1.193,1.1930000000000003,黑翼君选多策略1号
2022-02-28,1.188,1.188,1.1880000000000002,黑翼君选多策略1号
2022-03-04,1.197,1.197,1.197,黑翼君选多策略1号
2022-03-11,1.181,1.181,1.181,黑翼君选多策略1号
2022-03-15,1.119,1.119,1.119,黑翼君选多策略1号
2022-03-18,1.158,1.158,1.158,黑翼君选多策略1号
2022-03-25,1.157,1.157,1.157,黑翼君选多策略1号
2022-03-31,1.155,1.155,1.155,黑翼君选多策略1号
2022-04-01,1.158,1.158,1.158,黑翼君选多策略1号
