基金代码,基金名称,日期,单位净值,累计净值
SND877,景林景泰优选GJ2期,2020-11-04,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-05,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-06,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-09,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-10,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-11,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-12,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-13,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-16,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-17,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-18,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-20,1.0,1.0
SND877,景林景泰优选GJ2期,2020-11-27,1.0092,1.0092
SND877,景林景泰优选GJ2期,2020-11-30,0.9875,0.9875
SND877,景林景泰优选GJ2期,2020-12-01,1.0022,1.0022
SND877,景林景泰优选GJ2期,2020-12-31,1.0773,1.0773
SND877,景林景泰优选GJ2期,2021-01-04,1.0825,1.0825
SND877,景林景泰优选GJ2期,2021-01-29,1.1575,1.1575
SND877,景林景泰优选GJ2期,2021-02-01,1.2113,1.2113
SND877,景林景泰优选GJ2期,2021-02-26,1.1678,1.1678
SND877,景林景泰优选GJ2期,2021-03-01,1.2308,1.2308
SND877,景林景泰优选GJ2期,2021-03-31,1.0525,1.0525
SND877,景林景泰优选GJ2期,2021-04-01,1.096,1.096
SND877,景林景泰优选GJ2期,2021-04-30,1.0461,1.0461
SND877,景林景泰优选GJ2期,2021-05-06,1.0291,1.0291
SND877,景林景泰优选GJ2期,2021-05-31,1.0248,1.0248
SND877,景林景泰优选GJ2期,2021-06-01,1.0521,1.0521
SND877,景林景泰优选GJ2期,2021-06-30,1.0553,1.0553
SND877,景林景泰优选GJ2期,2021-07-01,1.0472,1.0472
SND877,景林景泰优选GJ2期,2021-07-30,0.9181,0.9181
SND877,景林景泰优选GJ2期,2021-08-02,0.9315,0.9315
SND877,景林景泰优选GJ2期,2021-08-31,0.921,0.921
SND877,景林景泰优选GJ2期,2021-09-01,0.9361,0.9361
