基金代码,基金名称,日期,单位净值,累计净值,复权净值
SNS136,景林景泰丰收GJ2期,2021-03-05,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-09,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-10,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-11,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-12,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-15,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-16,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-17,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-18,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-19,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-22,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-23,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-03-24,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-04-01,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-04-02,1.0001,1.0001,1.0001
SNS136,景林景泰丰收GJ2期,2021-04-06,1.0,1.0,1.0
SNS136,景林景泰丰收GJ2期,2021-05-07,1.0001,1.0001,1.0001
SNS136,景林景泰丰收GJ2期,2021-05-10,0.9916,0.9916,0.9916
SNS136,景林景泰丰收GJ2期,2021-06-02,1.0231,1.0231,1.0231
SNS136,景林景泰丰收GJ2期,2021-06-03,1.0303,1.0303,1.0303
SNS136,景林景泰丰收GJ2期,2021-07-02,1.0441,1.0441,1.0441
SNS136,景林景泰丰收GJ2期,2021-07-05,1.042,1.042,1.042
SNS136,景林景泰丰收GJ2期,2021-08-03,0.9878,0.9878,0.9878
SNS136,景林景泰丰收GJ2期,2021-08-04,0.9941,0.9941,0.9941
SNS136,景林景泰丰收GJ2期,2021-09-02,0.9819,0.9819,0.9819
SNS136,景林景泰丰收GJ2期,2021-09-03,0.9775,0.9775,0.9775
SNS136,景林景泰丰收GJ2期,2021-10-11,0.9559,0.9559,0.9559
SNS136,景林景泰丰收GJ2期,2021-10-27,0.9638,0.9638,0.9638
SNS136,景林景泰丰收GJ2期,2021-11-02,0.9901,0.9901,0.9901
SNS136,景林景泰丰收GJ2期,2021-11-03,0.9914,0.9914,0.9914
SNS136,景林景泰丰收GJ2期,2021-12-02,1.0099,1.0099,1.0099
SNS136,景林景泰丰收GJ2期,2021-12-03,1.0046,1.0046,1.0046
SNS136,景林景泰丰收GJ2期,2022-01-05,1.0005,1.0005,1.0005
SNS136,景林景泰丰收GJ2期,2022-01-06,0.9956,0.9956,0.9956
SNS136,景林景泰丰收GJ2期,2022-02-08,0.9112,0.9112,0.9112
SNS136,景林景泰丰收GJ2期,2022-02-24,0.9313,0.9313,0.9313
SNS136,景林景泰丰收GJ2期,2022-03-02,0.8981,0.8981,0.8980999999999999
SNS136,景林景泰丰收GJ2期,2022-03-03,0.8979,0.8979,0.8978999999999999
