基金代码,基金名称,日期,单位净值,累计净值
SQB871,衍复新擎1000增强一号A期,2021-07-21,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-07-23,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-07-26,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-07-27,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-07-28,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-07-29,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-07-30,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-08-02,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-08-03,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-08-06,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-08-12,1.0,1.0
SQB871,衍复新擎1000增强一号A期,2021-08-17,0.9984,0.9984
SQB871,衍复新擎1000增强一号A期,2021-08-20,0.9893,0.9893
SQB871,衍复新擎1000增强一号A期,2021-08-26,0.974,0.974
SQB871,衍复新擎1000增强一号A期,2021-09-02,1.017,1.017
SQB871,衍复新擎1000增强一号A期,2021-09-03,1.0061,1.0061
SQB871,衍复新擎1000增强一号A期,2021-09-09,1.0085,1.0085
SQB871,衍复新擎1000增强一号A期,2021-09-16,1.0392,1.0392
SQB871,衍复新擎1000增强一号A期,2021-09-17,1.0471,1.0471
SQB871,衍复新擎1000增强一号A期,2021-09-27,1.0256,1.0256
SQB871,衍复新擎1000增强一号A期,2021-09-30,1.0224,1.0224
SQB871,衍复新擎1000增强一号A期,2021-10-11,0.9871,0.9871
SQB871,衍复新擎1000增强一号A期,2021-10-14,0.9834,0.9834
SQB871,衍复新擎1000增强一号A期,2021-10-21,0.9769,0.9769
SQB871,衍复新擎1000增强一号A期,2021-10-28,0.986,0.986
SQB871,衍复新擎1000增强一号A期,2021-11-02,0.981,0.981
SQB871,衍复新擎1000增强一号A期,2021-11-05,0.9871,0.9871
SQB871,衍复新擎1000增强一号A期,2021-11-11,0.9798,0.9798
SQB871,衍复新擎1000增强一号A期,2021-11-16,1.0188,1.0188
SQB871,衍复新擎1000增强一号A期,2021-11-19,1.016,1.016
SQB871,衍复新擎1000增强一号A期,2021-11-25,1.0322,1.0322
SQB871,衍复新擎1000增强一号A期,2021-12-02,1.0538,1.0538
SQB871,衍复新擎1000增强一号A期,2021-12-03,1.0705,1.0705
SQB871,衍复新擎1000增强一号A期,2021-12-09,1.0652,1.0652
SQB871,衍复新擎1000增强一号A期,2021-12-16,1.0534,1.0534
SQB871,衍复新擎1000增强一号A期,2021-12-17,1.0539,1.0539
SQB871,衍复新擎1000增强一号A期,2021-12-23,1.0483,1.0483
SQB871,衍复新擎1000增强一号A期,2021-12-30,1.0329,1.0329
SQB871,衍复新擎1000增强一号A期,2022-01-05,1.0585,1.0585
SQB871,衍复新擎1000增强一号A期,2022-01-10,1.0557,1.0557
SQB871,衍复新擎1000增强一号A期,2022-01-13,1.0194,1.0194
SQB871,衍复新擎1000增强一号A期,2022-01-18,1.0239,1.0239
SQB871,衍复新擎1000增强一号A期,2022-01-21,1.0428,1.0428
SQB871,衍复新擎1000增强一号A期,2022-01-27,0.9935,0.9935
SQB871,衍复新擎1000增强一号A期,2022-02-08,0.9486,0.9486
SQB871,衍复新擎1000增强一号A期,2022-02-11,0.9592,0.9592
SQB871,衍复新擎1000增强一号A期,2022-02-15,0.9498,0.9498
SQB871,衍复新擎1000增强一号A期,2022-02-21,0.9677,0.9677
SQB871,衍复新擎1000增强一号A期,2022-02-24,0.9874,0.9874
SQB871,衍复新擎1000增强一号A期,2022-03-01,1.012,1.012
SQB871,衍复新擎1000增强一号A期,2022-03-07,1.0212,1.0212
SQB871,衍复新擎1000增强一号A期,2022-03-10,0.9958,0.9958
SQB871,衍复新擎1000增强一号A期,2022-03-15,0.9664,0.9664
SQB871,衍复新擎1000增强一号A期,2022-03-21,0.9035,0.9035
SQB871,衍复新擎1000增强一号A期,2022-03-24,0.9609,0.9609
SQB871,衍复新擎1000增强一号A期,2022-03-31,0.9577,0.9577
SQB871,衍复新擎1000增强一号A期,2022-04-11,0.9569,0.9569
SQB871,衍复新擎1000增强一号A期,2022-04-14,0.9325,0.9325
SQB871,衍复新擎1000增强一号A期,2022-04-21,0.9005,0.9005
SQB871,衍复新擎1000增强一号A期,2022-04-28,0.8512,0.8512
SQB871,衍复新擎1000增强一号A期,2022-05-06,0.8443,0.8443
SQB871,衍复新擎1000增强一号A期,2022-05-10,0.8546,0.8546
SQB871,衍复新擎1000增强一号A期,2022-05-13,0.8442,0.8442
SQB871,衍复新擎1000增强一号A期,2022-05-17,0.8927,0.8927
SQB871,衍复新擎1000增强一号A期,2022-05-20,0.8916,0.8916
SQB871,衍复新擎1000增强一号A期,2022-05-26,0.9312,0.9312
SQB871,衍复新擎1000增强一号A期,2022-06-02,0.9226,0.9226
SQB871,衍复新擎1000增强一号A期,2022-06-06,0.9515,0.9515
SQB871,衍复新擎1000增强一号A期,2022-06-09,0.9667,0.9667
SQB871,衍复新擎1000增强一号A期,2022-06-16,0.9971,0.9971
SQB871,衍复新擎1000增强一号A期,2022-06-17,1.0027,1.0027
SQB871,衍复新擎1000增强一号A期,2022-06-23,1.0235,1.0235
SQB871,衍复新擎1000增强一号A期,2022-06-30,1.0485,1.0485
SQB871,衍复新擎1000增强一号A期,2022-07-07,1.0694,1.0694
SQB871,衍复新擎1000增强一号A期,2022-07-14,1.0789,1.0789
SQB871,衍复新擎1000增强一号A期,2022-07-21,1.061,1.061
SQB871,衍复新擎1000增强一号A期,2022-07-28,1.0865,1.0865
SQB871,衍复新擎1000增强一号A期,2022-08-02,1.1035,1.1035
SQB871,衍复新擎1000增强一号A期,2022-08-05,1.1141,1.1141
SQB871,衍复新擎1000增强一号A期,2022-08-11,1.1033,1.1033
SQB871,衍复新擎1000增强一号A期,2022-08-16,1.1314,1.1314
SQB871,衍复新擎1000增强一号A期,2022-08-19,1.1426,1.1426
SQB871,衍复新擎1000增强一号A期,2022-08-25,1.1387,1.1387
SQB871,衍复新擎1000增强一号A期,2022-09-01,1.1055,1.1055
SQB871,衍复新擎1000增强一号A期,2022-09-05,1.0655,1.0655
SQB871,衍复新擎1000增强一号A期,2022-09-08,1.0758,1.0758
SQB871,衍复新擎1000增强一号A期,2022-09-16,1.0962,1.0962
SQB871,衍复新擎1000增强一号A期,2022-09-19,1.0475,1.0475
SQB871,衍复新擎1000增强一号A期,2022-09-22,1.0266,1.0266
SQB871,衍复新擎1000增强一号A期,2022-09-29,1.0139,1.0139
SQB871,衍复新擎1000增强一号A期,2022-10-11,0.9739,0.9739
SQB871,衍复新擎1000增强一号A期,2022-10-14,0.9523,0.9523
SQB871,衍复新擎1000增强一号A期,2022-10-18,1.0221,1.0221
SQB871,衍复新擎1000增强一号A期,2022-10-21,1.0289,1.0289
SQB871,衍复新擎1000增强一号A期,2022-10-27,1.0207,1.0207
SQB871,衍复新擎1000增强一号A期,2022-11-01,0.9818,0.9818
SQB871,衍复新擎1000增强一号A期,2022-11-07,1.0148,1.0148
SQB871,衍复新擎1000增强一号A期,2022-11-10,1.0667,1.0667
SQB871,衍复新擎1000增强一号A期,2022-11-15,1.0571,1.0571
SQB871,衍复新擎1000增强一号A期,2022-11-21,1.0724,1.0724
SQB871,衍复新擎1000增强一号A期,2022-11-24,1.0588,1.0588
SQB871,衍复新擎1000增强一号A期,2022-12-01,1.0401,1.0401
SQB871,衍复新擎1000增强一号A期,2022-12-05,1.0595,1.0595
SQB871,衍复新擎1000增强一号A期,2022-12-08,1.0648,1.0648
SQB871,衍复新擎1000增强一号A期,2022-12-15,1.0626,1.0626
SQB871,衍复新擎1000增强一号A期,2022-12-19,1.0542,1.0542
SQB871,衍复新擎1000增强一号A期,2022-12-22,1.0381,1.0381
SQB871,衍复新擎1000增强一号A期,2022-12-29,0.9886,0.9886
SQB871,衍复新擎1000增强一号A期,2023-01-04,1.01,1.01
SQB871,衍复新擎1000增强一号A期,2023-01-06,1.0333,1.0333
SQB871,衍复新擎1000增强一号A期,2023-01-12,1.0482,1.0482
SQB871,衍复新擎1000增强一号A期,2023-01-17,1.0552,1.0552
SQB871,衍复新擎1000增强一号A期,2023-01-30,1.0648,1.0648
SQB871,衍复新擎1000增强一号A期,2023-02-01,1.0844,1.0844
SQB871,衍复新擎1000增强一号A期,2023-02-03,1.1154,1.1154
SQB871,衍复新擎1000增强一号A期,2023-02-09,1.1151,1.1151
SQB871,衍复新擎1000增强一号A期,2023-02-16,1.1243,1.1243
SQB871,衍复新擎1000增强一号A期,2023-02-17,1.1386,1.1386
SQB871,衍复新擎1000增强一号A期,2023-02-23,1.1106,1.1106
SQB871,衍复新擎1000增强一号A期,2023-03-02,1.1253,1.1253
SQB871,衍复新擎1000增强一号A期,2023-03-03,1.1358,1.1358
SQB871,衍复新擎1000增强一号A期,2023-03-09,1.1294,1.1294
SQB871,衍复新擎1000增强一号A期,2023-03-16,1.1047,1.1047
SQB871,衍复新擎1000增强一号A期,2023-03-17,1.1056,1.1056
SQB871,衍复新擎1000增强一号A期,2023-03-23,1.0947,1.0947
SQB871,衍复新擎1000增强一号A期,2023-03-30,1.1283,1.1283
SQB871,衍复新擎1000增强一号A期,2023-04-04,1.1293,1.1293
SQB871,衍复新擎1000增强一号A期,2023-04-10,1.1444,1.1444
SQB871,衍复新擎1000增强一号A期,2023-04-13,1.1469,1.1469
SQB871,衍复新擎1000增强一号A期,2023-04-18,1.1451,1.1451
SQB871,衍复新擎1000增强一号A期,2023-04-21,1.1455,1.1455
SQB871,衍复新擎1000增强一号A期,2023-04-27,1.1122,1.1122
SQB871,衍复新擎1000增强一号A期,2023-05-05,1.1117,1.1117
SQB871,衍复新擎1000增强一号A期,2023-05-08,1.1174,1.1174
SQB871,衍复新擎1000增强一号A期,2023-05-11,1.1074,1.1074
SQB871,衍复新擎1000增强一号A期,2023-05-16,1.0931,1.0931
SQB871,衍复新擎1000增强一号A期,2023-05-19,1.1029,1.1029
SQB871,衍复新擎1000增强一号A期,2023-05-25,1.1131,1.1131
SQB871,衍复新擎1000增强一号A期,2023-06-01,1.1118,1.1118
SQB871,衍复新擎1000增强一号A期,2023-06-05,1.1226,1.1226
SQB871,衍复新擎1000增强一号A期,2023-06-08,1.1294,1.1294
SQB871,衍复新擎1000增强一号A期,2023-06-15,1.1204,1.1204
SQB871,衍复新擎1000增强一号A期,2023-06-19,1.144,1.144
SQB871,衍复新擎1000增强一号A期,2023-06-26,1.1553,1.1553
SQB871,衍复新擎1000增强一号A期,2023-06-29,1.1386,1.1386
SQB871,衍复新擎1000增强一号A期,2023-07-04,1.1526,1.1526
SQB871,衍复新擎1000增强一号A期,2023-07-07,1.1566,1.1566
SQB871,衍复新擎1000增强一号A期,2023-07-13,1.1435,1.1435
SQB871,衍复新擎1000增强一号A期,2023-07-18,1.1573,1.1573
SQB871,衍复新擎1000增强一号A期,2023-07-21,1.1538,1.1538
SQB871,衍复新擎1000增强一号A期,2023-07-27,1.1335,1.1335
SQB871,衍复新擎1000增强一号A期,2023-08-01,1.1451,1.1451
SQB871,衍复新擎1000增强一号A期,2023-08-07,1.1526,1.1526
SQB871,衍复新擎1000增强一号A期,2023-08-10,1.1559,1.1559
SQB871,衍复新擎1000增强一号A期,2023-08-15,1.1245,1.1245
SQB871,衍复新擎1000增强一号A期,2023-08-16,2.1212,2.2612
SQB871,衍复新擎1000增强一号A期,2023-08-17,2.1064,2.2464
SQB871,衍复新擎1000增强一号A期,2023-08-22,1.0371,1.1071
SQB871,衍复新擎1000增强一号A期,2023-08-29,1.005,1.075
SQB871,衍复新擎1000增强一号A期,2023-09-05,1.0516,1.1216
SQB871,衍复新擎1000增强一号A期,2023-09-12,1.0446,1.1146
SQB871,衍复新擎1000增强一号A期,2023-09-19,1.0398,1.1098
SQB871,衍复新擎1000增强一号A期,2023-09-26,1.046,1.116
SQB871,衍复新擎1000增强一号A期,2023-10-10,1.0538,1.1238
SQB871,衍复新擎1000增强一号A期,2023-10-11,1.0478,1.1178
SQB871,衍复新擎1000增强一号A期,2023-10-17,1.0467,1.1167
SQB871,衍复新擎1000增强一号A期,2023-10-18,1.0381,1.1081
SQB871,衍复新擎1000增强一号A期,2023-10-24,0.9999,1.0699
SQB871,衍复新擎1000增强一号A期,2023-10-31,1.0212,1.0912
SQB871,衍复新擎1000增强一号A期,2023-11-03,1.0307,1.1007
SQB871,衍复新擎1000增强一号A期,2023-11-07,1.0357,1.1057
