日期,单位净值,累计净值,累计单位净值,基金id
2021-07-21,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-07-22,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-07-23,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-07-26,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-07-27,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-07-28,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-07-29,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-07-30,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-08-02,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-08-03,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-08-06,1.0,1.0,1.0,衍复新擎1000增强一号A期
2021-08-13,0.9984,0.9984,0.9984,衍复新擎1000增强一号A期
2021-08-16,0.9893,0.9893,0.9893,衍复新擎1000增强一号A期
2021-08-20,0.974,0.974,0.974,衍复新擎1000增强一号A期
2021-08-27,1.017,1.017,1.017,衍复新擎1000增强一号A期
2021-09-01,1.0061,1.0061,1.0061,衍复新擎1000增强一号A期
2021-09-03,1.0085,1.0085,1.0085,衍复新擎1000增强一号A期
2021-09-10,1.0392,1.0392,1.0392,衍复新擎1000增强一号A期
2021-09-15,1.0471,1.0471,1.0471,衍复新擎1000增强一号A期
2021-09-17,1.0256,1.0256,1.0256,衍复新擎1000增强一号A期
2021-09-24,1.0224,1.0224,1.0224,衍复新擎1000增强一号A期
2021-09-30,0.9871,0.9871,0.9871,衍复新擎1000增强一号A期
2021-10-08,0.9834,0.9834,0.9834,衍复新擎1000增强一号A期
2021-10-15,0.9769,0.9769,0.9769,衍复新擎1000增强一号A期
2021-10-22,0.986,0.986,0.986,衍复新擎1000增强一号A期
2021-10-29,0.981,0.981,0.981,衍复新擎1000增强一号A期
2021-11-01,0.9871,0.9871,0.9870999999999999,衍复新擎1000增强一号A期
2021-11-05,0.9798,0.9798,0.9797999999999999,衍复新擎1000增强一号A期
2021-11-12,1.0188,1.0188,1.0187999999999997,衍复新擎1000增强一号A期
2021-11-15,1.016,1.016,1.0159999999999998,衍复新擎1000增强一号A期
2021-11-19,1.0322,1.0322,1.0321999999999998,衍复新擎1000增强一号A期
2021-11-26,1.0538,1.0538,1.0537999999999998,衍复新擎1000增强一号A期
2021-12-01,1.0705,1.0705,1.0704999999999996,衍复新擎1000增强一号A期
2021-12-03,1.0652,1.0652,1.0651999999999995,衍复新擎1000增强一号A期
2021-12-10,1.0534,1.0534,1.0533999999999994,衍复新擎1000增强一号A期
2021-12-15,1.0539,1.0539,1.0538999999999996,衍复新擎1000增强一号A期
2021-12-17,1.0483,1.0483,1.0482999999999996,衍复新擎1000增强一号A期
2021-12-24,1.0329,1.0329,1.0328999999999995,衍复新擎1000增强一号A期
2021-12-31,1.0585,1.0585,1.0584999999999996,衍复新擎1000增强一号A期
2022-01-04,1.0557,1.0557,1.0556999999999996,衍复新擎1000增强一号A期
2022-01-07,1.0194,1.0194,1.0193999999999996,衍复新擎1000增强一号A期
2022-01-14,1.0239,1.0239,1.0238999999999996,衍复新擎1000增强一号A期
2022-01-17,1.0428,1.0428,1.0427999999999995,衍复新擎1000增强一号A期
2022-01-21,0.9935,0.9935,0.9934999999999996,衍复新擎1000增强一号A期
2022-01-28,0.9486,0.9486,0.9485999999999997,衍复新擎1000增强一号A期
2022-02-07,0.9592,0.9592,0.9591999999999998,衍复新擎1000增强一号A期
2022-02-11,0.9498,0.9498,0.9497999999999998,衍复新擎1000增强一号A期
2022-02-15,0.9677,0.9677,0.9676999999999999,衍复新擎1000增强一号A期
2022-02-18,0.9874,0.9874,0.9873999999999999,衍复新擎1000增强一号A期
2022-02-25,1.012,1.012,1.012,衍复新擎1000增强一号A期
2022-03-01,1.0212,1.0212,1.0212,衍复新擎1000增强一号A期
2022-03-04,0.9958,0.9958,0.9958,衍复新擎1000增强一号A期
2022-03-11,0.9664,0.9664,0.9664,衍复新擎1000增强一号A期
2022-03-15,0.9035,0.9035,0.9035,衍复新擎1000增强一号A期
2022-03-18,0.9609,0.9609,0.9609000000000001,衍复新擎1000增强一号A期
2022-03-25,0.9577,0.9577,0.9577000000000001,衍复新擎1000增强一号A期
2022-04-01,0.9569,0.9569,0.9569000000000001,衍复新擎1000增强一号A期
2022-04-08,0.9325,0.9325,0.9325000000000001,衍复新擎1000增强一号A期
2022-04-15,0.9005,0.9005,0.9005000000000001,衍复新擎1000增强一号A期
2022-04-22,0.8512,0.8512,0.8512000000000001,衍复新擎1000增强一号A期
2022-04-29,0.8443,0.8443,0.8443000000000002,衍复新擎1000增强一号A期
2022-05-05,0.8546,0.8546,0.8546000000000002,衍复新擎1000增强一号A期
2022-05-06,0.8442,0.8442,0.8442000000000002,衍复新擎1000增强一号A期
2022-05-13,0.8927,0.8927,0.8927000000000003,衍复新擎1000增强一号A期
2022-05-16,0.8916,0.8916,0.8916000000000002,衍复新擎1000增强一号A期
2022-05-20,0.9312,0.9312,0.9312000000000004,衍复新擎1000增强一号A期
2022-05-27,0.9226,0.9226,0.9226000000000003,衍复新擎1000增强一号A期
2022-06-01,0.9515,0.9515,0.9515000000000002,衍复新擎1000增强一号A期
2022-06-02,0.9667,0.9667,0.9667000000000001,衍复新擎1000增强一号A期
2022-06-10,0.9971,0.9971,0.9971000000000002,衍复新擎1000增强一号A期
2022-06-15,1.0027,1.0027,1.0027000000000001,衍复新擎1000增强一号A期
2022-06-17,1.0235,1.0235,1.0235000000000003,衍复新擎1000增强一号A期
2022-06-24,1.0485,1.0485,1.0485000000000002,衍复新擎1000增强一号A期
2022-07-01,1.0694,1.0694,1.0694000000000001,衍复新擎1000增强一号A期
2022-07-08,1.0789,1.0789,1.0789000000000002,衍复新擎1000增强一号A期
2022-07-15,1.061,1.061,1.0610000000000002,衍复新擎1000增强一号A期
2022-07-22,1.0865,1.0865,1.0865000000000002,衍复新擎1000增强一号A期
2022-07-29,1.1035,1.1035,1.1035000000000001,衍复新擎1000增强一号A期
2022-08-01,1.1141,1.1141,1.1141000000000003,衍复新擎1000增强一号A期
2022-08-05,1.1033,1.1033,1.1033000000000002,衍复新擎1000增强一号A期
2022-08-12,1.1314,1.1314,1.1314000000000002,衍复新擎1000增强一号A期
2022-08-15,1.1426,1.1426,1.1426000000000003,衍复新擎1000增强一号A期
2022-08-19,1.1387,1.1387,1.1387000000000003,衍复新擎1000增强一号A期
2022-08-26,1.1055,1.1055,1.1055000000000001,衍复新擎1000增强一号A期
2022-09-01,1.0655,1.0655,1.0655000000000001,衍复新擎1000增强一号A期
2022-09-02,1.0758,1.0758,1.0758000000000003,衍复新擎1000增强一号A期
2022-09-09,1.0962,1.0962,1.0962000000000003,衍复新擎1000增强一号A期
2022-09-15,1.0475,1.0475,1.0475000000000003,衍复新擎1000增强一号A期
2022-09-16,1.0266,1.0266,1.0266000000000002,衍复新擎1000增强一号A期
2022-09-23,1.0139,1.0139,1.0139000000000002,衍复新擎1000增强一号A期
2022-09-30,0.9739,0.9739,0.9739000000000002,衍复新擎1000增强一号A期
2022-10-10,0.9523,0.9523,0.9523000000000003,衍复新擎1000增强一号A期
2022-10-14,1.0221,1.0221,1.0221000000000002,衍复新擎1000增强一号A期
2022-10-17,1.0289,1.0289,1.0289000000000001,衍复新擎1000增强一号A期
2022-10-21,1.0207,1.0207,1.0207000000000002,衍复新擎1000增强一号A期
2022-10-28,0.9818,0.9818,0.9818000000000002,衍复新擎1000增强一号A期
2022-11-01,1.0148,1.0148,1.0148000000000001,衍复新擎1000增强一号A期
2022-11-04,1.0667,1.0667,1.0667000000000002,衍复新擎1000增强一号A期
2022-11-11,1.0571,1.0571,1.0571000000000002,衍复新擎1000增强一号A期
2022-11-15,1.0724,1.0724,1.0724000000000002,衍复新擎1000增强一号A期
2022-11-18,1.0588,1.0588,1.0588000000000002,衍复新擎1000增强一号A期
2022-11-25,1.0401,1.0401,1.0401000000000002,衍复新擎1000增强一号A期
2022-12-01,1.0595,1.0595,1.0595000000000003,衍复新擎1000增强一号A期
2022-12-02,1.0648,1.0648,1.0648000000000002,衍复新擎1000增强一号A期
2022-12-09,1.0626,1.0626,1.0626000000000002,衍复新擎1000增强一号A期
2022-12-15,1.0542,1.0542,1.0542000000000002,衍复新擎1000增强一号A期
2022-12-16,1.0381,1.0381,1.0381000000000002,衍复新擎1000增强一号A期
