日期,单位净值,累计净值,累计单位净值,基金id
2021-12-10,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-17,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-20,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-21,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-22,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-23,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-24,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-27,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-28,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-29,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-30,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2021-12-31,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2022-01-07,1.0,1.0,1.0,诚奇优选中证500指数增强2期
2022-01-14,0.987,0.987,0.987,诚奇优选中证500指数增强2期
2022-01-21,0.973,0.973,0.973,诚奇优选中证500指数增强2期
2022-01-28,0.923,0.923,0.923,诚奇优选中证500指数增强2期
2022-02-11,0.938,0.938,0.9380000000000001,诚奇优选中证500指数增强2期
2022-02-18,0.955,0.955,0.9550000000000001,诚奇优选中证500指数增强2期
2022-02-25,0.963,0.963,0.9630000000000001,诚奇优选中证500指数增强2期
2022-02-28,0.968,0.968,0.9680000000000001,诚奇优选中证500指数增强2期
2022-03-04,0.956,0.956,0.9560000000000001,诚奇优选中证500指数增强2期
2022-03-11,0.922,0.922,0.9220000000000002,诚奇优选中证500指数增强2期
2022-03-18,0.91,0.91,0.9100000000000001,诚奇优选中证500指数增强2期
2022-03-25,0.909,0.909,0.9090000000000001,诚奇优选中证500指数增强2期
2022-03-31,0.913,0.913,0.913,诚奇优选中证500指数增强2期
2022-04-01,0.917,0.917,0.9169999999999999,诚奇优选中证500指数增强2期
2022-04-08,0.899,0.899,0.8989999999999999,诚奇优选中证500指数增强2期
2022-04-15,0.879,0.879,0.8789999999999999,诚奇优选中证500指数增强2期
2022-04-22,0.835,0.835,0.8349999999999999,诚奇优选中证500指数增强2期
2022-04-29,0.817,0.817,0.8169999999999998,诚奇优选中证500指数增强2期
2022-05-06,0.813,0.813,0.8129999999999998,诚奇优选中证500指数增强2期
2022-05-13,0.85,0.85,0.8499999999999999,诚奇优选中证500指数增强2期
2022-05-20,0.878,0.878,0.8779999999999999,诚奇优选中证500指数增强2期
2022-05-27,0.873,0.873,0.8729999999999999,诚奇优选中证500指数增强2期
2022-05-31,0.896,0.896,0.896,诚奇优选中证500指数增强2期
2022-06-02,0.905,0.905,0.9049999999999999,诚奇优选中证500指数增强2期
2022-06-10,0.934,0.934,0.934,诚奇优选中证500指数增强2期
2022-06-17,0.954,0.954,0.954,诚奇优选中证500指数增强2期
2022-06-24,0.972,0.972,0.972,诚奇优选中证500指数增强2期
2022-06-30,0.991,0.991,0.9909999999999999,诚奇优选中证500指数增强2期
2022-07-01,0.991,0.991,0.9909999999999999,诚奇优选中证500指数增强2期
2022-07-08,0.99,0.99,0.9899999999999999,诚奇优选中证500指数增强2期
2022-07-15,0.962,0.962,0.9619999999999999,诚奇优选中证500指数增强2期
2022-07-22,0.98,0.98,0.9799999999999998,诚奇优选中证500指数增强2期
2022-07-29,0.986,0.986,0.9859999999999999,诚奇优选中证500指数增强2期
2022-08-05,0.974,0.974,0.9739999999999999,诚奇优选中证500指数增强2期
