基金代码,基金名称,日期,单位净值,累计净值,复权净值
SQF469,赫富乐想500指数增强1号,2021-09-13,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-14,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-15,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-16,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-17,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-22,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-23,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-24,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-27,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-28,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-29,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-09-30,1.0,1.0,1.0
SQF469,赫富乐想500指数增强1号,2021-10-11,1.0001,1.0001,1.0001
SQF469,赫富乐想500指数增强1号,2021-10-14,0.9999,0.9999,0.9999
SQF469,赫富乐想500指数增强1号,2021-10-21,0.9997,0.9997,0.9997
SQF469,赫富乐想500指数增强1号,2021-10-28,0.9995,0.9995,0.9995
SQF469,赫富乐想500指数增强1号,2021-11-04,1.0014,1.0014,1.0014
SQF469,赫富乐想500指数增强1号,2021-11-11,0.9791,0.9791,0.9791
SQF469,赫富乐想500指数增强1号,2021-11-16,1.0086,1.0086,1.0086
SQF469,赫富乐想500指数增强1号,2021-11-19,1.0058,1.0058,1.0058
SQF469,赫富乐想500指数增强1号,2021-11-25,1.0151,1.0151,1.0151
SQF469,赫富乐想500指数增强1号,2021-12-02,1.0198,1.0198,1.0198
SQF469,赫富乐想500指数增强1号,2021-12-09,1.0296,1.0296,1.0296
SQF469,赫富乐想500指数增强1号,2021-12-16,1.0162,1.0162,1.0162
SQF469,赫富乐想500指数增强1号,2021-12-17,1.0247,1.0247,1.0247
SQF469,赫富乐想500指数增强1号,2021-12-23,1.0174,1.0174,1.0174
SQF469,赫富乐想500指数增强1号,2021-12-30,1.0098,1.0098,1.0098
SQF469,赫富乐想500指数增强1号,2022-01-07,1.0187,1.0187,1.0187
SQF469,赫富乐想500指数增强1号,2022-01-13,0.9715,0.9715,0.9715
SQF469,赫富乐想500指数增强1号,2022-01-18,0.9554,0.9554,0.9554
SQF469,赫富乐想500指数增强1号,2022-01-21,0.9696,0.9696,0.9696
SQF469,赫富乐想500指数增强1号,2022-01-27,0.9448,0.9448,0.9448
SQF469,赫富乐想500指数增强1号,2022-02-10,0.8924,0.8924,0.8924
SQF469,赫富乐想500指数增强1号,2022-02-15,0.9013,0.9013,0.9013
SQF469,赫富乐想500指数增强1号,2022-02-21,0.9097,0.9097,0.9097
SQF469,赫富乐想500指数增强1号,2022-02-24,0.9256,0.9256,0.9256
SQF469,赫富乐想500指数增强1号,2022-03-03,0.939,0.939,0.939
SQF469,赫富乐想500指数增强1号,2022-03-10,0.9273,0.9273,0.9273
SQF469,赫富乐想500指数增强1号,2022-03-15,0.8885,0.8885,0.8885
SQF469,赫富乐想500指数增强1号,2022-03-21,0.8167,0.8167,0.8167
SQF469,赫富乐想500指数增强1号,2022-03-24,0.8815,0.8815,0.8814999999999998
SQF469,赫富乐想500指数增强1号,2022-03-31,0.8808,0.8808,0.8807999999999999
SQF469,赫富乐想500指数增强1号,2022-04-11,0.8887,0.8887,0.8886999999999999
SQF469,赫富乐想500指数增强1号,2022-04-14,0.8646,0.8646,0.8645999999999999
SQF469,赫富乐想500指数增强1号,2022-04-21,0.8396,0.8396,0.8395999999999999
SQF469,赫富乐想500指数增强1号,2022-04-28,0.7914,0.7914,0.7913999999999999
SQF469,赫富乐想500指数增强1号,2022-05-06,0.7769,0.7769,0.7768999999999999
SQF469,赫富乐想500指数增强1号,2022-05-12,0.7757,0.7757,0.7756999999999998
SQF469,赫富乐想500指数增强1号,2022-05-17,0.8202,0.8202,0.8202
SQF469,赫富乐想500指数增强1号,2022-05-20,0.8191,0.8191,0.8191
SQF469,赫富乐想500指数增强1号,2022-05-26,0.8545,0.8545,0.8545
SQF469,赫富乐想500指数增强1号,2022-06-02,0.8477,0.8477,0.8477
SQF469,赫富乐想500指数增强1号,2022-06-09,0.8754,0.8754,0.8754
SQF469,赫富乐想500指数增强1号,2022-06-16,0.9238,0.9238,0.9238
SQF469,赫富乐想500指数增强1号,2022-06-17,0.927,0.927,0.9270000000000002
SQF469,赫富乐想500指数增强1号,2022-06-23,0.9429,0.9429,0.9429
SQF469,赫富乐想500指数增强1号,2022-06-30,0.9633,0.9633,0.9633
SQF469,赫富乐想500指数增强1号,2022-07-07,0.9822,0.9822,0.9822
SQF469,赫富乐想500指数增强1号,2022-07-14,0.9884,0.9884,0.9884
SQF469,赫富乐想500指数增强1号,2022-07-21,0.9627,0.9627,0.9627
