基金代码,基金名称,日期,单位净值,累计净值
SQJ763,睿郡财富11号1期,2021-06-07,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-09,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-10,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-11,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-15,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-16,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-17,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-18,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-21,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-22,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-23,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-28,1.0,1.0
SQJ763,睿郡财富11号1期,2021-07-01,1.0,1.0
SQJ763,睿郡财富11号1期,2021-07-06,0.999,0.999
SQJ763,睿郡财富11号1期,2021-07-07,1.0,1.0
SQJ763,睿郡财富11号1期,2021-07-08,1.0,1.0
SQJ763,睿郡财富11号1期,2021-07-09,1.0,1.0
SQJ763,睿郡财富11号1期,2021-07-12,0.999,0.999
SQJ763,睿郡财富11号1期,2021-07-13,1.001,1.001
SQJ763,睿郡财富11号1期,2021-07-16,1.001,1.001
SQJ763,睿郡财富11号1期,2021-07-22,1.004,1.004
SQJ763,睿郡财富11号1期,2021-07-29,1.006,1.006
SQJ763,睿郡财富11号1期,2021-08-05,0.998,0.998
SQJ763,睿郡财富11号1期,2021-08-09,1.0,1.0
SQJ763,睿郡财富11号1期,2021-08-10,1.0,1.0
SQJ763,睿郡财富11号1期,2021-08-12,1.009,1.009
SQJ763,睿郡财富11号1期,2021-08-16,1.01,1.01
SQJ763,睿郡财富11号1期,2021-08-19,1.007,1.007
SQJ763,睿郡财富11号1期,2021-08-26,0.993,0.993
SQJ763,睿郡财富11号1期,2021-09-02,0.994,0.994
SQJ763,睿郡财富11号1期,2021-09-07,0.995,0.995
SQJ763,睿郡财富11号1期,2021-09-08,1.0,1.0
SQJ763,睿郡财富11号1期,2021-09-09,1.004,1.004
SQJ763,睿郡财富11号1期,2021-09-13,1.001,1.001
SQJ763,睿郡财富11号1期,2021-09-16,1.003,1.003
SQJ763,睿郡财富11号1期,2021-09-27,0.982,0.982
SQJ763,睿郡财富11号1期,2021-09-30,0.978,0.978
SQJ763,睿郡财富11号1期,2021-10-11,0.977,0.977
SQJ763,睿郡财富11号1期,2021-10-12,0.982,0.982
SQJ763,睿郡财富11号1期,2021-10-14,0.985,0.985
SQJ763,睿郡财富11号1期,2021-10-15,0.979,0.979
SQJ763,睿郡财富11号1期,2021-10-18,0.98,0.98
SQJ763,睿郡财富11号1期,2021-10-21,0.983,0.983
SQJ763,睿郡财富11号1期,2021-10-28,0.985,0.985
SQJ763,睿郡财富11号1期,2021-11-04,0.978,0.978
SQJ763,睿郡财富11号1期,2021-11-09,1.002,1.002
SQJ763,睿郡财富11号1期,2021-11-10,1.001,1.001
SQJ763,睿郡财富11号1期,2021-11-12,1.005,1.005
SQJ763,睿郡财富11号1期,2021-11-15,1.01,1.01
SQJ763,睿郡财富11号1期,2021-11-18,1.014,1.014
SQJ763,睿郡财富11号1期,2021-11-25,1.018,1.018
SQJ763,睿郡财富11号1期,2021-12-02,1.02,1.02
SQJ763,睿郡财富11号1期,2021-12-07,1.023,1.023
SQJ763,睿郡财富11号1期,2021-12-08,1.014,1.014
SQJ763,睿郡财富11号1期,2021-12-09,1.008,1.008
SQJ763,睿郡财富11号1期,2021-12-10,1.013,1.013
SQJ763,睿郡财富11号1期,2021-12-13,1.02,1.02
SQJ763,睿郡财富11号1期,2021-12-16,1.02,1.02
SQJ763,睿郡财富11号1期,2021-12-23,1.017,1.017
SQJ763,睿郡财富11号1期,2021-12-30,1.024,1.024
SQJ763,睿郡财富11号1期,2022-01-05,1.036,1.036
SQJ763,睿郡财富11号1期,2022-01-07,1.042,1.042
SQJ763,睿郡财富11号1期,2022-01-10,1.04,1.04
SQJ763,睿郡财富11号1期,2022-01-11,1.042,1.042
SQJ763,睿郡财富11号1期,2022-01-12,1.051,1.051
SQJ763,睿郡财富11号1期,2022-01-17,1.043,1.043
SQJ763,睿郡财富11号1期,2022-01-20,1.04,1.04
SQJ763,睿郡财富11号1期,2022-01-27,1.04,1.04
SQJ763,睿郡财富11号1期,2022-02-08,1.017,1.017
SQJ763,睿郡财富11号1期,2022-02-09,1.035,1.035
SQJ763,睿郡财富11号1期,2022-02-11,1.053,1.053
SQJ763,睿郡财富11号1期,2022-02-14,1.053,1.053
SQJ763,睿郡财富11号1期,2022-02-17,1.044,1.044
SQJ763,睿郡财富11号1期,2022-02-24,1.023,1.023
SQJ763,睿郡财富11号1期,2022-03-03,1.01,1.01
SQJ763,睿郡财富11号1期,2022-03-08,0.991,0.991
SQJ763,睿郡财富11号1期,2022-03-09,0.978,0.978
SQJ763,睿郡财富11号1期,2022-03-10,0.955,0.955
SQJ763,睿郡财富11号1期,2022-03-11,0.95,0.95
SQJ763,睿郡财富11号1期,2022-03-14,0.961,0.961
SQJ763,睿郡财富11号1期,2022-03-17,0.962,0.962
SQJ763,睿郡财富11号1期,2022-03-24,0.955,0.955
SQJ763,睿郡财富11号1期,2022-03-31,0.948,0.948
SQJ763,睿郡财富11号1期,2022-04-07,0.952,0.952
SQJ763,睿郡财富11号1期,2022-04-08,0.957,0.957
SQJ763,睿郡财富11号1期,2022-04-11,0.947,0.947
SQJ763,睿郡财富11号1期,2022-04-12,0.947,0.947
SQJ763,睿郡财富11号1期,2022-04-13,0.932,0.932
SQJ763,睿郡财富11号1期,2022-04-18,0.935,0.935
SQJ763,睿郡财富11号1期,2022-04-21,0.936,0.936
SQJ763,睿郡财富11号1期,2022-04-28,0.925,0.925
SQJ763,睿郡财富11号1期,2022-05-06,0.919,0.919
SQJ763,睿郡财富11号1期,2022-05-10,0.918,0.918
SQJ763,睿郡财富11号1期,2022-05-11,0.912,0.912
SQJ763,睿郡财富11号1期,2022-05-12,0.915,0.915
SQJ763,睿郡财富11号1期,2022-05-13,0.916,0.916
SQJ763,睿郡财富11号1期,2022-05-16,0.92,0.92
SQJ763,睿郡财富11号1期,2022-05-19,0.927,0.927
SQJ763,睿郡财富11号1期,2022-05-26,0.938,0.938
SQJ763,睿郡财富11号1期,2022-06-02,0.935,0.935
SQJ763,睿郡财富11号1期,2022-06-07,0.947,0.947
SQJ763,睿郡财富11号1期,2022-06-08,0.953,0.953
SQJ763,睿郡财富11号1期,2022-06-09,0.95,0.95
SQJ763,睿郡财富11号1期,2022-06-10,0.954,0.954
SQJ763,睿郡财富11号1期,2022-06-13,0.95,0.95
SQJ763,睿郡财富11号1期,2022-06-16,0.954,0.954
SQJ763,睿郡财富11号1期,2022-06-23,0.959,0.959
SQJ763,睿郡财富11号1期,2022-06-30,0.964,0.964
SQJ763,睿郡财富11号1期,2022-07-05,0.978,0.978
SQJ763,睿郡财富11号1期,2022-07-07,0.981,0.981
SQJ763,睿郡财富11号1期,2022-07-08,0.978,0.978
SQJ763,睿郡财富11号1期,2022-07-11,0.98,0.98
SQJ763,睿郡财富11号1期,2022-07-12,0.985,0.985
SQJ763,睿郡财富11号1期,2022-07-15,0.98,0.98
SQJ763,睿郡财富11号1期,2022-07-21,0.974,0.974
SQJ763,睿郡财富11号1期,2022-07-28,0.979,0.979
SQJ763,睿郡财富11号1期,2022-08-04,0.98,0.98
SQJ763,睿郡财富11号1期,2022-08-09,0.987,0.987
SQJ763,睿郡财富11号1期,2022-08-10,0.99,0.99
SQJ763,睿郡财富11号1期,2022-08-11,0.991,0.991
SQJ763,睿郡财富11号1期,2022-08-12,0.989,0.989
SQJ763,睿郡财富11号1期,2022-08-15,0.997,0.997
SQJ763,睿郡财富11号1期,2022-08-18,0.998,0.998
SQJ763,睿郡财富11号1期,2022-08-25,1.001,1.001
SQJ763,睿郡财富11号1期,2022-09-01,0.99,0.99
SQJ763,睿郡财富11号1期,2022-09-06,0.979,0.979
SQJ763,睿郡财富11号1期,2022-09-07,0.977,0.977
SQJ763,睿郡财富11号1期,2022-09-08,0.983,0.983
SQJ763,睿郡财富11号1期,2022-09-09,0.985,0.985
SQJ763,睿郡财富11号1期,2022-09-13,0.98,0.98
SQJ763,睿郡财富11号1期,2022-09-14,0.988,0.988
SQJ763,睿郡财富11号1期,2022-09-19,0.989,0.989
SQJ763,睿郡财富11号1期,2022-09-22,0.966,0.966
SQJ763,睿郡财富11号1期,2022-09-29,0.959,0.959
SQJ763,睿郡财富11号1期,2022-10-11,0.942,0.942
SQJ763,睿郡财富11号1期,2022-10-12,0.936,0.936
SQJ763,睿郡财富11号1期,2022-10-13,0.937,0.937
SQJ763,睿郡财富11号1期,2022-10-14,0.945,0.945
SQJ763,睿郡财富11号1期,2022-10-17,0.947,0.947
SQJ763,睿郡财富11号1期,2022-10-20,0.958,0.958
SQJ763,睿郡财富11号1期,2022-10-27,0.954,0.954
SQJ763,睿郡财富11号1期,2022-11-03,0.929,0.929
SQJ763,睿郡财富11号1期,2022-11-08,0.966,0.966
SQJ763,睿郡财富11号1期,2022-11-09,0.967,0.967
SQJ763,睿郡财富11号1期,2022-11-10,0.965,0.965
SQJ763,睿郡财富11号1期,2022-11-11,0.966,0.966
SQJ763,睿郡财富11号1期,2022-11-14,0.962,0.962
SQJ763,睿郡财富11号1期,2022-11-17,0.975,0.975
SQJ763,睿郡财富11号1期,2022-11-24,0.982,0.982
SQJ763,睿郡财富11号1期,2022-12-01,0.997,0.997
SQJ763,睿郡财富11号1期,2022-12-06,1.018,1.018
SQJ763,睿郡财富11号1期,2022-12-07,1.036,1.036
SQJ763,睿郡财富11号1期,2022-12-08,1.028,1.028
SQJ763,睿郡财富11号1期,2022-12-09,1.012,1.012
SQJ763,睿郡财富11号1期,2022-12-12,1.01,1.01
SQJ763,睿郡财富11号1期,2022-12-13,1.013,1.013
SQJ763,睿郡财富11号1期,2022-12-16,1.014,1.014
SQJ763,睿郡财富11号1期,2022-12-22,1.002,1.002
SQJ763,睿郡财富11号1期,2022-12-29,1.0,1.0
SQJ763,睿郡财富11号1期,2023-01-06,1.001,1.001
SQJ763,睿郡财富11号1期,2023-01-09,1.029,1.029
SQJ763,睿郡财富11号1期,2023-01-10,1.03,1.03
SQJ763,睿郡财富11号1期,2023-01-11,1.033,1.033
SQJ763,睿郡财富11号1期,2023-01-12,1.031,1.031
SQJ763,睿郡财富11号1期,2023-01-16,1.034,1.034
SQJ763,睿郡财富11号1期,2023-01-17,1.038,1.038
SQJ763,睿郡财富11号1期,2023-02-03,1.064,1.064
SQJ763,睿郡财富11号1期,2023-02-07,1.069,1.069
SQJ763,睿郡财富11号1期,2023-02-08,1.058,1.058
SQJ763,睿郡财富11号1期,2023-02-09,1.064,1.064
SQJ763,睿郡财富11号1期,2023-02-10,1.059,1.059
SQJ763,睿郡财富11号1期,2023-02-13,1.069,1.069
SQJ763,睿郡财富11号1期,2023-02-16,1.074,1.074
SQJ763,睿郡财富11号1期,2023-02-23,1.08,1.08
SQJ763,睿郡财富11号1期,2023-03-02,1.077,1.077
SQJ763,睿郡财富11号1期,2023-03-07,1.12,1.12
SQJ763,睿郡财富11号1期,2023-03-08,1.13,1.13
SQJ763,睿郡财富11号1期,2023-03-09,1.106,1.106
SQJ763,睿郡财富11号1期,2023-03-10,1.115,1.115
SQJ763,睿郡财富11号1期,2023-03-13,1.122,1.122
SQJ763,睿郡财富11号1期,2023-03-16,1.088,1.088
SQJ763,睿郡财富11号1期,2023-03-23,1.099,1.099
SQJ763,睿郡财富11号1期,2023-03-30,1.086,1.086
SQJ763,睿郡财富11号1期,2023-04-07,1.098,1.098
SQJ763,睿郡财富11号1期,2023-04-10,1.125,1.125
SQJ763,睿郡财富11号1期,2023-04-11,1.126,1.126
SQJ763,睿郡财富11号1期,2023-04-12,1.124,1.124
SQJ763,睿郡财富11号1期,2023-04-13,1.126,1.126
SQJ763,睿郡财富11号1期,2023-04-14,1.136,1.136
SQJ763,睿郡财富11号1期,2023-04-20,1.139,1.139
