基金代码,基金名称,日期,单位净值,累计净值,复权净值
SSB167,天演天睿,2021-08-31,1.0,1.0,1.0
SSB167,天演天睿,2021-09-02,1.0,1.0,1.0
SSB167,天演天睿,2021-09-03,1.0,1.0,1.0
SSB167,天演天睿,2021-09-06,1.0,1.0,1.0
SSB167,天演天睿,2021-09-07,1.0,1.0,1.0
SSB167,天演天睿,2021-09-10,1.0,1.0,1.0
SSB167,天演天睿,2021-09-16,1.0001,1.0001,1.0001
SSB167,天演天睿,2021-09-27,1.0001,1.0001,1.0001
SSB167,天演天睿,2021-09-30,1.0001,1.0001,1.0001
SSB167,天演天睿,2021-10-11,1.0001,1.0001,1.0001
SSB167,天演天睿,2021-10-14,1.0002,1.0002,1.0002
SSB167,天演天睿,2021-10-21,0.9951,0.9951,0.9951
SSB167,天演天睿,2021-10-28,0.998,0.998,0.998
SSB167,天演天睿,2021-11-04,0.9678,0.9678,0.9678
SSB167,天演天睿,2021-11-11,0.9303,0.9303,0.9303
SSB167,天演天睿,2021-11-18,0.9529,0.9529,0.9529
SSB167,天演天睿,2021-11-25,0.9615,0.9615,0.9615000000000002
SSB167,天演天睿,2021-12-02,0.9783,0.9783,0.9783000000000004
SSB167,天演天睿,2021-12-09,0.9917,0.9917,0.9917000000000002
SSB167,天演天睿,2021-12-16,0.9782,0.9782,0.9782000000000002
SSB167,天演天睿,2021-12-23,0.976,0.976,0.9760000000000002
SSB167,天演天睿,2021-12-30,0.9673,0.9673,0.9673000000000004
SSB167,天演天睿,2022-01-07,0.9878,0.9878,0.9878000000000002
SSB167,天演天睿,2022-01-11,0.9587,0.9587,0.9587000000000002
SSB167,天演天睿,2022-01-18,0.9571,0.9571,0.9571000000000002
SSB167,天演天睿,2022-01-26,0.9336,0.9336,0.9336000000000002
SSB167,天演天睿,2022-02-08,0.8881,0.8881,0.8881000000000002
SSB167,天演天睿,2022-02-11,0.8968,0.8968,0.8968000000000002
SSB167,天演天睿,2022-02-17,0.8888,0.8888,0.8888000000000001
SSB167,天演天睿,2022-02-24,0.916,0.916,0.916
SSB167,天演天睿,2022-03-03,0.9299,0.9299,0.9299
SSB167,天演天睿,2022-03-10,0.9275,0.9275,0.9275
SSB167,天演天睿,2022-03-17,0.8991,0.8991,0.8991000000000001
SSB167,天演天睿,2022-03-24,0.8917,0.8917,0.8917000000000002
SSB167,天演天睿,2022-03-31,0.8967,0.8967,0.8967000000000002
SSB167,天演天睿,2022-04-11,0.8972,0.8972,0.8972000000000002
SSB167,天演天睿,2022-04-14,0.8758,0.8758,0.8758000000000002
SSB167,天演天睿,2022-04-21,0.8466,0.8466,0.8466000000000002
SSB167,天演天睿,2022-04-28,0.8079,0.8079,0.8079000000000002
SSB167,天演天睿,2022-05-06,0.7664,0.7664,0.7664000000000002
SSB167,天演天睿,2022-05-12,0.7736,0.7736,0.7736000000000002
SSB167,天演天睿,2022-05-19,0.819,0.819,0.8190000000000002
SSB167,天演天睿,2022-05-26,0.8484,0.8484,0.8484000000000003
SSB167,天演天睿,2022-06-02,0.8488,0.8488,0.8488000000000003
SSB167,天演天睿,2022-06-07,0.8877,0.8877,0.8877000000000004
SSB167,天演天睿,2022-06-10,0.9069,0.9069,0.9069000000000004
SSB167,天演天睿,2022-06-16,0.9055,0.9055,0.9055000000000002
