日期,单位净值,累计净值,累计单位净值,基金id
2021-08-10,1.0,1.0,1.0,高毅任昊致福25期A
2021-08-11,1.0,1.0,1.0,高毅任昊致福25期A
2021-08-12,1.0,1.0,1.0,高毅任昊致福25期A
2021-08-13,1.0,1.0,1.0,高毅任昊致福25期A
2021-08-16,1.0,1.0,1.0,高毅任昊致福25期A
2021-08-17,1.0,1.0,1.0,高毅任昊致福25期A
2021-08-18,1.0,1.0,1.0,高毅任昊致福25期A
2021-08-19,1.0,1.0,1.0,高毅任昊致福25期A
2021-08-20,1.0,1.0,1.0,高毅任昊致福25期A
2021-08-30,1.0001,1.0001,1.0001,高毅任昊致福25期A
2021-08-31,0.9993,0.9993,0.9993,高毅任昊致福25期A
2021-09-06,1.0041,1.0041,1.0041,高毅任昊致福25期A
2021-09-09,0.9958,0.9958,0.9958,高毅任昊致福25期A
2021-09-16,1.0018,1.0018,1.0018,高毅任昊致福25期A
2021-09-27,0.9877,0.9877,0.9877,高毅任昊致福25期A
2021-09-30,0.9772,0.9772,0.9772,高毅任昊致福25期A
2021-10-11,0.975,0.975,0.975,高毅任昊致福25期A
2021-10-12,0.9748,0.9748,0.9748,高毅任昊致福25期A
2021-10-18,0.9764,0.9764,0.9764,高毅任昊致福25期A
2021-10-21,0.9865,0.9865,0.9864999999999999,高毅任昊致福25期A
2021-10-28,0.9913,0.9913,0.9913,高毅任昊致福25期A
2021-11-04,0.9901,0.9901,0.9901,高毅任昊致福25期A
2021-11-11,0.9799,0.9799,0.9799,高毅任昊致福25期A
2021-11-12,0.982,0.982,0.982,高毅任昊致福25期A
2021-11-18,0.9944,0.9944,0.9943999999999998,高毅任昊致福25期A
2021-11-25,0.9876,0.9876,0.9875999999999999,高毅任昊致福25期A
2021-11-30,0.9665,0.9665,0.9664999999999999,高毅任昊致福25期A
2021-12-06,0.9698,0.9698,0.9697999999999998,高毅任昊致福25期A
2021-12-09,0.9651,0.9651,0.9650999999999997,高毅任昊致福25期A
2021-12-16,0.9767,0.9767,0.9766999999999997,高毅任昊致福25期A
2021-12-23,0.9504,0.9504,0.9503999999999997,高毅任昊致福25期A
2021-12-30,0.9444,0.9444,0.9443999999999997,高毅任昊致福25期A
2022-01-07,0.9473,0.9473,0.9472999999999997,高毅任昊致福25期A
2022-01-11,0.9115,0.9115,0.9114999999999996,高毅任昊致福25期A
2022-01-14,0.9113,0.9113,0.9112999999999997,高毅任昊致福25期A
2022-01-20,0.9213,0.9213,0.9212999999999997,高毅任昊致福25期A
2022-01-27,0.9198,0.9198,0.9197999999999996,高毅任昊致福25期A
2022-02-10,0.8907,0.8907,0.8906999999999997,高毅任昊致福25期A
2022-02-14,0.9095,0.9095,0.9094999999999996,高毅任昊致福25期A
2022-02-17,0.8994,0.8994,0.8993999999999996,高毅任昊致福25期A
2022-02-24,0.895,0.895,0.8949999999999997,高毅任昊致福25期A
2022-03-01,0.8845,0.8845,0.8844999999999996,高毅任昊致福25期A
2022-03-04,0.89,0.89,0.8899999999999997,高毅任昊致福25期A
2022-03-10,0.8623,0.8623,0.8622999999999996,高毅任昊致福25期A
2022-03-14,0.8254,0.8254,0.8253999999999997,高毅任昊致福25期A
2022-03-17,0.8165,0.8165,0.8164999999999997,高毅任昊致福25期A
2022-03-24,0.8231,0.8231,0.8230999999999997,高毅任昊致福25期A
2022-03-31,0.8173,0.8173,0.8172999999999997,高毅任昊致福25期A
2022-04-06,0.8201,0.8201,0.8200999999999998,高毅任昊致福25期A
2022-04-11,0.8289,0.8289,0.8288999999999997,高毅任昊致福25期A
2022-04-12,0.8177,0.8177,0.8176999999999998,高毅任昊致福25期A
2022-04-15,0.7923,0.7923,0.7922999999999998,高毅任昊致福25期A
2022-04-21,0.8024,0.8024,0.8023999999999999,高毅任昊致福25期A
2022-04-28,0.7706,0.7706,0.7705999999999998,高毅任昊致福25期A
2022-05-06,0.7923,0.7923,0.7922999999999999,高毅任昊致福25期A
2022-05-12,0.7651,0.7651,0.7650999999999999,高毅任昊致福25期A
2022-05-13,0.7623,0.7623,0.7622999999999999,高毅任昊致福25期A
2022-05-19,0.7783,0.7783,0.7782999999999999,高毅任昊致福25期A
2022-05-26,0.7913,0.7913,0.7912999999999998,高毅任昊致福25期A
2022-05-31,0.791,0.791,0.7909999999999998,高毅任昊致福25期A
2022-06-02,0.8056,0.8056,0.8055999999999998,高毅任昊致福25期A
2022-06-09,0.8081,0.8081,0.8080999999999999,高毅任昊致福25期A
2022-06-16,0.8251,0.8251,0.8250999999999998,高毅任昊致福25期A
2022-06-23,0.815,0.815,0.8149999999999998,高毅任昊致福25期A
2022-06-30,0.8373,0.8373,0.8373,高毅任昊致福25期A
2022-07-04,0.8451,0.8451,0.8450999999999999,高毅任昊致福25期A
2022-07-07,0.8463,0.8463,0.8462999999999999,高毅任昊致福25期A
2022-07-12,0.8449,0.8449,0.8448999999999999,高毅任昊致福25期A
2022-07-15,0.8253,0.8253,0.8252999999999999,高毅任昊致福25期A
2022-07-21,0.8131,0.8131,0.8130999999999999,高毅任昊致福25期A
2022-07-28,0.8228,0.8228,0.8228,高毅任昊致福25期A
