基金代码,基金名称,日期,单位净值,累计净值
SSG488,明汯乐享股票精选2号,2021-10-22,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-10-25,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-10-26,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-10-27,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-10-28,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-10-29,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-11-01,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-11-02,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-11-03,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-11-04,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-11-05,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-11-08,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-11-12,1.0001,1.0001
SSG488,明汯乐享股票精选2号,2021-11-15,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-11-19,1.0,1.0
SSG488,明汯乐享股票精选2号,2021-11-26,1.0006,1.0006
SSG488,明汯乐享股票精选2号,2021-11-30,1.0092,1.0092
SSG488,明汯乐享股票精选2号,2021-12-03,1.0128,1.0128
SSG488,明汯乐享股票精选2号,2021-12-10,0.9971,0.9971
SSG488,明汯乐享股票精选2号,2021-12-15,1.0028,1.0028
SSG488,明汯乐享股票精选2号,2021-12-17,0.9977,0.9977
SSG488,明汯乐享股票精选2号,2021-12-24,0.9821,0.9821
SSG488,明汯乐享股票精选2号,2021-12-31,1.0112,1.0112
SSG488,明汯乐享股票精选2号,2022-01-07,0.9673,0.9673
SSG488,明汯乐享股票精选2号,2022-01-14,0.9673,0.9673
SSG488,明汯乐享股票精选2号,2022-01-17,0.9874,0.9874
SSG488,明汯乐享股票精选2号,2022-01-21,0.9421,0.9421
SSG488,明汯乐享股票精选2号,2022-01-28,0.8969,0.8969
SSG488,明汯乐享股票精选2号,2022-02-11,0.8927,0.8927
SSG488,明汯乐享股票精选2号,2022-02-15,0.9151,0.9151
SSG488,明汯乐享股票精选2号,2022-02-18,0.9331,0.9331
SSG488,明汯乐享股票精选2号,2022-02-25,0.9498,0.9498
SSG488,明汯乐享股票精选2号,2022-02-28,0.9527,0.9527
SSG488,明汯乐享股票精选2号,2022-03-04,0.9444,0.9444
SSG488,明汯乐享股票精选2号,2022-03-11,0.9152,0.9152
SSG488,明汯乐享股票精选2号,2022-03-15,0.843,0.843
SSG488,明汯乐享股票精选2号,2022-03-18,0.9094,0.9094
SSG488,明汯乐享股票精选2号,2022-03-25,0.9092,0.9092
SSG488,明汯乐享股票精选2号,2022-03-31,0.9087,0.9087
SSG488,明汯乐享股票精选2号,2022-04-01,0.9097,0.9097
SSG488,明汯乐享股票精选2号,2022-04-08,0.885,0.885
SSG488,明汯乐享股票精选2号,2022-04-15,0.8562,0.8562
SSG488,明汯乐享股票精选2号,2022-04-22,0.8109,0.8109
SSG488,明汯乐享股票精选2号,2022-04-29,0.7847,0.7847
SSG488,明汯乐享股票精选2号,2022-05-06,0.7848,0.7848
