基金代码,基金名称,日期,单位净值,累计净值,复权净值
SSJ285,聚鸣匠传11号,2021-09-02,1.0,1.0,1.0
SSJ285,聚鸣匠传11号,2021-09-08,1.0,1.0,1.0
SSJ285,聚鸣匠传11号,2021-09-09,1.0,1.0,1.0
SSJ285,聚鸣匠传11号,2021-09-10,1.0,1.0,1.0
SSJ285,聚鸣匠传11号,2021-09-13,1.0,1.0,1.0
SSJ285,聚鸣匠传11号,2021-09-14,1.0,1.0,1.0
SSJ285,聚鸣匠传11号,2021-09-15,1.0,1.0,1.0
SSJ285,聚鸣匠传11号,2021-09-22,1.0,1.0,1.0
SSJ285,聚鸣匠传11号,2021-09-27,1.0001,1.0001,1.0001
SSJ285,聚鸣匠传11号,2021-09-30,1.0,1.0,1.0
SSJ285,聚鸣匠传11号,2021-10-11,0.9999,0.9999,0.9999
SSJ285,聚鸣匠传11号,2021-10-14,0.9996,0.9996,0.9996
SSJ285,聚鸣匠传11号,2021-10-21,0.9983,0.9983,0.9983
SSJ285,聚鸣匠传11号,2021-10-28,0.9961,0.9961,0.9961
SSJ285,聚鸣匠传11号,2021-11-04,0.9985,0.9985,0.9985
SSJ285,聚鸣匠传11号,2021-11-09,1.0163,1.0163,1.0163
SSJ285,聚鸣匠传11号,2021-11-12,1.0204,1.0204,1.0204
SSJ285,聚鸣匠传11号,2021-11-18,1.0463,1.0463,1.0463
SSJ285,聚鸣匠传11号,2021-11-25,1.0605,1.0605,1.0605
SSJ285,聚鸣匠传11号,2021-12-02,1.0739,1.0739,1.0739
SSJ285,聚鸣匠传11号,2021-12-09,1.0879,1.0879,1.0879
SSJ285,聚鸣匠传11号,2021-12-10,1.0655,1.0655,1.0655
SSJ285,聚鸣匠传11号,2021-12-16,1.0675,1.0675,1.0675
SSJ285,聚鸣匠传11号,2021-12-23,1.0556,1.0556,1.0556
SSJ285,聚鸣匠传11号,2021-12-28,1.0495,1.0495,1.0495
SSJ285,聚鸣匠传11号,2022-01-04,1.0614,1.0614,1.0614
SSJ285,聚鸣匠传11号,2022-01-07,1.0822,1.0822,1.0822
SSJ285,聚鸣匠传11号,2022-01-11,1.0348,1.0348,1.0348
SSJ285,聚鸣匠传11号,2022-01-14,1.0413,1.0413,1.0413
SSJ285,聚鸣匠传11号,2022-01-18,1.0279,1.0279,1.0279
SSJ285,聚鸣匠传11号,2022-01-21,1.0329,1.0329,1.0329
SSJ285,聚鸣匠传11号,2022-01-27,1.0118,1.0118,1.0118
SSJ285,聚鸣匠传11号,2022-02-07,1.0035,1.0035,1.0035
SSJ285,聚鸣匠传11号,2022-02-10,1.0015,1.0015,1.0015
SSJ285,聚鸣匠传11号,2022-02-11,1.0003,1.0003,1.0003
SSJ285,聚鸣匠传11号,2022-02-17,0.9833,0.9833,0.9833
SSJ285,聚鸣匠传11号,2022-02-24,0.9976,0.9976,0.9976
SSJ285,聚鸣匠传11号,2022-03-03,1.0045,1.0045,1.0045
SSJ285,聚鸣匠传11号,2022-03-08,0.9832,0.9832,0.9832
SSJ285,聚鸣匠传11号,2022-03-14,0.943,0.943,0.943
SSJ285,聚鸣匠传11号,2022-03-17,0.9416,0.9416,0.9416
SSJ285,聚鸣匠传11号,2022-03-24,0.9387,0.9387,0.9387
SSJ285,聚鸣匠传11号,2022-03-31,0.9287,0.9287,0.9287
SSJ285,聚鸣匠传11号,2022-04-11,0.9279,0.9279,0.9279
SSJ285,聚鸣匠传11号,2022-04-14,0.9136,0.9136,0.9136
SSJ285,聚鸣匠传11号,2022-04-21,0.8856,0.8856,0.8856
SSJ285,聚鸣匠传11号,2022-04-28,0.8709,0.8709,0.8709
SSJ285,聚鸣匠传11号,2022-05-06,0.8715,0.8715,0.8714999999999999
SSJ285,聚鸣匠传11号,2022-05-10,0.8683,0.8683,0.8682999999999998
SSJ285,聚鸣匠传11号,2022-05-16,0.8683,0.8683,0.8682999999999998
SSJ285,聚鸣匠传11号,2022-05-19,0.8843,0.8843,0.8842999999999999
SSJ285,聚鸣匠传11号,2022-05-26,0.9056,0.9056,0.9055999999999998
SSJ285,聚鸣匠传11号,2022-06-02,0.902,0.902,0.902
SSJ285,聚鸣匠传11号,2022-06-09,0.9379,0.9379,0.9379
SSJ285,聚鸣匠传11号,2022-06-10,0.937,0.937,0.937
SSJ285,聚鸣匠传11号,2022-06-16,0.9441,0.9441,0.9441
SSJ285,聚鸣匠传11号,2022-06-23,0.9683,0.9683,0.9683
SSJ285,聚鸣匠传11号,2022-06-30,1.0145,1.0145,1.0145
SSJ285,聚鸣匠传11号,2022-07-07,0.9919,0.9919,0.9919
SSJ285,聚鸣匠传11号,2022-07-14,0.9887,0.9887,0.9887
SSJ285,聚鸣匠传11号,2022-07-21,0.9982,0.9982,0.9982
SSJ285,聚鸣匠传11号,2022-07-28,1.0155,1.0155,1.0154999999999998
SSJ285,聚鸣匠传11号,2022-08-04,1.0682,1.0682,1.0681999999999998
SSJ285,聚鸣匠传11号,2022-08-09,1.0803,1.0803,1.0802999999999998
SSJ285,聚鸣匠传11号,2022-08-12,1.1091,1.1091,1.1090999999999998
SSJ285,聚鸣匠传11号,2022-08-18,1.1042,1.1042,1.1041999999999998
SSJ285,聚鸣匠传11号,2022-08-25,1.1376,1.1376,1.1375999999999995
SSJ285,聚鸣匠传11号,2022-09-01,1.087,1.087,1.0869999999999995
SSJ285,聚鸣匠传11号,2022-09-08,1.0572,1.0572,1.0571999999999997
SSJ285,聚鸣匠传11号,2022-09-13,1.0789,1.0789,1.0788999999999995
SSJ285,聚鸣匠传11号,2022-09-16,1.0727,1.0727,1.0726999999999995
SSJ285,聚鸣匠传11号,2022-09-22,1.0246,1.0246,1.0245999999999995
SSJ285,聚鸣匠传11号,2022-09-29,0.9976,0.9976,0.9975999999999996
SSJ285,聚鸣匠传11号,2022-10-11,0.9538,0.9538,0.9537999999999996
SSJ285,聚鸣匠传11号,2022-10-14,0.9192,0.9192,0.9191999999999996
SSJ285,聚鸣匠传11号,2022-10-20,0.9778,0.9778,0.9777999999999996
SSJ285,聚鸣匠传11号,2022-10-27,0.9663,0.9663,0.9662999999999996
SSJ285,聚鸣匠传11号,2022-11-03,0.9464,0.9464,0.9463999999999996
SSJ285,聚鸣匠传11号,2022-11-08,1.0348,1.0348,1.0347999999999995
SSJ285,聚鸣匠传11号,2022-11-14,1.0336,1.0336,1.0335999999999996
SSJ285,聚鸣匠传11号,2022-11-17,1.011,1.011,1.0109999999999997
SSJ285,聚鸣匠传11号,2022-11-24,0.9955,0.9955,0.9954999999999996
SSJ285,聚鸣匠传11号,2022-12-01,0.9747,0.9747,0.9746999999999996
SSJ285,聚鸣匠传11号,2022-12-08,0.9985,0.9985,0.9984999999999996
SSJ285,聚鸣匠传11号,2022-12-12,0.9881,0.9881,0.9880999999999996
SSJ285,聚鸣匠传11号,2022-12-15,0.9915,0.9915,0.9914999999999996
SSJ285,聚鸣匠传11号,2022-12-22,0.9663,0.9663,0.9662999999999996
SSJ285,聚鸣匠传11号,2022-12-29,0.9276,0.9276,0.9275999999999996
SSJ285,聚鸣匠传11号,2023-01-06,0.9566,0.9566,0.9565999999999998
SSJ285,聚鸣匠传11号,2023-01-10,1.007,1.007,1.0069999999999997
SSJ285,聚鸣匠传11号,2023-01-12,1.0155,1.0155,1.0154999999999998
SSJ285,聚鸣匠传11号,2023-01-18,1.0206,1.0206,1.0205999999999995
SSJ285,聚鸣匠传11号,2023-02-03,1.0469,1.0469,1.0468999999999995
SSJ285,聚鸣匠传11号,2023-02-09,1.0784,1.0784,1.0783999999999998
SSJ285,聚鸣匠传11号,2023-02-10,1.069,1.069,1.0689999999999995
SSJ285,聚鸣匠传11号,2023-02-16,1.0808,1.0808,1.0807999999999998
SSJ285,聚鸣匠传11号,2023-02-23,1.0527,1.0527,1.0526999999999995
SSJ285,聚鸣匠传11号,2023-03-02,1.0465,1.0465,1.0464999999999998
SSJ285,聚鸣匠传11号,2023-03-09,1.0201,1.0201,1.0200999999999998
SSJ285,聚鸣匠传11号,2023-03-10,1.0029,1.0029,1.0028999999999997
SSJ285,聚鸣匠传11号,2023-03-16,0.9842,0.9842,0.9841999999999996
SSJ285,聚鸣匠传11号,2023-03-23,0.9673,0.9673,0.9672999999999998
SSJ285,聚鸣匠传11号,2023-03-30,1.0186,1.0186,1.0185999999999995
SSJ285,聚鸣匠传11号,2023-04-07,1.0133,1.0133,1.0133
SSJ285,聚鸣匠传11号,2023-04-11,1.0257,1.0257,1.0256999999999998
SSJ285,聚鸣匠传11号,2023-04-14,1.0136,1.0136,1.0135999999999998
SSJ285,聚鸣匠传11号,2023-04-20,1.0002,1.0002,1.0001999999999998
SSJ285,聚鸣匠传11号,2023-04-27,0.9928,0.9928,0.9927999999999998
SSJ285,聚鸣匠传11号,2023-05-05,0.9664,0.9664,0.9663999999999998
SSJ285,聚鸣匠传11号,2023-05-09,0.9322,0.9322,0.9321999999999998
SSJ285,聚鸣匠传11号,2023-05-12,0.9357,0.9357,0.9357
SSJ285,聚鸣匠传11号,2023-05-18,0.9236,0.9236,0.9236
SSJ285,聚鸣匠传11号,2023-05-25,0.9613,0.9613,0.9612999999999998
SSJ285,聚鸣匠传11号,2023-06-01,0.9677,0.9677,0.9676999999999996
SSJ285,聚鸣匠传11号,2023-06-08,0.9945,0.9945,0.9944999999999996
SSJ285,聚鸣匠传11号,2023-06-12,0.9664,0.9664,0.9663999999999996
SSJ285,聚鸣匠传11号,2023-06-15,0.986,0.986,0.9859999999999997
