基金代码,基金名称,日期,单位净值,累计净值
SSR924,明达精选V号1期,2022-01-18,1.0,1.0
SSR924,明达精选V号1期,2022-01-19,1.0,1.0
SSR924,明达精选V号1期,2022-01-20,1.0,1.0
SSR924,明达精选V号1期,2022-01-21,1.0,1.0
SSR924,明达精选V号1期,2022-01-24,1.0,1.0
SSR924,明达精选V号1期,2022-01-25,1.0,1.0
SSR924,明达精选V号1期,2022-01-26,1.0,1.0
SSR924,明达精选V号1期,2022-01-27,1.0,1.0
SSR924,明达精选V号1期,2022-01-28,1.0,1.0
SSR924,明达精选V号1期,2022-02-07,1.0,1.0
SSR924,明达精选V号1期,2022-02-08,1.0,1.0
SSR924,明达精选V号1期,2022-02-11,1.0,1.0
SSR924,明达精选V号1期,2022-02-15,1.0,1.0
SSR924,明达精选V号1期,2022-02-21,1.0,1.0
SSR924,明达精选V号1期,2022-02-24,1.0,1.0
SSR924,明达精选V号1期,2022-03-03,1.0,1.0
SSR924,明达精选V号1期,2022-03-10,0.994,0.994
SSR924,明达精选V号1期,2022-03-15,0.971,0.971
SSR924,明达精选V号1期,2022-03-21,0.911,0.911
SSR924,明达精选V号1期,2022-03-24,0.959,0.959
SSR924,明达精选V号1期,2022-03-31,0.943,0.943
SSR924,明达精选V号1期,2022-04-11,0.953,0.953
SSR924,明达精选V号1期,2022-04-14,0.942,0.942
SSR924,明达精选V号1期,2022-04-21,0.927,0.927
SSR924,明达精选V号1期,2022-04-28,0.906,0.906
SSR924,明达精选V号1期,2022-05-06,0.927,0.927
SSR924,明达精选V号1期,2022-05-12,0.901,0.901
SSR924,明达精选V号1期,2022-05-17,0.953,0.953
SSR924,明达精选V号1期,2022-05-20,0.95,0.95
SSR924,明达精选V号1期,2022-05-26,0.99,0.99
SSR924,明达精选V号1期,2022-06-02,0.969,0.969
SSR924,明达精选V号1期,2022-06-09,1.012,1.012
SSR924,明达精选V号1期,2022-06-16,1.067,1.067
SSR924,明达精选V号1期,2022-06-17,1.073,1.073
SSR924,明达精选V号1期,2022-06-23,1.08,1.08
SSR924,明达精选V号1期,2022-06-30,1.109,1.109
SSR924,明达精选V号1期,2022-07-07,1.124,1.124
SSR924,明达精选V号1期,2022-07-14,1.102,1.102
SSR924,明达精选V号1期,2022-07-21,1.048,1.048
SSR924,明达精选V号1期,2022-07-28,1.059,1.059
SSR924,明达精选V号1期,2022-08-04,1.039,1.039
SSR924,明达精选V号1期,2022-08-11,1.036,1.036
SSR924,明达精选V号1期,2022-08-16,1.031,1.031
SSR924,明达精选V号1期,2022-08-19,1.03,1.03
SSR924,明达精选V号1期,2022-08-25,1.025,1.025
SSR924,明达精选V号1期,2022-09-01,1.001,1.001
SSR924,明达精选V号1期,2022-09-08,0.963,0.963
SSR924,明达精选V号1期,2022-09-16,0.974,0.974
SSR924,明达精选V号1期,2022-09-19,0.959,0.959
SSR924,明达精选V号1期,2022-09-20,0.938,0.938
SSR924,明达精选V号1期,2022-09-29,0.916,0.916
SSR924,明达精选V号1期,2022-10-13,0.897,0.897
SSR924,明达精选V号1期,2022-10-18,0.894,0.894
SSR924,明达精选V号1期,2022-10-21,0.892,0.892
SSR924,明达精选V号1期,2022-10-27,0.884,0.884
SSR924,明达精选V号1期,2022-11-03,0.849,0.849
SSR924,明达精选V号1期,2022-11-10,0.908,0.908
SSR924,明达精选V号1期,2022-11-15,0.909,0.909
SSR924,明达精选V号1期,2022-11-21,0.912,0.912
SSR924,明达精选V号1期,2022-11-24,0.887,0.887
SSR924,明达精选V号1期,2022-12-01,0.879,0.879
SSR924,明达精选V号1期,2022-12-08,0.933,0.933
SSR924,明达精选V号1期,2022-12-15,0.981,0.981
SSR924,明达精选V号1期,2022-12-19,0.96,0.96
SSR924,明达精选V号1期,2022-12-22,0.955,0.955
SSR924,明达精选V号1期,2022-12-29,0.928,0.928
SSR924,明达精选V号1期,2023-01-06,0.926,0.926
SSR924,明达精选V号1期,2023-01-11,0.96,0.96
SSR924,明达精选V号1期,2023-01-17,0.963,0.963
SSR924,明达精选V号1期,2023-01-20,0.958,0.958
SSR924,明达精选V号1期,2023-02-02,0.959,0.959
SSR924,明达精选V号1期,2023-02-07,0.986,0.986
SSR924,明达精选V号1期,2023-02-16,0.954,0.954
SSR924,明达精选V号1期,2023-02-17,0.958,0.958
