基金代码,基金名称,日期,单位净值,累计净值
SSS087,元品南星A,2022-01-04,1.0,1.0
SSS087,元品南星A,2022-01-05,1.0,1.0
SSS087,元品南星A,2022-01-06,1.0,1.0
SSS087,元品南星A,2022-01-07,1.0,1.0
SSS087,元品南星A,2022-01-10,1.0,1.0
SSS087,元品南星A,2022-01-11,1.0,1.0
SSS087,元品南星A,2022-01-12,1.0,1.0
SSS087,元品南星A,2022-01-13,1.0,1.0
SSS087,元品南星A,2022-01-14,1.0,1.0
SSS087,元品南星A,2022-01-20,1.0001,1.0001
SSS087,元品南星A,2022-01-27,1.0,1.0
SSS087,元品南星A,2022-02-08,0.9205,0.9205
SSS087,元品南星A,2022-02-11,0.977,0.977
SSS087,元品南星A,2022-02-17,0.9964,0.9964
SSS087,元品南星A,2022-02-24,1.0655,1.0655
SSS087,元品南星A,2022-03-03,1.071,1.071
SSS087,元品南星A,2022-03-10,1.024,1.024
SSS087,元品南星A,2022-03-17,0.9724,0.9724
SSS087,元品南星A,2022-03-24,0.9432,0.9432
SSS087,元品南星A,2022-03-31,0.9159,0.9159
SSS087,元品南星A,2022-04-11,0.89,0.89
SSS087,元品南星A,2022-04-14,0.8653,0.8653
SSS087,元品南星A,2022-04-21,0.8232,0.8232
SSS087,元品南星A,2022-04-28,0.7554,0.7554
SSS087,元品南星A,2022-05-06,0.7504,0.7504
SSS087,元品南星A,2022-05-12,0.7325,0.7325
SSS087,元品南星A,2022-05-19,0.7915,0.7915
SSS087,元品南星A,2022-05-26,0.8431,0.8431
SSS087,元品南星A,2022-06-02,0.8724,0.8724
SSS087,元品南星A,2022-06-07,0.942,0.942
SSS087,元品南星A,2022-06-10,0.9742,0.9742
SSS087,元品南星A,2022-06-16,1.0603,1.0603
SSS087,元品南星A,2022-06-23,1.0927,1.0927
SSS087,元品南星A,2022-06-30,1.0946,1.0946
SSS087,元品南星A,2022-07-07,1.0928,1.0928
SSS087,元品南星A,2022-07-14,1.0928,1.0928
SSS087,元品南星A,2022-07-21,1.0926,1.0926
SSS087,元品南星A,2022-07-28,1.0963,1.0963
SSS087,元品南星A,2022-08-04,1.0963,1.0963
SSS087,元品南星A,2022-08-11,1.0962,1.0962
SSS087,元品南星A,2022-08-18,1.0926,1.0926
SSS087,元品南星A,2022-08-25,1.083,1.083
SSS087,元品南星A,2022-09-01,1.0981,1.0981
SSS087,元品南星A,2022-09-08,1.0792,1.0792
SSS087,元品南星A,2022-09-16,1.0694,1.0694
SSS087,元品南星A,2022-09-22,1.0273,1.0273
SSS087,元品南星A,2022-09-29,1.0344,1.0344
SSS087,元品南星A,2022-10-11,1.0345,1.0345
SSS087,元品南星A,2022-10-14,1.0348,1.0348
SSS087,元品南星A,2022-10-20,1.0376,1.0376
SSS087,元品南星A,2022-10-27,1.0404,1.0404
SSS087,元品南星A,2022-11-03,0.9843,0.9843
SSS087,元品南星A,2022-11-10,1.1409,1.1409
SSS087,元品南星A,2022-11-17,1.1077,1.1077
SSS087,元品南星A,2022-11-24,1.0775,1.0775
SSS087,元品南星A,2022-12-01,1.0793,1.0793
SSS087,元品南星A,2022-12-08,1.0886,1.0886
SSS087,元品南星A,2022-12-15,1.0819,1.0819
SSS087,元品南星A,2022-12-22,1.023,1.023
SSS087,元品南星A,2022-12-29,0.98,0.98
SSS087,元品南星A,2023-01-06,1.0031,1.0031
SSS087,元品南星A,2023-01-10,1.0209,1.0209
SSS087,元品南星A,2023-01-19,1.0066,1.0066
SSS087,元品南星A,2023-01-31,1.0703,1.0703
SSS087,元品南星A,2023-02-06,1.0597,1.0597
SSS087,元品南星A,2023-02-09,1.0764,1.0764
SSS087,元品南星A,2023-02-16,1.0475,1.0475
SSS087,元品南星A,2023-02-23,1.044,1.044
SSS087,元品南星A,2023-03-02,1.0454,1.0454
SSS087,元品南星A,2023-03-09,1.0345,1.0345
SSS087,元品南星A,2023-03-16,1.0361,1.0361
SSS087,元品南星A,2023-03-23,1.0325,1.0325
SSS087,元品南星A,2023-03-30,1.0196,1.0196
SSS087,元品南星A,2023-04-07,1.0223,1.0223
SSS087,元品南星A,2023-04-13,1.0191,1.0191
SSS087,元品南星A,2023-04-20,0.9807,0.9807
SSS087,元品南星A,2023-04-27,0.9939,0.9939
SSS087,元品南星A,2023-05-05,0.9787,0.9787
SSS087,元品南星A,2023-05-11,0.9793,0.9793
SSS087,元品南星A,2023-05-18,0.9512,0.9512
SSS087,元品南星A,2023-05-25,0.9588,0.9588
SSS087,元品南星A,2023-06-01,0.9621,0.9621
SSS087,元品南星A,2023-06-08,0.9543,0.9543
SSS087,元品南星A,2023-06-15,0.9461,0.9461
SSS087,元品南星A,2023-06-26,0.9456,0.9456
SSS087,元品南星A,2023-06-27,0.9324,0.9324
SSS087,元品南星A,2023-06-30,0.9265,0.9265
SSS087,元品南星A,2023-07-06,0.9263,0.9263
SSS087,元品南星A,2023-07-13,0.9251,0.9251
SSS087,元品南星A,2023-07-20,0.9369,0.9369
SSS087,元品南星A,2023-07-27,0.9352,0.9352
SSS087,元品南星A,2023-08-03,0.9579,0.9579
SSS087,元品南星A,2023-08-10,0.9434,0.9434
SSS087,元品南星A,2023-08-15,0.928,0.928
SSS087,元品南星A,2023-08-16,0.928,0.928
SSS087,元品南星A,2023-08-17,0.928,0.928
SSS087,元品南星A,2023-08-22,0.9205,0.9205
SSS087,元品南星A,2023-08-29,0.8919,0.8919
SSS087,元品南星A,2023-09-05,0.9258,0.9258
SSS087,元品南星A,2023-09-12,0.8956,0.8956
SSS087,元品南星A,2023-09-19,0.8919,0.8919
SSS087,元品南星A,2023-09-26,0.8893,0.8893
SSS087,元品南星A,2023-10-10,0.8966,0.8966
SSS087,元品南星A,2023-10-11,0.8913,0.8913
SSS087,元品南星A,2023-10-17,0.8852,0.8852
SSS087,元品南星A,2023-10-24,0.8585,0.8585
SSS087,元品南星A,2023-10-31,0.8718,0.8718
SSS087,元品南星A,2023-11-07,0.8909,0.8909
SSS087,元品南星A,2023-11-14,0.9304,0.9304
SSS087,元品南星A,2023-11-21,0.9372,0.9372
SSS087,元品南星A,2023-11-28,0.9158,0.9158
SSS087,元品南星A,2023-12-05,0.924,0.924
SSS087,元品南星A,2023-12-12,0.9117,0.9117
SSS087,元品南星A,2023-12-19,0.911,0.911
SSS087,元品南星A,2023-12-26,0.8758,0.8758
SSS087,元品南星A,2024-01-03,0.9069,0.9069
SSS087,元品南星A,2024-01-09,0.8396,0.8396
SSS087,元品南星A,2024-01-16,0.8258,0.8258
SSS087,元品南星A,2024-01-23,0.8048,0.8048
SSS087,元品南星A,2024-01-30,0.7504,0.7504
SSS087,元品南星A,2024-02-06,0.695,0.695
SSS087,元品南星A,2024-02-20,0.7175,0.7175
SSS087,元品南星A,2024-02-21,0.7178,0.7178
SSS087,元品南星A,2024-02-27,0.7178,0.7178
SSS087,元品南星A,2024-03-05,0.7177,0.7177
SSS087,元品南星A,2024-03-12,0.7177,0.7177
SSS087,元品南星A,2024-03-19,0.7177,0.7177
SSS087,元品南星A,2024-03-26,0.7183,0.7183
