基金代码,基金名称,日期,单位净值,累计净值
STL559,卓识中证500指数增强十一号A,2022-03-10,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-03-14,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-03-15,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-03-16,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-03-17,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-03-18,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-03-21,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-03-22,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-03-23,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-03-28,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-03-31,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-04-06,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-04-11,1.0,1.0
STL559,卓识中证500指数增强十一号A,2022-04-14,0.9999,0.9999
STL559,卓识中证500指数增强十一号A,2022-04-21,0.9956,0.9956
STL559,卓识中证500指数增强十一号A,2022-04-28,0.9456,0.9456
STL559,卓识中证500指数增强十一号A,2022-05-06,0.9317,0.9317
STL559,卓识中证500指数增强十一号A,2022-05-12,0.9253,0.9253
STL559,卓识中证500指数增强十一号A,2022-05-19,0.9599,0.9599
STL559,卓识中证500指数增强十一号A,2022-05-26,0.9869,0.9869
STL559,卓识中证500指数增强十一号A,2022-05-31,0.9836,0.9836
STL559,卓识中证500指数增强十一号A,2022-06-02,1.0031,1.0031
STL559,卓识中证500指数增强十一号A,2022-06-07,1.0139,1.0139
STL559,卓识中证500指数增强十一号A,2022-06-10,1.034,1.034
STL559,卓识中证500指数增强十一号A,2022-06-16,1.0503,1.0503
STL559,卓识中证500指数增强十一号A,2022-06-23,1.0662,1.0662
STL559,卓识中证500指数增强十一号A,2022-06-30,1.0854,1.0854
STL559,卓识中证500指数增强十一号A,2022-07-04,1.1048,1.1048
STL559,卓识中证500指数增强十一号A,2022-07-07,1.1043,1.1043
STL559,卓识中证500指数增强十一号A,2022-07-14,1.0996,1.0996
STL559,卓识中证500指数增强十一号A,2022-07-21,1.0744,1.0744
STL559,卓识中证500指数增强十一号A,2022-07-28,1.0978,1.0978
STL559,卓识中证500指数增强十一号A,2022-08-04,1.1019,1.1019
STL559,卓识中证500指数增强十一号A,2022-08-11,1.0931,1.0931
STL559,卓识中证500指数增强十一号A,2022-08-18,1.1219,1.1219
STL559,卓识中证500指数增强十一号A,2022-08-25,1.1218,1.1218
STL559,卓识中证500指数增强十一号A,2022-09-01,1.1089,1.1089
STL559,卓识中证500指数增强十一号A,2022-09-02,1.0788,1.0788
STL559,卓识中证500指数增强十一号A,2022-09-08,1.0811,1.0811
STL559,卓识中证500指数增强十一号A,2022-09-16,1.1115,1.1115
STL559,卓识中证500指数增强十一号A,2022-09-22,1.0413,1.0413
STL559,卓识中证500指数增强十一号A,2022-09-29,1.0328,1.0328
STL559,卓识中证500指数增强十一号A,2022-10-11,0.9936,0.9936
STL559,卓识中证500指数增强十一号A,2022-10-14,0.9787,0.9787
STL559,卓识中证500指数增强十一号A,2022-10-20,1.0395,1.0395
STL559,卓识中证500指数增强十一号A,2022-10-27,1.0281,1.0281
STL559,卓识中证500指数增强十一号A,2022-11-01,0.9881,0.9881
STL559,卓识中证500指数增强十一号A,2022-11-04,0.9843,0.9843
STL559,卓识中证500指数增强十一号A,2022-11-10,1.0613,1.0613
STL559,卓识中证500指数增强十一号A,2022-11-17,1.0676,1.0676
STL559,卓识中证500指数增强十一号A,2022-11-24,1.0702,1.0702
STL559,卓识中证500指数增强十一号A,2022-12-01,1.058,1.058
STL559,卓识中证500指数增强十一号A,2022-12-02,1.0677,1.0677
STL559,卓识中证500指数增强十一号A,2022-12-08,1.0763,1.0763
STL559,卓识中证500指数增强十一号A,2022-12-15,1.0875,1.0875
STL559,卓识中证500指数增强十一号A,2022-12-22,1.0626,1.0626
STL559,卓识中证500指数增强十一号A,2022-12-29,1.013,1.013
STL559,卓识中证500指数增强十一号A,2023-01-06,1.0318,1.0318
STL559,卓识中证500指数增强十一号A,2023-01-12,1.06,1.06
STL559,卓识中证500指数增强十一号A,2023-01-18,1.0707,1.0707
STL559,卓识中证500指数增强十一号A,2023-01-31,1.099,1.099
STL559,卓识中证500指数增强十一号A,2023-02-01,1.1055,1.1055
STL559,卓识中证500指数增强十一号A,2023-02-06,1.1062,1.1062
STL559,卓识中证500指数增强十一号A,2023-02-09,1.1149,1.1149
STL559,卓识中证500指数增强十一号A,2023-02-16,1.1202,1.1202
STL559,卓识中证500指数增强十一号A,2023-02-23,1.1024,1.1024
STL559,卓识中证500指数增强十一号A,2023-02-28,1.1222,1.1222
