日期,单位净值,累计净值,累计单位净值,基金id
2022-01-24,1.0,1.0,1.0,仁布积极进取14号A
2022-01-25,1.0,1.0,1.0,仁布积极进取14号A
2022-01-26,1.0,1.0,1.0,仁布积极进取14号A
2022-01-27,1.0,1.0,1.0,仁布积极进取14号A
2022-01-28,1.0,1.0,1.0,仁布积极进取14号A
2022-02-07,1.0,1.0,1.0,仁布积极进取14号A
2022-02-08,1.0,1.0,1.0,仁布积极进取14号A
2022-02-09,1.0,1.0,1.0,仁布积极进取14号A
2022-02-10,1.0,1.0,1.0,仁布积极进取14号A
2022-02-11,1.0001,1.0001,1.0001,仁布积极进取14号A
2022-02-18,1.0001,1.0001,1.0001,仁布积极进取14号A
2022-02-25,1.0026,1.0026,1.0026,仁布积极进取14号A
2022-03-04,1.0026,1.0026,1.0026,仁布积极进取14号A
2022-03-11,0.9973,0.9973,0.9973,仁布积极进取14号A
2022-03-18,0.9973,0.9973,0.9973,仁布积极进取14号A
2022-03-25,0.9915,0.9915,0.9915,仁布积极进取14号A
2022-04-01,0.9947,0.9947,0.9947,仁布积极进取14号A
2022-04-08,0.9893,0.9893,0.9893,仁布积极进取14号A
2022-04-15,0.9838,0.9838,0.9838,仁布积极进取14号A
2022-04-22,0.9759,0.9759,0.9759,仁布积极进取14号A
2022-04-29,0.9861,0.9861,0.9861000000000001,仁布积极进取14号A
2022-05-06,0.9794,0.9794,0.9794000000000002,仁布积极进取14号A
2022-05-13,0.99,0.99,0.9900000000000001,仁布积极进取14号A
2022-05-20,1.0017,1.0017,1.0017000000000003,仁布积极进取14号A
2022-05-27,0.9928,0.9928,0.9928000000000002,仁布积极进取14号A
2022-06-02,0.9979,0.9979,0.9979000000000003,仁布积极进取14号A
2022-06-06,1.0062,1.0062,1.0062000000000004,仁布积极进取14号A
2022-06-10,1.0081,1.0081,1.0081000000000004,仁布积极进取14号A
2022-06-17,1.0079,1.0079,1.0079000000000005,仁布积极进取14号A
2022-06-24,1.0279,1.0279,1.0279000000000007,仁布积极进取14号A
2022-07-01,1.0288,1.0288,1.0288000000000006,仁布积极进取14号A
2022-07-08,1.0201,1.0201,1.0201000000000007,仁布积极进取14号A
2022-07-15,1.0152,1.0152,1.0152000000000008,仁布积极进取14号A
2022-07-22,1.0214,1.0214,1.0214000000000008,仁布积极进取14号A
2022-07-29,1.0181,1.0181,1.0181000000000007,仁布积极进取14号A
2022-08-05,1.0106,1.0106,1.0106000000000006,仁布积极进取14号A
2022-08-12,1.0166,1.0166,1.0166000000000006,仁布积极进取14号A
2022-08-19,1.0165,1.0165,1.0165000000000006,仁布积极进取14号A
2022-08-26,1.0037,1.0037,1.0037000000000007,仁布积极进取14号A
2022-09-02,0.9861,0.9861,0.9861000000000006,仁布积极进取14号A
2022-09-09,0.991,0.991,0.9910000000000007,仁布积极进取14号A
2022-09-16,0.9656,0.9656,0.9656000000000007,仁布积极进取14号A
2022-09-23,0.967,0.967,0.9670000000000005,仁布积极进取14号A
2022-09-30,0.9632,0.9632,0.9632000000000005,仁布积极进取14号A
2022-10-10,0.9572,0.9572,0.9572000000000006,仁布积极进取14号A
2022-10-14,0.9709,0.9709,0.9709000000000007,仁布积极进取14号A
2022-10-21,0.9631,0.9631,0.9631000000000006,仁布积极进取14号A
2022-10-28,0.9474,0.9474,0.9474000000000007,仁布积极进取14号A
2022-11-04,0.9901,0.9901,0.9901000000000008,仁布积极进取14号A
2022-11-11,0.9891,0.9891,0.9891000000000008,仁布积极进取14号A
2022-11-18,0.9839,0.9839,0.9839000000000008,仁布积极进取14号A
2022-11-25,0.9706,0.9706,0.9706000000000008,仁布积极进取14号A
2022-12-02,1.0026,1.0026,1.0026000000000006,仁布积极进取14号A
2022-12-09,1.0055,1.0055,1.0055000000000007,仁布积极进取14号A
2022-12-16,0.9793,0.9793,0.9793000000000005,仁布积极进取14号A
2022-12-23,0.9612,0.9612,0.9612000000000006,仁布积极进取14号A
2022-12-30,0.9776,0.9776,0.9776000000000005,仁布积极进取14号A
2023-01-06,0.9948,0.9948,0.9948000000000006,仁布积极进取14号A
2023-01-13,0.9955,0.9955,0.9955000000000005,仁布积极进取14号A
2023-01-20,1.01,1.01,1.0100000000000005,仁布积极进取14号A
2023-01-30,1.0165,1.0165,1.0165000000000004,仁布积极进取14号A
2023-02-03,1.0116,1.0116,1.0116000000000005,仁布积极进取14号A
2023-02-10,0.996,0.996,0.9960000000000004,仁布积极进取14号A
2023-02-17,0.9752,0.9752,0.9752000000000004,仁布积极进取14号A
2023-02-24,0.9696,0.9696,0.9696000000000005,仁布积极进取14号A
2023-03-03,0.9749,0.9749,0.9749000000000005,仁布积极进取14号A
2023-03-10,0.9325,0.9325,0.9325000000000006,仁布积极进取14号A
2023-03-17,0.9098,0.9098,0.9098000000000006,仁布积极进取14号A
2023-03-24,0.925,0.925,0.9250000000000005,仁布积极进取14号A
2023-03-31,0.9414,0.9414,0.9414000000000005,仁布积极进取14号A
2023-04-07,0.942,0.942,0.9420000000000005,仁布积极进取14号A
2023-04-14,0.9368,0.9368,0.9368000000000005,仁布积极进取14号A
