基金代码,基金名称,日期,单位净值,累计净值
STM350,仁布积极进取14号A,2022-01-25,1.0,1.0
STM350,仁布积极进取14号A,2022-01-26,1.0,1.0
STM350,仁布积极进取14号A,2022-01-27,1.0,1.0
STM350,仁布积极进取14号A,2022-01-28,1.0,1.0
STM350,仁布积极进取14号A,2022-02-07,1.0,1.0
STM350,仁布积极进取14号A,2022-02-08,1.0,1.0
STM350,仁布积极进取14号A,2022-02-09,1.0,1.0
STM350,仁布积极进取14号A,2022-02-10,1.0,1.0
STM350,仁布积极进取14号A,2022-02-11,1.0,1.0
STM350,仁布积极进取14号A,2022-02-17,1.0001,1.0001
STM350,仁布积极进取14号A,2022-03-01,1.0001,1.0001
STM350,仁布积极进取14号A,2022-03-04,1.0026,1.0026
STM350,仁布积极进取14号A,2022-03-10,1.0026,1.0026
STM350,仁布积极进取14号A,2022-03-17,0.9973,0.9973
STM350,仁布积极进取14号A,2022-03-24,0.9973,0.9973
STM350,仁布积极进取14号A,2022-03-31,0.9915,0.9915
STM350,仁布积极进取14号A,2022-04-11,0.9947,0.9947
STM350,仁布积极进取14号A,2022-04-14,0.9893,0.9893
STM350,仁布积极进取14号A,2022-04-21,0.9838,0.9838
STM350,仁布积极进取14号A,2022-04-28,0.9759,0.9759
STM350,仁布积极进取14号A,2022-05-06,0.9861,0.9861
STM350,仁布积极进取14号A,2022-05-12,0.9794,0.9794
STM350,仁布积极进取14号A,2022-05-19,0.99,0.99
STM350,仁布积极进取14号A,2022-05-26,1.0017,1.0017
STM350,仁布积极进取14号A,2022-06-02,0.9928,0.9928
STM350,仁布积极进取14号A,2022-06-07,0.9979,0.9979
STM350,仁布积极进取14号A,2022-06-10,1.0062,1.0062
STM350,仁布积极进取14号A,2022-06-16,1.0081,1.0081
STM350,仁布积极进取14号A,2022-06-23,1.0079,1.0079
STM350,仁布积极进取14号A,2022-06-30,1.0279,1.0279
STM350,仁布积极进取14号A,2022-07-07,1.0288,1.0288
STM350,仁布积极进取14号A,2022-07-14,1.0201,1.0201
STM350,仁布积极进取14号A,2022-07-21,1.0152,1.0152
STM350,仁布积极进取14号A,2022-07-28,1.0214,1.0214
STM350,仁布积极进取14号A,2022-08-04,1.0181,1.0181
STM350,仁布积极进取14号A,2022-08-11,1.0106,1.0106
STM350,仁布积极进取14号A,2022-08-18,1.0166,1.0166
STM350,仁布积极进取14号A,2022-08-25,1.0165,1.0165
STM350,仁布积极进取14号A,2022-09-01,1.0037,1.0037
STM350,仁布积极进取14号A,2022-09-08,0.9861,0.9861
STM350,仁布积极进取14号A,2022-09-16,0.991,0.991
STM350,仁布积极进取14号A,2022-09-22,0.9656,0.9656
STM350,仁布积极进取14号A,2022-09-29,0.967,0.967
STM350,仁布积极进取14号A,2022-10-11,0.9632,0.9632
STM350,仁布积极进取14号A,2022-10-14,0.9572,0.9572
STM350,仁布积极进取14号A,2022-10-20,0.9709,0.9709
STM350,仁布积极进取14号A,2022-10-27,0.9631,0.9631
STM350,仁布积极进取14号A,2022-11-03,0.9474,0.9474
STM350,仁布积极进取14号A,2022-11-10,0.9901,0.9901
STM350,仁布积极进取14号A,2022-11-17,0.9891,0.9891
STM350,仁布积极进取14号A,2022-11-24,0.9839,0.9839
STM350,仁布积极进取14号A,2022-12-01,0.9706,0.9706
STM350,仁布积极进取14号A,2022-12-08,1.0026,1.0026
STM350,仁布积极进取14号A,2022-12-15,1.0055,1.0055
STM350,仁布积极进取14号A,2022-12-22,0.9793,0.9793
STM350,仁布积极进取14号A,2022-12-29,0.9612,0.9612
STM350,仁布积极进取14号A,2023-01-06,0.9776,0.9776
STM350,仁布积极进取14号A,2023-01-10,0.9948,0.9948
STM350,仁布积极进取14号A,2023-01-18,0.9955,0.9955
STM350,仁布积极进取14号A,2023-01-31,1.01,1.01
STM350,仁布积极进取14号A,2023-02-06,1.0165,1.0165
STM350,仁布积极进取14号A,2023-02-09,1.0116,1.0116
STM350,仁布积极进取14号A,2023-02-16,0.996,0.996
STM350,仁布积极进取14号A,2023-02-23,0.9752,0.9752
STM350,仁布积极进取14号A,2023-03-02,0.9696,0.9696
STM350,仁布积极进取14号A,2023-03-09,0.9749,0.9749
STM350,仁布积极进取14号A,2023-03-16,0.9325,0.9325
STM350,仁布积极进取14号A,2023-03-23,0.9098,0.9098
STM350,仁布积极进取14号A,2023-03-30,0.925,0.925
STM350,仁布积极进取14号A,2023-04-07,0.9414,0.9414
STM350,仁布积极进取14号A,2023-04-13,0.942,0.942
STM350,仁布积极进取14号A,2023-04-20,0.9368,0.9368
STM350,仁布积极进取14号A,2023-04-27,0.9257,0.9257
STM350,仁布积极进取14号A,2023-05-05,0.9151,0.9151
STM350,仁布积极进取14号A,2023-05-11,0.9126,0.9126
STM350,仁布积极进取14号A,2023-05-18,0.8931,0.8931
STM350,仁布积极进取14号A,2023-05-25,0.8785,0.8785
STM350,仁布积极进取14号A,2023-06-01,0.8808,0.8808
STM350,仁布积极进取14号A,2023-06-08,0.877,0.877
STM350,仁布积极进取14号A,2023-06-15,0.8845,0.8845
STM350,仁布积极进取14号A,2023-06-26,0.8836,0.8836
STM350,仁布积极进取14号A,2023-06-27,0.879,0.879
STM350,仁布积极进取14号A,2023-06-30,0.881,0.881
STM350,仁布积极进取14号A,2023-07-06,0.8848,0.8848
STM350,仁布积极进取14号A,2023-07-13,0.8859,0.8859
STM350,仁布积极进取14号A,2023-07-20,0.8897,0.8897
STM350,仁布积极进取14号A,2023-07-27,0.8852,0.8852
STM350,仁布积极进取14号A,2023-08-03,0.8904,0.8904
STM350,仁布积极进取14号A,2023-08-10,0.8901,0.8901
STM350,仁布积极进取14号A,2023-08-15,0.8749,0.8749
STM350,仁布积极进取14号A,2023-08-16,0.8749,0.8749
STM350,仁布积极进取14号A,2023-08-17,0.8749,0.8749
STM350,仁布积极进取14号A,2023-08-22,0.8652,0.8652
STM350,仁布积极进取14号A,2023-08-29,0.8607,0.8607
STM350,仁布积极进取14号A,2023-09-05,0.8548,0.8548
STM350,仁布积极进取14号A,2023-09-12,0.8566,0.8566
STM350,仁布积极进取14号A,2023-09-19,0.8585,0.8585
STM350,仁布积极进取14号A,2023-09-26,0.8579,0.8579
STM350,仁布积极进取14号A,2023-10-10,0.852,0.852
STM350,仁布积极进取14号A,2023-10-11,0.8531,0.8531
STM350,仁布积极进取14号A,2023-10-17,0.8503,0.8503
STM350,仁布积极进取14号A,2023-10-24,0.8409,0.8409
STM350,仁布积极进取14号A,2023-10-31,0.8421,0.8421
STM350,仁布积极进取14号A,2023-11-07,0.8429,0.8429
STM350,仁布积极进取14号A,2023-11-14,0.8431,0.8431
STM350,仁布积极进取14号A,2023-11-21,0.8429,0.8429
STM350,仁布积极进取14号A,2023-11-28,0.8421,0.8421
STM350,仁布积极进取14号A,2023-12-05,0.8477,0.8477
STM350,仁布积极进取14号A,2023-12-12,0.8453,0.8453
STM350,仁布积极进取14号A,2023-12-19,0.8474,0.8474
STM350,仁布积极进取14号A,2023-12-26,0.8419,0.8419
STM350,仁布积极进取14号A,2024-01-03,0.8485,0.8485
STM350,仁布积极进取14号A,2024-01-09,0.8404,0.8404
STM350,仁布积极进取14号A,2024-01-16,0.8354,0.8354
STM350,仁布积极进取14号A,2024-01-23,0.8337,0.8337
