基金代码,基金名称,日期,单位净值,累计净值
STR499,黑翼优选成长1号1期,2022-04-15,1.0,1.0
STR499,黑翼优选成长1号1期,2022-04-18,1.0,1.0
STR499,黑翼优选成长1号1期,2022-04-19,1.0,1.0
STR499,黑翼优选成长1号1期,2022-04-20,1.0,1.0
STR499,黑翼优选成长1号1期,2022-04-21,1.0,1.0
STR499,黑翼优选成长1号1期,2022-04-22,1.0,1.0
STR499,黑翼优选成长1号1期,2022-04-25,1.0,1.0
STR499,黑翼优选成长1号1期,2022-04-26,1.0,1.0
STR499,黑翼优选成长1号1期,2022-04-27,1.0,1.0
STR499,黑翼优选成长1号1期,2022-04-28,1.0,1.0
STR499,黑翼优选成长1号1期,2022-04-29,1.0,1.0
STR499,黑翼优选成长1号1期,2022-05-05,1.0,1.0
STR499,黑翼优选成长1号1期,2022-05-06,1.0,1.0
STR499,黑翼优选成长1号1期,2022-05-13,1.0,1.0
STR499,黑翼优选成长1号1期,2022-05-20,1.0,1.0
STR499,黑翼优选成长1号1期,2022-05-27,1.001,1.001
STR499,黑翼优选成长1号1期,2022-05-31,1.015,1.015
STR499,黑翼优选成长1号1期,2022-06-02,1.031,1.031
STR499,黑翼优选成长1号1期,2022-06-10,1.051,1.051
STR499,黑翼优选成长1号1期,2022-06-17,1.052,1.052
STR499,黑翼优选成长1号1期,2022-06-24,1.062,1.062
STR499,黑翼优选成长1号1期,2022-06-30,1.074,1.074
STR499,黑翼优选成长1号1期,2022-07-01,1.081,1.081
STR499,黑翼优选成长1号1期,2022-07-08,1.082,1.082
STR499,黑翼优选成长1号1期,2022-07-15,1.059,1.059
STR499,黑翼优选成长1号1期,2022-07-22,1.067,1.067
STR499,黑翼优选成长1号1期,2022-07-29,1.076,1.076
STR499,黑翼优选成长1号1期,2022-08-05,1.071,1.071
STR499,黑翼优选成长1号1期,2022-08-12,1.102,1.102
STR499,黑翼优选成长1号1期,2022-08-19,1.101,1.101
STR499,黑翼优选成长1号1期,2022-08-26,1.101,1.101
STR499,黑翼优选成长1号1期,2022-08-31,1.07,1.07
STR499,黑翼优选成长1号1期,2022-09-02,1.076,1.076
STR499,黑翼优选成长1号1期,2022-09-09,1.101,1.101
STR499,黑翼优选成长1号1期,2022-09-16,1.044,1.044
STR499,黑翼优选成长1号1期,2022-09-23,1.038,1.038
STR499,黑翼优选成长1号1期,2022-09-30,1.006,1.006
STR499,黑翼优选成长1号1期,2022-10-14,1.059,1.059
STR499,黑翼优选成长1号1期,2022-10-21,1.059,1.059
STR499,黑翼优选成长1号1期,2022-10-28,1.036,1.036
STR499,黑翼优选成长1号1期,2022-10-31,1.047,1.047
STR499,黑翼优选成长1号1期,2022-11-04,1.1,1.1
STR499,黑翼优选成长1号1期,2022-11-11,1.095,1.095
STR499,黑翼优选成长1号1期,2022-11-18,1.095,1.095
STR499,黑翼优选成长1号1期,2022-11-25,1.084,1.084
STR499,黑翼优选成长1号1期,2022-11-30,1.095,1.095
STR499,黑翼优选成长1号1期,2022-12-02,1.105,1.105
STR499,黑翼优选成长1号1期,2022-12-09,1.108,1.108
STR499,黑翼优选成长1号1期,2022-12-16,1.09,1.09
STR499,黑翼优选成长1号1期,2022-12-23,1.051,1.051
STR499,黑翼优选成长1号1期,2022-12-30,1.072,1.072
STR499,黑翼优选成长1号1期,2023-01-06,1.096,1.096
STR499,黑翼优选成长1号1期,2023-01-13,1.096,1.096
STR499,黑翼优选成长1号1期,2023-01-20,1.118,1.118
STR499,黑翼优选成长1号1期,2023-01-31,1.127,1.127
STR499,黑翼优选成长1号1期,2023-02-03,1.14,1.14
STR499,黑翼优选成长1号1期,2023-02-10,1.15,1.15
STR499,黑翼优选成长1号1期,2023-02-17,1.136,1.136
STR499,黑翼优选成长1号1期,2023-02-24,1.149,1.149
STR499,黑翼优选成长1号1期,2023-02-28,1.151,1.151
STR499,黑翼优选成长1号1期,2023-03-03,1.16,1.16
STR499,黑翼优选成长1号1期,2023-03-10,1.136,1.136
STR499,黑翼优选成长1号1期,2023-03-17,1.139,1.139
STR499,黑翼优选成长1号1期,2023-03-24,1.17,1.17
STR499,黑翼优选成长1号1期,2023-03-31,1.161,1.161
STR499,黑翼优选成长1号1期,2023-04-07,1.168,1.168
STR499,黑翼优选成长1号1期,2023-04-14,1.162,1.162
STR499,黑翼优选成长1号1期,2023-04-21,1.136,1.136
STR499,黑翼优选成长1号1期,2023-04-28,1.147,1.147
STR499,黑翼优选成长1号1期,2023-05-05,1.149,1.149
