日期,单位净值,累计净值,累计单位净值,基金id
2022-04-15,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-04-19,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-04-20,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-04-21,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-04-22,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-04-25,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-04-26,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-04-27,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-04-28,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-04-29,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-05-05,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-05-06,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-05-16,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-05-19,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-05-26,1.0,1.0,1.0,黑翼优选成长1号1期（量化选股+CTA）
2022-05-31,1.001,1.001,1.001,黑翼优选成长1号1期（量化选股+CTA）
2022-06-02,1.015,1.015,1.015,黑翼优选成长1号1期（量化选股+CTA）
2022-06-09,1.031,1.031,1.031,黑翼优选成长1号1期（量化选股+CTA）
2022-06-16,1.051,1.051,1.051,黑翼优选成长1号1期（量化选股+CTA）
2022-06-23,1.052,1.052,1.052,黑翼优选成长1号1期（量化选股+CTA）
2022-06-30,1.062,1.062,1.062,黑翼优选成长1号1期（量化选股+CTA）
2022-07-04,1.074,1.074,1.0740000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-07-07,1.081,1.081,1.0810000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-07-14,1.082,1.082,1.0820000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-07-21,1.059,1.059,1.0590000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-07-28,1.067,1.067,1.0670000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-08-04,1.076,1.076,1.0760000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-08-11,1.071,1.071,1.0710000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-08-18,1.102,1.102,1.1020000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-08-25,1.101,1.101,1.1010000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-09-01,1.101,1.101,1.1010000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-09-02,1.07,1.07,1.0700000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-09-08,1.076,1.076,1.0760000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-09-16,1.101,1.101,1.1010000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-09-22,1.044,1.044,1.0440000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-09-29,1.038,1.038,1.0380000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-10-13,1.006,1.006,1.0060000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-10-20,1.059,1.059,1.0590000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-10-27,1.059,1.059,1.0590000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-11-01,1.036,1.036,1.0360000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-11-04,1.047,1.047,1.0470000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-11-10,1.1,1.1,1.1000000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-11-17,1.095,1.095,1.0950000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-11-24,1.095,1.095,1.0950000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-12-01,1.084,1.084,1.0840000000000003,黑翼优选成长1号1期（量化选股+CTA）
2022-12-02,1.095,1.095,1.0950000000000002,黑翼优选成长1号1期（量化选股+CTA）
2022-12-08,1.105,1.105,1.1050000000000004,黑翼优选成长1号1期（量化选股+CTA）
2022-12-15,1.108,1.108,1.1080000000000008,黑翼优选成长1号1期（量化选股+CTA）
2022-12-22,1.09,1.09,1.0900000000000007,黑翼优选成长1号1期（量化选股+CTA）
2022-12-29,1.051,1.051,1.0510000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-01-06,1.072,1.072,1.0720000000000007,黑翼优选成长1号1期（量化选股+CTA）
2023-01-12,1.096,1.096,1.0960000000000008,黑翼优选成长1号1期（量化选股+CTA）
2023-01-18,1.096,1.096,1.0960000000000008,黑翼优选成长1号1期（量化选股+CTA）
2023-02-01,1.118,1.118,1.1180000000000008,黑翼优选成长1号1期（量化选股+CTA）
2023-02-06,1.127,1.127,1.1270000000000007,黑翼优选成长1号1期（量化选股+CTA）
2023-02-09,1.14,1.14,1.1400000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-02-16,1.15,1.15,1.1500000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-02-23,1.136,1.136,1.1360000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-02-28,1.149,1.149,1.1490000000000007,黑翼优选成长1号1期（量化选股+CTA）
2023-03-06,1.151,1.151,1.1510000000000007,黑翼优选成长1号1期（量化选股+CTA）
2023-03-09,1.16,1.16,1.1600000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-03-16,1.136,1.136,1.1360000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-03-23,1.139,1.139,1.1390000000000007,黑翼优选成长1号1期（量化选股+CTA）
2023-03-30,1.17,1.17,1.1700000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-04-07,1.161,1.161,1.1610000000000007,黑翼优选成长1号1期（量化选股+CTA）
2023-04-13,1.168,1.168,1.1680000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-04-20,1.162,1.162,1.1620000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-04-27,1.136,1.136,1.1360000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-05-05,1.147,1.147,1.1470000000000007,黑翼优选成长1号1期（量化选股+CTA）
2023-05-11,1.149,1.149,1.1490000000000007,黑翼优选成长1号1期（量化选股+CTA）
2023-05-18,1.14,1.14,1.1400000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-05-25,1.133,1.133,1.1330000000000007,黑翼优选成长1号1期（量化选股+CTA）
2023-06-01,1.125,1.125,1.1250000000000007,黑翼优选成长1号1期（量化选股+CTA）
2023-06-02,1.126,1.126,1.1260000000000006,黑翼优选成长1号1期（量化选股+CTA）
2023-06-08,1.132,1.132,1.1320000000000008,黑翼优选成长1号1期（量化选股+CTA）
2023-06-15,1.134,1.134,1.1340000000000008,黑翼优选成长1号1期（量化选股+CTA）
2023-06-26,1.153,1.153,1.153000000000001,黑翼优选成长1号1期（量化选股+CTA）
2023-06-29,1.133,1.133,1.133000000000001,黑翼优选成长1号1期（量化选股+CTA）
2023-07-06,1.151,1.151,1.151000000000001,黑翼优选成长1号1期（量化选股+CTA）
2023-07-13,1.15,1.15,1.1500000000000008,黑翼优选成长1号1期（量化选股+CTA）
