日期,单位净值,累计净值,累计单位净值,基金id
2023-01-19,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-01-20,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-01-30,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-01-31,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-01,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-02,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-03,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-06,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-07,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-08,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-09,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-10,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-13,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-14,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-15,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-17,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-24,1.0,1.0,1.0,黑翼优选成长1号2期私募证券投资基金
2023-02-28,1.002,1.002,1.002,黑翼优选成长1号2期私募证券投资基金
2023-03-03,1.01,1.01,1.01,黑翼优选成长1号2期私募证券投资基金
2023-03-10,0.989,0.989,0.989,黑翼优选成长1号2期私募证券投资基金
2023-03-17,0.991,0.991,0.9909999999999999,黑翼优选成长1号2期私募证券投资基金
2023-03-24,1.018,1.018,1.018,黑翼优选成长1号2期私募证券投资基金
2023-03-31,1.01,1.01,1.01,黑翼优选成长1号2期私募证券投资基金
2023-04-07,1.017,1.017,1.0170000000000001,黑翼优选成长1号2期私募证券投资基金
2023-04-14,1.011,1.011,1.0110000000000001,黑翼优选成长1号2期私募证券投资基金
2023-04-21,0.989,0.989,0.9890000000000002,黑翼优选成长1号2期私募证券投资基金
2023-04-28,0.998,0.998,0.9980000000000003,黑翼优选成长1号2期私募证券投资基金
2023-05-05,1.0,1.0,1.0000000000000002,黑翼优选成长1号2期私募证券投资基金
2023-05-12,0.992,0.992,0.9920000000000002,黑翼优选成长1号2期私募证券投资基金
2023-05-19,0.986,0.986,0.9860000000000002,黑翼优选成长1号2期私募证券投资基金
2023-05-26,0.98,0.98,0.9800000000000002,黑翼优选成长1号2期私募证券投资基金
2023-05-31,0.98,0.98,0.9800000000000002,黑翼优选成长1号2期私募证券投资基金
2023-06-02,0.985,0.985,0.9850000000000002,黑翼优选成长1号2期私募证券投资基金
2023-06-09,0.987,0.987,0.9870000000000001,黑翼优选成长1号2期私募证券投资基金
2023-06-16,1.003,1.003,1.0030000000000001,黑翼优选成长1号2期私募证券投资基金
2023-06-21,0.986,0.986,0.9860000000000002,黑翼优选成长1号2期私募证券投资基金
