日期,单位净值,累计净值,累计单位净值,基金id
2022-05-18,1.0,1.0,1.0,博普凤祥13号
2022-05-19,1.0,1.0,1.0,博普凤祥13号
2022-05-20,1.0,1.0,1.0,博普凤祥13号
2022-05-23,1.0,1.0,1.0,博普凤祥13号
2022-05-24,1.0,1.0,1.0,博普凤祥13号
2022-05-25,1.01,1.01,1.01,博普凤祥13号
2022-05-26,1.017,1.017,1.0170000000000001,博普凤祥13号
2022-05-27,1.016,1.016,1.0160000000000002,博普凤祥13号
2022-05-30,1.02,1.02,1.0200000000000002,博普凤祥13号
2022-05-31,1.026,1.026,1.0260000000000002,博普凤祥13号
2022-06-01,1.027,1.027,1.0270000000000001,博普凤祥13号
2022-06-02,1.03,1.03,1.0300000000000002,博普凤祥13号
2022-06-07,1.036,1.036,1.0360000000000003,博普凤祥13号
2022-06-08,1.037,1.037,1.0370000000000001,博普凤祥13号
2022-06-09,1.034,1.034,1.0340000000000003,博普凤祥13号
2022-06-10,1.039,1.039,1.0390000000000001,博普凤祥13号
2022-06-14,1.04,1.04,1.0400000000000003,博普凤祥13号
2022-06-15,1.04,1.04,1.0400000000000003,博普凤祥13号
2022-06-16,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-06-17,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-06-21,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-06-22,1.04,1.04,1.0400000000000003,博普凤祥13号
2022-06-23,1.043,1.043,1.0430000000000001,博普凤祥13号
2022-06-24,1.045,1.045,1.0450000000000002,博普凤祥13号
2022-06-28,1.046,1.046,1.0460000000000003,博普凤祥13号
2022-06-29,1.045,1.045,1.0450000000000002,博普凤祥13号
2022-06-30,1.046,1.046,1.0460000000000003,博普凤祥13号
2022-07-01,1.046,1.046,1.0460000000000003,博普凤祥13号
2022-07-05,1.047,1.047,1.0470000000000002,博普凤祥13号
2022-07-06,1.047,1.047,1.0470000000000002,博普凤祥13号
2022-07-07,1.047,1.047,1.0470000000000002,博普凤祥13号
2022-07-08,1.047,1.047,1.0470000000000002,博普凤祥13号
2022-07-12,1.045,1.045,1.0450000000000002,博普凤祥13号
2022-07-13,1.046,1.046,1.0460000000000003,博普凤祥13号
2022-07-14,1.047,1.047,1.0470000000000002,博普凤祥13号
2022-07-15,1.045,1.045,1.0450000000000002,博普凤祥13号
2022-07-19,1.048,1.048,1.0480000000000003,博普凤祥13号
2022-07-20,1.048,1.048,1.0480000000000003,博普凤祥13号
2022-07-21,1.048,1.048,1.0480000000000003,博普凤祥13号
2022-07-22,1.048,1.048,1.0480000000000003,博普凤祥13号
2022-07-25,1.048,1.048,1.0480000000000003,博普凤祥13号
2022-07-26,1.048,1.048,1.0480000000000003,博普凤祥13号
2022-07-27,1.04,1.04,1.0400000000000003,博普凤祥13号
2022-07-28,1.04,1.04,1.0400000000000003,博普凤祥13号
2022-07-29,1.04,1.04,1.0400000000000003,博普凤祥13号
2022-08-02,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-03,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-04,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-05,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-09,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-10,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-11,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-12,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-16,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-17,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-18,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-19,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-23,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-24,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-25,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-26,1.041,1.041,1.0410000000000001,博普凤祥13号
2022-08-30,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-08-31,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-01,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-02,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-06,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-07,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-08,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-09,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-13,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-14,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-15,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-16,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-20,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-21,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-22,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-23,1.042,1.042,1.0420000000000003,博普凤祥13号
2022-09-26,1.043,1.043,1.0430000000000001,博普凤祥13号
2022-09-27,1.043,1.043,1.0430000000000001,博普凤祥13号
