基金代码,基金名称,日期,单位净值,累计净值,复权净值
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-05-27,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-05-31,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-01,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-02,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-06,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-07,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-08,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-09,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-10,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-13,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-14,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-15,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-16,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-17,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-20,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-23,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-06-30,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-07-07,1.003,1.003,1.003
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-07-14,1.0,1.0,1.0
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-07-21,0.973,0.973,0.973
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-07-28,0.978,0.978,0.978
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-08-04,0.975,0.975,0.975
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-08-11,0.975,0.975,0.975
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-08-18,0.993,0.993,0.993
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-08-25,0.987,0.987,0.987
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-09-01,0.977,0.977,0.977
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-09-05,0.954,0.954,0.954
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-09-08,0.955,0.955,0.955
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-09-16,0.983,0.983,0.983
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-09-22,0.938,0.938,0.938
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-09-29,0.927,0.927,0.9270000000000002
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-10-13,0.909,0.909,0.909
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-10-20,0.937,0.937,0.9370000000000002
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-10-27,0.93,0.93,0.9300000000000002
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-11-03,0.903,0.903,0.903
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-11-10,0.964,0.964,0.964
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-11-17,0.968,0.968,0.968
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-11-24,0.966,0.966,0.966
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-12-01,0.962,0.962,0.962
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-12-05,0.989,0.989,0.989
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-12-08,0.984,0.984,0.984
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-12-15,1.008,1.008,1.008
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-12-22,0.998,0.998,0.998
SVE049,佳期海港1号（量化选股+股指期货多头）,2022-12-29,0.961,0.961,0.961
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-01-06,0.976,0.976,0.976
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-01-10,1.001,1.001,1.001
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-01-18,1.017,1.017,1.017
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-02-03,1.042,1.042,1.042
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-02-09,1.047,1.047,1.047
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-02-16,1.046,1.046,1.046
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-02-23,1.035,1.035,1.035
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-03-02,1.052,1.052,1.052
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-03-03,1.068,1.068,1.068
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-03-09,1.076,1.076,1.076
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-03-16,1.041,1.041,1.041
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-03-23,1.041,1.041,1.041
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-03-30,1.064,1.064,1.0639999999999998
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-04-07,1.064,1.064,1.0639999999999998
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-04-13,1.086,1.086,1.086
SVE049,佳期海港1号（量化选股+股指期货多头）,2023-04-20,1.085,1.085,1.0849999999999995
