基金代码,基金名称,日期,单位净值,累计净值
SVG083,远信中国优质企业逆向策略5号1期,2022-08-12,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-08-16,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-08-17,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-08-18,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-08-19,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-08-22,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-08-23,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-08-24,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-08-25,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-08-26,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-08-29,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-09-01,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-09-08,0.991,0.991
SVG083,远信中国优质企业逆向策略5号1期,2022-09-16,0.997,0.997
SVG083,远信中国优质企业逆向策略5号1期,2022-09-22,0.969,0.969
SVG083,远信中国优质企业逆向策略5号1期,2022-09-29,0.946,0.946
SVG083,远信中国优质企业逆向策略5号1期,2022-10-13,0.941,0.941
SVG083,远信中国优质企业逆向策略5号1期,2022-10-20,0.949,0.949
SVG083,远信中国优质企业逆向策略5号1期,2022-10-27,0.933,0.933
SVG083,远信中国优质企业逆向策略5号1期,2022-11-03,0.877,0.877
SVG083,远信中国优质企业逆向策略5号1期,2022-11-10,0.949,0.949
SVG083,远信中国优质企业逆向策略5号1期,2022-11-17,0.96,0.96
SVG083,远信中国优质企业逆向策略5号1期,2022-11-24,0.974,0.974
SVG083,远信中国优质企业逆向策略5号1期,2022-12-01,0.96,0.96
SVG083,远信中国优质企业逆向策略5号1期,2022-12-08,0.979,0.979
SVG083,远信中国优质企业逆向策略5号1期,2022-12-15,1.0,1.0
SVG083,远信中国优质企业逆向策略5号1期,2022-12-22,0.972,0.972
SVG083,远信中国优质企业逆向策略5号1期,2023-01-04,0.93,0.93
SVG083,远信中国优质企业逆向策略5号1期,2023-01-09,0.956,0.956
SVG083,远信中国优质企业逆向策略5号1期,2023-01-10,0.972,0.972
SVG083,远信中国优质企业逆向策略5号1期,2023-01-18,0.977,0.977
SVG083,远信中国优质企业逆向策略5号1期,2023-01-31,1.001,1.001
SVG083,远信中国优质企业逆向策略5号1期,2023-02-06,1.008,1.008
SVG083,远信中国优质企业逆向策略5号1期,2023-02-09,1.005,1.005
SVG083,远信中国优质企业逆向策略5号1期,2023-02-16,0.989,0.989
SVG083,远信中国优质企业逆向策略5号1期,2023-02-23,0.973,0.973
SVG083,远信中国优质企业逆向策略5号1期,2023-03-02,0.966,0.966
SVG083,远信中国优质企业逆向策略5号1期,2023-03-09,0.963,0.963
SVG083,远信中国优质企业逆向策略5号1期,2023-03-16,0.936,0.936
SVG083,远信中国优质企业逆向策略5号1期,2023-03-23,0.912,0.912
SVG083,远信中国优质企业逆向策略5号1期,2023-03-30,0.919,0.919
SVG083,远信中国优质企业逆向策略5号1期,2023-04-07,0.926,0.926
SVG083,远信中国优质企业逆向策略5号1期,2023-04-13,0.93,0.93
SVG083,远信中国优质企业逆向策略5号1期,2023-04-20,0.919,0.919
SVG083,远信中国优质企业逆向策略5号1期,2023-04-27,0.868,0.868
SVG083,远信中国优质企业逆向策略5号1期,2023-05-05,0.867,0.867
SVG083,远信中国优质企业逆向策略5号1期,2023-05-11,0.853,0.853
SVG083,远信中国优质企业逆向策略5号1期,2023-05-18,0.844,0.844
SVG083,远信中国优质企业逆向策略5号1期,2023-05-25,0.851,0.851
SVG083,远信中国优质企业逆向策略5号1期,2023-06-01,0.853,0.853
SVG083,远信中国优质企业逆向策略5号1期,2023-06-08,0.843,0.843
SVG083,远信中国优质企业逆向策略5号1期,2023-06-15,0.808,0.808
SVG083,远信中国优质企业逆向策略5号1期,2023-06-26,0.847,0.847
SVG083,远信中国优质企业逆向策略5号1期,2023-06-27,0.832,0.832
SVG083,远信中国优质企业逆向策略5号1期,2023-06-30,0.824,0.824
SVG083,远信中国优质企业逆向策略5号1期,2023-07-06,0.849,0.849
SVG083,远信中国优质企业逆向策略5号1期,2023-07-13,0.844,0.844
SVG083,远信中国优质企业逆向策略5号1期,2023-07-20,0.868,0.868
SVG083,远信中国优质企业逆向策略5号1期,2023-07-27,0.864,0.864
SVG083,远信中国优质企业逆向策略5号1期,2023-08-03,0.883,0.883
SVG083,远信中国优质企业逆向策略5号1期,2023-08-10,0.878,0.878
SVG083,远信中国优质企业逆向策略5号1期,2023-08-15,0.863,0.863
SVG083,远信中国优质企业逆向策略5号1期,2023-08-16,0.863,0.863
SVG083,远信中国优质企业逆向策略5号1期,2023-08-17,0.863,0.863
SVG083,远信中国优质企业逆向策略5号1期,2023-08-22,0.837,0.837
SVG083,远信中国优质企业逆向策略5号1期,2023-08-29,0.801,0.801
SVG083,远信中国优质企业逆向策略5号1期,2023-09-05,0.823,0.823
SVG083,远信中国优质企业逆向策略5号1期,2023-09-12,0.818,0.818
SVG083,远信中国优质企业逆向策略5号1期,2023-09-19,0.815,0.815
SVG083,远信中国优质企业逆向策略5号1期,2023-09-26,0.807,0.807
SVG083,远信中国优质企业逆向策略5号1期,2023-10-10,0.796,0.796
SVG083,远信中国优质企业逆向策略5号1期,2023-10-17,0.782,0.782
SVG083,远信中国优质企业逆向策略5号1期,2023-10-24,0.75,0.75
SVG083,远信中国优质企业逆向策略5号1期,2023-10-31,0.763,0.763
SVG083,远信中国优质企业逆向策略5号1期,2023-11-07,0.774,0.774
SVG083,远信中国优质企业逆向策略5号1期,2023-11-14,0.777,0.777
SVG083,远信中国优质企业逆向策略5号1期,2023-11-21,0.793,0.793
SVG083,远信中国优质企业逆向策略5号1期,2023-11-28,0.789,0.789
SVG083,远信中国优质企业逆向策略5号1期,2023-12-05,0.765,0.765
