基金代码,基金名称,日期,单位净值,累计净值
SVG973,睿郡承非郡享1号,2022-05-06,1.0,1.0
SVG973,睿郡承非郡享1号,2022-05-10,1.0,1.0
SVG973,睿郡承非郡享1号,2022-05-11,1.0,1.0
SVG973,睿郡承非郡享1号,2022-05-12,1.0,1.0
SVG973,睿郡承非郡享1号,2022-05-13,1.0,1.0
SVG973,睿郡承非郡享1号,2022-05-16,1.0,1.0
SVG973,睿郡承非郡享1号,2022-05-17,1.0,1.0
SVG973,睿郡承非郡享1号,2022-05-18,1.0,1.0
SVG973,睿郡承非郡享1号,2022-05-23,1.0,1.0
SVG973,睿郡承非郡享1号,2022-05-27,1.0,1.0
SVG973,睿郡承非郡享1号,2022-06-02,1.001,1.001
SVG973,睿郡承非郡享1号,2022-06-09,0.997,0.997
SVG973,睿郡承非郡享1号,2022-06-16,0.998,0.998
SVG973,睿郡承非郡享1号,2022-06-23,0.998,0.998
SVG973,睿郡承非郡享1号,2022-06-30,1.0,1.0
SVG973,睿郡承非郡享1号,2022-07-07,1.012,1.012
SVG973,睿郡承非郡享1号,2022-07-14,1.006,1.006
SVG973,睿郡承非郡享1号,2022-07-21,0.992,0.992
SVG973,睿郡承非郡享1号,2022-07-28,0.99,0.99
SVG973,睿郡承非郡享1号,2022-08-04,0.988,0.988
SVG973,睿郡承非郡享1号,2022-08-11,0.984,0.984
SVG973,睿郡承非郡享1号,2022-08-18,0.987,0.987
SVG973,睿郡承非郡享1号,2022-08-25,1.016,1.016
SVG973,睿郡承非郡享1号,2022-09-01,1.014,1.014
SVG973,睿郡承非郡享1号,2022-09-08,1.009,1.009
SVG973,睿郡承非郡享1号,2022-09-16,1.031,1.031
SVG973,睿郡承非郡享1号,2022-09-22,1.005,1.005
SVG973,睿郡承非郡享1号,2022-09-29,0.985,0.985
SVG973,睿郡承非郡享1号,2022-10-13,0.968,0.968
SVG973,睿郡承非郡享1号,2022-10-20,0.988,0.988
SVG973,睿郡承非郡享1号,2022-10-27,0.981,0.981
SVG973,睿郡承非郡享1号,2022-11-03,0.941,0.941
SVG973,睿郡承非郡享1号,2022-11-10,0.975,0.975
SVG973,睿郡承非郡享1号,2022-11-17,0.986,0.986
SVG973,睿郡承非郡享1号,2022-11-24,1.004,1.004
SVG973,睿郡承非郡享1号,2022-12-01,1.014,1.014
SVG973,睿郡承非郡享1号,2022-12-08,1.019,1.019
SVG973,睿郡承非郡享1号,2022-12-15,1.027,1.027
SVG973,睿郡承非郡享1号,2022-12-22,1.021,1.021
SVG973,睿郡承非郡享1号,2022-12-29,1.003,1.003
SVG973,睿郡承非郡享1号,2023-01-06,1.026,1.026
SVG973,睿郡承非郡享1号,2023-01-10,1.05,1.05
SVG973,睿郡承非郡享1号,2023-01-19,1.039,1.039
SVG973,睿郡承非郡享1号,2023-02-03,1.065,1.065
SVG973,睿郡承非郡享1号,2023-02-09,1.075,1.075
SVG973,睿郡承非郡享1号,2023-02-16,1.084,1.084
SVG973,睿郡承非郡享1号,2023-02-23,1.08,1.08
SVG973,睿郡承非郡享1号,2023-03-02,1.067,1.067
SVG973,睿郡承非郡享1号,2023-03-09,1.092,1.092
SVG973,睿郡承非郡享1号,2023-03-16,1.083,1.083
SVG973,睿郡承非郡享1号,2023-03-23,1.102,1.102
SVG973,睿郡承非郡享1号,2023-03-30,1.09,1.09
SVG973,睿郡承非郡享1号,2023-04-07,1.108,1.108
SVG973,睿郡承非郡享1号,2023-04-13,1.123,1.123
SVG973,睿郡承非郡享1号,2023-04-20,1.14,1.14
SVG973,睿郡承非郡享1号,2023-04-27,1.119,1.119
SVG973,睿郡承非郡享1号,2023-05-05,1.114,1.114
SVG973,睿郡承非郡享1号,2023-05-11,1.111,1.111
SVG973,睿郡承非郡享1号,2023-05-18,1.105,1.105
SVG973,睿郡承非郡享1号,2023-05-25,1.11,1.11
SVG973,睿郡承非郡享1号,2023-06-01,1.116,1.116
SVG973,睿郡承非郡享1号,2023-06-08,1.117,1.117
SVG973,睿郡承非郡享1号,2023-06-15,1.093,1.093
SVG973,睿郡承非郡享1号,2023-06-26,1.089,1.089
SVG973,睿郡承非郡享1号,2023-06-29,1.079,1.079
SVG973,睿郡承非郡享1号,2023-07-06,1.089,1.089
SVG973,睿郡承非郡享1号,2023-07-13,1.077,1.077
SVG973,睿郡承非郡享1号,2023-07-20,1.091,1.091
SVG973,睿郡承非郡享1号,2023-07-27,1.075,1.075
SVG973,睿郡承非郡享1号,2023-08-03,1.076,1.076
