日期,单位净值,累计净值,累计单位净值,基金id
2022-05-06,1.0,1.0,1.0,睿郡承非郡享1号
2022-05-09,1.0,1.0,1.0,睿郡承非郡享1号
2022-05-10,1.0,1.0,1.0,睿郡承非郡享1号
2022-05-11,1.0,1.0,1.0,睿郡承非郡享1号
2022-05-12,1.0,1.0,1.0,睿郡承非郡享1号
2022-05-13,1.0,1.0,1.0,睿郡承非郡享1号
2022-05-16,1.0,1.0,1.0,睿郡承非郡享1号
2022-05-17,1.0,1.0,1.0,睿郡承非郡享1号
2022-05-18,1.0,1.0,1.0,睿郡承非郡享1号
2022-05-20,1.0,1.0,1.0,睿郡承非郡享1号
2022-05-27,1.001,1.001,1.001,睿郡承非郡享1号
2022-06-02,0.997,0.997,0.997,睿郡承非郡享1号
2022-06-10,0.998,0.998,0.9979999999999999,睿郡承非郡享1号
2022-06-17,0.998,0.998,0.9979999999999999,睿郡承非郡享1号
2022-06-24,1.0,1.0,0.9999999999999998,睿郡承非郡享1号
2022-07-01,1.012,1.012,1.0119999999999998,睿郡承非郡享1号
2022-07-08,1.006,1.006,1.0059999999999998,睿郡承非郡享1号
2022-07-15,0.992,0.992,0.9919999999999998,睿郡承非郡享1号
2022-07-22,0.99,0.99,0.9899999999999998,睿郡承非郡享1号
2022-07-29,0.988,0.988,0.9879999999999998,睿郡承非郡享1号
2022-08-05,0.984,0.984,0.9839999999999998,睿郡承非郡享1号
2022-08-12,0.987,0.987,0.9869999999999997,睿郡承非郡享1号
2022-08-19,1.016,1.016,1.0159999999999996,睿郡承非郡享1号
2022-08-26,1.014,1.014,1.0139999999999996,睿郡承非郡享1号
2022-09-02,1.009,1.009,1.0089999999999995,睿郡承非郡享1号
2022-09-09,1.031,1.031,1.0309999999999995,睿郡承非郡享1号
2022-09-16,1.005,1.005,1.0049999999999994,睿郡承非郡享1号
2022-09-23,0.985,0.985,0.9849999999999995,睿郡承非郡享1号
2022-09-30,0.968,0.968,0.9679999999999996,睿郡承非郡享1号
2022-10-14,0.988,0.988,0.9879999999999997,睿郡承非郡享1号
2022-10-21,0.981,0.981,0.9809999999999997,睿郡承非郡享1号
2022-10-28,0.941,0.941,0.9409999999999996,睿郡承非郡享1号
2022-11-04,0.975,0.975,0.9749999999999995,睿郡承非郡享1号
2022-11-11,0.986,0.986,0.9859999999999995,睿郡承非郡享1号
2022-11-18,1.004,1.004,1.0039999999999996,睿郡承非郡享1号
2022-11-25,1.014,1.014,1.0139999999999996,睿郡承非郡享1号
2022-12-02,1.019,1.019,1.0189999999999995,睿郡承非郡享1号
2022-12-09,1.027,1.027,1.0269999999999995,睿郡承非郡享1号
2022-12-16,1.021,1.021,1.0209999999999995,睿郡承非郡享1号
2022-12-23,1.003,1.003,1.0029999999999994,睿郡承非郡享1号
2022-12-30,1.026,1.026,1.0259999999999996,睿郡承非郡享1号
2023-01-06,1.05,1.05,1.0499999999999996,睿郡承非郡享1号
2023-01-13,1.039,1.039,1.0389999999999995,睿郡承非郡享1号
2023-01-20,1.065,1.065,1.0649999999999995,睿郡承非郡享1号
2023-02-03,1.075,1.075,1.0749999999999995,睿郡承非郡享1号
2023-02-10,1.084,1.084,1.0839999999999999,睿郡承非郡享1号
2023-02-17,1.08,1.08,1.0799999999999998,睿郡承非郡享1号
2023-02-24,1.067,1.067,1.0669999999999997,睿郡承非郡享1号
2023-03-03,1.092,1.092,1.0919999999999999,睿郡承非郡享1号
2023-03-10,1.083,1.083,1.0829999999999997,睿郡承非郡享1号
2023-03-17,1.102,1.102,1.1019999999999999,睿郡承非郡享1号
2023-03-24,1.09,1.09,1.0899999999999999,睿郡承非郡享1号
2023-03-31,1.108,1.108,1.1079999999999999,睿郡承非郡享1号
2023-04-07,1.123,1.123,1.1229999999999998,睿郡承非郡享1号
2023-04-14,1.14,1.14,1.1399999999999997,睿郡承非郡享1号
2023-04-21,1.119,1.119,1.1189999999999998,睿郡承非郡享1号
2023-04-28,1.114,1.114,1.1139999999999999,睿郡承非郡享1号
2023-05-05,1.111,1.111,1.1109999999999998,睿郡承非郡享1号
2023-05-12,1.105,1.105,1.1049999999999998,睿郡承非郡享1号
2023-05-19,1.11,1.11,1.11,睿郡承非郡享1号
2023-05-26,1.116,1.116,1.116,睿郡承非郡享1号
2023-06-02,1.117,1.117,1.117,睿郡承非郡享1号
2023-06-09,1.093,1.093,1.093,睿郡承非郡享1号
2023-06-16,1.089,1.089,1.089,睿郡承非郡享1号
2023-06-21,1.079,1.079,1.079,睿郡承非郡享1号
2023-06-30,1.089,1.089,1.089,睿郡承非郡享1号
2023-07-07,1.077,1.077,1.077,睿郡承非郡享1号
2023-07-14,1.091,1.091,1.091,睿郡承非郡享1号
2023-07-21,1.075,1.075,1.075,睿郡承非郡享1号
2023-07-28,1.076,1.076,1.076,睿郡承非郡享1号
2023-08-04,1.087,1.087,1.087,睿郡承非郡享1号
2023-08-11,1.079,1.079,1.079,睿郡承非郡享1号
2023-08-16,1.079,1.079,1.079,睿郡承非郡享1号
2023-08-17,1.079,1.079,1.079,睿郡承非郡享1号
2023-08-18,1.065,1.065,1.065,睿郡承非郡享1号
2023-08-25,1.04,1.04,1.04,睿郡承非郡享1号
2023-09-01,1.046,1.046,1.046,睿郡承非郡享1号
2023-09-08,1.05,1.05,1.05,睿郡承非郡享1号
2023-09-15,1.053,1.053,1.053,睿郡承非郡享1号
2023-09-22,1.043,1.043,1.043,睿郡承非郡享1号
2023-09-28,1.034,1.034,1.034,睿郡承非郡享1号
2023-10-13,1.038,1.038,1.038,睿郡承非郡享1号
2023-10-20,1.005,1.005,1.005,睿郡承非郡享1号
2023-10-27,1.019,1.019,1.019,睿郡承非郡享1号
2023-11-03,1.028,1.028,1.028,睿郡承非郡享1号
2023-11-10,1.026,1.026,1.026,睿郡承非郡享1号
2023-11-17,1.03,1.03,1.03,睿郡承非郡享1号
2023-11-24,1.02,1.02,1.02,睿郡承非郡享1号
2023-12-01,1.02,1.02,1.02,睿郡承非郡享1号
2023-12-08,1.007,1.007,1.007,睿郡承非郡享1号
2023-12-15,1.003,1.003,1.003,睿郡承非郡享1号
2023-12-22,0.991,0.991,0.991,睿郡承非郡享1号
2023-12-29,1.017,1.017,1.017,睿郡承非郡享1号
2024-01-05,1.004,1.004,1.004,睿郡承非郡享1号
2024-01-12,0.995,0.995,0.995,睿郡承非郡享1号
2024-01-19,0.972,0.972,0.972,睿郡承非郡享1号
2024-01-26,0.978,0.978,0.978,睿郡承非郡享1号
2024-02-02,0.935,0.935,0.935,睿郡承非郡享1号
2024-02-08,0.976,0.976,0.976,睿郡承非郡享1号
2024-02-19,0.979,0.979,0.9790000000000001,睿郡承非郡享1号
2024-02-23,0.996,0.996,0.9960000000000001,睿郡承非郡享1号
2024-03-01,1.006,1.006,1.006,睿郡承非郡享1号
2024-03-08,1.016,1.016,1.016,睿郡承非郡享1号
2024-03-15,1.027,1.027,1.027,睿郡承非郡享1号
2024-03-22,1.028,1.028,1.028,睿郡承非郡享1号
2024-03-29,1.025,1.025,1.025,睿郡承非郡享1号
2024-04-03,1.03,1.03,1.0299999999999998,睿郡承非郡享1号
2024-04-12,1.027,1.027,1.0269999999999997,睿郡承非郡享1号
2024-04-19,1.022,1.022,1.0219999999999998,睿郡承非郡享1号
2024-04-26,1.048,1.048,1.0479999999999998,睿郡承非郡享1号
2024-04-30,1.061,1.061,1.0609999999999997,睿郡承非郡享1号
2024-05-10,1.083,1.083,1.0829999999999997,睿郡承非郡享1号
2024-05-17,1.082,1.082,1.0819999999999999,睿郡承非郡享1号
2024-05-24,1.068,1.068,1.0679999999999998,睿郡承非郡享1号
2024-05-31,1.076,1.076,1.0759999999999998,睿郡承非郡享1号
2024-06-07,1.083,1.083,1.0829999999999997,睿郡承非郡享1号
2024-06-14,1.083,1.083,1.0829999999999997,睿郡承非郡享1号
2024-06-21,1.074,1.074,1.0739999999999998,睿郡承非郡享1号
2024-06-28,1.078,1.078,1.0779999999999998,睿郡承非郡享1号
2024-07-05,1.067,1.067,1.0669999999999997,睿郡承非郡享1号
2024-07-12,1.072,1.072,1.0719999999999998,睿郡承非郡享1号
2024-07-19,1.059,1.059,1.0589999999999997,睿郡承非郡享1号
2024-07-26,1.021,1.021,1.0209999999999997,睿郡承非郡享1号
2024-08-02,1.02,1.02,1.0199999999999998,睿郡承非郡享1号
2024-08-09,1.015,1.015,1.0149999999999997,睿郡承非郡享1号
2024-08-16,1.007,1.007,1.0069999999999997,睿郡承非郡享1号
2024-08-23,0.994,0.994,0.9939999999999998,睿郡承非郡享1号
2024-08-30,1.002,1.002,1.0019999999999998,睿郡承非郡享1号
2024-09-06,0.984,0.984,0.9839999999999998,睿郡承非郡享1号
2024-09-13,0.96,0.96,0.9599999999999997,睿郡承非郡享1号
2024-09-20,0.967,0.967,0.9669999999999997,睿郡承非郡享1号
2024-09-27,1.074,1.074,1.0739999999999998,睿郡承非郡享1号
2024-09-30,1.137,1.137,1.1369999999999998,睿郡承非郡享1号
2024-10-11,1.142,1.142,1.1419999999999997,睿郡承非郡享1号
2024-10-18,1.159,1.159,1.1589999999999998,睿郡承非郡享1号
2024-10-25,1.18,1.18,1.1799999999999997,睿郡承非郡享1号
2024-11-01,1.161,1.161,1.1609999999999998,睿郡承非郡享1号
2024-11-08,1.19,1.19,1.1899999999999997,睿郡承非郡享1号
2024-11-15,1.168,1.168,1.1679999999999997,睿郡承非郡享1号
2024-11-22,1.167,1.167,1.1669999999999998,睿郡承非郡享1号
2024-11-29,1.188,1.188,1.1879999999999997,睿郡承非郡享1号
2024-12-06,1.183,1.183,1.1829999999999998,睿郡承非郡享1号
2024-12-13,1.224,1.224,1.2239999999999998,睿郡承非郡享1号
2024-12-20,1.242,1.242,1.2419999999999998,睿郡承非郡享1号
2024-12-27,1.223,1.223,1.2229999999999999,睿郡承非郡享1号
2025-01-03,1.18,1.18,1.1799999999999997,睿郡承非郡享1号
2025-01-10,1.17,1.17,1.1699999999999997,睿郡承非郡享1号
2025-01-17,1.203,1.203,1.2029999999999998,睿郡承非郡享1号
2025-01-24,1.232,1.232,1.2319999999999998,睿郡承非郡享1号
2025-01-27,1.233,1.233,1.2329999999999999,睿郡承非郡享1号
2025-02-07,1.263,1.263,1.2629999999999995,睿郡承非郡享1号
2025-02-14,1.284,1.284,1.2839999999999996,睿郡承非郡享1号
2025-02-21,1.352,1.352,1.3519999999999996,睿郡承非郡享1号
2025-02-28,1.304,1.304,1.3039999999999996,睿郡承非郡享1号
2025-03-07,1.357,1.357,1.3569999999999995,睿郡承非郡享1号
2025-03-14,1.344,1.344,1.3439999999999996,睿郡承非郡享1号
