基金代码,基金名称,日期,单位净值,累计净值,复权净值
SVM265,勤辰创赢成长6号1期,2022-07-14,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-07-18,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-07-19,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-07-20,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-07-21,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-07-22,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-07-25,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-07-26,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-07-27,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-07-28,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-07-29,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-08-01,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-08-02,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-08-03,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-08-04,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-08-05,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-08-08,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-08-09,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-08-12,1.0,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-08-16,1.0001,1.0001,1.0001
SVM265,勤辰创赢成长6号1期,2022-08-19,1.0001,1.0001,1.0001
SVM265,勤辰创赢成长6号1期,2022-08-25,0.9996,0.9996,0.9996
SVM265,勤辰创赢成长6号1期,2022-09-01,0.999,0.999,0.999
SVM265,勤辰创赢成长6号1期,2022-09-02,0.996,0.996,0.996
SVM265,勤辰创赢成长6号1期,2022-09-08,0.9988,0.9988,0.9988
SVM265,勤辰创赢成长6号1期,2022-09-16,0.998,0.998,0.998
SVM265,勤辰创赢成长6号1期,2022-09-19,0.9872,0.9872,0.9872
SVM265,勤辰创赢成长6号1期,2022-09-22,0.9844,0.9844,0.9844000000000002
SVM265,勤辰创赢成长6号1期,2022-09-29,0.9764,0.9764,0.9764000000000002
SVM265,勤辰创赢成长6号1期,2022-10-13,0.9705,0.9705,0.9705
SVM265,勤辰创赢成长6号1期,2022-10-18,0.993,0.993,0.9930000000000002
SVM265,勤辰创赢成长6号1期,2022-10-21,0.9998,0.9998,0.9998000000000004
SVM265,勤辰创赢成长6号1期,2022-10-27,1.0121,1.0121,1.0121000000000004
SVM265,勤辰创赢成长6号1期,2022-11-01,1.0015,1.0015,1.0015000000000005
SVM265,勤辰创赢成长6号1期,2022-11-04,1.006,1.006,1.0060000000000004
SVM265,勤辰创赢成长6号1期,2022-11-10,1.0167,1.0167,1.0167000000000004
SVM265,勤辰创赢成长6号1期,2022-11-15,0.9906,0.9906,0.9906000000000004
SVM265,勤辰创赢成长6号1期,2022-11-21,1.0086,1.0086,1.0086000000000004
SVM265,勤辰创赢成长6号1期,2022-11-24,0.9972,0.9972,0.9972000000000004
SVM265,勤辰创赢成长6号1期,2022-12-01,0.9804,0.9804,0.9804000000000004
SVM265,勤辰创赢成长6号1期,2022-12-02,0.9722,0.9722,0.9722000000000004
SVM265,勤辰创赢成长6号1期,2022-12-08,0.9727,0.9727,0.9727000000000006
SVM265,勤辰创赢成长6号1期,2022-12-15,0.9683,0.9683,0.9683000000000006
SVM265,勤辰创赢成长6号1期,2022-12-19,0.9592,0.9592,0.9592000000000006
SVM265,勤辰创赢成长6号1期,2022-12-22,0.9534,0.9534,0.9534000000000006
SVM265,勤辰创赢成长6号1期,2022-12-29,0.9299,0.9299,0.9299000000000004
SVM265,勤辰创赢成长6号1期,2023-01-06,0.9416,0.9416,0.9416000000000004
SVM265,勤辰创赢成长6号1期,2023-01-10,0.9493,0.9493,0.9493000000000006
SVM265,勤辰创赢成长6号1期,2023-01-17,0.9516,0.9516,0.9516000000000006
SVM265,勤辰创赢成长6号1期,2023-01-18,0.9528,0.9528,0.9528000000000006
SVM265,勤辰创赢成长6号1期,2023-02-01,0.9648,0.9648,0.9648000000000008
SVM265,勤辰创赢成长6号1期,2023-02-06,0.9676,0.9676,0.9676000000000008
SVM265,勤辰创赢成长6号1期,2023-02-09,0.9715,0.9715,0.9715000000000008
SVM265,勤辰创赢成长6号1期,2023-02-16,0.9705,0.9705,0.9705000000000008
SVM265,勤辰创赢成长6号1期,2023-02-17,0.985,0.985,0.9850000000000008
SVM265,勤辰创赢成长6号1期,2023-02-23,0.9627,0.9627,0.9627000000000008
SVM265,勤辰创赢成长6号1期,2023-02-28,0.9699,0.9699,0.9699000000000008
SVM265,勤辰创赢成长6号1期,2023-03-06,0.9732,0.9732,0.9732000000000008
SVM265,勤辰创赢成长6号1期,2023-03-09,0.9727,0.9727,0.9727000000000008
SVM265,勤辰创赢成长6号1期,2023-03-16,0.9648,0.9648,0.9648000000000008
SVM265,勤辰创赢成长6号1期,2023-03-17,0.9724,0.9724,0.9724000000000008
SVM265,勤辰创赢成长6号1期,2023-03-23,0.9652,0.9652,0.9652000000000008
SVM265,勤辰创赢成长6号1期,2023-03-30,0.9716,0.9716,0.9716000000000008
SVM265,勤辰创赢成长6号1期,2023-04-07,0.9864,0.9864,0.9864000000000008
SVM265,勤辰创赢成长6号1期,2023-04-13,0.9971,0.9971,0.997100000000001
SVM265,勤辰创赢成长6号1期,2023-04-18,0.9967,0.9967,0.996700000000001
SVM265,勤辰创赢成长6号1期,2023-04-21,1.0089,1.0089,1.008900000000001
SVM265,勤辰创赢成长6号1期,2023-04-27,0.9978,0.9978,0.9978000000000012
SVM265,勤辰创赢成长6号1期,2023-05-05,1.0021,1.0021,1.002100000000001
SVM265,勤辰创赢成长6号1期,2023-05-11,0.995,0.995,0.995000000000001
SVM265,勤辰创赢成长6号1期,2023-05-18,0.9674,0.9674,0.967400000000001
SVM265,勤辰创赢成长6号1期,2023-05-25,0.9867,0.9867,0.986700000000001
SVM265,勤辰创赢成长6号1期,2023-06-01,0.984,0.984,0.984000000000001
SVM265,勤辰创赢成长6号1期,2023-06-08,0.9782,0.9782,0.9782000000000008
SVM265,勤辰创赢成长6号1期,2023-06-15,0.9722,0.9722,0.9722000000000008
SVM265,勤辰创赢成长6号1期,2023-06-26,0.9945,0.9945,0.9945000000000008
SVM265,勤辰创赢成长6号1期,2023-06-29,0.9991,0.9991,0.9991000000000008
SVM265,勤辰创赢成长6号1期,2023-07-06,1.0146,1.0146,1.0146000000000008
SVM265,勤辰创赢成长6号1期,2023-07-13,0.9938,0.9938,0.9938000000000008
SVM265,勤辰创赢成长6号1期,2023-07-20,0.9992,0.9992,0.999200000000001
SVM265,勤辰创赢成长6号1期,2023-07-27,0.9805,0.9805,0.980500000000001
SVM265,勤辰创赢成长6号1期,2023-08-01,0.9752,0.9752,0.975200000000001
SVM265,勤辰创赢成长6号1期,2023-08-04,0.9776,0.9776,0.977600000000001
SVM265,勤辰创赢成长6号1期,2023-08-10,0.9826,0.9826,0.9826000000000013
SVM265,勤辰创赢成长6号1期,2023-08-15,0.9613,0.9613,0.9613000000000012
SVM265,勤辰创赢成长6号1期,2023-08-16,0.9613,0.9613,0.9613000000000012
SVM265,勤辰创赢成长6号1期,2023-08-17,1.916,1.916,1.916000000000002
SVM265,勤辰创赢成长6号1期,2023-08-22,0.9505,0.9505,0.9505000000000012
SVM265,勤辰创赢成长6号1期,2023-08-29,0.9368,0.9368,0.9368000000000012
SVM265,勤辰创赢成长6号1期,2023-09-05,0.9551,0.9551,0.955100000000001
SVM265,勤辰创赢成长6号1期,2023-09-12,0.9424,0.9424,0.942400000000001
SVM265,勤辰创赢成长6号1期,2023-09-19,0.9372,0.9372,0.937200000000001
SVM265,勤辰创赢成长6号1期,2023-09-26,0.9364,0.9364,0.936400000000001
SVM265,勤辰创赢成长6号1期,2023-10-10,0.9404,0.9404,0.940400000000001
SVM265,勤辰创赢成长6号1期,2023-10-17,0.9351,0.9351,0.935100000000001
SVM265,勤辰创赢成长6号1期,2023-10-18,0.9322,0.9322,0.932200000000001
SVM265,勤辰创赢成长6号1期,2023-10-24,0.9195,0.9195,0.919500000000001
SVM265,勤辰创赢成长6号1期,2023-10-31,0.9222,0.9222,0.922200000000001
SVM265,勤辰创赢成长6号1期,2023-11-02,0.9209,0.9209,0.920900000000001
SVM265,勤辰创赢成长6号1期,2023-11-07,0.9248,0.9248,0.9248000000000012
SVM265,勤辰创赢成长6号1期,2023-11-14,0.9316,0.9316,0.9316000000000012
SVM265,勤辰创赢成长6号1期,2023-11-17,0.9371,0.9371,0.9371000000000012
SVM265,勤辰创赢成长6号1期,2023-11-21,0.9333,0.9333,0.9333000000000012
SVM265,勤辰创赢成长6号1期,2023-11-28,0.9255,0.9255,0.9255000000000012
SVM265,勤辰创赢成长6号1期,2023-12-04,0.9299,0.9299,0.9299000000000012
SVM265,勤辰创赢成长6号1期,2023-12-05,0.9308,0.9308,0.930800000000001
SVM265,勤辰创赢成长6号1期,2023-12-12,0.9306,0.9306,0.930600000000001
SVM265,勤辰创赢成长6号1期,2023-12-19,0.9277,0.9277,0.927700000000001
SVM265,勤辰创赢成长6号1期,2023-12-26,0.9219,0.9219,0.921900000000001
SVM265,勤辰创赢成长6号1期,2024-01-03,0.932,0.932,0.9320000000000012
SVM265,勤辰创赢成长6号1期,2024-01-09,0.9252,0.9252,0.925200000000001
SVM265,勤辰创赢成长6号1期,2024-01-16,0.9238,0.9238,0.923800000000001
SVM265,勤辰创赢成长6号1期,2024-01-17,0.9249,0.9249,0.9249000000000008
SVM265,勤辰创赢成长6号1期,2024-01-23,0.9244,0.9244,0.9244000000000008
SVM265,勤辰创赢成长6号1期,2024-01-30,0.9222,0.9222,0.9222000000000008
SVM265,勤辰创赢成长6号1期,2024-02-02,0.9095,0.9095,0.9095000000000008
SVM265,勤辰创赢成长6号1期,2024-02-06,0.9116,0.9116,0.9116000000000009
SVM265,勤辰创赢成长6号1期,2024-02-20,0.9343,0.9343,0.9343000000000008
SVM265,勤辰创赢成长6号1期,2024-02-21,0.9386,0.9386,0.9386000000000008
SVM265,勤辰创赢成长6号1期,2024-02-27,0.939,0.939,0.9390000000000008
SVM265,勤辰创赢成长6号1期,2024-03-04,0.9493,0.9493,0.949300000000001
SVM265,勤辰创赢成长6号1期,2024-03-05,0.9502,0.9502,0.9502000000000012
SVM265,勤辰创赢成长6号1期,2024-03-12,0.9659,0.9659,0.9659000000000012
SVM265,勤辰创赢成长6号1期,2024-03-19,0.9716,0.9716,0.9716000000000012
SVM265,勤辰创赢成长6号1期,2024-03-26,0.9707,0.9707,0.9707000000000012
SVM265,勤辰创赢成长6号1期,2024-04-02,0.9731,0.9731,0.9731000000000012
SVM265,勤辰创赢成长6号1期,2024-04-09,0.984,0.984,0.9840000000000012
SVM265,勤辰创赢成长6号1期,2024-04-16,0.9915,0.9915,0.9915000000000016
SVM265,勤辰创赢成长6号1期,2024-04-17,0.9983,0.9983,0.9983000000000012
SVM265,勤辰创赢成长6号1期,2024-04-23,1.0043,1.0043,1.0043000000000013
SVM265,勤辰创赢成长6号1期,2024-04-30,1.0103,1.0103,1.0103000000000013
SVM265,勤辰创赢成长6号1期,2024-05-07,1.0133,1.0133,1.0133000000000014
SVM265,勤辰创赢成长6号1期,2024-05-14,1.0354,1.0354,1.0354000000000014
SVM265,勤辰创赢成长6号1期,2024-05-17,1.036,1.036,1.0360000000000014
SVM265,勤辰创赢成长6号1期,2024-05-21,1.036,1.036,1.0360000000000014
SVM265,勤辰创赢成长6号1期,2024-05-28,1.0172,1.0172,1.0172000000000014
SVM265,勤辰创赢成长6号1期,2024-06-04,1.0085,1.0085,1.0085000000000013
