日期,单位净值,累计净值,累计单位净值,基金id
2023-01-06,1.0,1.0,1.0,会世元丰29号1期
2023-01-09,1.0,1.0,1.0,会世元丰29号1期
2023-01-10,1.0,1.0,1.0,会世元丰29号1期
2023-01-11,1.0,1.0,1.0,会世元丰29号1期
2023-01-12,1.0,1.0,1.0,会世元丰29号1期
2023-01-13,1.0,1.0,1.0,会世元丰29号1期
2023-01-16,1.0,1.0,1.0,会世元丰29号1期
2023-01-17,1.0,1.0,1.0,会世元丰29号1期
2023-01-18,1.0,1.0,1.0,会世元丰29号1期
2023-01-19,1.0,1.0,1.0,会世元丰29号1期
2023-01-20,1.0,1.0,1.0,会世元丰29号1期
2023-01-30,0.9999,0.9999,0.9999,会世元丰29号1期
2023-02-01,0.9999,0.9999,0.9999,会世元丰29号1期
2023-02-03,0.9999,0.9999,0.9999,会世元丰29号1期
2023-02-06,0.9998,0.9998,0.9998,会世元丰29号1期
2023-02-07,0.9997,0.9997,0.9997,会世元丰29号1期
2023-02-08,0.9998,0.9998,0.9997999999999999,会世元丰29号1期
2023-02-10,0.9989,0.9989,0.9988999999999999,会世元丰29号1期
2023-02-15,0.9933,0.9933,0.9932999999999998,会世元丰29号1期
2023-02-17,0.9927,0.9927,0.9926999999999999,会世元丰29号1期
2023-02-22,0.991,0.991,0.9909999999999999,会世元丰29号1期
2023-02-24,0.9906,0.9906,0.9905999999999999,会世元丰29号1期
2023-03-01,0.9886,0.9886,0.9885999999999999,会世元丰29号1期
2023-03-03,0.9911,0.9911,0.9910999999999998,会世元丰29号1期
2023-03-08,0.9884,0.9884,0.9883999999999997,会世元丰29号1期
2023-03-10,0.9897,0.9897,0.9896999999999997,会世元丰29号1期
2023-03-15,0.9811,0.9811,0.9810999999999996,会世元丰29号1期
2023-03-17,0.9795,0.9795,0.9794999999999997,会世元丰29号1期
2023-03-22,0.9769,0.9769,0.9768999999999997,会世元丰29号1期
2023-03-24,0.9757,0.9757,0.9756999999999997,会世元丰29号1期
2023-03-29,0.9651,0.9651,0.9650999999999996,会世元丰29号1期
2023-03-31,0.9633,0.9633,0.9632999999999997,会世元丰29号1期
2023-04-06,0.9556,0.9556,0.9555999999999997,会世元丰29号1期
