日期,单位净值,累计净值,累计单位净值,基金id
2022-07-06,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-07-11,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-07-12,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-07-13,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-07-14,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-07-15,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-07-18,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-07-19,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-07-20,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-07-21,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-07-22,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-08-01,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-08-04,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-08-11,1.0,1.0,1.0,上海宽德量化中性1号一期私募证券投资基金
2022-08-16,0.999,0.999,0.999,上海宽德量化中性1号一期私募证券投资基金
2022-08-19,0.999,0.999,0.999,上海宽德量化中性1号一期私募证券投资基金
2022-08-25,0.995,0.995,0.995,上海宽德量化中性1号一期私募证券投资基金
2022-09-01,0.985,0.985,0.985,上海宽德量化中性1号一期私募证券投资基金
2022-09-08,0.978,0.978,0.978,上海宽德量化中性1号一期私募证券投资基金
2022-09-16,0.977,0.977,0.977,上海宽德量化中性1号一期私募证券投资基金
2022-09-19,0.967,0.967,0.967,上海宽德量化中性1号一期私募证券投资基金
2022-09-22,0.969,0.969,0.969,上海宽德量化中性1号一期私募证券投资基金
2022-09-29,0.969,0.969,0.969,上海宽德量化中性1号一期私募证券投资基金
2022-10-13,0.957,0.957,0.957,上海宽德量化中性1号一期私募证券投资基金
2022-10-18,0.945,0.945,0.945,上海宽德量化中性1号一期私募证券投资基金
2022-10-21,0.947,0.947,0.9470000000000001,上海宽德量化中性1号一期私募证券投资基金
2022-10-27,0.95,0.95,0.95,上海宽德量化中性1号一期私募证券投资基金
2022-11-03,0.946,0.946,0.946,上海宽德量化中性1号一期私募证券投资基金
2022-11-10,0.962,0.962,0.962,上海宽德量化中性1号一期私募证券投资基金
2022-11-15,0.952,0.952,0.952,上海宽德量化中性1号一期私募证券投资基金
2022-11-21,0.958,0.958,0.958,上海宽德量化中性1号一期私募证券投资基金
2022-11-24,0.948,0.948,0.948,上海宽德量化中性1号一期私募证券投资基金
2022-12-01,0.955,0.955,0.955,上海宽德量化中性1号一期私募证券投资基金
2022-12-08,0.963,0.963,0.963,上海宽德量化中性1号一期私募证券投资基金
2022-12-15,0.971,0.971,0.9709999999999999,上海宽德量化中性1号一期私募证券投资基金
2022-12-19,0.979,0.979,0.9789999999999999,上海宽德量化中性1号一期私募证券投资基金
2022-12-22,0.974,0.974,0.9739999999999999,上海宽德量化中性1号一期私募证券投资基金
2022-12-29,0.973,0.973,0.9729999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-01-06,0.971,0.971,0.9709999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-01-11,0.966,0.966,0.9659999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-01-17,0.965,0.965,0.9649999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-01-19,0.964,0.964,0.9639999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-02-02,0.957,0.957,0.9569999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-02-09,0.966,0.966,0.9659999999999997,上海宽德量化中性1号一期私募证券投资基金
2023-02-16,0.965,0.965,0.9649999999999997,上海宽德量化中性1号一期私募证券投资基金
2023-02-17,0.97,0.97,0.9699999999999998,上海宽德量化中性1号一期私募证券投资基金
2023-02-23,0.961,0.961,0.9609999999999997,上海宽德量化中性1号一期私募证券投资基金
2023-03-02,0.965,0.965,0.9649999999999997,上海宽德量化中性1号一期私募证券投资基金
2023-03-09,0.969,0.969,0.9689999999999998,上海宽德量化中性1号一期私募证券投资基金
2023-03-16,0.97,0.97,0.9699999999999996,上海宽德量化中性1号一期私募证券投资基金
2023-03-17,0.974,0.974,0.9739999999999996,上海宽德量化中性1号一期私募证券投资基金
2023-03-23,0.982,0.982,0.9819999999999995,上海宽德量化中性1号一期私募证券投资基金
2023-03-30,1.005,1.005,1.0049999999999994,上海宽德量化中性1号一期私募证券投资基金
2023-04-07,1.008,1.008,1.0079999999999996,上海宽德量化中性1号一期私募证券投资基金
2023-04-13,1.024,1.024,1.0239999999999996,上海宽德量化中性1号一期私募证券投资基金
2023-04-18,1.035,1.035,1.0349999999999995,上海宽德量化中性1号一期私募证券投资基金
2023-04-21,1.033,1.033,1.0329999999999995,上海宽德量化中性1号一期私募证券投资基金
2023-04-27,1.053,1.053,1.0529999999999995,上海宽德量化中性1号一期私募证券投资基金
2023-05-05,1.057,1.057,1.0569999999999995,上海宽德量化中性1号一期私募证券投资基金
2023-05-11,1.061,1.061,1.0609999999999993,上海宽德量化中性1号一期私募证券投资基金
2023-05-16,1.064,1.064,1.0639999999999994,上海宽德量化中性1号一期私募证券投资基金
2023-05-19,1.069,1.069,1.0689999999999993,上海宽德量化中性1号一期私募证券投资基金
2023-05-25,1.072,1.072,1.0719999999999994,上海宽德量化中性1号一期私募证券投资基金
2023-06-01,1.074,1.074,1.0739999999999994,上海宽德量化中性1号一期私募证券投资基金
2023-06-08,1.087,1.087,1.0869999999999993,上海宽德量化中性1号一期私募证券投资基金
2023-06-15,1.109,1.109,1.1089999999999993,上海宽德量化中性1号一期私募证券投资基金
2023-06-19,1.114,1.114,1.1139999999999994,上海宽德量化中性1号一期私募证券投资基金
2023-06-26,1.117,1.117,1.1169999999999993,上海宽德量化中性1号一期私募证券投资基金
2023-06-29,1.111,1.111,1.1109999999999993,上海宽德量化中性1号一期私募证券投资基金
2023-07-06,1.115,1.115,1.114999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-07-13,1.115,1.115,1.114999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-07-20,1.116,1.116,1.1159999999999992,上海宽德量化中性1号一期私募证券投资基金
2023-07-27,1.103,1.103,1.102999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-08-03,1.099,1.099,1.098999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-08-08,1.106,1.106,1.105999999999999,上海宽德量化中性1号一期私募证券投资基金
2023-08-11,1.065,1.105,1.1049999999999989,上海宽德量化中性1号一期私募证券投资基金
2023-08-15,1.061,1.101,1.1008497652582148,上海宽德量化中性1号一期私募证券投资基金
2023-08-16,1.061,1.101,1.1008497652582148,上海宽德量化中性1号一期私募证券投资基金
2023-08-17,1.061,1.101,1.1008497652582148,上海宽德量化中性1号一期私募证券投资基金
2023-08-22,1.063,1.103,1.102924882629107,上海宽德量化中性1号一期私募证券投资基金
2023-08-29,1.072,1.112,1.112262910798121,上海宽德量化中性1号一期私募证券投资基金
2023-09-05,1.081,1.121,1.121600938967135,上海宽德量化中性1号一期私募证券投资基金
2023-09-12,1.079,1.119,1.119525821596243,上海宽德量化中性1号一期私募证券投资基金
2023-09-19,1.077,1.117,1.117450704225351,上海宽德量化中性1号一期私募证券投资基金
2023-09-26,1.08,1.12,1.1205633802816892,上海宽德量化中性1号一期私募证券投资基金
2023-10-10,1.084,1.124,1.1247136150234733,上海宽德量化中性1号一期私募证券投资基金
2023-10-17,1.084,1.124,1.1247136150234733,上海宽德量化中性1号一期私募证券投资基金
2023-10-24,1.079,1.119,1.1195258215962431,上海宽德量化中性1号一期私募证券投资基金
2023-10-31,1.084,1.124,1.1247136150234733,上海宽德量化中性1号一期私募证券投资基金
2023-11-07,1.084,1.124,1.1247136150234733,上海宽德量化中性1号一期私募证券投资基金
2023-11-14,1.099,1.139,1.1402769953051632,上海宽德量化中性1号一期私募证券投资基金
2023-11-21,1.108,1.148,1.149615023474177,上海宽德量化中性1号一期私募证券投资基金
2023-11-28,1.108,1.148,1.149615023474177,上海宽德量化中性1号一期私募证券投资基金
2023-12-05,1.118,1.158,1.159990610328637,上海宽德量化中性1号一期私募证券投资基金
2023-12-12,1.111,1.151,1.1527276995305151,上海宽德量化中性1号一期私募证券投资基金
2023-12-19,1.112,1.152,1.153765258215961,上海宽德量化中性1号一期私募证券投资基金
2023-12-26,1.108,1.148,1.1496150234741769,上海宽德量化中性1号一期私募证券投资基金
2024-01-03,1.107,1.147,1.148577464788731,上海宽德量化中性1号一期私募证券投资基金
2024-01-09,1.112,1.152,1.153765258215961,上海宽德量化中性1号一期私募证券投资基金
2024-01-16,1.117,1.157,1.1589530516431912,上海宽德量化中性1号一期私募证券投资基金
2024-01-23,1.125,1.165,1.1672535211267592,上海宽德量化中性1号一期私募证券投资基金
2024-01-30,1.125,1.165,1.1672535211267592,上海宽德量化中性1号一期私募证券投资基金
2024-02-06,1.124,1.164,1.166215962441313,上海宽德量化中性1号一期私募证券投资基金
2024-02-20,1.038,1.078,1.0769859154929564,上海宽德量化中性1号一期私募证券投资基金
2024-02-27,1.115,1.155,1.156877934272299,上海宽德量化中性1号一期私募证券投资基金
2024-03-05,1.112,1.152,1.153765258215961,上海宽德量化中性1号一期私募证券投资基金
2024-03-12,1.115,1.155,1.156877934272299,上海宽德量化中性1号一期私募证券投资基金
2024-03-19,1.122,1.162,1.1641408450704211,上海宽德量化中性1号一期私募证券投资基金
2024-03-26,1.127,1.167,1.1693286384976513,上海宽德量化中性1号一期私募证券投资基金
2024-04-02,1.133,1.173,1.1755539906103274,上海宽德量化中性1号一期私募证券投资基金
2024-04-09,1.127,1.167,1.1693286384976513,上海宽德量化中性1号一期私募证券投资基金
2024-04-16,1.124,1.164,1.166215962441313,上海宽德量化中性1号一期私募证券投资基金
2024-04-23,1.108,1.148,1.1496150234741769,上海宽德量化中性1号一期私募证券投资基金
2024-04-30,1.11,1.15,1.1516901408450688,上海宽德量化中性1号一期私募证券投资基金
2024-05-07,1.108,1.148,1.1496150234741769,上海宽德量化中性1号一期私募证券投资基金
2024-05-14,1.115,1.155,1.156877934272299,上海宽德量化中性1号一期私募证券投资基金
2024-05-21,1.121,1.161,1.1631032863849753,上海宽德量化中性1号一期私募证券投资基金
2024-05-28,1.123,1.163,1.1651784037558675,上海宽德量化中性1号一期私募证券投资基金
2024-06-04,1.124,1.164,1.1662159624413133,上海宽德量化中性1号一期私募证券投资基金
2024-06-12,1.119,1.159,1.1610281690140833,上海宽德量化中性1号一期私募证券投资基金
2024-06-18,1.12,1.16,1.1620657276995292,上海宽德量化中性1号一期私募证券投资基金
2024-06-19,1.116,1.156,1.157915492957745,上海宽德量化中性1号一期私募证券投资基金
2024-06-21,1.086,1.167,1.1693286384976513,上海宽德量化中性1号一期私募证券投资基金
2024-06-25,1.083,1.164,1.1660984488885415,上海宽德量化中性1号一期私募证券投资基金
2024-07-02,1.092,1.173,1.1757890177158703,上海宽德量化中性1号一期私募证券投资基金
2024-07-09,1.099,1.18,1.1833261268037925,上海宽德量化中性1号一期私募证券投资基金
2024-07-16,1.097,1.178,1.181172667064386,上海宽德量化中性1号一期私募证券投资基金
2024-07-23,1.101,1.182,1.1854795865431988,上海宽德量化中性1号一期私募证券投资基金
2024-07-30,1.107,1.188,1.191939965761418,上海宽德量化中性1号一期私募证券投资基金
2024-08-06,1.112,1.193,1.1973236151099342,上海宽德量化中性1号一期私募证券投资基金
2024-08-13,1.116,1.197,1.201630534588747,上海宽德量化中性1号一期私募证券投资基金
2024-08-20,1.119,1.2,1.2048607241978566,上海宽德量化中性1号一期私募证券投资基金
2024-08-27,1.115,1.196,1.2005538047190438,上海宽德量化中性1号一期私募证券投资基金
2024-09-03,1.106,1.187,1.1908632358917153,上海宽德量化中性1号一期私募证券投资基金
2024-09-10,1.116,1.197,1.201630534588747,上海宽德量化中性1号一期私募证券投资基金
2024-09-19,1.111,1.192,1.196246885240231,上海宽德量化中性1号一期私募证券投资基金
2024-09-20,1.112,1.193,1.1973236151099345,上海宽德量化中性1号一期私募证券投资基金
2024-09-24,1.116,1.197,1.2016305345887472,上海宽德量化中性1号一期私募证券投资基金
2024-10-08,1.071,1.152,1.153177690452104,上海宽德量化中性1号一期私募证券投资基金
2024-10-09,1.084,1.165,1.1671751787582456,上海宽德量化中性1号一期私募证券投资基金
2024-10-15,1.109,1.19,1.1940934255008249,上海宽德量化中性1号一期私募证券投资基金
2024-10-22,1.097,1.178,1.1811726670643867,上海宽德量化中性1号一期私募证券投资基金
2024-10-29,1.128,1.209,1.2145512930251854,上海宽德量化中性1号一期私募证券投资基金
2024-11-05,1.141,1.222,1.2285487813313265,上海宽德量化中性1号一期私募证券投资基金
2024-11-12,1.145,1.226,1.232855700810139,上海宽德量化中性1号一期私募证券投资基金
2024-11-19,1.144,1.225,1.2317789709404359,上海宽德量化中性1号一期私募证券投资基金
2024-11-26,1.161,1.242,1.2500833787253898,上海宽德量化中性1号一期私募证券投资基金
2024-12-03,1.172,1.253,1.2619274072921247,上海宽德量化中性1号一期私募证券投资基金
2024-12-10,1.183,1.264,1.2737714358588599,上海宽德量化中性1号一期私募证券投资基金
2024-12-17,1.188,1.269,1.2791550852073756,上海宽德量化中性1号一期私募证券投资基金
2024-12-18,1.196,1.277,1.287768924165001,上海宽德量化中性1号一期私募证券投资基金
2024-12-24,1.183,1.264,1.2737714358588597,上海宽德量化中性1号一期私募证券投资基金
2024-12-31,1.171,1.252,1.2608506774224215,上海宽德量化中性1号一期私募证券投资基金
2025-01-07,1.175,1.256,1.265157596901234,上海宽德量化中性1号一期私募证券投资基金
2025-01-14,1.18,1.261,1.2705412462497498,上海宽德量化中性1号一期私募证券投资基金
2025-01-21,1.185,1.266,1.2759248955982658,上海宽德量化中性1号一期私募证券投资基金
2025-02-05,1.178,1.259,1.2683877865103435,上海宽德量化中性1号一期私募证券投资基金
2025-02-06,1.18,1.261,1.2705412462497496,上海宽德量化中性1号一期私募证券投资基金
2025-02-11,1.188,1.269,1.2791550852073752,上海宽德量化中性1号一期私募证券投资基金
2025-02-18,1.185,1.266,1.2759248955982656,上海宽德量化中性1号一期私募证券投资基金
2025-02-25,1.189,1.27,1.2802318150770784,上海宽德量化中性1号一期私募证券投资基金
