日期,单位净值,累计净值,累计单位净值,基金id
2022-09-16,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-09-20,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-09-21,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-09-22,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-09-23,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-09-26,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-09-27,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-09-28,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-09-29,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-09-30,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-10-10,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-10-11,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-10-14,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-10-20,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-10-21,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-10-28,0.999,0.999,0.999,宽德中证500指数增强22号一期
2022-11-04,1.0,1.0,1.0,宽德中证500指数增强22号一期
2022-11-11,0.992,0.992,0.992,宽德中证500指数增强22号一期
2022-11-18,0.991,0.991,0.991,宽德中证500指数增强22号一期
2022-11-21,0.994,0.994,0.9940000000000001,宽德中证500指数增强22号一期
2022-11-25,0.98,0.98,0.9800000000000001,宽德中证500指数增强22号一期
2022-12-02,0.998,0.998,0.9980000000000001,宽德中证500指数增强22号一期
2022-12-09,1.009,1.009,1.0090000000000001,宽德中证500指数增强22号一期
2022-12-16,0.994,0.994,0.9940000000000002,宽德中证500指数增强22号一期
2022-12-20,0.967,0.967,0.9670000000000002,宽德中证500指数增强22号一期
2022-12-23,0.95,0.95,0.9500000000000002,宽德中证500指数增强22号一期
2022-12-30,0.964,0.964,0.9640000000000002,宽德中证500指数增强22号一期
2023-01-06,0.984,0.984,0.9840000000000001,宽德中证500指数增强22号一期
2023-01-13,0.987,0.987,0.987,宽德中证500指数增强22号一期
2023-01-20,1.014,1.014,1.014,宽德中证500指数增强22号一期
2023-02-03,1.037,1.037,1.037,宽德中证500指数增强22号一期
2023-02-10,1.036,1.036,1.036,宽德中证500指数增强22号一期
2023-02-17,1.023,1.023,1.023,宽德中证500指数增强22号一期
2023-02-20,1.04,1.04,1.04,宽德中证500指数增强22号一期
2023-02-24,1.037,1.037,1.037,宽德中证500指数增强22号一期
2023-03-03,1.051,1.051,1.051,宽德中证500指数增强22号一期
2023-03-10,1.023,1.023,1.023,宽德中证500指数增强22号一期
2023-03-17,1.034,1.034,1.034,宽德中证500指数增强22号一期
2023-03-20,1.034,1.034,1.034,宽德中证500指数增强22号一期
2023-03-24,1.073,1.073,1.073,宽德中证500指数增强22号一期
2023-03-31,1.082,1.082,1.082,宽德中证500指数增强22号一期
2023-04-07,1.113,1.113,1.1130000000000002,宽德中证500指数增强22号一期
2023-04-14,1.124,1.124,1.1240000000000003,宽德中证500指数增强22号一期
2023-04-20,1.146,1.146,1.1460000000000001,宽德中证500指数增强22号一期
2023-04-21,1.125,1.125,1.1250000000000002,宽德中证500指数增强22号一期
2023-04-28,1.132,1.132,1.1320000000000001,宽德中证500指数增强22号一期
2023-05-05,1.13,1.13,1.1300000000000001,宽德中证500指数增强22号一期
2023-05-12,1.116,1.116,1.1160000000000003,宽德中证500指数增强22号一期
2023-05-19,1.13,1.13,1.1300000000000001,宽德中证500指数增强22号一期
2023-05-22,1.127,1.127,1.1270000000000002,宽德中证500指数增强22号一期
2023-05-26,1.116,1.116,1.1160000000000003,宽德中证500指数增强22号一期
2023-06-02,1.141,1.141,1.1410000000000002,宽德中证500指数增强22号一期
2023-06-09,1.148,1.148,1.1480000000000001,宽德中证500指数增强22号一期
2023-06-16,1.18,1.18,1.1800000000000002,宽德中证500指数增强22号一期
2023-06-20,1.175,1.175,1.1750000000000003,宽德中证500指数增强22号一期
2023-06-21,1.153,1.153,1.1530000000000002,宽德中证500指数增强22号一期
2023-06-30,1.157,1.157,1.1570000000000003,宽德中证500指数增强22号一期
2023-07-07,1.151,1.151,1.1510000000000002,宽德中证500指数增强22号一期
2023-07-14,1.166,1.166,1.1660000000000001,宽德中证500指数增强22号一期
2023-07-20,1.14,1.14,1.1400000000000001,宽德中证500指数增强22号一期
2023-07-21,1.138,1.138,1.1380000000000001,宽德中证500指数增强22号一期
2023-07-28,1.157,1.157,1.1570000000000003,宽德中证500指数增强22号一期
2023-08-04,1.178,1.178,1.1780000000000002,宽德中证500指数增强22号一期
2023-08-07,1.1,1.172,1.1720000000000002,宽德中证500指数增强22号一期
2023-08-11,1.065,1.137,1.1347090909090911,宽德中证500指数增强22号一期
2023-08-16,1.065,1.137,1.1347090909090911,宽德中证500指数增强22号一期
2023-08-17,1.065,1.137,1.1347090909090911,宽德中证500指数增强22号一期
2023-08-18,1.044,1.116,1.112334545454546,宽德中证500指数增强22号一期
2023-08-21,1.035,1.107,1.102745454545455,宽德中证500指数增强22号一期
2023-08-25,1.014,1.086,1.0803709090909095,宽德中证500指数增强22号一期
2023-09-01,1.048,1.12,1.116596363636364,宽德中证500指数增强22号一期
2023-09-08,1.044,1.116,1.112334545454546,宽德中证500指数增强22号一期
2023-09-15,1.039,1.111,1.107007272727273,宽德中证500指数增强22号一期
2023-09-20,1.033,1.105,1.1006145454545457,宽德中证500指数增强22号一期
2023-09-22,1.045,1.117,1.1134000000000002,宽德中证500指数增强22号一期
2023-09-28,1.042,1.114,1.1102036363636365,宽德中证500指数增强22号一期
2023-10-13,1.038,1.11,1.1059418181818184,宽德中证500指数增强22号一期
2023-10-20,0.995,1.067,1.0601272727272728,宽德中证500指数增强22号一期
2023-10-27,1.019,1.091,1.085698181818182,宽德中证500指数增强22号一期
2023-11-03,1.022,1.094,1.0888945454545456,宽德中证500指数增强22号一期
2023-11-10,1.036,1.108,1.1038109090909092,宽德中证500指数增强22号一期
2023-11-17,1.05,1.122,1.118727272727273,宽德中证500指数增强22号一期
2023-11-20,1.059,1.131,1.1283163636363638,宽德中证500指数增强22号一期
2023-11-24,1.045,1.117,1.1134000000000002,宽德中证500指数增强22号一期
2023-12-01,1.043,1.115,1.1112690909090912,宽德中证500指数增强22号一期
2023-12-08,1.024,1.096,1.091025454545455,宽德中证500指数增强22号一期
2023-12-15,1.017,1.089,1.083567272727273,宽德中证500指数增强22号一期
2023-12-20,0.996,1.068,1.0611927272727275,宽德中证500指数增强22号一期
2023-12-22,0.995,1.067,1.0601272727272728,宽德中证500指数增强22号一期
2023-12-29,1.019,1.091,1.085698181818182,宽德中证500指数增强22号一期
2024-01-05,0.997,1.069,1.0622581818181818,宽德中证500指数增强22号一期
2024-01-12,0.986,1.058,1.0505381818181818,宽德中证500指数增强22号一期
2024-01-19,0.951,1.023,1.0132472727272726,宽德中证500指数增强22号一期
2024-01-22,0.907,0.979,0.9663672727272726,宽德中证500指数增强22号一期
2024-01-26,0.957,1.029,1.0196399999999999,宽德中证500指数增强22号一期
2024-02-02,0.856,0.928,0.9120290909090909,宽德中证500指数增强22号一期
2024-02-08,0.901,0.973,0.9599745454545454,宽德中证500指数增强22号一期
2024-02-20,0.937,1.009,0.998330909090909,宽德中证500指数增强22号一期
2024-02-23,0.988,1.06,1.052669090909091,宽德中证500指数增强22号一期
2024-03-01,1.017,1.089,1.0835672727272727,宽德中证500指数增强22号一期
2024-03-08,1.014,1.086,1.080370909090909,宽德中证500指数增强22号一期
2024-03-15,1.044,1.116,1.1123345454545452,宽德中证500指数增强22号一期
2024-03-20,1.063,1.135,1.1325781818181815,宽德中证500指数增强22号一期
2024-03-22,1.05,1.122,1.1187272727272726,宽德中证500指数增强22号一期
2024-03-29,1.037,1.109,1.1048763636363634,宽德中证500指数增强22号一期
2024-04-03,1.053,1.125,1.1219236363636362,宽德中证500指数增强22号一期
2024-04-12,1.03,1.102,1.0974181818181818,宽德中证500指数增强22号一期
2024-04-19,1.025,1.097,1.092090909090909,宽德中证500指数增强22号一期
2024-04-22,1.017,1.089,1.0835672727272727,宽德中证500指数增强22号一期
2024-04-26,1.055,1.127,1.1240545454545454,宽德中证500指数增强22号一期
2024-04-30,1.066,1.138,1.1357745454545454,宽德中证500指数增强22号一期
2024-05-10,1.084,1.156,1.1549527272727271,宽德中证500指数增强22号一期
2024-05-17,1.087,1.159,1.1581490909090908,宽德中证500指数增强22号一期
2024-05-20,1.093,1.165,1.1645418181818181,宽德中证500指数增强22号一期
2024-05-24,1.057,1.129,1.1261854545454544,宽德中证500指数增强22号一期
2024-05-31,1.057,1.129,1.1261854545454544,宽德中证500指数增强22号一期
2024-06-07,1.026,1.098,1.0931563636363635,宽德中证500指数增强22号一期
2024-06-14,1.029,1.101,1.096352727272727,宽德中证500指数增强22号一期
2024-06-20,1.011,1.083,1.0771745454545452,宽德中证500指数增强22号一期
2024-06-21,1.011,1.083,1.0771745454545452,宽德中证500指数增强22号一期
2024-06-28,0.998,1.07,1.0633236363636362,宽德中证500指数增强22号一期
2024-07-05,0.993,1.065,1.0579963636363634,宽德中证500指数增强22号一期
2024-07-12,1.008,1.08,1.0739781818181817,宽德中证500指数增强22号一期
2024-07-19,1.004,1.076,1.0697163636363636,宽德中证500指数增强22号一期
2024-07-22,1.003,1.075,1.0686509090909089,宽德中证500指数增强22号一期
2024-07-26,0.982,1.054,1.0462763636363634,宽德中证500指数增强22号一期
2024-08-02,1.005,1.077,1.070781818181818,宽德中证500指数增强22号一期
2024-08-09,0.99,1.062,1.0548,宽德中证500指数增强22号一期
2024-08-16,0.988,1.06,1.0526690909090908,宽德中证500指数增强22号一期
2024-08-20,0.974,1.046,1.0377527272727272,宽德中证500指数增强22号一期
2024-08-23,0.962,1.034,1.0249672727272727,宽德中证500指数增强22号一期
2024-08-30,0.98,1.052,1.0441454545454545,宽德中证500指数增强22号一期
2024-09-06,0.96,1.032,1.0228363636363635,宽德中证500指数增强22号一期
2024-09-13,0.939,1.011,1.000461818181818,宽德中证500指数增强22号一期
2024-09-20,0.951,1.023,1.0132472727272723,宽德中证500指数增强22号一期
2024-09-27,1.094,1.166,1.1656072727272722,宽德中证500指数增强22号一期
2024-09-30,1.198,1.27,1.276414545454545,宽德中证500指数增强22号一期
2024-10-11,1.143,1.215,1.217814545454545,宽德中证500指数增强22号一期
2024-10-18,1.193,1.265,1.2710872727272722,宽德中证500指数增强22号一期
2024-10-21,1.21,1.282,1.2891999999999995,宽德中证500指数增强22号一期
2024-10-25,1.246,1.318,1.327556363636363,宽德中证500指数增强22号一期
2024-11-01,1.257,1.329,1.3392763636363627,宽德中证500指数增强22号一期
2024-11-08,1.348,1.42,1.4362327272727264,宽德中证500指数增强22号一期
2024-11-15,1.299,1.371,1.3840254545454538,宽德中证500指数增强22号一期
2024-11-20,1.329,1.401,1.4159890909090902,宽德中证500指数增强22号一期
2024-11-22,1.294,1.366,1.3786981818181812,宽德中证500指数增强22号一期
2024-11-29,1.328,1.4,1.4149236363636353,宽德中证500指数增强22号一期
2024-12-06,1.372,1.444,1.461803636363635,宽德中证500指数增强22号一期
2024-12-13,1.378,1.45,1.4681963636363622,宽德中证500指数增强22号一期
2024-12-20,1.358,1.43,1.4468872727272712,宽德中证500指数增强22号一期
2024-12-27,1.349,1.421,1.4372981818181805,宽德中证500指数增强22号一期
2025-01-03,1.255,1.327,1.3371454545454533,宽德中证500指数增强22号一期
2025-01-10,1.247,1.319,1.3286218181818168,宽德中证500指数增强22号一期
2025-01-17,1.305,1.377,1.3904181818181804,宽德中证500指数增强22号一期
2025-01-20,1.31,1.382,1.3957454545454528,宽德中证500指数增强22号一期
2025-01-24,1.0,1.384,1.397876363636362,宽德中证500指数增强22号一期
2025-01-27,0.992,1.376,1.3866933527272711,宽德中证500指数增强22号一期
2025-02-07,1.034,1.418,1.4454041599999985,宽德中证500指数增强22号一期
2025-02-14,1.051,1.435,1.4691680581818167,宽德中证500指数增强22号一期
2025-02-21,1.074,1.458,1.5013192145454528,宽德中证500指数增强22号一期
2025-02-28,1.058,1.442,1.478953192727271,宽德中证500指数增强22号一期
2025-03-07,1.099,1.483,1.536266123636362,宽德中证500指数增强22号一期
2025-03-14,1.122,1.506,1.568417279999998,宽德中证500指数增强22号一期
