基金代码,基金名称,日期,单位净值,累计净值,复权净值
SVY454,宽德中证500指数增强22号一期,2022-09-19,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-09-21,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-09-22,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-09-23,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-09-26,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-09-27,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-09-28,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-09-29,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-09-30,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-10-10,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-10-11,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-10-14,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-10-20,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-10-24,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-10-27,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-11-03,0.999,0.999,0.999
SVY454,宽德中证500指数增强22号一期,2022-11-10,1.0,1.0,1.0
SVY454,宽德中证500指数增强22号一期,2022-11-17,0.992,0.992,0.992
SVY454,宽德中证500指数增强22号一期,2022-11-22,0.991,0.991,0.991
SVY454,宽德中证500指数增强22号一期,2022-11-25,0.994,0.994,0.994
SVY454,宽德中证500指数增强22号一期,2022-12-01,0.98,0.98,0.98
SVY454,宽德中证500指数增强22号一期,2022-12-08,0.998,0.998,0.998
SVY454,宽德中证500指数增强22号一期,2022-12-15,1.009,1.009,1.009
SVY454,宽德中证500指数增强22号一期,2022-12-20,0.994,0.994,0.9940000000000002
SVY454,宽德中证500指数增强22号一期,2022-12-26,0.967,0.967,0.9670000000000002
SVY454,宽德中证500指数增强22号一期,2022-12-29,0.95,0.95,0.9500000000000002
SVY454,宽德中证500指数增强22号一期,2023-01-06,0.964,0.964,0.9640000000000002
SVY454,宽德中证500指数增强22号一期,2023-01-10,0.984,0.984,0.984
SVY454,宽德中证500指数增强22号一期,2023-01-18,0.987,0.987,0.987
SVY454,宽德中证500指数增强22号一期,2023-02-03,1.014,1.014,1.014
SVY454,宽德中证500指数增强22号一期,2023-02-09,1.037,1.037,1.037
SVY454,宽德中证500指数增强22号一期,2023-02-16,1.036,1.036,1.036
