日期,单位净值,累计净值,累计单位净值,基金id
2022-12-12,1.0,1.0,1.0,上海宽德飞虹5号私募证券投资基金
2023-01-18,0.987,0.987,0.987,上海宽德飞虹5号私募证券投资基金
2023-01-19,0.99,0.99,0.9900000000000001,上海宽德飞虹5号私募证券投资基金
2023-01-31,0.995,0.995,0.995,上海宽德飞虹5号私募证券投资基金
2023-02-01,1.007,1.007,1.007,上海宽德飞虹5号私募证券投资基金
2023-02-02,1.006,1.006,1.006,上海宽德飞虹5号私募证券投资基金
2023-02-07,1.027,1.027,1.027,上海宽德飞虹5号私募证券投资基金
2023-02-13,1.02,1.02,1.02,上海宽德飞虹5号私募证券投资基金
2023-02-14,1.022,1.022,1.022,上海宽德飞虹5号私募证券投资基金
2023-02-16,1.036,1.036,1.036,上海宽德飞虹5号私募证券投资基金
2023-02-17,1.042,1.042,1.042,上海宽德飞虹5号私募证券投资基金
2023-02-21,1.007,1.007,1.007,上海宽德飞虹5号私募证券投资基金
2023-02-27,1.022,1.022,1.022,上海宽德飞虹5号私募证券投资基金
2023-02-28,1.017,1.017,1.017,上海宽德飞虹5号私募证券投资基金
2023-03-06,1.022,1.022,1.022,上海宽德飞虹5号私募证券投资基金
2023-03-07,1.036,1.036,1.036,上海宽德飞虹5号私募证券投资基金
2023-03-13,1.013,1.013,1.013,上海宽德飞虹5号私募证券投资基金
2023-03-14,1.011,1.011,1.011,上海宽德飞虹5号私募证券投资基金
2023-03-16,1.018,1.018,1.018,上海宽德飞虹5号私募证券投资基金
2023-03-17,1.017,1.017,1.017,上海宽德飞虹5号私募证券投资基金
2023-03-21,1.026,1.026,1.026,上海宽德飞虹5号私募证券投资基金
2023-03-27,1.045,1.045,1.045,上海宽德飞虹5号私募证券投资基金
2023-03-28,1.084,1.084,1.084,上海宽德飞虹5号私募证券投资基金
2023-04-03,1.079,1.079,1.079,上海宽德飞虹5号私募证券投资基金
2023-04-04,1.098,1.098,1.098,上海宽德飞虹5号私募证券投资基金
2023-04-07,1.128,1.128,1.128,上海宽德飞虹5号私募证券投资基金
2023-04-11,1.14,1.14,1.14,上海宽德飞虹5号私募证券投资基金
2023-04-17,1.136,1.136,1.136,上海宽德飞虹5号私募证券投资基金
2023-04-18,1.148,1.148,1.148,上海宽德飞虹5号私募证券投资基金
2023-04-19,1.146,1.146,1.146,上海宽德飞虹5号私募证券投资基金
2023-04-24,1.155,1.155,1.155,上海宽德飞虹5号私募证券投资基金
2023-04-25,0.99,0.99,0.99,上海宽德飞虹5号私募证券投资基金
2023-04-26,1.146,1.146,1.146,上海宽德飞虹5号私募证券投资基金
2023-05-04,1.133,1.133,1.133,上海宽德飞虹5号私募证券投资基金
2023-05-05,1.158,1.158,1.158,上海宽德飞虹5号私募证券投资基金
2023-05-08,1.163,1.163,1.163,上海宽德飞虹5号私募证券投资基金
2023-05-09,1.156,1.156,1.156,上海宽德飞虹5号私募证券投资基金
2023-05-15,1.153,1.153,1.153,上海宽德飞虹5号私募证券投资基金
2023-05-16,1.138,1.138,1.138,上海宽德飞虹5号私募证券投资基金
2023-05-17,1.151,1.151,1.151,上海宽德飞虹5号私募证券投资基金
2023-05-22,1.139,1.139,1.139,上海宽德飞虹5号私募证券投资基金
2023-05-23,1.154,1.154,1.154,上海宽德飞虹5号私募证券投资基金
2023-05-24,1.149,1.149,1.149,上海宽德飞虹5号私募证券投资基金
2023-05-29,1.133,1.133,1.133,上海宽德飞虹5号私募证券投资基金
2023-05-30,1.148,1.148,1.148,上海宽德飞虹5号私募证券投资基金
2023-06-05,1.166,1.166,1.166,上海宽德飞虹5号私募证券投资基金
2023-06-06,1.18,1.18,1.18,上海宽德飞虹5号私募证券投资基金
2023-06-12,1.172,1.172,1.172,上海宽德飞虹5号私募证券投资基金
2023-06-13,1.19,1.19,1.1900000000000002,上海宽德飞虹5号私募证券投资基金
2023-06-15,1.2,1.2,1.2000000000000002,上海宽德飞虹5号私募证券投资基金
2023-06-19,1.211,1.211,1.2110000000000003,上海宽德飞虹5号私募证券投资基金
2023-06-20,1.225,1.225,1.2250000000000005,上海宽德飞虹5号私募证券投资基金
2023-06-26,1.221,1.221,1.2210000000000005,上海宽德飞虹5号私募证券投资基金
2023-06-27,1.201,1.201,1.2010000000000005,上海宽德飞虹5号私募证券投资基金
2023-07-03,1.192,1.192,1.1920000000000004,上海宽德飞虹5号私募证券投资基金
2023-07-04,1.205,1.205,1.2050000000000005,上海宽德飞虹5号私募证券投资基金
2023-07-10,1.216,1.216,1.2160000000000004,上海宽德飞虹5号私募证券投资基金
2023-07-11,1.198,1.198,1.1980000000000004,上海宽德飞虹5号私募证券投资基金
2023-07-17,1.208,1.208,1.2080000000000004,上海宽德飞虹5号私募证券投资基金
2023-07-18,1.213,1.213,1.2130000000000005,上海宽德飞虹5号私募证券投资基金
2023-07-19,1.207,1.207,1.2070000000000005,上海宽德飞虹5号私募证券投资基金
2023-07-24,1.203,1.203,1.2030000000000005,上海宽德飞虹5号私募证券投资基金
2023-07-25,1.122,1.178,1.1780000000000004,上海宽德飞虹5号私募证券投资基金
2023-07-31,1.143,1.199,1.2000481283422464,上海宽德飞虹5号私募证券投资基金
2023-08-01,1.138,1.194,1.1947985739750449,上海宽德飞虹5号私募证券投资基金
2023-08-02,1.148,1.204,1.2052976827094477,上海宽德飞虹5号私募证券投资基金
2023-08-07,1.149,1.205,1.2063475935828882,上海宽德飞虹5号私募证券投资基金
2023-08-08,1.16,1.216,1.2178966131907312,上海宽德飞虹5号私募证券投资基金
2023-08-10,1.148,1.204,1.2052976827094477,上海宽德飞虹5号私募证券投资基金
2023-08-14,1.137,1.193,1.1937486631016048,上海宽德飞虹5号私募证券投资基金
2023-08-15,1.118,1.174,1.1738003565062392,上海宽德飞虹5号私募证券投资基金
2023-08-16,1.118,1.174,1.1738003565062392,上海宽德飞虹5号私募证券投资基金
2023-08-17,2.236,2.348,2.406395721925134,上海宽德飞虹5号私募证券投资基金
2023-08-22,1.1,1.156,1.123558646551807,上海宽德飞虹5号私募证券投资基金
2023-08-24,1.102,1.158,1.1256014804546284,上海宽德飞虹5号私募证券投资基金
2023-08-29,1.069,1.125,1.0918947210580743,上海宽德飞虹5号私募证券投资基金
2023-09-05,1.117,1.173,1.1409227347257895,上海宽德飞虹5号私募证券投资基金
2023-09-07,1.125,1.181,1.1490940703370753,上海宽德飞虹5号私募证券投资基金
2023-09-12,1.111,1.167,1.134794233017325,上海宽德飞虹5号私募证券投资基金
2023-09-14,1.123,1.179,1.1470512364342538,上海宽德飞虹5号私募证券投资基金
2023-09-19,1.102,1.158,1.1256014804546282,上海宽德飞虹5号私募证券投资基金
2023-09-21,1.1,1.156,1.1235586465518066,上海宽德飞虹5号私募证券投资基金
2023-09-26,1.11,1.166,1.133772816065914,上海宽德飞虹5号私募证券投资基金
2023-09-28,1.102,1.158,1.1256014804546282,上海宽德飞虹5号私募证券投资基金
2023-10-10,1.115,1.171,1.1388799008229678,上海宽德飞虹5号私募证券投资基金
2023-10-11,1.11,1.166,1.133772816065914,上海宽德飞虹5号私募证券投资基金
2023-10-12,1.103,1.159,1.1266228974060388,上海宽德飞虹5号私募证券投资基金
2023-10-17,1.111,1.167,1.1347942330173246,上海宽德飞虹5号私募证券投资基金
2023-10-18,1.104,1.16,1.1276443143574493,上海宽德飞虹5号私募证券投资基金
2023-10-19,1.104,1.16,1.1276443143574493,上海宽德飞虹5号私募证券投资基金
2023-10-24,1.06,1.116,1.0827019684953771,上海宽德飞虹5号私募证券投资基金
2023-10-26,1.056,1.112,1.0786163006897342,上海宽德飞虹5号私募证券投资基金
2023-10-31,1.084,1.14,1.1072159753292345,上海宽德飞虹5号私募证券投资基金
2023-11-02,1.092,1.148,1.1153873109405203,上海宽德飞虹5号私募证券投资基金
2023-11-07,1.09,1.146,1.1133444770376988,上海宽德飞虹5号私募证券投资基金
2023-11-09,1.124,1.18,1.1480726533856636,上海宽德飞虹5号私募证券投资基金
2023-11-14,1.123,1.179,1.1470512364342529,上海宽德飞虹5号私募证券投资基金
2023-11-16,1.144,1.2,1.1685009924138783,上海宽德飞虹5号私募证券投资基金
2023-11-17,1.15,1.206,1.1746294941223427,上海宽德飞虹5号私募证券投资基金
2023-11-21,1.15,1.206,1.1746294941223427,上海宽德飞虹5号私募证券投资基金
2023-11-23,1.154,1.21,1.1787151619279856,上海宽德飞虹5号私募证券投资基金
2023-11-28,1.14,1.196,1.1644153246082354,上海宽德飞虹5号私募证券投资基金
2023-11-30,1.149,1.205,1.173608077170932,上海宽德飞虹5号私募证券投资基金
2023-12-04,1.14,1.196,1.1644153246082354,上海宽德飞虹5号私募证券投资基金
2023-12-05,1.149,1.205,1.173608077170932,上海宽德飞虹5号私募证券投资基金
2023-12-07,1.127,1.183,1.1511369042398958,上海宽德飞虹5号私募证券投资基金
2023-12-12,1.129,1.185,1.1531797381427173,上海宽德飞虹5号私募证券投资基金
2023-12-14,1.144,1.2,1.1685009924138783,上海宽德飞虹5号私募证券投资基金
2023-12-19,1.122,1.178,1.1460298194828422,上海宽德飞虹5号私募证券投资基金
2023-12-21,1.113,1.169,1.1368370669201457,上海宽德飞虹5号私募证券投资基金
2023-12-26,1.091,1.147,1.1143658939891097,上海宽德飞虹5号私募证券投资基金
2023-12-28,1.083,1.139,1.1061945583778237,上海宽德飞虹5号私募证券投资基金
2024-01-03,1.119,1.175,1.1429655686286102,上海宽德飞虹5号私募证券投资基金
2024-01-04,1.118,1.174,1.1419441516771993,上海宽德飞虹5号私募证券投资基金
2024-01-09,1.091,1.147,1.1143658939891097,上海宽德飞虹5号私募证券投资基金
2024-01-11,1.079,1.135,1.1021088905721808,上海宽德飞虹5号私募证券投资基金
2024-01-16,1.079,1.135,1.1021088905721808,上海宽德飞虹5号私募证券投资基金
2024-01-17,1.08,1.136,1.1031303075235914,上海宽德飞虹5号私募证券投资基金
2024-01-18,1.078,1.134,1.1010874736207699,上海宽德飞虹5号私募证券投资基金
2024-01-23,1.042,1.098,1.0643164633699838,上海宽德飞虹5号私募证券投资基金
2024-01-25,1.003,1.059,1.024481202264965,上海宽德飞虹5号私募证券投资基金
