基金代码,基金名称,日期,单位净值,累计净值,复权净值
SXG650,勤辰金选森裕弘享1号,2022-10-19,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-10-21,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-10-24,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-10-25,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-10-26,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-10-27,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-10-28,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-10-31,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-01,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-02,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-03,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-04,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-07,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-08,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-09,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-10,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-11,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-14,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-15,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-18,1.0,1.0,1.0
SXG650,勤辰金选森裕弘享1号,2022-11-24,1.0001,1.0001,1.0001
SXG650,勤辰金选森裕弘享1号,2022-12-01,0.999,0.999,0.999
SXG650,勤辰金选森裕弘享1号,2022-12-02,1.0209,1.0209,1.0209
SXG650,勤辰金选森裕弘享1号,2022-12-08,1.0243,1.0243,1.0243
SXG650,勤辰金选森裕弘享1号,2022-12-15,1.0343,1.0343,1.0343
SXG650,勤辰金选森裕弘享1号,2022-12-19,1.0205,1.0205,1.0205
SXG650,勤辰金选森裕弘享1号,2022-12-22,1.0229,1.0229,1.0229
SXG650,勤辰金选森裕弘享1号,2022-12-29,1.0031,1.0031,1.0031
SXG650,勤辰金选森裕弘享1号,2023-01-06,1.0079,1.0079,1.0079
SXG650,勤辰金选森裕弘享1号,2023-01-10,1.0613,1.0613,1.0613
SXG650,勤辰金选森裕弘享1号,2023-01-17,1.0801,1.0801,1.0801
SXG650,勤辰金选森裕弘享1号,2023-01-18,1.0827,1.0827,1.0827
SXG650,勤辰金选森裕弘享1号,2023-01-31,1.0952,1.0952,1.0951999999999995
SXG650,勤辰金选森裕弘享1号,2023-02-06,1.0922,1.0922,1.0921999999999998
SXG650,勤辰金选森裕弘享1号,2023-02-09,1.0877,1.0877,1.0876999999999997
SXG650,勤辰金选森裕弘享1号,2023-02-16,1.0782,1.0782,1.0781999999999998
SXG650,勤辰金选森裕弘享1号,2023-02-17,1.0888,1.0888,1.0887999999999998
SXG650,勤辰金选森裕弘享1号,2023-02-23,1.0794,1.0794,1.0793999999999997
SXG650,勤辰金选森裕弘享1号,2023-02-28,1.0677,1.0677,1.0677
SXG650,勤辰金选森裕弘享1号,2023-03-06,1.0652,1.0652,1.0651999999999997
SXG650,勤辰金选森裕弘享1号,2023-03-09,1.1016,1.1016,1.1015999999999997
SXG650,勤辰金选森裕弘享1号,2023-03-16,1.0348,1.0348,1.0347999999999995
SXG650,勤辰金选森裕弘享1号,2023-03-17,1.0366,1.0366,1.0365999999999995
SXG650,勤辰金选森裕弘享1号,2023-03-23,1.0369,1.0369,1.0368999999999997
SXG650,勤辰金选森裕弘享1号,2023-03-30,1.048,1.048,1.0479999999999998
SXG650,勤辰金选森裕弘享1号,2023-04-07,1.0598,1.0598,1.0598
SXG650,勤辰金选森裕弘享1号,2023-04-13,1.0585,1.0585,1.0584999999999998
SXG650,勤辰金选森裕弘享1号,2023-04-18,1.0548,1.0548,1.0547999999999995
SXG650,勤辰金选森裕弘享1号,2023-04-21,1.0692,1.0692,1.0691999999999997
SXG650,勤辰金选森裕弘享1号,2023-04-27,1.0395,1.0395,1.0395
SXG650,勤辰金选森裕弘享1号,2023-05-05,1.0412,1.0412,1.0411999999999997
SXG650,勤辰金选森裕弘享1号,2023-05-11,1.034,1.034,1.0339999999999998
SXG650,勤辰金选森裕弘享1号,2023-05-18,1.0089,1.0089,1.0088999999999997
SXG650,勤辰金选森裕弘享1号,2023-05-25,1.0027,1.0027,1.0026999999999997
SXG650,勤辰金选森裕弘享1号,2023-06-01,0.9814,0.9814,0.9813999999999998
SXG650,勤辰金选森裕弘享1号,2023-06-02,0.9556,0.9556,0.9555999999999998
SXG650,勤辰金选森裕弘享1号,2023-06-08,0.9921,0.9921,0.9920999999999996
SXG650,勤辰金选森裕弘享1号,2023-06-15,1.0056,1.0056,1.0055999999999996
SXG650,勤辰金选森裕弘享1号,2023-06-26,1.0341,1.0341,1.0340999999999996
SXG650,勤辰金选森裕弘享1号,2023-06-29,0.9993,0.9993,0.9992999999999996
SXG650,勤辰金选森裕弘享1号,2023-07-06,1.0081,1.0081,1.0080999999999996
SXG650,勤辰金选森裕弘享1号,2023-07-13,1.0149,1.0149,1.0148999999999997
SXG650,勤辰金选森裕弘享1号,2023-07-20,1.05,1.05,1.0499999999999996
SXG650,勤辰金选森裕弘享1号,2023-07-27,1.037,1.037,1.0369999999999997
SXG650,勤辰金选森裕弘享1号,2023-08-01,1.096,1.096,1.0959999999999996
SXG650,勤辰金选森裕弘享1号,2023-08-04,1.104,1.104,1.1039999999999996
SXG650,勤辰金选森裕弘享1号,2023-08-15,1.0833,1.0833,1.0832999999999997
SXG650,勤辰金选森裕弘享1号,2023-08-16,2.1018,2.1018,2.101799999999999
SXG650,勤辰金选森裕弘享1号,2023-08-17,1.0509,1.0509,1.0508999999999995
SXG650,勤辰金选森裕弘享1号,2023-08-23,1.0141,1.0141,1.0140999999999996
SXG650,勤辰金选森裕弘享1号,2023-08-29,1.0161,1.0161,1.0160999999999996
SXG650,勤辰金选森裕弘享1号,2023-09-06,1.0594,1.0594,1.0593999999999992
SXG650,勤辰金选森裕弘享1号,2023-09-12,1.0395,1.0395,1.0394999999999994
SXG650,勤辰金选森裕弘享1号,2023-09-19,1.0383,1.0383,1.0382999999999991
SXG650,勤辰金选森裕弘享1号,2023-09-26,1.0287,1.0287,1.0286999999999993
SXG650,勤辰金选森裕弘享1号,2023-10-10,1.0185,1.0185,1.0184999999999993
SXG650,勤辰金选森裕弘享1号,2023-10-18,1.0155,1.0155,1.0154999999999994
SXG650,勤辰金选森裕弘享1号,2023-10-24,0.9804,0.9804,0.9803999999999994
SXG650,勤辰金选森裕弘享1号,2023-11-01,1.0067,1.0067,1.0066999999999993
SXG650,勤辰金选森裕弘享1号,2023-11-03,0.9921,0.9921,0.9920999999999992
SXG650,勤辰金选森裕弘享1号,2023-11-07,1.0094,1.0094,1.0093999999999994
SXG650,勤辰金选森裕弘享1号,2023-11-14,1.0014,1.0014,1.0013999999999994
SXG650,勤辰金选森裕弘享1号,2023-11-20,1.0337,1.0337,1.0336999999999994
SXG650,勤辰金选森裕弘享1号,2023-11-22,1.0184,1.0184,1.0183999999999993
SXG650,勤辰金选森裕弘享1号,2023-11-29,1.029,1.029,1.0289999999999992
SXG650,勤辰金选森裕弘享1号,2023-12-05,1.0304,1.0304,1.030399999999999
SXG650,勤辰金选森裕弘享1号,2023-12-06,1.024,1.024,1.0239999999999994
SXG650,勤辰金选森裕弘享1号,2023-12-13,0.9971,0.9971,0.9970999999999992
SXG650,勤辰金选森裕弘享1号,2023-12-20,1.011,1.011,1.0109999999999992
SXG650,勤辰金选森裕弘享1号,2023-12-26,0.9836,0.9836,0.9835999999999994
SXG650,勤辰金选森裕弘享1号,2024-01-03,1.0146,1.0146,1.0145999999999993
SXG650,勤辰金选森裕弘享1号,2024-01-09,1.0007,1.0007,1.0006999999999993
SXG650,勤辰金选森裕弘享1号,2024-01-16,0.9962,0.9962,0.9961999999999992
SXG650,勤辰金选森裕弘享1号,2024-01-18,0.9974,0.9974,0.9973999999999994
SXG650,勤辰金选森裕弘享1号,2024-01-24,0.9521,0.9521,0.9520999999999996
SXG650,勤辰金选森裕弘享1号,2024-01-31,0.9683,0.9683,0.9682999999999996
SXG650,勤辰金选森裕弘享1号,2024-02-05,0.9321,0.9321,0.9320999999999996
SXG650,勤辰金选森裕弘享1号,2024-02-07,0.9317,0.9317,0.9316999999999996
SXG650,勤辰金选森裕弘享1号,2024-02-20,0.9624,0.9624,0.9623999999999996
SXG650,勤辰金选森裕弘享1号,2024-02-21,0.9797,0.9797,0.9796999999999996
SXG650,勤辰金选森裕弘享1号,2024-02-28,1.0069,1.0069,1.0068999999999997
SXG650,勤辰金选森裕弘享1号,2024-03-05,1.0088,1.0088,1.0087999999999997
SXG650,勤辰金选森裕弘享1号,2024-03-06,1.0141,1.0141,1.0140999999999996
SXG650,勤辰金选森裕弘享1号,2024-03-13,1.0077,1.0077,1.0076999999999996
SXG650,勤辰金选森裕弘享1号,2024-03-20,1.0418,1.0418,1.0417999999999996
SXG650,勤辰金选森裕弘享1号,2024-03-27,1.032,1.032,1.0319999999999996
SXG650,勤辰金选森裕弘享1号,2024-04-03,1.035,1.035,1.0349999999999997
SXG650,勤辰金选森裕弘享1号,2024-04-10,1.0669,1.0669,1.0668999999999995
SXG650,勤辰金选森裕弘享1号,2024-04-17,1.0643,1.0643,1.0642999999999998
SXG650,勤辰金选森裕弘享1号,2024-04-18,1.0638,1.0638,1.0638
SXG650,勤辰金选森裕弘享1号,2024-04-24,1.053,1.053,1.0529999999999995
SXG650,勤辰金选森裕弘享1号,2024-05-06,1.122,1.122,1.122
SXG650,勤辰金选森裕弘享1号,2024-05-08,1.1207,1.1207,1.1206999999999998
SXG650,勤辰金选森裕弘享1号,2024-05-15,1.1824,1.1824,1.1823999999999997
SXG650,勤辰金选森裕弘享1号,2024-05-20,1.1969,1.1969,1.1969
SXG650,勤辰金选森裕弘享1号,2024-05-22,1.2154,1.2154,1.2153999999999998
SXG650,勤辰金选森裕弘享1号,2024-05-29,1.1799,1.1799,1.1798999999999995
SXG650,勤辰金选森裕弘享1号,2024-06-05,1.1629,1.1629,1.1628999999999998
SXG650,勤辰金选森裕弘享1号,2024-06-13,1.1554,1.1554,1.1553999999999998
SXG650,勤辰金选森裕弘享1号,2024-06-19,1.1525,1.1525,1.1525
SXG650,勤辰金选森裕弘享1号,2024-06-20,1.1513,1.1513,1.1512999999999998
SXG650,勤辰金选森裕弘享1号,2024-06-26,1.1446,1.1446,1.1445999999999998
