日期,单位净值,累计净值,累计单位净值,基金id
2022-10-19,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-10-20,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-10-21,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-10-24,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-10-25,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-10-26,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-10-27,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-10-28,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-10-31,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-01,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-02,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-03,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-04,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-07,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-08,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-09,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-10,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-11,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-14,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-15,1.0,1.0,1.0,勤辰金选森裕弘享1号
2022-11-18,1.0001,1.0001,1.0001,勤辰金选森裕弘享1号
2022-11-25,0.999,0.999,0.999,勤辰金选森裕弘享1号
2022-11-30,1.0209,1.0209,1.0209,勤辰金选森裕弘享1号
2022-12-02,1.0243,1.0243,1.0243,勤辰金选森裕弘享1号
2022-12-09,1.0343,1.0343,1.0343,勤辰金选森裕弘享1号
2022-12-15,1.0205,1.0205,1.0205,勤辰金选森裕弘享1号
2022-12-16,1.0229,1.0229,1.0229,勤辰金选森裕弘享1号
2022-12-23,1.0031,1.0031,1.0031,勤辰金选森裕弘享1号
2022-12-30,1.0079,1.0079,1.0079,勤辰金选森裕弘享1号
2023-01-06,1.0613,1.0613,1.0613,勤辰金选森裕弘享1号
2023-01-13,1.0801,1.0801,1.0801,勤辰金选森裕弘享1号
2023-01-16,1.0827,1.0827,1.0827,勤辰金选森裕弘享1号
2023-01-20,1.0952,1.0952,1.0951999999999997,勤辰金选森裕弘享1号
2023-01-31,1.0922,1.0922,1.0921999999999998,勤辰金选森裕弘享1号
2023-02-03,1.0877,1.0877,1.0876999999999997,勤辰金选森裕弘享1号
2023-02-10,1.0782,1.0782,1.0781999999999998,勤辰金选森裕弘享1号
2023-02-15,1.0888,1.0888,1.0887999999999998,勤辰金选森裕弘享1号
2023-02-17,1.0794,1.0794,1.0793999999999997,勤辰金选森裕弘享1号
2023-02-24,1.0677,1.0677,1.0676999999999999,勤辰金选森裕弘享1号
2023-02-28,1.0652,1.0652,1.0651999999999997,勤辰金选森裕弘享1号
2023-03-03,1.1016,1.1016,1.1015999999999997,勤辰金选森裕弘享1号
2023-03-10,1.0348,1.0348,1.0347999999999997,勤辰金选森裕弘享1号
2023-03-15,1.0366,1.0366,1.0365999999999997,勤辰金选森裕弘享1号
2023-03-17,1.0369,1.0369,1.0368999999999997,勤辰金选森裕弘享1号
2023-03-24,1.048,1.048,1.0479999999999998,勤辰金选森裕弘享1号
2023-03-31,1.0598,1.0598,1.0597999999999999,勤辰金选森裕弘享1号
2023-04-07,1.0585,1.0585,1.0584999999999998,勤辰金选森裕弘享1号
2023-04-14,1.0548,1.0548,1.0547999999999997,勤辰金选森裕弘享1号
2023-04-17,1.0692,1.0692,1.0691999999999997,勤辰金选森裕弘享1号
2023-04-21,1.0395,1.0395,1.0394999999999999,勤辰金选森裕弘享1号
2023-04-28,1.0412,1.0412,1.0411999999999997,勤辰金选森裕弘享1号
2023-05-05,1.034,1.034,1.0339999999999998,勤辰金选森裕弘享1号
2023-05-12,1.0089,1.0089,1.0088999999999997,勤辰金选森裕弘享1号
2023-05-19,1.0027,1.0027,1.0026999999999997,勤辰金选森裕弘享1号
2023-05-26,0.9814,0.9814,0.9813999999999998,勤辰金选森裕弘享1号
2023-05-31,0.9556,0.9556,0.9555999999999998,勤辰金选森裕弘享1号
2023-06-02,0.9921,0.9921,0.9920999999999996,勤辰金选森裕弘享1号
2023-06-09,1.0056,1.0056,1.0055999999999996,勤辰金选森裕弘享1号
2023-06-16,1.0341,1.0341,1.0340999999999996,勤辰金选森裕弘享1号
2023-06-21,0.9993,0.9993,0.9992999999999995,勤辰金选森裕弘享1号
2023-06-30,1.0081,1.0081,1.0080999999999996,勤辰金选森裕弘享1号
2023-07-07,1.0149,1.0149,1.0148999999999995,勤辰金选森裕弘享1号
2023-07-14,1.05,1.05,1.0499999999999996,勤辰金选森裕弘享1号
2023-07-21,1.037,1.037,1.0369999999999995,勤辰金选森裕弘享1号
2023-07-28,1.096,1.096,1.0959999999999996,勤辰金选森裕弘享1号
2023-07-31,1.104,1.104,1.1039999999999996,勤辰金选森裕弘享1号
2023-08-04,1.0833,1.0833,1.0832999999999995,勤辰金选森裕弘享1号
2023-08-11,1.0509,1.0509,1.0508999999999995,勤辰金选森裕弘享1号
2023-08-16,1.0509,1.0509,1.0508999999999995,勤辰金选森裕弘享1号
2023-08-17,1.0509,1.0509,1.0508999999999995,勤辰金选森裕弘享1号
2023-08-18,1.0141,1.0141,1.0140999999999996,勤辰金选森裕弘享1号
2023-08-25,1.0161,1.0161,1.0160999999999996,勤辰金选森裕弘享1号
2023-09-01,1.0594,1.0594,1.0593999999999992,勤辰金选森裕弘享1号
2023-09-08,1.0395,1.0395,1.0394999999999994,勤辰金选森裕弘享1号
2023-09-15,1.0383,1.0383,1.0382999999999993,勤辰金选森裕弘享1号
2023-09-22,1.0287,1.0287,1.0286999999999993,勤辰金选森裕弘享1号
2023-09-28,1.0185,1.0185,1.0184999999999993,勤辰金选森裕弘享1号
2023-10-13,1.0155,1.0155,1.0154999999999994,勤辰金选森裕弘享1号
2023-10-20,0.9804,0.9804,0.9803999999999994,勤辰金选森裕弘享1号
2023-10-27,1.0067,1.0067,1.0066999999999993,勤辰金选森裕弘享1号
2023-10-31,0.9921,0.9921,0.9920999999999993,勤辰金选森裕弘享1号
2023-11-03,1.0094,1.0094,1.0093999999999994,勤辰金选森裕弘享1号
2023-11-10,1.0014,1.0014,1.0013999999999994,勤辰金选森裕弘享1号
2023-11-15,1.0337,1.0337,1.0336999999999994,勤辰金选森裕弘享1号
2023-11-17,1.0184,1.0184,1.0183999999999993,勤辰金选森裕弘享1号
2023-11-24,1.029,1.029,1.0289999999999992,勤辰金选森裕弘享1号
2023-11-30,1.0304,1.0304,1.0303999999999993,勤辰金选森裕弘享1号
2023-12-01,1.024,1.024,1.0239999999999994,勤辰金选森裕弘享1号
2023-12-08,0.9971,0.9971,0.9970999999999993,勤辰金选森裕弘享1号
2023-12-15,1.011,1.011,1.0109999999999992,勤辰金选森裕弘享1号
2023-12-22,0.9836,0.9836,0.9835999999999994,勤辰金选森裕弘享1号
2023-12-29,1.0146,1.0146,1.0145999999999993,勤辰金选森裕弘享1号
2024-01-05,1.0007,1.0007,1.0006999999999993,勤辰金选森裕弘享1号
2024-01-12,0.9962,0.9962,0.9961999999999993,勤辰金选森裕弘享1号
2024-01-15,0.9974,0.9974,0.9973999999999994,勤辰金选森裕弘享1号
2024-01-19,0.9521,0.9521,0.9520999999999995,勤辰金选森裕弘享1号
2024-01-26,0.9683,0.9683,0.9682999999999996,勤辰金选森裕弘享1号
2024-01-31,0.9321,0.9321,0.9320999999999996,勤辰金选森裕弘享1号
2024-02-02,0.9317,0.9317,0.9316999999999995,勤辰金选森裕弘享1号
2024-02-08,0.9624,0.9624,0.9623999999999995,勤辰金选森裕弘享1号
2024-02-19,0.9797,0.9797,0.9796999999999996,勤辰金选森裕弘享1号
2024-02-23,1.0069,1.0069,1.0068999999999995,勤辰金选森裕弘享1号
2024-02-29,1.0088,1.0088,1.0087999999999995,勤辰金选森裕弘享1号
