日期,单位净值,累计净值,累计单位净值,基金id
2023-04-10,0.955,0.955,1.0,托特春晓市场中性8号
2023-04-11,0.956,0.956,1.0010471204188482,托特春晓市场中性8号
2023-04-12,0.959,0.959,1.0041884816753928,托特春晓市场中性8号
2023-04-13,0.958,0.958,1.0031413612565445,托特春晓市场中性8号
2023-04-14,0.959,0.959,1.0041884816753928,托特春晓市场中性8号
2023-04-17,0.96,0.96,1.005235602094241,托特春晓市场中性8号
2023-04-18,1.0,1.0,1.0471204188481678,托特春晓市场中性8号
2023-04-19,0.963,0.963,1.0083769633507855,托特春晓市场中性8号
2023-04-20,0.964,0.964,1.0094240837696336,托特春晓市场中性8号
2023-04-21,0.96,0.96,1.0052356020942408,托特春晓市场中性8号
2023-04-24,0.964,0.964,1.0094240837696336,托特春晓市场中性8号
2023-04-25,0.96,0.96,1.0052356020942408,托特春晓市场中性8号
2023-04-26,0.964,0.964,1.0094240837696336,托特春晓市场中性8号
2023-04-27,0.967,0.967,1.012565445026178,托特春晓市场中性8号
2023-04-28,0.971,0.971,1.0167539267015708,托特春晓市场中性8号
2023-05-04,0.971,0.971,1.0167539267015708,托特春晓市场中性8号
2023-05-05,0.972,0.972,1.0178010471204189,托特春晓市场中性8号
2023-05-08,0.972,0.972,1.0178010471204189,托特春晓市场中性8号
2023-05-09,0.969,0.969,1.0146596858638743,托特春晓市场中性8号
2023-05-10,0.973,0.973,1.0188481675392669,托特春晓市场中性8号
2023-05-11,0.974,0.974,1.0198952879581151,托特春晓市场中性8号
2023-05-12,0.975,0.975,1.0209424083769634,托特春晓市场中性8号
2023-05-15,0.979,0.979,1.025130890052356,托特春晓市场中性8号
2023-05-16,0.979,0.979,1.025130890052356,托特春晓市场中性8号
2023-05-17,0.983,0.983,1.0293193717277485,托特春晓市场中性8号
2023-05-18,0.986,0.986,1.032460732984293,托特春晓市场中性8号
2023-05-19,0.984,0.984,1.0303664921465967,托特春晓市场中性8号
2023-05-22,0.988,0.988,1.0345549738219895,托特春晓市场中性8号
2023-05-23,0.984,0.984,1.0303664921465967,托特春晓市场中性8号
2023-05-24,0.983,0.983,1.0293193717277487,托特春晓市场中性8号
2023-05-25,0.989,0.989,1.0356020942408377,托特春晓市场中性8号
2023-05-26,0.987,0.987,1.0335078534031414,托特春晓市场中性8号
2023-05-29,0.988,0.988,1.0345549738219895,托特春晓市场中性8号
2023-05-30,0.989,0.989,1.0356020942408375,托特春晓市场中性8号
2023-05-31,0.989,0.989,1.0356020942408375,托特春晓市场中性8号
2023-06-01,0.989,0.989,1.0356020942408375,托特春晓市场中性8号
2023-06-02,0.989,0.989,1.0356020942408375,托特春晓市场中性8号
2023-06-05,0.991,0.991,1.0376963350785338,托特春晓市场中性8号
2023-06-06,0.987,0.987,1.033507853403141,托特春晓市场中性8号
2023-06-07,0.992,0.992,1.0387434554973818,托特春晓市场中性8号
2023-06-08,0.991,0.991,1.0376963350785335,托特春晓市场中性8号
2023-06-09,0.994,0.994,1.040837696335078,托特春晓市场中性8号
2023-06-12,0.996,0.996,1.0429319371727743,托特春晓市场中性8号
2023-06-13,1.0,1.0,1.047120418848167,托特春晓市场中性8号
2023-06-14,0.998,0.998,1.0450261780104708,托特春晓市场中性8号
2023-06-15,1.0,1.0,1.047120418848167,托特春晓市场中性8号
2023-06-16,1.004,1.004,1.0513089005235599,托特春晓市场中性8号
2023-06-19,1.004,1.004,1.0513089005235599,托特春晓市场中性8号
2023-06-20,1.003,1.003,1.0502617801047116,托特春晓市场中性8号
2023-06-21,1.0,1.0,1.0471204188481673,托特春晓市场中性8号
2023-06-26,0.997,0.997,1.0439790575916228,托特春晓市场中性8号
2023-06-27,1.003,1.003,1.0502617801047118,托特春晓市场中性8号
2023-06-28,1.001,1.001,1.0481675392670156,托特春晓市场中性8号
2023-06-29,1.005,1.005,1.0523560209424083,托特春晓市场中性8号
