日期,单位净值,累计净值,累计单位净值,基金id
2023-04-04,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-06,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-07,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-10,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-11,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-12,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-13,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-14,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-17,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-18,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-21,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-25,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-04-28,0.998,0.998,0.998,悬铃瑞享C号1期（可转债套利）
2023-05-05,0.998,0.998,0.998,悬铃瑞享C号1期（可转债套利）
2023-05-10,0.998,0.998,0.998,悬铃瑞享C号1期（可转债套利）
2023-05-12,0.997,0.997,0.997,悬铃瑞享C号1期（可转债套利）
2023-05-19,0.998,0.998,0.9979999999999999,悬铃瑞享C号1期（可转债套利）
2023-05-25,0.999,0.999,0.9989999999999999,悬铃瑞享C号1期（可转债套利）
2023-05-26,0.998,0.998,0.9979999999999999,悬铃瑞享C号1期（可转债套利）
2023-06-02,0.999,0.999,0.9989999999999999,悬铃瑞享C号1期（可转债套利）
2023-06-09,1.001,1.001,1.001,悬铃瑞享C号1期（可转债套利）
2023-06-12,1.001,1.001,1.001,悬铃瑞享C号1期（可转债套利）
2023-06-16,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-06-21,1.0,1.0,1.0,悬铃瑞享C号1期（可转债套利）
2023-06-26,0.999,0.999,0.999,悬铃瑞享C号1期（可转债套利）
2023-06-30,0.999,0.999,0.999,悬铃瑞享C号1期（可转债套利）
2023-07-07,1.001,1.001,1.001,悬铃瑞享C号1期（可转债套利）
2023-07-10,1.001,1.001,1.001,悬铃瑞享C号1期（可转债套利）
2023-07-14,1.002,1.002,1.002,悬铃瑞享C号1期（可转债套利）
2023-07-21,1.003,1.003,1.003,悬铃瑞享C号1期（可转债套利）
2023-07-25,1.005,1.005,1.005,悬铃瑞享C号1期（可转债套利）
2023-07-28,1.006,1.006,1.006,悬铃瑞享C号1期（可转债套利）
2023-08-04,1.004,1.004,1.004,悬铃瑞享C号1期（可转债套利）
2023-08-10,1.006,1.006,1.006,悬铃瑞享C号1期（可转债套利）
2023-08-11,1.006,1.006,1.006,悬铃瑞享C号1期（可转债套利）
2023-08-16,1.006,1.006,1.006,悬铃瑞享C号1期（可转债套利）
2023-08-17,1.006,1.006,1.006,悬铃瑞享C号1期（可转债套利）
2023-08-18,1.009,1.009,1.009,悬铃瑞享C号1期（可转债套利）
2023-08-25,1.008,1.008,1.008,悬铃瑞享C号1期（可转债套利）
2023-09-01,1.013,1.013,1.013,悬铃瑞享C号1期（可转债套利）
2023-09-08,1.01,1.01,1.01,悬铃瑞享C号1期（可转债套利）
2023-09-11,1.008,1.008,1.008,悬铃瑞享C号1期（可转债套利）
2023-09-15,1.008,1.008,1.008,悬铃瑞享C号1期（可转债套利）
2023-09-22,1.005,1.005,1.005,悬铃瑞享C号1期（可转债套利）
2023-09-25,1.006,1.006,1.006,悬铃瑞享C号1期（可转债套利）
2023-09-28,1.013,1.013,1.013,悬铃瑞享C号1期（可转债套利）
2023-10-10,1.013,1.013,1.013,悬铃瑞享C号1期（可转债套利）
2023-10-13,1.01,1.01,1.01,悬铃瑞享C号1期（可转债套利）
2023-10-20,1.001,1.001,1.001,悬铃瑞享C号1期（可转债套利）
2023-10-25,1.013,1.013,1.013,悬铃瑞享C号1期（可转债套利）
2023-10-27,1.013,1.013,1.013,悬铃瑞享C号1期（可转债套利）
2023-11-03,1.013,1.013,1.013,悬铃瑞享C号1期（可转债套利）
2023-11-10,1.018,1.018,1.018,悬铃瑞享C号1期（可转债套利）
2023-11-17,1.021,1.021,1.021,悬铃瑞享C号1期（可转债套利）
2023-11-24,1.015,1.015,1.015,悬铃瑞享C号1期（可转债套利）
2023-11-27,1.02,1.02,1.02,悬铃瑞享C号1期（可转债套利）
2023-12-01,1.019,1.019,1.019,悬铃瑞享C号1期（可转债套利）
2023-12-08,1.021,1.021,1.021,悬铃瑞享C号1期（可转债套利）
2023-12-11,1.021,1.021,1.021,悬铃瑞享C号1期（可转债套利）
2023-12-15,1.024,1.024,1.024,悬铃瑞享C号1期（可转债套利）
2023-12-22,1.025,1.025,1.025,悬铃瑞享C号1期（可转债套利）
2023-12-25,1.024,1.024,1.024,悬铃瑞享C号1期（可转债套利）
2023-12-29,1.029,1.029,1.029,悬铃瑞享C号1期（可转债套利）
2024-01-05,1.032,1.032,1.032,悬铃瑞享C号1期（可转债套利）
2024-01-10,1.033,1.033,1.0330000000000001,悬铃瑞享C号1期（可转债套利）
2024-01-12,1.038,1.038,1.0380000000000003,悬铃瑞享C号1期（可转债套利）
2024-01-19,1.028,1.028,1.0280000000000002,悬铃瑞享C号1期（可转债套利）
2024-01-25,1.019,1.019,1.0190000000000001,悬铃瑞享C号1期（可转债套利）
