日期,单位净值,累计净值,累计单位净值,基金id
2023-05-04,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-05,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-08,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-09,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-10,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-11,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-12,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-15,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-16,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-17,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-18,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-19,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-22,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-23,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-24,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-26,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-05-31,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-06-02,1.0,1.0,1.0,纽达投资可转债十一号1期
2023-06-07,0.9998,0.9998,0.9998,纽达投资可转债十一号1期
2023-06-09,0.9998,0.9998,0.9998,纽达投资可转债十一号1期
2023-06-14,1.0013,1.0013,1.0013,纽达投资可转债十一号1期
2023-06-16,1.0124,1.0124,1.0124,纽达投资可转债十一号1期
2023-06-21,1.0035,1.0035,1.0035,纽达投资可转债十一号1期
2023-06-28,1.0009,1.0009,1.0009,纽达投资可转债十一号1期
2023-06-30,1.0097,1.0097,1.0097,纽达投资可转债十一号1期
2023-07-05,1.016,1.016,1.016,纽达投资可转债十一号1期
2023-07-07,1.0161,1.0161,1.0161,纽达投资可转债十一号1期
2023-07-12,1.0136,1.0136,1.0136,纽达投资可转债十一号1期
2023-07-14,1.0188,1.0188,1.0188,纽达投资可转债十一号1期
2023-07-19,1.0174,1.0174,1.0174,纽达投资可转债十一号1期
2023-07-21,1.0128,1.0128,1.0128,纽达投资可转债十一号1期
