日期,单位净值,累计净值,累计单位净值,基金id
2023-05-24,1.0,1.0,1.0,道合青云8号一期
2023-05-26,1.0,1.0,1.0,道合青云8号一期
2023-05-29,1.0,1.0,1.0,道合青云8号一期
2023-05-30,1.0,1.0,1.0,道合青云8号一期
2023-05-31,1.0,1.0,1.0,道合青云8号一期
2023-06-01,1.0,1.0,1.0,道合青云8号一期
2023-06-02,1.0,1.0,1.0,道合青云8号一期
2023-06-05,1.0,1.0,1.0,道合青云8号一期
2023-06-06,1.0,1.0,1.0,道合青云8号一期
2023-06-07,1.0,1.0,1.0,道合青云8号一期
2023-06-08,1.0,1.0,1.0,道合青云8号一期
2023-06-09,1.0,1.0,1.0,道合青云8号一期
2023-06-12,1.0,1.0,1.0,道合青云8号一期
2023-06-13,1.0,1.0,1.0,道合青云8号一期
2023-06-14,1.0,1.0,1.0,道合青云8号一期
2023-06-15,1.0,1.0,1.0,道合青云8号一期
2023-06-16,1.0,1.0,1.0,道合青云8号一期
2023-06-19,1.0,1.0,1.0,道合青云8号一期
2023-06-20,1.0,1.0,1.0,道合青云8号一期
2023-06-21,1.0,1.0,1.0,道合青云8号一期
2023-06-30,1.0,1.0,1.0,道合青云8号一期
2023-07-05,1.0,1.0,1.0,道合青云8号一期
2023-07-07,1.0,1.0,1.0,道合青云8号一期
2023-07-14,1.0,1.0,1.0,道合青云8号一期
2023-07-20,0.999,0.999,0.999,道合青云8号一期
2023-07-21,0.999,0.999,0.999,道合青云8号一期
2023-07-28,1.0,1.0,1.0,道合青云8号一期
2023-08-04,1.002,1.002,1.002,道合青云8号一期
2023-08-07,1.002,1.002,1.002,道合青云8号一期
2023-08-11,0.999,0.999,0.999,道合青云8号一期
2023-08-16,0.999,0.999,0.999,道合青云8号一期
2023-08-17,0.999,0.999,0.999,道合青云8号一期
2023-08-18,0.997,0.997,0.997,道合青云8号一期
2023-08-21,0.991,0.991,0.991,道合青云8号一期
2023-08-25,0.996,0.996,0.996,道合青云8号一期
2023-09-01,0.992,0.992,0.992,道合青云8号一期
2023-09-05,0.99,0.99,0.99,道合青云8号一期
2023-09-08,0.984,0.984,0.984,道合青云8号一期
2023-09-15,0.979,0.979,0.979,道合青云8号一期
2023-09-20,0.983,0.983,0.9829999999999999,道合青云8号一期
2023-09-22,0.979,0.979,0.9789999999999999,道合青云8号一期
2023-09-28,0.981,0.981,0.981,道合青云8号一期
2023-10-09,0.979,0.979,0.979,道合青云8号一期
2023-10-13,0.964,0.964,0.964,道合青云8号一期
2023-10-20,0.964,0.964,0.964,道合青云8号一期
2023-10-27,0.967,0.967,0.967,道合青云8号一期
2023-11-03,0.971,0.971,0.971,道合青云8号一期
2023-11-06,0.972,0.972,0.9719999999999999,道合青云8号一期
2023-11-10,0.975,0.975,0.9749999999999999,道合青云8号一期
2023-11-17,0.977,0.977,0.977,道合青云8号一期
2023-11-20,0.976,0.976,0.976,道合青云8号一期
2023-11-24,0.973,0.973,0.973,道合青云8号一期
2023-12-01,0.969,0.969,0.969,道合青云8号一期
2023-12-05,0.967,0.967,0.967,道合青云8号一期
2023-12-08,0.963,0.963,0.963,道合青云8号一期
2023-12-15,0.965,0.965,0.9649999999999999,道合青云8号一期
2023-12-20,0.968,0.968,0.9679999999999997,道合青云8号一期
2023-12-22,0.966,0.966,0.9659999999999997,道合青云8号一期
2023-12-29,0.966,0.966,0.9659999999999997,道合青云8号一期
2024-01-05,0.965,0.965,0.9649999999999997,道合青云8号一期
2024-01-12,0.965,0.965,0.9649999999999997,道合青云8号一期
2024-01-19,0.962,0.962,0.9619999999999997,道合青云8号一期
2024-01-22,0.959,0.959,0.9589999999999997,道合青云8号一期
2024-01-26,0.956,0.956,0.9559999999999997,道合青云8号一期
2024-02-02,0.961,0.961,0.9609999999999996,道合青云8号一期
2024-02-05,0.96,0.96,0.9599999999999996,道合青云8号一期
2024-02-08,0.968,0.968,0.9679999999999996,道合青云8号一期
2024-02-20,0.976,0.976,0.9759999999999996,道合青云8号一期
2024-02-23,0.978,0.978,0.9779999999999996,道合青云8号一期
2024-03-01,0.979,0.979,0.9789999999999995,道合青云8号一期
2024-03-05,0.982,0.982,0.9819999999999995,道合青云8号一期
2024-03-08,0.985,0.985,0.9849999999999997,道合青云8号一期
2024-03-15,1.018,1.018,1.0179999999999998,道合青云8号一期
2024-03-20,1.01,1.01,1.0099999999999998,道合青云8号一期
