日期,单位净值,累计净值,累计单位净值,基金id
2023-04-25,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-04-27,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-04-28,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-05-04,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-05-05,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-05-10,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-05-12,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-05-18,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-05-19,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-05-25,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-05-26,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-06-01,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-06-02,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-06-08,1.001,1.001,1.001,诚奇君享500指数增强私募证券投资基金
2023-06-09,1.001,1.001,1.001,诚奇君享500指数增强私募证券投资基金
2023-06-15,1.001,1.001,1.001,诚奇君享500指数增强私募证券投资基金
2023-06-16,1.001,1.001,1.001,诚奇君享500指数增强私募证券投资基金
2023-06-26,1.001,1.001,1.001,诚奇君享500指数增强私募证券投资基金
2023-06-29,1.001,1.001,1.001,诚奇君享500指数增强私募证券投资基金
2023-06-30,1.002,1.002,1.002,诚奇君享500指数增强私募证券投资基金
2023-07-06,1.017,1.017,1.017,诚奇君享500指数增强私募证券投资基金
2023-07-07,1.018,1.018,1.018,诚奇君享500指数增强私募证券投资基金
2023-07-13,1.011,1.011,1.011,诚奇君享500指数增强私募证券投资基金
2023-07-14,1.009,1.009,1.009,诚奇君享500指数增强私募证券投资基金
2023-07-20,1.02,1.02,1.02,诚奇君享500指数增强私募证券投资基金
2023-07-21,1.016,1.016,1.016,诚奇君享500指数增强私募证券投资基金
2023-07-27,1.003,1.003,1.003,诚奇君享500指数增强私募证券投资基金
2023-07-28,1.015,1.015,1.015,诚奇君享500指数增强私募证券投资基金
2023-08-03,1.022,1.022,1.022,诚奇君享500指数增强私募证券投资基金
2023-08-04,1.027,1.027,1.027,诚奇君享500指数增强私募证券投资基金
2023-08-10,1.033,1.033,1.033,诚奇君享500指数增强私募证券投资基金
2023-08-11,1.016,1.016,1.016,诚奇君享500指数增强私募证券投资基金
2023-08-15,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-08-17,1.0,1.0,1.0,诚奇君享500指数增强私募证券投资基金
2023-08-18,0.989,0.989,0.989,诚奇君享500指数增强私募证券投资基金
2023-08-22,0.982,0.982,0.982,诚奇君享500指数增强私募证券投资基金
2023-08-25,0.963,0.963,0.963,诚奇君享500指数增强私募证券投资基金
2023-08-29,0.953,0.953,0.953,诚奇君享500指数增强私募证券投资基金
2023-09-05,0.984,0.984,0.984,诚奇君享500指数增强私募证券投资基金
2023-09-08,0.993,0.993,0.9930000000000001,诚奇君享500指数增强私募证券投资基金
2023-09-12,0.98,0.98,0.9800000000000001,诚奇君享500指数增强私募证券投资基金
2023-09-15,0.979,0.979,0.9790000000000001,诚奇君享500指数增强私募证券投资基金
2023-09-19,0.976,0.976,0.9760000000000001,诚奇君享500指数增强私募证券投资基金
2023-09-22,0.968,0.968,0.9680000000000001,诚奇君享500指数增强私募证券投资基金
2023-09-26,0.978,0.978,0.978,诚奇君享500指数增强私募证券投资基金
2023-10-09,0.973,0.973,0.973,诚奇君享500指数增强私募证券投资基金
2023-10-10,0.978,0.978,0.9780000000000001,诚奇君享500指数增强私募证券投资基金
2023-10-11,0.974,0.974,0.9740000000000001,诚奇君享500指数增强私募证券投资基金
2023-10-13,0.971,0.971,0.9710000000000001,诚奇君享500指数增强私募证券投资基金
2023-10-17,0.972,0.972,0.972,诚奇君享500指数增强私募证券投资基金
2023-10-20,0.951,0.951,0.951,诚奇君享500指数增强私募证券投资基金
2023-10-24,0.931,0.931,0.931,诚奇君享500指数增强私募证券投资基金
