基金代码,基金名称,日期,单位净值,累计净值
SZX403,黑翼量化成长9号1期,2023-05-30,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-05-31,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-01,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-02,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-05,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-06,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-07,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-08,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-09,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-12,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-13,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-14,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-16,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-21,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-06-30,1.0,1.0
SZX403,黑翼量化成长9号1期,2023-07-07,0.999,0.999
SZX403,黑翼量化成长9号1期,2023-07-14,1.002,1.002
SZX403,黑翼量化成长9号1期,2023-07-21,0.982,0.982
SZX403,黑翼量化成长9号1期,2023-07-28,0.994,0.994
SZX403,黑翼量化成长9号1期,2023-07-31,1.004,1.004
SZX403,黑翼量化成长9号1期,2023-08-04,1.006,1.006
SZX403,黑翼量化成长9号1期,2023-08-11,0.97,0.97
SZX403,黑翼量化成长9号1期,2023-08-16,0.97,0.97
SZX403,黑翼量化成长9号1期,2023-08-17,0.97,0.97
SZX403,黑翼量化成长9号1期,2023-08-18,0.959,0.959
SZX403,黑翼量化成长9号1期,2023-08-25,0.939,0.939
SZX403,黑翼量化成长9号1期,2023-09-01,0.977,0.977
SZX403,黑翼量化成长9号1期,2023-09-08,0.975,0.975
SZX403,黑翼量化成长9号1期,2023-09-15,0.966,0.966
SZX403,黑翼量化成长9号1期,2023-09-22,0.974,0.974
SZX403,黑翼量化成长9号1期,2023-09-28,0.979,0.979
SZX403,黑翼量化成长9号1期,2023-10-13,0.969,0.969
SZX403,黑翼量化成长9号1期,2023-10-20,0.927,0.927
SZX403,黑翼量化成长9号1期,2023-10-27,0.95,0.95
SZX403,黑翼量化成长9号1期,2023-10-31,0.956,0.956
SZX403,黑翼量化成长9号1期,2023-11-03,0.955,0.955
SZX403,黑翼量化成长9号1期,2023-11-10,0.976,0.976
SZX403,黑翼量化成长9号1期,2023-11-17,1.001,1.001
SZX403,黑翼量化成长9号1期,2023-11-24,0.999,0.999
SZX403,黑翼量化成长9号1期,2023-11-30,0.995,0.995
SZX403,黑翼量化成长9号1期,2023-12-01,1.004,1.004
SZX403,黑翼量化成长9号1期,2023-12-08,0.984,0.984
SZX403,黑翼量化成长9号1期,2023-12-15,0.991,0.991
SZX403,黑翼量化成长9号1期,2023-12-22,0.966,0.966
SZX403,黑翼量化成长9号1期,2023-12-29,0.993,0.993
SZX403,黑翼量化成长9号1期,2024-01-05,0.969,0.969
SZX403,黑翼量化成长9号1期,2024-01-12,0.961,0.961
SZX403,黑翼量化成长9号1期,2024-01-19,0.919,0.919
SZX403,黑翼量化成长9号1期,2024-01-26,0.914,0.914
SZX403,黑翼量化成长9号1期,2024-01-31,0.815,0.815
SZX403,黑翼量化成长9号1期,2024-02-02,0.766,0.766
SZX403,黑翼量化成长9号1期,2024-02-08,0.729,0.729
SZX403,黑翼量化成长9号1期,2024-02-23,0.798,0.798
SZX403,黑翼量化成长9号1期,2024-02-29,0.813,0.813
SZX403,黑翼量化成长9号1期,2024-03-01,0.822,0.822
SZX403,黑翼量化成长9号1期,2024-03-08,0.82,0.82
SZX403,黑翼量化成长9号1期,2024-03-15,0.857,0.857
SZX403,黑翼量化成长9号1期,2024-03-22,0.867,0.867
SZX403,黑翼量化成长9号1期,2024-03-29,0.858,0.858
SZX403,黑翼量化成长9号1期,2024-04-03,0.861,0.861
SZX403,黑翼量化成长9号1期,2024-04-12,0.835,0.835
SZX403,黑翼量化成长9号1期,2024-04-19,0.804,0.804
SZX403,黑翼量化成长9号1期,2024-04-26,0.836,0.836
SZX403,黑翼量化成长9号1期,2024-04-30,0.85,0.85
SZX403,黑翼量化成长9号1期,2024-05-10,0.868,0.868
SZX403,黑翼量化成长9号1期,2024-05-17,0.874,0.874
SZX403,黑翼量化成长9号1期,2024-05-24,0.849,0.849
SZX403,黑翼量化成长9号1期,2024-05-31,0.849,0.849
SZX403,黑翼量化成长9号1期,2024-06-07,0.805,0.805
SZX403,黑翼量化成长9号1期,2024-06-14,0.809,0.809
SZX403,黑翼量化成长9号1期,2024-06-21,0.795,0.795
SZX403,黑翼量化成长9号1期,2024-06-28,0.78,0.78
SZX403,黑翼量化成长9号1期,2024-07-05,0.773,0.773
SZX403,黑翼量化成长9号1期,2024-07-12,0.781,0.781
SZX403,黑翼量化成长9号1期,2024-07-19,0.767,0.767
SZX403,黑翼量化成长9号1期,2024-07-26,0.756,0.756
SZX403,黑翼量化成长9号1期,2024-07-31,0.783,0.783
SZX403,黑翼量化成长9号1期,2024-08-02,0.772,0.772
SZX403,黑翼量化成长9号1期,2024-08-09,0.763,0.763
SZX403,黑翼量化成长9号1期,2024-08-16,0.765,0.765
SZX403,黑翼量化成长9号1期,2024-08-23,0.744,0.744
SZX403,黑翼量化成长9号1期,2024-08-30,0.764,0.764
SZX403,黑翼量化成长9号1期,2024-09-06,0.746,0.746
SZX403,黑翼量化成长9号1期,2024-09-13,0.734,0.734
SZX403,黑翼量化成长9号1期,2024-09-20,0.744,0.744
SZX403,黑翼量化成长9号1期,2024-09-27,0.85,0.85
SZX403,黑翼量化成长9号1期,2024-09-30,0.932,0.932
SZX403,黑翼量化成长9号1期,2024-10-11,0.892,0.892
SZX403,黑翼量化成长9号1期,2024-10-18,0.939,0.939
SZX403,黑翼量化成长9号1期,2024-10-25,0.987,0.987
SZX403,黑翼量化成长9号1期,2024-10-31,1.014,1.014
SZX403,黑翼量化成长9号1期,2024-11-01,0.992,0.992
SZX403,黑翼量化成长9号1期,2024-11-08,1.068,1.068
SZX403,黑翼量化成长9号1期,2024-11-15,1.029,1.029
SZX403,黑翼量化成长9号1期,2024-11-22,1.035,1.035
SZX403,黑翼量化成长9号1期,2024-11-29,1.086,1.086
SZX403,黑翼量化成长9号1期,2024-12-06,1.139,1.139
SZX403,黑翼量化成长9号1期,2024-12-13,1.172,1.172
SZX403,黑翼量化成长9号1期,2024-12-20,1.152,1.152
SZX403,黑翼量化成长9号1期,2024-12-27,1.116,1.116
SZX403,黑翼量化成长9号1期,2024-12-31,1.079,1.079
SZX403,黑翼量化成长9号1期,2025-01-03,1.026,1.026
SZX403,黑翼量化成长9号1期,2025-01-10,1.03,1.03
SZX403,黑翼量化成长9号1期,2025-01-17,1.098,1.098
SZX403,黑翼量化成长9号1期,2025-01-24,1.116,1.116
SZX403,黑翼量化成长9号1期,2025-01-27,1.102,1.102
SZX403,黑翼量化成长9号1期,2025-02-07,1.163,1.163
SZX403,黑翼量化成长9号1期,2025-02-14,1.204,1.204
SZX403,黑翼量化成长9号1期,2025-02-21,1.264,1.264
SZX403,黑翼量化成长9号1期,2025-02-28,1.237,1.237
SZX403,黑翼量化成长9号1期,2025-03-07,1.302,1.302
SZX403,黑翼量化成长9号1期,2025-03-14,1.321,1.321
