日期,单位净值,累计净值,累计单位净值,基金id
2023-05-30,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-01,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-02,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-05,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-06,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-07,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-08,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-09,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-12,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-13,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-14,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-19,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-26,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-06-29,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-07-06,1.0,1.0,1.0,黑翼量化成长9号1期私募证券投资基金
2023-07-13,0.999,0.999,0.999,黑翼量化成长9号1期私募证券投资基金
2023-07-20,1.002,1.002,1.002,黑翼量化成长9号1期私募证券投资基金
2023-07-27,0.982,0.982,0.982,黑翼量化成长9号1期私募证券投资基金
2023-08-01,0.994,0.994,0.994,黑翼量化成长9号1期私募证券投资基金
2023-08-04,1.004,1.004,1.004,黑翼量化成长9号1期私募证券投资基金
2023-08-10,1.006,1.006,1.006,黑翼量化成长9号1期私募证券投资基金
2023-08-15,0.97,0.97,0.97,黑翼量化成长9号1期私募证券投资基金
2023-08-16,0.97,0.97,0.97,黑翼量化成长9号1期私募证券投资基金
2023-08-17,0.97,0.97,0.97,黑翼量化成长9号1期私募证券投资基金
2023-08-22,0.959,0.959,0.959,黑翼量化成长9号1期私募证券投资基金
2023-08-29,0.939,0.939,0.939,黑翼量化成长9号1期私募证券投资基金
2023-09-05,0.977,0.977,0.9769999999999999,黑翼量化成长9号1期私募证券投资基金
2023-09-12,0.975,0.975,0.9749999999999999,黑翼量化成长9号1期私募证券投资基金
2023-09-19,0.966,0.966,0.9659999999999999,黑翼量化成长9号1期私募证券投资基金
2023-09-26,0.974,0.974,0.9739999999999998,黑翼量化成长9号1期私募证券投资基金
2023-10-10,0.979,0.979,0.9789999999999998,黑翼量化成长9号1期私募证券投资基金
2023-10-17,0.969,0.969,0.9689999999999998,黑翼量化成长9号1期私募证券投资基金
2023-10-24,0.927,0.927,0.9269999999999998,黑翼量化成长9号1期私募证券投资基金
2023-10-31,0.95,0.95,0.9499999999999997,黑翼量化成长9号1期私募证券投资基金
2023-11-02,0.956,0.956,0.9559999999999997,黑翼量化成长9号1期私募证券投资基金
2023-11-07,0.955,0.955,0.9549999999999997,黑翼量化成长9号1期私募证券投资基金
2023-11-14,0.976,0.976,0.9759999999999999,黑翼量化成长9号1期私募证券投资基金
2023-11-21,1.001,1.001,1.001,黑翼量化成长9号1期私募证券投资基金
2023-11-28,0.999,0.999,0.999,黑翼量化成长9号1期私募证券投资基金
2023-12-04,0.995,0.995,0.995,黑翼量化成长9号1期私募证券投资基金
2023-12-05,1.004,1.004,1.004,黑翼量化成长9号1期私募证券投资基金
2023-12-12,0.984,0.984,0.984,黑翼量化成长9号1期私募证券投资基金
2023-12-19,0.991,0.991,0.991,黑翼量化成长9号1期私募证券投资基金
2023-12-26,0.966,0.966,0.966,黑翼量化成长9号1期私募证券投资基金
2024-01-03,0.993,0.993,0.993,黑翼量化成长9号1期私募证券投资基金
2024-01-09,0.969,0.969,0.969,黑翼量化成长9号1期私募证券投资基金
2024-01-16,0.961,0.961,0.961,黑翼量化成长9号1期私募证券投资基金
2024-01-23,0.919,0.919,0.919,黑翼量化成长9号1期私募证券投资基金
2024-01-30,0.914,0.914,0.914,黑翼量化成长9号1期私募证券投资基金
2024-02-02,0.815,0.815,0.815,黑翼量化成长9号1期私募证券投资基金
