日期,单位净值,累计净值,累计单位净值,基金id
2023-06-16,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-06-21,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-06-26,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-06-27,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-06-28,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-06-29,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-06-30,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-07-03,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-07-04,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-07-05,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-07-06,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-07-07,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-07-10,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-07-11,1.0,1.0,1.0,利檀忠海2号私募证券投资基金
2023-07-14,0.9986,0.9986,0.9986,利檀忠海2号私募证券投资基金
2023-07-21,0.9956,0.9956,0.9956,利檀忠海2号私募证券投资基金
2023-07-28,1.0041,1.0041,1.0041,利檀忠海2号私募证券投资基金
2023-08-04,0.9905,0.9905,0.9905,利檀忠海2号私募证券投资基金
2023-08-10,0.979,0.979,0.979,利檀忠海2号私募证券投资基金
2023-08-11,0.9651,0.9651,0.9651,利檀忠海2号私募证券投资基金
2023-08-16,0.9651,0.9651,0.9651,利檀忠海2号私募证券投资基金
2023-08-17,0.9651,0.9651,0.9651,利檀忠海2号私募证券投资基金
2023-08-18,0.9605,0.9605,0.9605,利檀忠海2号私募证券投资基金
2023-08-25,0.9484,0.9484,0.9484,利檀忠海2号私募证券投资基金
2023-09-01,0.9789,0.9789,0.9789000000000001,利檀忠海2号私募证券投资基金
2023-09-08,0.9755,0.9755,0.9755000000000001,利檀忠海2号私募证券投资基金
2023-09-11,0.9806,0.9806,0.9806000000000002,利檀忠海2号私募证券投资基金
2023-09-15,0.9779,0.9779,0.9779000000000002,利檀忠海2号私募证券投资基金
2023-09-22,0.9889,0.9889,0.9889000000000003,利檀忠海2号私募证券投资基金
2023-09-28,0.9796,0.9796,0.9796000000000004,利檀忠海2号私募证券投资基金
2023-10-10,0.9834,0.9834,0.9834000000000003,利檀忠海2号私募证券投资基金
2023-10-13,0.9894,0.9894,0.9894000000000002,利檀忠海2号私募证券投资基金
2023-10-20,0.9718,0.9718,0.9718000000000002,利檀忠海2号私募证券投资基金
2023-10-27,0.9901,0.9901,0.9901000000000002,利檀忠海2号私募证券投资基金
2023-11-03,0.9873,0.9873,0.9873000000000002,利檀忠海2号私募证券投资基金
2023-11-10,0.9933,0.9933,0.9933000000000002,利檀忠海2号私募证券投资基金
2023-11-17,0.9969,0.9969,0.9969000000000003,利檀忠海2号私募证券投资基金
2023-11-24,0.9939,0.9939,0.9939000000000003,利檀忠海2号私募证券投资基金
2023-12-01,0.9843,0.9843,0.9843000000000003,利檀忠海2号私募证券投资基金
2023-12-08,0.9734,0.9734,0.9734000000000004,利檀忠海2号私募证券投资基金
2023-12-11,0.9678,0.9678,0.9678000000000003,利檀忠海2号私募证券投资基金
2023-12-15,0.9694,0.9694,0.9694000000000004,利檀忠海2号私募证券投资基金
2023-12-22,0.9449,0.9449,0.9449000000000003,利檀忠海2号私募证券投资基金
2023-12-29,0.9609,0.9609,0.9609000000000003,利檀忠海2号私募证券投资基金
2024-01-05,0.9441,0.9441,0.9441000000000004,利檀忠海2号私募证券投资基金
2024-01-10,0.9374,0.9374,0.9374000000000003,利檀忠海2号私募证券投资基金
2024-01-12,0.9484,0.9484,0.9484000000000004,利檀忠海2号私募证券投资基金
2024-01-19,0.9236,0.9236,0.9236000000000003,利檀忠海2号私募证券投资基金
2024-01-26,0.9138,0.9138,0.9138000000000003,利檀忠海2号私募证券投资基金
2024-02-02,0.8767,0.8767,0.8767000000000004,利檀忠海2号私募证券投资基金
2024-02-08,0.9052,0.9052,0.9052000000000003,利檀忠海2号私募证券投资基金
2024-02-19,0.9117,0.9117,0.9117000000000004,利檀忠海2号私募证券投资基金
2024-02-23,0.9369,0.9369,0.9369000000000004,利檀忠海2号私募证券投资基金
2024-03-01,0.9433,0.9433,0.9433000000000005,利檀忠海2号私募证券投资基金
2024-03-08,0.9406,0.9406,0.9406000000000004,利檀忠海2号私募证券投资基金
2024-03-11,0.9579,0.9579,0.9579000000000004,利檀忠海2号私募证券投资基金
2024-03-15,0.9879,0.9879,0.9879000000000004,利檀忠海2号私募证券投资基金
