基金代码,基金名称,日期,单位净值,累计净值,复权净值
SZZ812,衍复新擎小市值增强一号A期,2023-07-04,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-06,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-07,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-10,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-11,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-12,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-13,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-14,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-17,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-18,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-21,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-25,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-07-31,1.0,1.0,1.0
SZZ812,衍复新擎小市值增强一号A期,2023-08-04,1.0001,1.0001,1.0001
SZZ812,衍复新擎小市值增强一号A期,2023-08-10,1.0024,1.0024,1.0024
SZZ812,衍复新擎小市值增强一号A期,2023-08-15,0.9783,0.9783,0.9783
SZZ812,衍复新擎小市值增强一号A期,2023-08-16,0.9783,0.9783,0.9783
SZZ812,衍复新擎小市值增强一号A期,2023-08-17,0.9783,0.9783,0.9783
SZZ812,衍复新擎小市值增强一号A期,2023-08-22,0.9706,0.9706,0.9706
SZZ812,衍复新擎小市值增强一号A期,2023-08-29,0.9366,0.9366,0.9366
SZZ812,衍复新擎小市值增强一号A期,2023-09-05,0.9861,0.9861,0.9861
SZZ812,衍复新擎小市值增强一号A期,2023-09-12,0.9857,0.9857,0.9857
SZZ812,衍复新擎小市值增强一号A期,2023-09-19,0.9776,0.9776,0.9776
SZZ812,衍复新擎小市值增强一号A期,2023-09-26,0.9846,0.9846,0.9846
SZZ812,衍复新擎小市值增强一号A期,2023-09-27,0.9798,0.9798,0.9798
SZZ812,衍复新擎小市值增强一号A期,2023-10-10,0.9947,0.9947,0.9947
SZZ812,衍复新擎小市值增强一号A期,2023-10-17,0.985,0.985,0.985
SZZ812,衍复新擎小市值增强一号A期,2023-10-24,0.9445,0.9445,0.9445
SZZ812,衍复新擎小市值增强一号A期,2023-10-27,0.9595,0.9595,0.9595000000000002
SZZ812,衍复新擎小市值增强一号A期,2023-10-31,0.9744,0.9744,0.9744000000000004
SZZ812,衍复新擎小市值增强一号A期,2023-11-07,0.9913,0.9913,0.9913000000000004
SZZ812,衍复新擎小市值增强一号A期,2023-11-14,1.0171,1.0171,1.0171000000000003
SZZ812,衍复新擎小市值增强一号A期,2023-11-21,1.0429,1.0429,1.0429000000000004
SZZ812,衍复新擎小市值增强一号A期,2023-11-28,1.0405,1.0405,1.0405000000000004
SZZ812,衍复新擎小市值增强一号A期,2023-11-29,1.0413,1.0413,1.0413000000000003
SZZ812,衍复新擎小市值增强一号A期,2023-12-05,1.0481,1.0481,1.0481000000000005
SZZ812,衍复新擎小市值增强一号A期,2023-12-12,1.0255,1.0255,1.0255000000000003
SZZ812,衍复新擎小市值增强一号A期,2023-12-19,1.0336,1.0336,1.0336000000000003
SZZ812,衍复新擎小市值增强一号A期,2023-12-26,1.0073,1.0073,1.0073000000000003
SZZ812,衍复新擎小市值增强一号A期,2023-12-27,1.003,1.003,1.0030000000000003
SZZ812,衍复新擎小市值增强一号A期,2024-01-03,1.0315,1.0315,1.0315000000000003
SZZ812,衍复新擎小市值增强一号A期,2024-01-09,1.0143,1.0143,1.0143000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-01-16,1.0028,1.0028,1.0028000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-01-23,0.9531,0.9531,0.9531000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-01-29,0.9432,0.9432,0.9432000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-01-30,0.943,0.943,0.9430000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-02-06,0.7821,0.7821,0.7821000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-02-20,0.7492,0.7492,0.7492000000000003
SZZ812,衍复新擎小市值增强一号A期,2024-02-27,0.8623,0.8623,0.8623000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-02-28,0.8795,0.8795,0.8795000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-03-05,0.8877,0.8877,0.8877000000000005
SZZ812,衍复新擎小市值增强一号A期,2024-03-12,0.8894,0.8894,0.8894000000000005
SZZ812,衍复新擎小市值增强一号A期,2024-03-19,0.9364,0.9364,0.9364000000000006
SZZ812,衍复新擎小市值增强一号A期,2024-03-26,0.9622,0.9622,0.9622000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-03-27,0.9378,0.9378,0.9378000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-04-02,0.9459,0.9459,0.9459000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-04-09,0.9615,0.9615,0.9615000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-04-15,0.9268,0.9268,0.9268000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-04-22,0.8707,0.8707,0.8707000000000005
SZZ812,衍复新擎小市值增强一号A期,2024-04-29,0.9003,0.9003,0.9003000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-04-30,0.9138,0.9138,0.9138000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-05-07,0.9369,0.9369,0.9369000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-05-14,0.9532,0.9532,0.9532000000000008
SZZ812,衍复新擎小市值增强一号A期,2024-05-21,0.9594,0.9594,0.9594000000000006
SZZ812,衍复新擎小市值增强一号A期,2024-05-28,0.9298,0.9298,0.9298000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-05-29,0.9357,0.9357,0.9357000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-06-04,0.9347,0.9347,0.9347000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-06-12,0.8699,0.8699,0.8699000000000005
SZZ812,衍复新擎小市值增强一号A期,2024-06-18,0.8874,0.8874,0.8874000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-06-25,0.8736,0.8736,0.8736000000000005
SZZ812,衍复新擎小市值增强一号A期,2024-06-27,0.8434,0.8434,0.8434000000000005
SZZ812,衍复新擎小市值增强一号A期,2024-07-02,0.8623,0.8623,0.8623000000000003
SZZ812,衍复新擎小市值增强一号A期,2024-07-09,0.8539,0.8539,0.8539000000000003
SZZ812,衍复新擎小市值增强一号A期,2024-07-16,0.8663,0.8663,0.8663000000000003
SZZ812,衍复新擎小市值增强一号A期,2024-07-23,0.8459,0.8459,0.8459000000000003
SZZ812,衍复新擎小市值增强一号A期,2024-07-29,0.8281,0.8281,0.8281000000000003
SZZ812,衍复新擎小市值增强一号A期,2024-07-30,0.8444,0.8444,0.8444000000000005
SZZ812,衍复新擎小市值增强一号A期,2024-08-06,0.8794,0.8794,0.8794000000000003
SZZ812,衍复新擎小市值增强一号A期,2024-08-13,0.8708,0.8708,0.8708000000000004
SZZ812,衍复新擎小市值增强一号A期,2024-08-20,0.8767,0.8767,0.8767000000000003
SZZ812,衍复新擎小市值增强一号A期,2024-08-27,0.8419,0.8419,0.8419000000000002
SZZ812,衍复新擎小市值增强一号A期,2024-08-28,0.8542,0.8542,0.8542000000000002
SZZ812,衍复新擎小市值增强一号A期,2024-09-03,0.8778,0.8778,0.8778000000000001
SZZ812,衍复新擎小市值增强一号A期,2024-09-10,0.8612,0.8612,0.8612000000000001
SZZ812,衍复新擎小市值增强一号A期,2024-09-19,0.853,0.853,0.8530000000000001
SZZ812,衍复新擎小市值增强一号A期,2024-09-24,0.8652,0.8652,0.8652000000000001
SZZ812,衍复新擎小市值增强一号A期,2024-09-27,0.9122,0.9122,0.9122000000000002
SZZ812,衍复新擎小市值增强一号A期,2024-10-08,0.9894,0.9894,0.9894000000000002
SZZ812,衍复新擎小市值增强一号A期,2024-10-09,1.0903,1.0903,1.0903000000000005
SZZ812,衍复新擎小市值增强一号A期,2024-10-15,1.0331,1.0331,1.0331
SZZ812,衍复新擎小市值增强一号A期,2024-10-22,1.0903,1.0903,1.0903000000000005
SZZ812,衍复新擎小市值增强一号A期,2024-10-29,1.0633,1.1533,1.1533000000000002
SZZ812,衍复新擎小市值增强一号A期,2024-11-05,1.0639,1.1539,1.153950785291075
SZZ812,衍复新擎小市值增强一号A期,2024-11-12,1.1631,1.2531,1.2615472867488011
SZZ812,衍复新擎小市值增强一号A期,2024-11-19,1.1311,1.2211,1.2268387378914705
SZZ812,衍复新擎小市值增强一号A期,2024-11-26,1.1343,1.2243,1.2303095927772034
SZZ812,衍复新擎小市值增强一号A期,2024-11-27,1.1567,1.2467,1.254605576977335
SZZ812,衍复新擎小市值增强一号A期,2024-12-03,1.1922,1.2822,1.2931103733659366
SZZ812,衍复新擎小市值增强一号A期,2024-12-10,1.2479,1.3379,1.3535249412207284
SZZ812,衍复新擎小市值增强一号A期,2024-12-17,1.2754,1.3654,1.3833526003949972
SZZ812,衍复新擎小市值增强一号A期,2024-12-24,1.2513,1.3413,1.3572127245368195
SZZ812,衍复新擎小市值增强一号A期,2024-12-27,1.1805,1.2705,1.280420060189975
SZZ812,衍复新擎小市值增强一号A期,2024-12-31,1.2127,1.3027,1.315345537477664
SZZ812,衍复新擎小市值增强一号A期,2025-01-07,1.1088,1.1988,1.2026512179065176
SZZ812,衍复新擎小市值增强一号A期,2025-01-14,1.1108,1.2008,1.2048205022101006
SZZ812,衍复新擎小市值增强一号A期,2025-01-21,1.1793,1.2693,1.2791184896078247
SZZ812,衍复新擎小市值增强一号A期,2025-02-05,1.1916,1.2816,1.2924595880748613
SZZ812,衍复新擎小市值增强一号A期,2025-02-06,1.1814,1.2714,1.281396238126587
SZZ812,衍复新擎小市值增强一号A期,2025-02-11,1.2423,1.3323,1.347450945170695
SZZ812,衍复新擎小市值增强一号A期,2025-02-18,1.2708,1.3608,1.3783632464967557
SZZ812,衍复新擎小市值增强一号A期,2025-02-25,1.3087,1.3987,1.4194711840496568
SZZ812,衍复新擎小市值增强一号A期,2025-02-27,1.3139,1.4039,1.4251113232389727
