日期,单位净值,累计净值,累计单位净值,基金id
2023-07-04,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-05,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-06,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-07,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-10,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-11,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-12,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-13,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-14,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-17,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-18,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-21,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-25,1.0,1.0,1.0,衍复新擎小市值增强一号A期
2023-07-28,1.0001,1.0001,1.0001,衍复新擎小市值增强一号A期
2023-08-04,1.0024,1.0024,1.0024,衍复新擎小市值增强一号A期
2023-08-11,0.9783,0.9783,0.9783,衍复新擎小市值增强一号A期
2023-08-16,0.9783,0.9783,0.9783,衍复新擎小市值增强一号A期
2023-08-17,0.9783,0.9783,0.9783,衍复新擎小市值增强一号A期
2023-08-18,0.9706,0.9706,0.9706,衍复新擎小市值增强一号A期
2023-08-25,0.9366,0.9366,0.9366,衍复新擎小市值增强一号A期
2023-09-01,0.9861,0.9861,0.9860999999999999,衍复新擎小市值增强一号A期
2023-09-08,0.9857,0.9857,0.9856999999999999,衍复新擎小市值增强一号A期
2023-09-15,0.9776,0.9776,0.9775999999999999,衍复新擎小市值增强一号A期
2023-09-22,0.9846,0.9846,0.9846,衍复新擎小市值增强一号A期
2023-09-25,0.9798,0.9798,0.9798,衍复新擎小市值增强一号A期
2023-09-28,0.9947,0.9947,0.9947000000000001,衍复新擎小市值增强一号A期
2023-10-13,0.985,0.985,0.9850000000000001,衍复新擎小市值增强一号A期
2023-10-20,0.9445,0.9445,0.9445000000000001,衍复新擎小市值增强一号A期
2023-10-25,0.9595,0.9595,0.9595000000000002,衍复新擎小市值增强一号A期
2023-10-27,0.9744,0.9744,0.9744000000000003,衍复新擎小市值增强一号A期
2023-11-03,0.9913,0.9913,0.9913000000000003,衍复新擎小市值增强一号A期
2023-11-10,1.0171,1.0171,1.0171000000000003,衍复新擎小市值增强一号A期
2023-11-17,1.0429,1.0429,1.0429000000000004,衍复新擎小市值增强一号A期
2023-11-24,1.0405,1.0405,1.0405000000000004,衍复新擎小市值增强一号A期
2023-11-27,1.0413,1.0413,1.0413000000000003,衍复新擎小市值增强一号A期
2023-12-01,1.0481,1.0481,1.0481000000000005,衍复新擎小市值增强一号A期
2023-12-08,1.0255,1.0255,1.0255000000000005,衍复新擎小市值增强一号A期
2023-12-15,1.0336,1.0336,1.0336000000000005,衍复新擎小市值增强一号A期
2023-12-22,1.0073,1.0073,1.0073000000000005,衍复新擎小市值增强一号A期
2023-12-25,1.003,1.003,1.0030000000000003,衍复新擎小市值增强一号A期
2023-12-29,1.0315,1.0315,1.0315000000000005,衍复新擎小市值增强一号A期
2024-01-05,1.0143,1.0143,1.0143000000000004,衍复新擎小市值增强一号A期
2024-01-12,1.0028,1.0028,1.0028000000000004,衍复新擎小市值增强一号A期
2024-01-19,0.9531,0.9531,0.9531000000000004,衍复新擎小市值增强一号A期
