日期,单位净值,累计净值,累计单位净值,基金id
2022-03-23,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-03-24,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-03-28,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-03-29,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-03-30,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-03-31,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-01,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-06,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-07,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-08,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-11,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-12,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-13,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-14,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-15,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-18,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-19,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-21,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-22,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-25,1.0,1.0,1.0,因诺天丰80号私募证券投资基金A期B
2022-04-26,0.965,0.965,0.965,因诺天丰80号私募证券投资基金A期B
2022-04-27,0.954,0.954,0.954,因诺天丰80号私募证券投资基金A期B
2022-04-28,0.892,0.892,0.892,因诺天丰80号私募证券投资基金A期B
2022-04-29,0.872,0.872,0.872,因诺天丰80号私募证券投资基金A期B
2022-05-05,0.913,0.913,0.9130000000000001,因诺天丰80号私募证券投资基金A期B
2022-05-06,0.91,0.91,0.9100000000000001,因诺天丰80号私募证券投资基金A期B
2022-05-09,0.945,0.945,0.9450000000000001,因诺天丰80号私募证券投资基金A期B
2022-05-10,0.96,0.96,0.96,因诺天丰80号私募证券投资基金A期B
2022-05-11,0.948,0.948,0.948,因诺天丰80号私募证券投资基金A期B
2022-05-12,0.957,0.957,0.957,因诺天丰80号私募证券投资基金A期B
2022-05-13,0.976,0.976,0.976,因诺天丰80号私募证券投资基金A期B
2022-05-16,0.99,0.99,0.99,因诺天丰80号私募证券投资基金A期B
2022-05-17,0.994,0.994,0.994,因诺天丰80号私募证券投资基金A期B
2022-05-18,1.003,1.003,1.003,因诺天丰80号私募证券投资基金A期B
2022-05-19,1.007,1.007,1.007,因诺天丰80号私募证券投资基金A期B
2022-05-20,1.01,1.01,1.01,因诺天丰80号私募证券投资基金A期B
2022-05-23,1.012,1.012,1.012,因诺天丰80号私募证券投资基金A期B
2022-05-24,1.02,1.02,1.02,因诺天丰80号私募证券投资基金A期B
2022-05-25,1.033,1.033,1.033,因诺天丰80号私募证券投资基金A期B
