日期,单位净值,累计净值,累计单位净值,基金id
2024-01-16,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-17,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-18,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-19,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-22,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-23,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-24,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-25,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-26,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-29,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-30,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-01-31,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-01,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-02,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-05,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-06,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-07,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-08,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-19,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-20,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-22,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-23,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-26,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-27,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-28,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-02-29,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-01,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-04,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-05,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-06,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-07,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-08,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-11,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-12,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-13,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-14,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-15,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-19,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-20,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-03-21,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-03-22,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-03-25,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-03-26,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-03-27,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-03-28,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-03-29,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-04-01,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-04-02,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-04-03,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-04-08,1.009,1.009,1.009,因诺天丰80号私募证券投资基金B期B
2024-04-09,1.007,1.007,1.007,因诺天丰80号私募证券投资基金B期B
2024-04-10,1.003,1.003,1.003,因诺天丰80号私募证券投资基金B期B
2024-04-11,0.987,0.987,0.987,因诺天丰80号私募证券投资基金B期B
2024-04-12,0.995,0.995,0.9950000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-15,0.98,0.98,0.9800000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-16,0.985,0.985,0.9850000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-17,0.978,0.978,0.9780000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-18,0.975,0.975,0.9750000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-19,0.939,0.939,0.9390000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-22,0.975,0.975,0.9750000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-23,0.973,0.973,0.9730000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-24,0.968,0.968,0.9680000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-25,0.961,0.961,0.9610000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-26,0.956,0.956,0.9560000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-29,0.97,0.97,0.9700000000000001,因诺天丰80号私募证券投资基金B期B
2024-04-30,0.972,0.972,0.9720000000000001,因诺天丰80号私募证券投资基金B期B
2024-05-06,0.988,0.988,0.988,因诺天丰80号私募证券投资基金B期B
2024-05-07,1.006,1.006,1.006,因诺天丰80号私募证券投资基金B期B
2024-05-08,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-05-09,1.015,1.015,1.015,因诺天丰80号私募证券投资基金B期B
2024-05-10,1.016,1.016,1.016,因诺天丰80号私募证券投资基金B期B
2024-05-13,1.004,1.004,1.004,因诺天丰80号私募证券投资基金B期B
2024-05-14,1.017,1.017,1.017,因诺天丰80号私募证券投资基金B期B
2024-05-15,1.014,1.014,1.014,因诺天丰80号私募证券投资基金B期B
2024-05-16,1.007,1.007,1.007,因诺天丰80号私募证券投资基金B期B
2024-05-17,1.01,1.01,1.01,因诺天丰80号私募证券投资基金B期B
2024-05-20,1.001,1.001,1.001,因诺天丰80号私募证券投资基金B期B
2024-05-21,1.003,1.003,1.003,因诺天丰80号私募证券投资基金B期B
2024-05-22,1.016,1.016,1.016,因诺天丰80号私募证券投资基金B期B
2024-05-23,1.019,1.019,1.019,因诺天丰80号私募证券投资基金B期B
2024-05-24,1.013,1.013,1.013,因诺天丰80号私募证券投资基金B期B
2024-05-27,1.015,1.015,1.015,因诺天丰80号私募证券投资基金B期B
2024-05-28,0.996,0.996,0.996,因诺天丰80号私募证券投资基金B期B
2024-05-29,0.991,0.991,0.991,因诺天丰80号私募证券投资基金B期B
2024-05-30,1.0,1.0,1.0,因诺天丰80号私募证券投资基金B期B
2024-05-31,0.991,0.991,0.991,因诺天丰80号私募证券投资基金B期B
2024-06-03,0.992,0.992,0.992,因诺天丰80号私募证券投资基金B期B
2024-06-04,0.988,0.988,0.988,因诺天丰80号私募证券投资基金B期B
2024-06-05,0.991,0.991,0.991,因诺天丰80号私募证券投资基金B期B
2024-06-06,0.979,0.979,0.979,因诺天丰80号私募证券投资基金B期B
2024-06-07,0.984,0.984,0.984,因诺天丰80号私募证券投资基金B期B
2024-06-11,0.973,0.973,0.973,因诺天丰80号私募证券投资基金B期B
2024-06-12,0.96,0.96,0.96,因诺天丰80号私募证券投资基金B期B
2024-06-13,0.969,0.969,0.9689999999999999,因诺天丰80号私募证券投资基金B期B
2024-06-14,0.964,0.964,0.9639999999999999,因诺天丰80号私募证券投资基金B期B
2024-06-17,0.969,0.969,0.9689999999999999,因诺天丰80号私募证券投资基金B期B
2024-06-18,0.96,0.96,0.9599999999999999,因诺天丰80号私募证券投资基金B期B
2024-06-19,0.963,0.963,0.9629999999999999,因诺天丰80号私募证券投资基金B期B
2024-06-20,0.957,0.957,0.9569999999999999,因诺天丰80号私募证券投资基金B期B
2024-06-21,0.966,0.966,0.9659999999999997,因诺天丰80号私募证券投资基金B期B
2024-06-24,0.961,0.961,0.9609999999999997,因诺天丰80号私募证券投资基金B期B
2024-06-25,0.947,0.947,0.9469999999999997,因诺天丰80号私募证券投资基金B期B
2024-06-26,0.948,0.948,0.9479999999999996,因诺天丰80号私募证券投资基金B期B
2024-06-27,0.929,0.929,0.9289999999999997,因诺天丰80号私募证券投资基金B期B
2024-06-28,0.927,0.927,0.9269999999999997,因诺天丰80号私募证券投资基金B期B
2024-07-01,0.945,0.945,0.9449999999999997,因诺天丰80号私募证券投资基金B期B
2024-07-02,0.933,0.933,0.9329999999999998,因诺天丰80号私募证券投资基金B期B
2024-07-03,0.939,0.939,0.9389999999999997,因诺天丰80号私募证券投资基金B期B
2024-07-04,0.95,0.95,0.9499999999999998,因诺天丰80号私募证券投资基金B期B
2024-07-05,0.951,0.951,0.9509999999999998,因诺天丰80号私募证券投资基金B期B
2024-07-08,0.946,0.946,0.9459999999999998,因诺天丰80号私募证券投资基金B期B
