日期,单位净值,累计净值,累计单位净值,基金id
2022-04-15,1.0,1.0,1.0,黑翼优选成长1号B
2022-04-18,1.0,1.0,1.0,黑翼优选成长1号B
2022-04-19,1.0,1.0,1.0,黑翼优选成长1号B
2022-04-20,1.0,1.0,1.0,黑翼优选成长1号B
2022-04-21,1.0,1.0,1.0,黑翼优选成长1号B
2022-04-22,1.0,1.0,1.0,黑翼优选成长1号B
2022-04-25,1.0,1.0,1.0,黑翼优选成长1号B
2022-04-26,1.0,1.0,1.0,黑翼优选成长1号B
2022-04-27,1.0,1.0,1.0,黑翼优选成长1号B
2022-04-28,1.0,1.0,1.0,黑翼优选成长1号B
2022-04-29,1.0,1.0,1.0,黑翼优选成长1号B
2022-05-05,1.0,1.0,1.0,黑翼优选成长1号B
2022-05-06,1.0,1.0,1.0,黑翼优选成长1号B
2022-05-09,1.0,1.0,1.0,黑翼优选成长1号B
2022-05-13,1.0,1.0,1.0,黑翼优选成长1号B
2022-05-20,1.0,1.0,1.0,黑翼优选成长1号B
2022-05-27,1.0,1.0,1.0,黑翼优选成长1号B
2022-05-31,1.015,1.015,1.015,黑翼优选成长1号B
2022-06-02,1.031,1.031,1.031,黑翼优选成长1号B
2022-06-10,1.052,1.052,1.052,黑翼优选成长1号B
2022-06-17,1.053,1.053,1.053,黑翼优选成长1号B
2022-06-24,1.064,1.064,1.064,黑翼优选成长1号B
2022-06-30,1.075,1.075,1.075,黑翼优选成长1号B
2022-07-01,1.081,1.081,1.081,黑翼优选成长1号B
2022-07-08,1.083,1.083,1.083,黑翼优选成长1号B
2022-07-15,1.061,1.061,1.061,黑翼优选成长1号B
2022-07-22,1.068,1.068,1.068,黑翼优选成长1号B
2022-07-29,1.077,1.077,1.077,黑翼优选成长1号B
2022-08-05,1.072,1.072,1.072,黑翼优选成长1号B
2022-08-12,1.104,1.104,1.104,黑翼优选成长1号B
2022-08-19,1.102,1.102,1.102,黑翼优选成长1号B
2022-08-26,1.103,1.103,1.103,黑翼优选成长1号B
2022-08-31,1.072,1.072,1.072,黑翼优选成长1号B
2022-09-02,1.078,1.078,1.078,黑翼优选成长1号B
2022-09-09,1.103,1.103,1.103,黑翼优选成长1号B
2022-09-16,1.047,1.047,1.047,黑翼优选成长1号B
2022-09-23,1.041,1.041,1.041,黑翼优选成长1号B
2022-09-30,1.008,1.008,1.008,黑翼优选成长1号B
2022-10-14,1.061,1.061,1.061,黑翼优选成长1号B
2022-10-21,1.061,1.061,1.061,黑翼优选成长1号B
2022-10-28,1.039,1.039,1.039,黑翼优选成长1号B
2022-10-31,1.049,1.049,1.049,黑翼优选成长1号B
2022-11-04,1.103,1.103,1.103,黑翼优选成长1号B
2022-11-11,1.097,1.097,1.097,黑翼优选成长1号B
2022-11-18,1.098,1.098,1.098,黑翼优选成长1号B
2022-11-25,1.087,1.087,1.087,黑翼优选成长1号B
2022-11-30,1.098,1.098,1.098,黑翼优选成长1号B
2022-12-02,1.108,1.108,1.108,黑翼优选成长1号B
2022-12-09,1.111,1.111,1.111,黑翼优选成长1号B
2022-12-16,1.093,1.093,1.093,黑翼优选成长1号B
2022-12-23,1.054,1.054,1.054,黑翼优选成长1号B
2022-12-30,1.076,1.076,1.076,黑翼优选成长1号B
2023-01-06,1.099,1.099,1.099,黑翼优选成长1号B
2023-01-13,1.099,1.099,1.099,黑翼优选成长1号B
2023-01-20,1.121,1.121,1.121,黑翼优选成长1号B
2023-01-31,1.131,1.131,1.131,黑翼优选成长1号B
2023-02-03,1.144,1.144,1.144,黑翼优选成长1号B
2023-02-10,1.154,1.154,1.154,黑翼优选成长1号B
2023-02-17,1.14,1.14,1.14,黑翼优选成长1号B
2023-02-24,1.154,1.154,1.154,黑翼优选成长1号B
2023-02-28,1.155,1.155,1.1549999999999998,黑翼优选成长1号B
2023-03-03,1.165,1.165,1.1649999999999998,黑翼优选成长1号B
2023-03-10,1.141,1.141,1.1409999999999998,黑翼优选成长1号B
2023-03-17,1.144,1.144,1.1439999999999995,黑翼优选成长1号B
2023-03-24,1.175,1.175,1.1749999999999996,黑翼优选成长1号B
2023-03-31,1.166,1.166,1.1659999999999995,黑翼优选成长1号B
2023-04-07,1.173,1.173,1.1729999999999996,黑翼优选成长1号B
2023-04-14,1.167,1.167,1.1669999999999996,黑翼优选成长1号B
2023-04-21,1.142,1.142,1.1419999999999995,黑翼优选成长1号B
2023-04-28,1.152,1.152,1.1519999999999995,黑翼优选成长1号B
2023-05-05,1.155,1.155,1.1549999999999996,黑翼优选成长1号B
2023-05-12,1.146,1.146,1.1459999999999995,黑翼优选成长1号B
2023-05-19,1.138,1.138,1.1379999999999995,黑翼优选成长1号B
2023-05-26,1.131,1.131,1.1309999999999996,黑翼优选成长1号B
2023-05-31,1.133,1.133,1.1329999999999996,黑翼优选成长1号B
2023-06-02,1.138,1.138,1.1379999999999995,黑翼优选成长1号B
2023-06-09,1.14,1.14,1.1399999999999995,黑翼优选成长1号B
2023-06-16,1.159,1.159,1.1589999999999996,黑翼优选成长1号B
2023-06-21,1.139,1.139,1.1389999999999996,黑翼优选成长1号B
2023-06-30,1.157,1.157,1.1569999999999996,黑翼优选成长1号B
2023-07-07,1.157,1.157,1.1569999999999996,黑翼优选成长1号B
2023-07-14,1.166,1.166,1.1659999999999995,黑翼优选成长1号B
2023-07-21,1.149,1.149,1.1489999999999996,黑翼优选成长1号B
2023-07-28,1.164,1.164,1.1639999999999995,黑翼优选成长1号B
2023-07-31,1.174,1.174,1.1739999999999995,黑翼优选成长1号B
2023-08-04,1.177,1.177,1.1769999999999996,黑翼优选成长1号B
2023-08-07,1.171,1.171,1.1709999999999996,黑翼优选成长1号B
2023-08-11,1.142,1.142,1.1419999999999995,黑翼优选成长1号B
2023-08-16,1.142,1.142,1.1419999999999995,黑翼优选成长1号B
2023-08-17,1.142,1.142,1.1419999999999995,黑翼优选成长1号B
2023-08-18,1.137,1.137,1.1369999999999996,黑翼优选成长1号B
2023-08-25,1.124,1.124,1.1239999999999997,黑翼优选成长1号B
2023-09-01,1.164,1.164,1.1639999999999995,黑翼优选成长1号B
2023-09-08,1.156,1.156,1.1559999999999995,黑翼优选成长1号B
2023-09-15,1.152,1.152,1.1519999999999995,黑翼优选成长1号B
2023-09-22,1.157,1.157,1.1569999999999996,黑翼优选成长1号B
